Level,Potions,Coatings,Enchantments,Weapons,Armors,Guns,Bows,Clothing,Trinkets,Meals,Drinks,RollBonus
35,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,70880.187499,17.5
36,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,85056.224998,18
37,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,102067.469998,18.5
38,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,122480.963997,19
39,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,146977.156797,19.5
40,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,176372.588156,20
41,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,211647.105788,20.5
42,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,253976.526945,21
43,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,304771.832334,21.5
44,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,365726.198801,22
45,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,438871.438561,22.5
46,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,526645.726273,23
47,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,631974.871528,23.5
48,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,758369.845834,24
49,910043.815,910043.815,910043.815,910043.815,910043.815,910043.815,910043.815,910043.815,910043.815,910043.815,910043.815,24.5
50,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,1092052.578,25
51,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,1201257.8358,25.5
52,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,1321383.61938,26
53,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,1453521.981318,26.5
54,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,1598874.17945,27
55,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,1758761.597395,27.5
56,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,1934637.757135,28
57,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,2128101.532848,28.5
58,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,2340911.686133,29
59,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,2575002.854746,29.5
60,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,2832503.140221,30
61,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,3115753.454243,30.5
62,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,3427328.799667,31
63,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,3770061.679634,31.5
64,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,4147067.847597,32
65,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,4561774.632357,32.5
66,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,5017952.095593,33
67,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,5519747.305152,33.5
68,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,6071722.035667,34
69,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,6678894.239234,34.5
70,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,7346783.663158,35
71,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,8081462.029473,35.5
72,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,8889608.232421,36
73,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,9778569.055663,36.5
74,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,10756425.961229,37
75,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,11832068.557352,37.5
76,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,13015275.413087,38
77,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,14316802.954396,38.5
78,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,15748483.249835,39
79,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,17323331.574819,39.5
80,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,19055664.732301,40
81,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,20961231.205531,40.5
82,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,23057354.326084,41
83,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,25363089.758693,41.5
84,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,27899398.734562,42
85,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,30689338.608018,42.5
86,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,33758272.46882,43
87,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,37134099.715702,43.5
88,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,40847509.687272,44
89,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44932260.655999,44.5
90,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,49425486.721599,45
91,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,54368035.393759,45.5
92,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,59804838.933135,46
93,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,65785322.826448,46.5
94,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,72363855.109093,47
95,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,79600240.620003,47.5
96,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,87560264.682003,48
97,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,96316291.150203,48.5
98,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,105947920.265223,49
99,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,116542712.291746,49.5
100,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,128196983.52092,50
