ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId
LeatherT5,@LeatherT5_MasterName,Resource,@ui_itemtypedescription_resource,@LeatherT5_Description,,Resource+Leather,Resources,RefinedResources,Leather,,,,,,5,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/LeatherT5.png,lyshineui/images/icons/items_hires/LeatherT5.png,,10000,0,,,,,,,,0,,0,,[LTID]LeatherT4,[LTID]LeatherT4,,,,,"LeatherT5,Leather",,,,,,,,0,2,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,Wood,Wood,,,,,
LeatherT51,@LeatherT51_MasterName,Resource,@ui_itemtypedescription_resource,@LeatherT51_Description,,Resource+Leather,Resources,RefinedResources,Leather,,,,,,5,,,,,,,,,,,,,,,,,,4,,0,1,0,UI_Leatherworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/LeatherT51.png,lyshineui/images/icons/items_hires/LeatherT51.png,,10000,0,,,,,,,,0,,0,,[LTID]LeatherT4,[LTID]LeatherT4,,,,,"LeatherT5,Leather,LeatherT51",,,15,15,,,,0,2,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,,,,Wood,Wood,,,,,
StoneT1,@StoneT1_MasterName,Resource,@ui_itemtypedescription_resource,@StoneT1_Description,,Resource+Stone,Resources,RawResources,Stone,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/StoneT1.png,lyshineui/images/icons/items_hires/StoneT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Coin,Coin,,,,,
StoneT4,@StoneT4_MasterName,Resource,@ui_itemtypedescription_resource,@StoneT4_Description,,Resource+Stone,Resources,RawResources,Stone,,,,,,4,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/StoneT4.png,lyshineui/images/icons/items_hires/StoneT4.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Firearm,firearm,,,,,
BlockT2,@BlockT2_MasterName,Resource,@ui_itemtypedescription_resource,@BlockT2_Description,,Resource+Block,Resources,RefinedResources,Block,,,,,,2,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/BlockT2.png,lyshineui/images/icons/items_hires/BlockT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Cloth,Cloth,,,,,
BlockT3,@BlockT3_MasterName,Resource,@ui_itemtypedescription_resource,@BlockT3_Description,,Resource+Block,Resources,RefinedResources,Block,,,,,,3,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/BlockT3.png,lyshineui/images/icons/items_hires/BlockT3.png,,10000,0,,,,,,,,0,,0,,[LTID]BlockT2,[LTID]BlockT2,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Generic,Generic,,,,,
BlockT4,@BlockT4_MasterName,Resource,@ui_itemtypedescription_resource,@BlockT4_Description,,Resource+Block,Resources,RefinedResources,Block,,,,,,4,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/BlockT4.png,lyshineui/images/icons/items_hires/BlockT4.png,,10000,0,,,,,,,,0,,0,,[LTID]BlockT3,[LTID]BlockT3,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Blueprint,Blueprint,,,,,
BlockT5,@BlockT5_MasterName,Resource,@ui_itemtypedescription_resource,@BlockT5_Description,,Resource+Block,Resources,RefinedResources,Block,,,,,,5,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/BlockT5.png,lyshineui/images/icons/items_hires/BlockT5.png,,10000,0,,,,,,,,0,,0,,[LTID]BlockT4,[LTID]BlockT4,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Sword,sword,,,,,
BlockT51,@BlockT51_MasterName,Resource,@ui_itemtypedescription_resource,@BlockT51_Description,,Resource+Block,Resources,RefinedResources,Block,,,,,,5,,,,,,,,,,,,,,,,,,4,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/BlockT51.png,lyshineui/images/icons/items_hires/BlockT51.png,,10000,0,,,,,,,,0,,0,,[LTID]BlockT4,[LTID]BlockT4,,,,,,,,,,,,,0,3,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Sword,sword,,,,,
FlintT1,@FlintT1_MasterName,Resource,@ui_itemtypedescription_resource,@FlintT1_Description,,Resource+Ore,Resources,RawResources,Flint,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Stonecutting,,,,,,,0,,,lyshineui/images/icons/items/Resource/FlintT1.png,lyshineui/images/icons/items_hires/FlintT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Stone,Play_UI_Drop_Stone,Play_UI_Use_Stone,Play_UI_Created_Stone,,,,Bow,bow,,,,,
OreT1,@OreT1_MasterName,Resource,@ui_itemtypedescription_resource,@OreT1_Description,,Resource+Ore,Resources,RawResources,Ore,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/OreT1.png,lyshineui/images/icons/items_hires/OreT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Axe,axe,,,,,
OreT4,@OreT4_MasterName,Resource,@ui_itemtypedescription_resource,@OreT4_Description,,Resource+Ore,Resources,RawResources,Ore,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/OreT4.png,lyshineui/images/icons/items_hires/OreT4.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Knife,knife,,,,,
OreT5,@OreT5_MasterName,Resource,@ui_itemtypedescription_resource,@OreT5_Description,,Resource+Ore,Resources,RawResources,Ore,,,,,,5,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/OreT5.png,lyshineui/images/icons/items_hires/OreT5.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Leather,leather,,,,,
IngotT2,@IngotT2_MasterName,Resource,@ui_itemtypedescription_resource,@IngotT2_Description,,Resource+Ingot,Resources,RefinedResources,Ingot,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotT2.png,lyshineui/images/icons/items_hires/IngotT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,"MetalT2,Metal",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Foliage,foliage,,,,,
IngotT3,@IngotT3_MasterName,Resource,@ui_itemtypedescription_resource,@IngotT3_Description,,Resource+Ingot,Resources,RefinedResources,Ingot,,,,,,3,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotT3.png,lyshineui/images/icons/items_hires/IngotT3.png,,10000,0,,,,,,,,0,,0,,[LTID]IngotT2,[LTID]IngotT2,,,,,"MetalT3,Metal",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Meat,meat ,,,,,
IngotT4,@IngotT4_MasterName,Resource,@ui_itemtypedescription_resource,@IngotT4_Description,,Resource+Ingot,Resources,RefinedResources,Ingot,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotT4.png,lyshineui/images/icons/items_hires/IngotT4.png,,10000,0,,,,,,,,0,,0,,[LTID]IngotT3,[LTID]IngotT3,,,,,"MetalT4,Metal",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Slimy,slimy,,,,,
IngotT5,@IngotT5_MasterName,Resource,@ui_itemtypedescription_resource,@IngotT5_Description,,Resource+Ingot,Resources,RefinedResources,Ingot,,,,,,5,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotT5.png,lyshineui/images/icons/items_hires/IngotT5.png,,10000,0,,,,,,,,0,,0,,[LTID]IngotT4,[LTID]IngotT4,,,,,"MetalT5,Metal,MetalPrecious",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Dirt,dirt,,,,,
IngotT51,@IngotT51_MasterName,Resource,@ui_itemtypedescription_resource,@IngotT51_Description,,Resource+Ingot,Resources,RefinedResources,Ingot,,,,,,5,,,,,,,,,,,,,,,,,,4,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotT51.png,lyshineui/images/icons/items_hires/IngotT51.png,,10000,0,,,,,,,,0,,0,,[LTID]IngotT4,[LTID]IngotT4,,,,,"MetalT5,Metal,MetalPrecious,MetalT51",,,15,15,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Dirt,dirt,,,,,
OrePreciousT1,@OrePreciousT1_MasterName,Resource,@ui_itemtypedescription_resource,@OrePreciousT1_Description,,Resource+Ore,Resources,RawResources,OrePrecious,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/OrePreciousT1.png,lyshineui/images/icons/items_hires/OrePreciousT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Armour,armour,,,,,
OrePreciousT2,@OrePreciousT2_MasterName,Resource,@ui_itemtypedescription_resource,@OrePreciousT2_Description,,Resource+Ore,Resources,RawResources,OrePrecious,,,,,,3,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/OrePreciousT2.png,lyshineui/images/icons/items_hires/OrePreciousT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Stone Tool,stone tool,,,,,
OrePreciousT3,@OrePreciousT3_MasterName,Resource,@ui_itemtypedescription_resource,@OrePreciousT3_Description,,Resource+Ore,Resources,RawResources,OrePrecious,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/OrePreciousT3.png,lyshineui/images/icons/items_hires/OrePreciousT3.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,2,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Paper,paper,,,,,
IngotPreciousT1,@IngotPreciousT1_MasterName,Resource,@ui_itemtypedescription_resource,@IngotPreciousT1_Description,,Resource+Ingot,Resources,RefinedResources,IngotPrecious,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotPreciousT1.png,lyshineui/images/icons/items_hires/IngotPreciousT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,"MetalPreciousT2,MetalPrecious",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Arrow,Arrow,,,,,
IngotPreciousT2,@IngotPreciousT2_MasterName,Resource,@ui_itemtypedescription_resource,@IngotPreciousT2_Description,,Resource+Ingot,Resources,RefinedResources,IngotPrecious,,,,,,3,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotPreciousT2.png,lyshineui/images/icons/items_hires/IngotPreciousT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,"MetalPreciousT3,MetalPrecious",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,Bullet,Bullet,,,,,
IngotPreciousT3,@IngotPreciousT3_MasterName,Resource,@ui_itemtypedescription_resource,@IngotPreciousT3_Description,,Resource+Ingot,Resources,RefinedResources,IngotPrecious,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Smelting,,,,,,,0,,,lyshineui/images/icons/items/Resource/IngotPreciousT3.png,lyshineui/images/icons/items_hires/IngotPreciousT3.png,,10000,0,,,,,,,,0,,0,,,,,,,,"MetalPreciousT4,MetalPrecious",,,,,,,,0,3,,Play_UI_Pickup_Metal,Play_UI_Drop_Metal,Play_UI_Use_Metal,Play_UI_Created_Metal,,,,,,,,,,
BranchT1,@BranchT1_MasterName,Resource,@ui_itemtypedescription_resource,@BranchT1_Description,,Resource+Wood,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,0,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/BranchT1.png,lyshineui/images/icons/items_hires/BranchT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
WoodT1,@WoodT1_MasterName,Resource,@ui_itemtypedescription_resource,@WoodT1_Description,,Resource+Wood,Resources,RawResources,Wood,,,,,,1,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/WoodT1.png,lyshineui/images/icons/items_hires/WoodT1.png,,10000,0,,,,,,,,0,,0,,,,,,,,Wood,,,,,,,,0,2,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
WoodT2,@WoodT2_MasterName,Resource,@ui_itemtypedescription_resource,@WoodT2_Description,,Resource+Wood,Resources,RawResources,Wood,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/WoodT2.png,lyshineui/images/icons/items_hires/WoodT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,Wood,,,,,,,,0,2,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
WoodT4,@WoodT4_MasterName,Resource,@ui_itemtypedescription_resource,@WoodT4_Description,,Resource+Wood,Resources,RawResources,Wood,,,,,,4,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/WoodT4.png,lyshineui/images/icons/items_hires/WoodT4.png,,10000,0,,,,,,,,0,,0,,,,,,,,Wood,,,,,,,,0,2,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
WoodT5,@WoodT5_MasterName,Resource,@ui_itemtypedescription_resource,@WoodT5_Description,,Resource+Wood,Resources,RawResources,Wood,,,,,,5,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/WoodT5.png,lyshineui/images/icons/items_hires/WoodT5.png,,10000,0,,,,,,,,0,,0,,,,,,,,Wood,,,,,,,,0,2,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
TimberT2,@TimberT2_MasterName,Resource,@ui_itemtypedescription_resource,@TimberT2_Description,,Resource+Timber,Resources,RefinedResources,Timber,,,,,,2,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/TimberT2.png,lyshineui/images/icons/items_hires/TimberT2.png,,10000,0,,,,,,,,0,,0,,,,,,,,"TimberT2,Timber",,,,,,,,0,2,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
TimberT3,@TimberT3_MasterName,Resource,@ui_itemtypedescription_resource,@TimberT3_Description,,Resource+Timber,Resources,RefinedResources,Timber,,,,,,3,,,,,,,,,,,,,,,,,,,,0,1,0,UI_Woodworking,,,,,,,0,,,lyshineui/images/icons/items/Resource/TimberT3.png,lyshineui/images/icons/items_hires/TimberT3.png,,10000,0,,,,,,,,0,,0,,[LTID]TimberT2,[LTID]TimberT2,,,,,"TimberT3,Timber",,,,,,,,0,2,,Play_UI_Pickup_Wood,Play_UI_Drop_Wood,Play_UI_Use_Wood,Play_UI_Created_Wood,,,,,,,,,,
