ItemID,Name,ItemType,ItemTypeDisplayName,Description,HeartgemRuneTooltipTitle,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanRollPerkOnUpgrade,CanHavePerks,CanReplaceGem,PerkSlot1,PerkSlot2,PerkSlot3,PerkSlot4,PerkSlot5,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,RequiredTradeskillRank,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,HeartgemTooltipBackgroundImage,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,IsRequiredItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageLootTags,SalvageGuaranteedPerkCount,SalvageAchievement,SalvageEntitlementId,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup,EventId,AttributionId,ObtainableReleaseVersion,MountItemAppearance,ExclusivelyForWarCampTier,RequiredExpansionId
GiftUmbralBox3,@GiftUmbralBox3_MasterName,Resource,@ui_itemtypedescription_resource,@GiftUmbralBox3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,,10000,0,,,,,,,,,1,1,0,,[LTID]UmbralBox3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_UmbralShard_300,@Bundle_UmbralShard_300_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_UmbralShard_300_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,1,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/UmbralShardT2.png,lyshineui/images/icons/items_hires/UmbralShardT2.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_UmbralShard_300,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_UmbralShard_500,@Bundle_UmbralShard_500_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_UmbralShard_500_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/UmbralShardT2.png,lyshineui/images/icons/items_hires/UmbralShardT2.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_UmbralShard_500,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_UmbralShard_1000,@Bundle_UmbralShard_1000_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_UmbralShard_1000_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/UmbralShardT3.png,lyshineui/images/icons/items_hires/UmbralShardT3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_UmbralShard_1000,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_UmbralShard_1500,@Bundle_UmbralShard_1500_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_UmbralShard_1500_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,4,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/UmbralShardT3.png,lyshineui/images/icons/items_hires/UmbralShardT3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_UmbralShard_1500,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_GypsumOrb_2,@Bundle_GypsumOrb_2_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_GypsumOrb_2_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_GypsumOrb_2.png,lyshineui/images/icons/items_hires/Bundle_GypsumOrb_2.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_GypsumOrb_2,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_GypsumOrb_5,@Bundle_GypsumOrb_5_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_GypsumOrb_5_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_GypsumOrb_5.png,lyshineui/images/icons/items_hires/Bundle_GypsumOrb_5.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_GypsumOrb_5,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AzothVial_5,@Bundle_AzothVial_5_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AzothVial_5_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,1,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AzothVial_5.png,lyshineui/images/icons/items_hires/Bundle_AzothVial_5.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AzothVial_5,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AzothVial_10,@Bundle_AzothVial_10_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AzothVial_10_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AzothVial_10.png,lyshineui/images/icons/items_hires/Bundle_AzothVial_10.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AzothVial_10,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AzothVial_20,@Bundle_AzothVial_20_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AzothVial_20_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AzothVial_20.png,lyshineui/images/icons/items_hires/Bundle_AzothVial_20.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AzothVial_20,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Coin_Stack_500,@Coin_Stack_500_MasterName,Resource,@ui_itemtypedescription_resource,@Coin_Stack_500_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Consumable/CoinBundle.png,lyshineui/images/icons/items_hires/CoinBundle.png,,10000,0,,,,,,,,,1,1,0,,,,,Coin_Stack_500,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Coin_Stack_3000,@Coin_Stack_3000_MasterName,Resource,@ui_itemtypedescription_resource,@Coin_Stack_3000_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,3,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Consumable/CoinPile.png,lyshineui/images/icons/items_hires/CoinPile.png,,10000,0,,,,,,,,,1,1,0,,,,,Coin_Stack_3000,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Coin_Stack_5000,@Coin_Stack_5000_MasterName,Resource,@ui_itemtypedescription_resource,@Coin_Stack_5000_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,4,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Consumable/Coin-Heap.png,lyshineui/images/icons/items_hires/CoinHeap.png,,10000,0,,,,,,,,,1,1,0,,,,,Coin_Stack_5000,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_HealthPotion_3,@Bundle_HealthPotion_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_HealthPotion_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_HealthPotion_3.png,lyshineui/images/icons/items_hires/Bundle_HealthPotion_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_HealthPotion_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_RegenPotion_3,@Bundle_RegenPotion_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_RegenPotion_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_RegenPotion_3.png,lyshineui/images/icons/items_hires/Bundle_RegenPotion_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_RegenPotion_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_ManaPotion_3,@Bundle_ManaPotion_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_ManaPotion_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_ManaPotion_3.png,lyshineui/images/icons/items_hires/Bundle_ManaPotion_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_ManaPotion_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_HealthPotion_12,@Bundle_HealthPotion_12_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_HealthPotion_12_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_HealthPotion_3.png,lyshineui/images/icons/items_hires/Bundle_HealthPotion_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_HealthPotion_12,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_RegenPotion_12,@Bundle_RegenPotion_12_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_RegenPotion_12_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_RegenPotion_3.png,lyshineui/images/icons/items_hires/Bundle_RegenPotion_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_RegenPotion_12,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_ManaPotion_12,@Bundle_ManaPotion_12_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_ManaPotion_12_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_ManaPotion_3.png,lyshineui/images/icons/items_hires/Bundle_ManaPotion_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_ManaPotion_12,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AncientCoating_3,@Bundle_AncientCoating_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AncientCoating_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AncientCoating_3.png,lyshineui/images/icons/items_hires/Bundle_AncientCoating_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AncientCoating_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AncientWard_3,@Bundle_AncientWard_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AncientWard_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AncientWard_3.png,lyshineui/images/icons/items_hires/Bundle_AncientWard_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AncientWard_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AngryEarthCoating_3,@Bundle_AngryEarthCoating_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AngryEarthCoating_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AngryEarthCoating_3.png,lyshineui/images/icons/items_hires/Bundle_AngryEarthCoating_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AngryEarthCoating_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_AngryEarthWard_3,@Bundle_AngryEarthWard_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_AngryEarthWard_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_AngryEarthWard_3.png,lyshineui/images/icons/items_hires/Bundle_AngryEarthWard_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_AngryEarthWard_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_CorruptCoating_3,@Bundle_CorruptCoating_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_CorruptCoating_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_CorruptedCoating_3.png,lyshineui/images/icons/items_hires/Bundle_CorruptedCoating_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_CorruptCoating_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_CorruptWard_3,@Bundle_CorruptWard_3_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_CorruptWard_3_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_CorruptedWard_3.png,lyshineui/images/icons/items_hires/Bundle_CorruptedWard_3.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_CorruptWard_3,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
Bundle_FireAbsorptionPotion_4,@Bundle_FireAbsorptionPotion_4_MasterName,Resource,@ui_itemtypedescription_resource,@Bundle_FireAbsorptionPotion_4_Description,,Resource+LootContainer,,,,1,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,2,,,0,0,0,UI_Rewards,,,,,,0,0,,,lyshineui/images/icons/items/Resource/Bundle_FireAbsorptionPotion_4.png,lyshineui/images/icons/items_hires/Bundle_FireAbsorptionPotion_4.png,,10000,0,,,,,,,,,1,1,0,,[LTID]Bundle_FireAbsorptionPotion_4,,,,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,,,,,,,
