ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,IconCaptureGroup,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
RunicBearHead,@RunicBearHead_MasterName,Armor,,@RunicBearHead_Description,EquippableHead,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_heavy_head,f_viking_heavy_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicBearChest,@RunicBearChest_MasterName,Armor,,@RunicBearChest_Description,EquippableChest,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_viking_heavy_chest,f_viking_heavy_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicBearHands,@RunicBearHands_MasterName,Armor,,@RunicBearHands_Description,EquippableHands,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_heavy_hands,f_viking_heavy_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicBearLegs,@RunicBearLegs_MasterName,Armor,,@RunicBearLegs_Description,EquippableLegs,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_heavy_legs,f_viking_heavy_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicBearFeet,@RunicBearFeet_MasterName,Armor,,@RunicBearFeet_Description,EquippableFeet,,,,,,,,,,GenericItemSkin,,,,,,,,,,,,,,,,,,,,,,,m_viking_heavy_feet,f_viking_heavy_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HowlatDawn,@HowlatDawn_MasterName,Weapon,,@HowlatDawn_Description,EquippableMainHand+Sword+Melee,,,,,,,,,,Skin_Longsword,,,,,,,,,,,,,,,,,,,,,Longsword,UI_Weapon,,,HowlatDawn,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DragonsCoil,@DragonsCoil_MasterName,Weapon,,@DragonsCoil_Description,EquippableOffHand+Shield,,,,,,,,,,Skin_Shield,,,,,,,,,,,,,,,,,,,,,RoundShield,UI_Weapon,,,DragonsCoil,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwinWolves,@TwinWolves_MasterName,Weapon,,@TwinWolves_Description,EquippableTwoHand+2HHammer+Melee,,,,,,,,,,Skin_WarHammer,,,,,,,,,,,,,,,,,,,,,WarHammer,UI_Weapon,,,TwinWolves,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrescentFang,@CrescentFang_MasterName,Weapon,,@CrescentFang_Description,EquippableMainHand+Hatchet+Melee,,,,,,,,,,Skin_Hatchet,,,,,,,,,,,,,,,,,,,,,ThrowingAxe,UI_Weapon,,,CrescentFang,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallantry,@Gallantry_MasterName,Weapon,,@Gallantry_Description,EquippableMainHand+Sword+Melee,,,,,,,,,,Skin_Longsword,,,,,,,,,,,,,,,,,,,,,Longsword,UI_Weapon,,,Gallantry,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crestoftheallsight,@Crestoftheallsight_MasterName,Weapon,,@Crestoftheallsight_Description,EquippableOffHand+Shield,,,,,,,,,,Skin_Shield,,,,,,,,,,,,,,,,,,,,,KiteShield,UI_Weapon,,,Crestoftheallsight,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoldenColt,@GoldenColt_MasterName,Weapon,,@GoldenColt_Description,EquippableMainHand+FireStaff+Magic,,,,,,,,,,Skin_FireStaff,,,,,,,,,,,,,,,,,,,,,StaffFire,UI_Weapon,,,GoldenColt,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WickedTyrant,@WickedTyrant_MasterName,Weapon,,@WickedTyrant_Description,EquippableTwoHand+2HAxe+Melee,,,,,,,,,,Skin_GreatAxe,,,,,,,,,,,,,,,,,,,,,GreatAxe,UI_Weapon,,,WickedTyrant,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MonarchsMight,@MonarchsMight_MasterName,Weapon,,@MonarchsMight_Description,EquippableTwoHand+2HHammer+Melee,,,,,,,,,,Skin_WarHammer,,,,,,,,,,,,,,,,,,,,,WarHammer,UI_Weapon,,,MonarchsMight,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Bow_RoyalCourt,@Skin_Bow_RoyalCourt_MasterName,Weapon,,@Skin_Bow_RoyalCourt_Description,EquippableTwoHand+Bow+Ranged,,,,,,,,,,Skin_Bow,,,,,,,,,,,,,,,,,,,,,Bow,UI_Weapon,,,2hBowRoyalcourtT5,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraveStakes,@GraveStakes_MasterName,Weapon,,@GraveStakes_Description,EquippableMainHand+Sword+Melee,,,,,,,,,,Skin_Longsword,,,,,,,,,,,,,,,,,,,,,Longsword,UI_Weapon,,,GraveStakes,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_IceGauntlet,@Skin_RoyalCourt_IceGauntlet_MasterName,Weapon,,@Skin_RoyalCourt_IceGauntlet_Description,EquippableMainHand+IceMagic+Magic,,,,,,,,,,Skin_IceGauntlet,,,,,,,,,,,,,,,,,,,,,Gauntlet,UI_Weapon,,,1hicegauntletRoyalcourtT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_Tiara,@RoyalCourtTiara_MasterName,Armor,,@RoyalCourtTiara_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalCourtTiara_head,f_royalCourtTiara_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_Crown,@RoyalCourtCrown_MasterName,Armor,,@RoyalCourtCrown_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalCourtCrown_head,f_royalCourtCrown_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtLightHead,@RoyalCourtLightHead_MasterName,Armor,,@RoyalCourtLightHead_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_light_head,f_royalcourt_light_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtLightChest,@RoyalCourtLightChest_MasterName,Armor,,@RoyalCourtLightChest_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_royalcourt_light_chest,f_royalcourt_light_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtLightHands,@RoyalCourtLightHands_MasterName,Armor,,@RoyalCourtLightHands_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_light_hands,f_royalcourt_light_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtLightLegs,@RoyalCourtLightLegs_MasterName,Armor,,@RoyalCourtLightLegs_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_light_legs,f_royalcourt_light_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtLightFeet,@RoyalCourtLightFeet_MasterName,Armor,,@RoyalCourtLightFeet_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_light_feet,f_royalcourt_light_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtMediumHead,@RoyalCourtMediumHead_MasterName,Armor,,@RoyalCourtMediumHead_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_medium_head,f_royalcourt_medium_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtMediumChest,@RoyalCourtMediumChest_MasterName,Armor,,@RoyalCourtMediumChest_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_royalcourt_medium_chest,f_royalcourt_medium_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtMediumHands,@RoyalCourtMediumHands_MasterName,Armor,,@RoyalCourtMediumHands_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_medium_hands,f_royalcourt_medium_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtMediumLegs,@RoyalCourtMediumLegs_MasterName,Armor,,@RoyalCourtMediumLegs_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_medium_legs,f_royalcourt_medium_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtMediumFeet,@RoyalCourtMediumFeet_MasterName,Armor,,@RoyalCourtMediumFeet_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_medium_feet,f_royalcourt_medium_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtHeavyHead,@RoyalCourtHeavyHead_MasterName,Armor,,@RoyalCourtHeavyHead_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_heavy_head,f_royalcourt_heavy_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtHeavyChest,@RoyalCourtHeavyChest_MasterName,Armor,,@RoyalCourtHeavyChest_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_royalcourt_heavy_chest,f_royalcourt_heavy_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtHeavyHands,@RoyalCourtHeavyHands_MasterName,Armor,,@RoyalCourtHeavyHands_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_heavy_hands,f_royalcourt_heavy_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtHeavyLegs,@RoyalCourtHeavyLegs_MasterName,Armor,,@RoyalCourtHeavyLegs_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_heavy_legs,f_royalcourt_heavy_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RoyalCourtHeavyFeet,@RoyalCourtHeavyFeet_MasterName,Armor,,@RoyalCourtHeavyFeet_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_royalcourt_heavy_feet,f_royalcourt_heavy_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_AzothScepter,@Skin_RoyalCourt_AzothScepter_Name,Weapon,,@Skin_RoyalCourt_AzothScepter_Description,Weapon+EquippableTool+Axe+AzothStaff,,,,,,,,,,Skin_AzothStaff,,,,,,,,,,,,,,,,,,,,,AzothStaff,UI_Tools,,,2hAzothScepterRoyalCourtT5,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_FishingPole,@Skin_RoyalCourt_FishingPole_Name,Weapon,,@Skin_RoyalCourt_FishingPole_Description,EquippableTool+FishingPole,,,,,,,,,,Skin_FishingPole,,,,,,,,,,,,,,,,,,,,,FishingPole,UI_Tools,,,2hFishingPole_RoyalCourt,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_LoggingAxe,@Skin_RoyalCourt_LoggingAxe_Name,Weapon,,@Skin_RoyalCourt_LoggingAxe_Description,EquippableTool+Axe+LoggingAxe,,,,,,,,,,Skin_LoggingAxe,,,,,,,,,,,,,,,,,,,,,2hLoggingAxe,UI_Tools,,,2hLoggingAxeRoyalCourtT5,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_SkinningKnife,@Skin_RoyalCourt_SkinningKnife_Name,Weapon,,@Skin_RoyalCourt_SkinningKnife_Description,EquippableTool+Axe+SkinningKnife,,,,,,,,,,Skin_SkinningKnife,,,,,,,,,,,,,,,,,,,,,SkinningKnife,UI_Tools,,,1hSkinningKnifeRoyalCourtT5,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_Sickle,@Skin_RoyalCourt_Sickle_Name,Weapon,,@Skin_RoyalCourt_Sickle_Description,EquippableTool+Axe+Sickle,,,,,,,,,,Skin_Sickle,,,,,,,,,,,,,,,,,,,,,Sickle,UI_Tools,,,1hSickleRoyalCourtT5,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_RoyalCourt_Pickaxe,@Skin_RoyalCourt_Pickaxe_Name,Weapon,,@Skin_RoyalCourt_Pickaxe_Description,EquippableTool+Axe+Pickaxe,,,,,,,,,,Skin_Pick,,,,,,,,,,,,,,,,,,,,,2hPickAxe,UI_Tools,,,1hPickaxeRoyalCourtT5,,,,Items/Weapons/weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwitchPirateHead,@TwitchPirateHead_MasterName,Armor,,@TwitchPirateHead_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HeadHat,,m_twitchpirate_head,f_twitchpirate_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwitchPirateChest,@TwitchPirateChest_MasterName,Armor,,@TwitchPirateChest_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_twitchpirate_chest,f_twitchpirate_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwitchPirateHands,@TwitchPirateHands_MasterName,Armor,,@TwitchPirateHands_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_twitchpirate_hands,f_twitchpirate_hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwitchPirateLegs,@TwitchPirateLegs_MasterName,Armor,,@TwitchPirateLegs_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_twitchpirate_legs,f_twitchpirate_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TwitchPirateFeet,@TwitchPirateFeet_MasterName,Armor,,@TwitchPirateFeet_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_twitchpirate_feet,f_twitchpirate_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Monster_VampireHead,@Skin_Monster_VampireHead_MasterName,Armor,,@Skin_Monster_VampireHead_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_vampireclassicmonster_head,f_vampireclassicmonster_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Monster_VampireChest,@Skin_Monster_VampireChest_MasterName,Armor,,@Skin_Monster_VampireChest_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChestLong,,m_vampireclassicmonster_chest,f_vampireclassicmonster_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Monster_VampireHands,@Skin_Monster_VampireHands_MasterName,Armor,,@Skin_Monster_VampireHands_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_vampireclassicmonster_gloves,f_vampireclassicmonster_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Monster_VampireLegs,@Skin_Monster_VampireLegs_MasterName,Armor,,@Skin_Monster_VampireLegs_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_vampireclassicmonster_legs,f_vampireclassicmonster_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Monster_VampireFeet,@Skin_Monster_VampireFeet_MasterName,Armor,,@Skin_Monster_VampireFeet_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_vampireclassicmonster_feet,f_vampireclassicmonster_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
