ItemID,ParentItemId_DVT,IgnoreParentColumns_DVT,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,ExceedMinIndex,ExceedMaxIndex,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPrimary,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,HideFromRewardOpenPopup
ClothingLegs_HorticulturistT4_MakeGood,ClothingLegs_HorticulturistT4,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingLegs_HorticulturistT4_MasterName,Armor,@ui_itemtypedescription_normal_legs_slot,@ClothingLegs_HorticulturistT4_Description,EquippableLegs+Armor+Medium,Apparel,ArmorLight,SlotLegs,,1,500,400,500,4,LightLegs_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,2,,1,1,1,UI_Armor,m_harvestervar2_legs,f_harvestervar2_legs,,,0,0,,,,,1,0,,,,,,,,1,1,1,2,[LTID]MasterSalvageArmorMedium,SalvageLarge_LeatherT4,,SalvageCoinGrantT4,,,,,,,,,625,0.12,0,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingLegs_HorticulturistT5_MakeGood,ClothingLegs_HorticulturistT5,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingLegs_HorticulturistT5_MasterName,Armor,@ui_itemtypedescription_normal_legs_slot,@ClothingLegs_HorticulturistT5_Description,EquippableLegs+Armor+Medium,Apparel,ArmorLight,SlotLegs,,1,600,500,600,5,LightLegs_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,3,,1,1,1,UI_Armor,m_harvestervar1_legs,f_harvestervar1_legs,,,0,0,,,,,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageArmorMedium,SalvageLarge_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,40,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingFeet_HorticulturistT3_MakeGood,ClothingFeet_HorticulturistT3,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingFeet_HorticulturistT3_MasterName,Armor,@ui_itemtypedescription_normal_feet_slot,@ClothingFeet_HorticulturistT3_Description,EquippableFeet+Armor+Medium,Apparel,ArmorLight,SlotFeet,,1,400,300,400,3,LightFeet_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,1,,1,1,1,UI_Armor,m_harvester_feet,f_harvester_feet,,,0,0,,,,,1,0,,,,,,,,1,1,1,1,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT3,,SalvageCoinGrantT3,,,,,,,,,500,0.12,0,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingFeet_HorticulturistT4_MakeGood,ClothingFeet_HorticulturistT4,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingFeet_HorticulturistT4_MasterName,Armor,@ui_itemtypedescription_normal_feet_slot,@ClothingFeet_HorticulturistT4_Description,EquippableFeet+Armor+Medium,Apparel,ArmorLight,SlotFeet,,1,500,400,500,4,LightFeet_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,2,,1,1,1,UI_Armor,m_harvestervar2_feet,f_harvestervar2_feet,,,0,0,,,,,1,0,,,,,,,,1,1,1,2,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT4,,SalvageCoinGrantT4,,,,,,,,,625,0.12,0,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
ClothingFeet_HorticulturistT5_MakeGood,ClothingFeet_HorticulturistT5,"GearScoreOverride,SalvageResources,GrantsHWMBump",@ClothingFeet_HorticulturistT5_MasterName,Armor,@ui_itemtypedescription_normal_feet_slot,@ClothingFeet_HorticulturistT5_Description,EquippableFeet+Armor+Medium,Apparel,ArmorLight,SlotFeet,,1,600,500,600,5,LightFeet_Balanced,,1,,1,1,PerkID_Stat_ArmorScholar,,PerkID_Armor_HarvestingLuck,,,,,,,,3,,1,1,1,UI_Armor,m_harvester_feet,f_harvestervar1_feet,,,0,0,,,,,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageArmorSmall,SalvageSmall_LeatherT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,30,,Play_UI_Pickup_Leather,Play_UI_Drop_Leather,Play_UI_Use_Leather,Play_UI_Created_Leather,Play_UI_item_broken,,,,,,,
RingT5_TheRingoftheForgersSignet_Orange,RingT5_TheRingoftheForgersSignet,"ForceRarity,GearScoreOverride",@RingT5_TheRingoftheForgersSignet_MasterName,Armor,@ui_itemtypedescription_ringjewelry,,EquippableRing+Jewelry,,,,1,,600,500,600,5,RingINTFOCT5,,1,,1,0,PerkID_Stat_ArmorScholar,PerkID_Gem_ThrustWard4,PerkID_Ring_Crit,PerkID_Common_CDR,PerkID_Ring_DurSlow,,,,,,4,,1,1,1,UI_Armor,,,,,0,0,,,lyshineui/images/icons/items/Armor/LostRing05.png,lyshineui/images/icons/items_hires/LostRing05.png,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageJewelry,SalvageSmall_MetalT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
RingT5_TheRingoftheForgersSignet_Purple,RingT5_TheRingoftheForgersSignet,"Perk5,ForceRarity,GearScoreOverride",@RingT5_TheRingoftheForgersSignet_MasterName,Armor,@ui_itemtypedescription_ringjewelry,,EquippableRing+Jewelry,,,,1,,600,500,600,5,RingINTFOCT5,,1,,1,0,PerkID_Stat_ArmorScholar,PerkID_Gem_ThrustWard4,PerkID_Ring_Crit,PerkID_Common_CDR,,,,,,,3,,1,1,1,UI_Armor,,,,,0,0,,,lyshineui/images/icons/items/Armor/LostRing05.png,lyshineui/images/icons/items_hires/LostRing05.png,1,0,,,,,,,,1,1,1,4,[LTID]MasterSalvageJewelry,SalvageSmall_MetalT5,,SalvageCoinGrantT5,,,,,,,,,750,0.12,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
1hSickleT5_MakeGood,,,@GS600Sickle_MakeGood_MasterName,Resource,@ui_itemtypedescription_resource,@GS600Sickle_MakeGood_Description,Resource+LootContainer,,,,1,,,,,3,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,60,600,,,1,1,0,,[LTID]1hSickleT5_MakeGood,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
1hSkinningKnifeT5_MakeGood,,,@GS600SkinningKnife_MakeGood_MasterName,Resource,@ui_itemtypedescription_resource,@GS600SkinningKnife_MakeGood_Description,Resource+LootContainer,,,,1,,,,,3,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,60,600,,,1,1,0,,[LTID]1hSkinningKnifeT5_MakeGood,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
2hPickT5_MakeGood,,,@GS600Pick_MakeGood_MasterName,Resource,@ui_itemtypedescription_resource,@GS600Pick_MakeGood_Description,Resource+LootContainer,,,,1,,,,,3,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,60,600,,,1,1,0,,[LTID]2hPickT5_MakeGood,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
2hAxeT5_MakeGood,,,@GS600Axe_MakeGood_MasterName,Resource,@ui_itemtypedescription_resource,@GS600Axe_MakeGood_Description,Resource+LootContainer,,,,1,,,,,3,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,60,600,,,1,1,0,,[LTID]2hAxeT5_MakeGood,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
BagAT5_MakeGood,,,@GS600Bag_MakeGood_MasterName,Resource,@ui_itemtypedescription_resource,@GS600Bag_MakeGood_Description,Resource+LootContainer,,,,1,,,,,3,,,,,,,,,,,,,,,,,3,,0,0,0,UI_Rewards,,,,,0,0,,,lyshineui/images/icons/items/Resource/LockboxT1.png,lyshineui/images/icons/items_hires/LockboxT1.png,10000,0,,,,60,600,,,1,1,0,,[LTID]BagAT5_MakeGood,,,,,,,,,,,,,,0,1,,Play_UI_Pickup_Generic,Play_UI_Drop_Generic,Play_UI_Use_Generic,Play_UI_Created_Generic,,,,,,,,
