ItemID,Name,ItemType,ItemTypeDisplayName,Description,ItemClass,TradingCategory,TradingFamily,TradingGroup,BindOnPickup,BindOnEquip,GearScoreOverride,MinGearScore,MaxGearScore,Tier,ItemStatsRef,GrantsHWMBump,IgnoreNameChanges,IgnoreHWMScaling,CanHavePerks,CanReplaceGem,Perk1,Perk2,Perk3,Perk4,Perk5,PerkBucket1,PerkBucket2,PerkBucket3,PerkBucket4,PerkBucket5,ForceRarity,RequiredLevel,UseTypeAffix,UseMaterialAffix,UseMagicAffix,UiItemClass,ArmorAppearanceM,ArmorAppearanceF,WeaponAppearanceOverride,WeaponAccessory,ConfirmDestroy,ConfirmBeforeUse,ConsumeOnUse,PrefabPath,HousingTags,IconPath,HiResIconPath,MaxStackSize,DeathDropPercentage,Nonremovable,IsMissionItem,IsUniqueItem,ContainerLevel,ContainerGS,IsSalvageable,SalvageResources,IsRepairable,RepairDustModifier,RepairRecipe,CraftingRecipe,RepairGameEventID,SalvageGameEventID,SalvageAchievement,RepairTypes,IngredientCategories,IngredientBonusPriAugy,IngredientBonusSecondary,IngredientGearScoreBaseBonus,IngredientGearScoreMaxBonus,ExtraBonusItemChance,Durability,DurabilityDmgOnDeath,DestroyOnBreak,Weight,AcquisitionNotificationId,AudioPickup,AudioPlace,AudioUse,AudioCreated,AudioDestroyed,MannequinTag,SoundTableID,WarboardGatherStat,WarboardDepositStat,Notes,HideInLootTicker,AttributionId
Skin_Feet_Aug2023_BalanceMedium,@Skin_Feet_Aug2023_BalanceMedium_MasterName,Armor,,@Skin_Feet_Aug2023_BalanceMedium_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceMedium_feet,f_BalanceMedium_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Head_Aug2023_BalanceHeavy,@Skin_Head_Aug2023_BalanceHeavy_MasterName,Armor,,@Skin_Head_Aug2023_BalanceHeavy_Description,EquippableHead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceHeavy_head,f_BalanceHeavy_head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Chest_Aug2023_BalanceHeavy,@Skin_Chest_Aug2023_BalanceHeavy_MasterName,Armor,,@Skin_Chest_Aug2023_BalanceHeavy_Description,EquippableChest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceHeavy_chest,f_BalanceHeavy_chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Hands_Aug2023_BalanceHeavy,@Skin_Hands_Aug2023_BalanceHeavy_MasterName,Armor,,@Skin_Hands_Aug2023_BalanceHeavy_Description,EquippableHands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceHeavy_gloves,f_BalanceHeavy_gloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Legs_Aug2023_BalanceHeavy,@Skin_Legs_Aug2023_BalanceHeavy_MasterName,Armor,,@Skin_Legs_Aug2023_BalanceHeavy_Description,EquippableLegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceHeavy_legs,f_BalanceHeavy_legs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Feet_Aug2023_BalanceHeavy,@Skin_Feet_Aug2023_BalanceHeavy_MasterName,Armor,,@Skin_Feet_Aug2023_BalanceHeavy_Description,EquippableFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m_BalanceHeavy_feet,f_BalanceHeavy_feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Aug2023_Balance_ShieldK,@Skin_Aug2023_Balance_ShieldK_MasterName,Weapon,,@Skin_Aug2023_Balance_ShieldK_Description,EquippableOffHand+Shield+KiteShield,,,,,,,,,,Skin_Shield,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hKiteShieldBalanceT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Aug2023_Balance_Longsword,@Skin_Aug2023_Balance_Longsword_MasterName,Weapon,,@Skin_Aug2023_Balance_Longsword_Description,EquippableMainHand+Sword+Melee,,,,,,,,,,Skin_Longsword,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,1hSwordBalanceT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Aug2023_Balance_FireStaff,@Skin_Aug2023_Balance_FireStaff_MasterName,Weapon,,@Skin_Aug2023_Balance_FireStaff_Description,EquippableMainHand+FireStaff+Magic,,,,,,,,,,Skin_FireStaff,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hFireStaffBalanceT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin_Aug2023_Balance_Warhammer,@Skin_Aug2023_Balance_Warhammer_MasterName,Weapon,,@Skin_Aug2023_Balance_Warhammer_Description,EquippableTwoHand+2HHammer+Melee,,,,,,,,,,Skin_WarHammer,,,,,,,,,,,,,,,,,,,,,UI_Weapon,,,2hWarhammerBalanceT5,,,,,Items/Weapons/weapon,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
