ConversionID,ItemID,EntitlementId,AchievementId,Perk1,Perk2,Perk3,Perk4,Bought,Sold,ItemQty,DisplayOrder,CategoricalProgressionId,RankCheckCategoricalProgressionId,RequiredCategoricalProgressionRank,BuyCategoricalProgressionCost,BuyCurrencyCost,BuyProgression2Id,BuyProgression2Cost,BuyProgression3Id,BuyProgression3Cost,BuyCurrencyItemName,BuyCurrencyItemCost,BuyCooldownSeconds,SellCategoricalProgressionCost,SellCurrencyCost,SellAzothCost,InContracts
M_2hBlunderbuss_MarauderRank1_v2,2hBlunderbuss_MarauderRank1_v2,,,,,,,1,0,1,14,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_2hGreatSword_MarauderRank1_v2,2hGreatSword_MarauderRank1_v2,,,,,,,1,0,1,15,MarauderTokens,Marauder,0,625,3000,,,,,,,,0,0,,false
M_1hFlail_MarauderRank1_v2,1hFlail_MarauderRank1_v2,,,,,,,1,0,1,16,MarauderTokens,Marauder,0,400,2000,,,,,,,,0,0,,false
M_HeavyHead_MarauderRank1_v2,HeavyHead_MarauderRank1_v2,,,,,,,1,0,1,17,MarauderTokens,Marauder,0,250,500,,,,,,,,0,0,,false
M_HeavyChest_MarauderRank1_v2,HeavyChest_MarauderRank1_v2,,,,,,,1,0,1,18,MarauderTokens,Marauder,0,375,1500,,,,,,,,0,0,,false
M_HeavyHands_MarauderRank1_v2,HeavyHands_MarauderRank1_v2,,,,,,,1,0,1,19,MarauderTokens,Marauder,0,200,500,,,,,,,,0,0,,false
M_HeavyLegs_MarauderRank1_v2,HeavyLegs_MarauderRank1_v2,,,,,,,1,0,1,20,MarauderTokens,Marauder,0,300,1000,,,,,,,,0,0,,false
M_HeavyFeet_MarauderRank1_v2,HeavyFeet_MarauderRank1_v2,,,,,,,1,0,1,21,MarauderTokens,Marauder,0,125,500,,,,,,,,0,0,,false
M_LightHead_MarauderRank1_v2,LightHead_MarauderRank1_v2,,,,,,,1,0,1,22,MarauderTokens,Marauder,0,250,500,,,,,,,,0,0,,false
M_LightChest_MarauderRank1_v2,LightChest_MarauderRank1_v2,,,,,,,1,0,1,23,MarauderTokens,Marauder,0,375,1500,,,,,,,,0,0,,false
M_LightHands_MarauderRank1_v2,LightHands_MarauderRank1_v2,,,,,,,1,0,1,24,MarauderTokens,Marauder,0,200,500,,,,,,,,0,0,,false
M_LightLegs_MarauderRank1_v2,LightLegs_MarauderRank1_v2,,,,,,,1,0,1,25,MarauderTokens,Marauder,0,300,1000,,,,,,,,0,0,,false
M_LightFeet_MarauderRank1_v2,LightFeet_MarauderRank1_v2,,,,,,,1,0,1,26,MarauderTokens,Marauder,0,125,500,,,,,,,,0,0,,false
M_MediumHead_MarauderRank1_v2,MediumHead_MarauderRank1_v2,,,,,,,1,0,1,27,MarauderTokens,Marauder,0,250,500,,,,,,,,0,0,,false
M_MediumChest_MarauderRank1_v2,MediumChest_MarauderRank1_v2,,,,,,,1,0,1,28,MarauderTokens,Marauder,0,375,1500,,,,,,,,0,0,,false
M_MediumHands_MarauderRank1_v2,MediumHands_MarauderRank1_v2,,,,,,,1,0,1,29,MarauderTokens,Marauder,0,200,500,,,,,,,,0,0,,false
M_MediumLegs_MarauderRank1_v2,MediumLegs_MarauderRank1_v2,,,,,,,1,0,1,30,MarauderTokens,Marauder,0,300,1000,,,,,,,,0,0,,false
M_MediumFeet_MarauderRank1_v2,MediumFeet_MarauderRank1_v2,,,,,,,1,0,1,31,MarauderTokens,Marauder,0,125,500,,,,,,,,0,0,,false
M_ShotT2,ShotT2,,,,,,,1,0,1,32,MarauderTokens,Marauder,0,5,50,,,,,,,,0,0,,false
M_ArrowT2,ArrowT2,,,,,,,1,0,1,33,MarauderTokens,Marauder,0,5,50,,,,,,,,0,0,,false
M_HoldingRuneT2,HoldingRuneT2,,,,,,,1,0,1,34,MarauderTokens,Marauder,0,1000,25000,,,,,,,,0,0,,false
M_MarauderSeal_Soldier,MarauderSeal_Soldier,,,,,,,1,0,1,35,MarauderTokens,Marauder,0,10,0,,,,,,,,0,0,,false
M_MarauderSeal_Ranger,MarauderSeal_Ranger,,,,,,,1,0,1,36,MarauderTokens,Marauder,0,10,0,,,,,,,,0,0,,false
M_MarauderSeal_Scholar,MarauderSeal_Scholar,,,,,,,1,0,1,37,MarauderTokens,Marauder,0,10,0,,,,,,,,0,0,,false
M_MarauderSeal_Sage,MarauderSeal_Sage,,,,,,,1,0,1,38,MarauderTokens,Marauder,0,10,0,,,,,,,,0,0,,false
M_MarauderSeal_Sentry,MarauderSeal_Sentry,,,,,,,1,0,1,39,MarauderTokens,Marauder,0,25,0,,,,,,,,0,0,,false
M_Marauder_1hSkinningKnifeT3,Marauder_1hSkinningKnifeT3,,,,,,,1,0,1,40,MarauderTokens,Marauder,0,1250,2500,,,,,,,,0,0,,false
M_Marauder_1hSickleT3,Marauder_1hSickleT3,,,,,,,1,0,1,41,MarauderTokens,Marauder,0,1250,2500,,,,,,,,0,0,,false
M_Marauder_2hAxeT3,Marauder_2hAxeT3,,,,,,,1,0,1,42,MarauderTokens,Marauder,0,1250,2500,,,,,,,,0,0,,false
M_Marauder_2hPickT3,Marauder_2hPickT3,,,,,,,1,0,1,43,MarauderTokens,Marauder,0,1250,2500,,,,,,,,0,0,,false
M_Marauder_2hFishingPoleT3,Marauder_2hFishingPoleT3,,,,,,,1,0,1,44,MarauderTokens,Marauder,0,1250,2500,,,,,,,,0,0,,false
M_MinorMastery_LoggingXP,MinorMastery_LoggingXP,,,,,,,1,0,1,45,MarauderTokens,Marauder,0,1000,150,,,,,,,86400,0,0,,false
M_MinorMastery_HarvestingXP,MinorMastery_HarvestingXP,,,,,,,1,0,1,46,MarauderTokens,Marauder,0,1000,150,,,,,,,86400,0,0,,false
M_MinorMastery_MiningXP,MinorMastery_MiningXP,,,,,,,1,0,1,47,MarauderTokens,Marauder,0,1000,150,,,,,,,86400,0,0,,false
M_MinorMastery_SkinningXP,MinorMastery_SkinningXP,,,,,,,1,0,1,48,MarauderTokens,Marauder,0,1000,150,,,,,,,86400,0,0,,false
M_MinorMastery_FishingXP,MinorMastery_FishingXP,,,,,,,1,0,1,49,MarauderTokens,Marauder,0,1000,150,,,,,,,86400,0,0,,false
M_1hLongsword_MarauderRank2_v2,1hLongsword_MarauderRank2_v2,,,,,,,1,0,1,1,MarauderTokens,Marauder,1,1000,4000,,,,,,,,0,0,,false
M_2hWarhammer_MarauderRank2_v2,2hWarhammer_MarauderRank2_v2,,,,,,,1,0,1,2,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hMusket_MarauderRank2_v2,2hMusket_MarauderRank2_v2,,,,,,,1,0,1,3,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hBow_MarauderRank2_v2,2hBow_MarauderRank2_v2,,,,,,,1,0,1,4,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_1hThrowingAxe_MarauderRank2_v2,1hThrowingAxe_MarauderRank2_v2,,,,,,,1,0,1,5,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hFireStaff_MarauderRank2_v2,2hFireStaff_MarauderRank2_v2,,,,,,,1,0,1,6,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hLifeStaff_MarauderRank2_v2,2hLifeStaff_MarauderRank2_v2,,,,,,,1,0,1,7,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_1hRShield_MarauderRank2_v2,1hRShield_MarauderRank2_v2,,,,,,,1,0,1,8,MarauderTokens,Marauder,1,250,2000,,,,,,,,0,0,,false
M_1hKShield_MarauderRank2_v2,1hKShield_MarauderRank2_v2,,,,,,,1,0,1,9,MarauderTokens,Marauder,1,250,2000,,,,,,,,0,0,,false
M_2hSpear_MarauderRank2_v2,2hSpear_MarauderRank2_v2,,,,,,,1,0,1,10,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hGreataxe_MarauderRank2_v2,2hGreataxe_MarauderRank2_v2,,,,,,,1,0,1,11,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_1hRapier_MarauderRank2_v2,1hRapier_MarauderRank2_v2,,,,,,,1,0,1,12,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_1hGauntletIce_MarauderRank2_v2,1hGauntletIce_MarauderRank2_v2,,,,,,,1,0,1,13,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_1hGauntletVoid_MarauderRank2_v2,1hGauntletVoid_MarauderRank2_v2,,,,,,,1,0,1,14,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hBlunderbuss_MarauderRank2_v2,2hBlunderbuss_MarauderRank2_v2,,,,,,,1,0,1,15,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_2hGreatSword_MarauderRank2_v2,2hGreatSword_MarauderRank2_v2,,,,,,,1,0,1,16,MarauderTokens,Marauder,1,1250,6000,,,,,,,,0,0,,false
M_1hFlail_MarauderRank2_v2,1hFlail_MarauderRank2_v2,,,,,,,1,0,1,17,MarauderTokens,Marauder,1,1000,4000,,,,,,,,0,0,,false
M_HeavyHead_MarauderRank2_v2,HeavyHead_MarauderRank2_v2,,,,,,,1,0,1,18,MarauderTokens,Marauder,1,750,1000,,,,,,,,0,0,,false
M_HeavyChest_MarauderRank2_v2,HeavyChest_MarauderRank2_v2,,,,,,,1,0,1,19,MarauderTokens,Marauder,1,1125,3000,,,,,,,,0,0,,false
M_HeavyHands_MarauderRank2_v2,HeavyHands_MarauderRank2_v2,,,,,,,1,0,1,20,MarauderTokens,Marauder,1,550,1000,,,,,,,,0,0,,false
M_HeavyLegs_MarauderRank2_v2,HeavyLegs_MarauderRank2_v2,,,,,,,1,0,1,21,MarauderTokens,Marauder,1,900,2000,,,,,,,,0,0,,false
M_HeavyFeet_MarauderRank2_v2,HeavyFeet_MarauderRank2_v2,,,,,,,1,0,1,22,MarauderTokens,Marauder,1,375,1000,,,,,,,,0,0,,false
M_LightHead_MarauderRank2_v2,LightHead_MarauderRank2_v2,,,,,,,1,0,1,23,MarauderTokens,Marauder,1,750,1000,,,,,,,,0,0,,false
M_LightChest_MarauderRank2_v2,LightChest_MarauderRank2_v2,,,,,,,1,0,1,24,MarauderTokens,Marauder,1,1125,3000,,,,,,,,0,0,,false
M_LightHands_MarauderRank2_v2,LightHands_MarauderRank2_v2,,,,,,,1,0,1,25,MarauderTokens,Marauder,1,550,1000,,,,,,,,0,0,,false
M_LightLegs_MarauderRank2_v2,LightLegs_MarauderRank2_v2,,,,,,,1,0,1,26,MarauderTokens,Marauder,1,900,2000,,,,,,,,0,0,,false
M_LightFeet_MarauderRank2_v2,LightFeet_MarauderRank2_v2,,,,,,,1,0,1,27,MarauderTokens,Marauder,1,375,1000,,,,,,,,0,0,,false
M_MediumHead_MarauderRank2_v2,MediumHead_MarauderRank2_v2,,,,,,,1,0,1,28,MarauderTokens,Marauder,1,750,1000,,,,,,,,0,0,,false
M_MediumChest_MarauderRank2_v2,MediumChest_MarauderRank2_v2,,,,,,,1,0,1,29,MarauderTokens,Marauder,1,1125,3000,,,,,,,,0,0,,false
M_MediumHands_MarauderRank2_v2,MediumHands_MarauderRank2_v2,,,,,,,1,0,1,30,MarauderTokens,Marauder,1,550,1000,,,,,,,,0,0,,false
M_MediumLegs_MarauderRank2_v2,MediumLegs_MarauderRank2_v2,,,,,,,1,0,1,31,MarauderTokens,Marauder,1,900,2000,,,,,,,,0,0,,false
M_MediumFeet_MarauderRank2_v2,MediumFeet_MarauderRank2_v2,,,,,,,1,0,1,32,MarauderTokens,Marauder,1,375,1000,,,,,,,,0,0,,false
M_HoldingRuneT3,HoldingRuneT3,,,,,,,1,0,1,33,MarauderTokens,Marauder,1,3000,50000,,,,,,,,0,0,,false
M_ReagentConverterT5,ReagentConverterT5,,,,,,,1,0,1,34,MarauderTokens,Marauder,1,100,0,,,,,,,,0,0,,false
M_MajorMastery_LoggingXP,MajorMastery_LoggingXP,,,,,,,1,0,1,35,MarauderTokens,Marauder,1,2000,5000,,,,,,,86400,0,0,,false
M_MajorMastery_HarvestingXP,MajorMastery_HarvestingXP,,,,,,,1,0,1,36,MarauderTokens,Marauder,1,2000,5000,,,,,,,86400,0,0,,false
M_MajorMastery_MiningXP,MajorMastery_MiningXP,,,,,,,1,0,1,37,MarauderTokens,Marauder,1,2000,5000,,,,,,,86400,0,0,,false
M_MajorMastery_SkinningXP,MajorMastery_SkinningXP,,,,,,,1,0,1,38,MarauderTokens,Marauder,1,2000,5000,,,,,,,86400,0,0,,false
M_MajorMastery_FishingXP,MajorMastery_FishingXP,,,,,,,1,0,1,39,MarauderTokens,Marauder,1,2000,5000,,,,,,,86400,0,0,,false
M_1hLongsword_MarauderRank3_v2,1hLongsword_MarauderRank3_v2,,,,,,,1,0,1,1,MarauderTokens,Marauder,2,2500,8000,,,,,,,,0,0,,false
M_2hWarhammer_MarauderRank3_v2,2hWarhammer_MarauderRank3_v2,,,,,,,1,0,1,2,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hMusket_MarauderRank3_v2,2hMusket_MarauderRank3_v2,,,,,,,1,0,1,3,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hBow_MarauderRank3_v2,2hBow_MarauderRank3_v2,,,,,,,1,0,1,4,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_1hThrowingAxe_MarauderRank3_v2,1hThrowingAxe_MarauderRank3_v2,,,,,,,1,0,1,5,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hFireStaff_MarauderRank3_v2,2hFireStaff_MarauderRank3_v2,,,,,,,1,0,1,6,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hLifeStaff_MarauderRank3_v2,2hLifeStaff_MarauderRank3_v2,,,,,,,1,0,1,7,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_1hRShield_MarauderRank3_v2,1hRShield_MarauderRank3_v2,,,,,,,1,0,1,8,MarauderTokens,Marauder,2,1250,4000,,,,,,,,0,0,,false
M_1hKShield_MarauderRank3_v2,1hKShield_MarauderRank3_v2,,,,,,,1,0,1,9,MarauderTokens,Marauder,2,1250,4000,,,,,,,,0,0,,false
M_1hTShield_MarauderRank3_v2,1hTShield_MarauderRank3_v2,,,,,,,1,0,1,10,MarauderTokens,Marauder,2,1250,4000,,,,,,,,0,0,,false
M_2hSpear_MarauderRank3_v2,2hSpear_MarauderRank3_v2,,,,,,,1,0,1,11,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hGreataxe_MarauderRank3_v2,2hGreataxe_MarauderRank3_v2,,,,,,,1,0,1,12,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_1hRapier_MarauderRank3_v2,1hRapier_MarauderRank3_v2,,,,,,,1,0,1,13,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_1hGauntletIce_MarauderRank3_v2,1hGauntletIce_MarauderRank3_v2,,,,,,,1,0,1,14,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_1hGauntletVoid_MarauderRank3_v2,1hGauntletVoid_MarauderRank3_v2,,,,,,,1,0,1,15,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hBlunderbuss_MarauderRank3_v2,2hBlunderbuss_MarauderRank3_v2,,,,,,,1,0,1,16,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_2hGreatSword_MarauderRank3_v2,2hGreatSword_MarauderRank3_v2,,,,,,,1,0,1,17,MarauderTokens,Marauder,2,3750,12000,,,,,,,,0,0,,false
M_1hFlail_MarauderRank3_v2,1hFlail_MarauderRank3_v2,,,,,,,1,0,1,18,MarauderTokens,Marauder,2,2500,8000,,,,,,,,0,0,,false
M_HeavyHead_MarauderRank3_v2,HeavyHead_MarauderRank3_v2,,,,,,,1,0,1,19,MarauderTokens,Marauder,2,4000,2000,,,,,,,,0,0,,false
M_HeavyChest_MarauderRank3_v2,HeavyChest_MarauderRank3_v2,,,,,,,1,0,1,20,MarauderTokens,Marauder,2,6000,6000,,,,,,,,0,0,,false
M_HeavyHands_MarauderRank3_v2,HeavyHands_MarauderRank3_v2,,,,,,,1,0,1,21,MarauderTokens,Marauder,2,3000,2000,,,,,,,,0,0,,false
M_HeavyLegs_MarauderRank3_v2,HeavyLegs_MarauderRank3_v2,,,,,,,1,0,1,22,MarauderTokens,Marauder,2,5000,4000,,,,,,,,0,0,,false
M_HeavyFeet_MarauderRank3_v2,HeavyFeet_MarauderRank3_v2,,,,,,,1,0,1,23,MarauderTokens,Marauder,2,2000,2000,,,,,,,,0,0,,false
M_LightHead_MarauderRank3_v2,LightHead_MarauderRank3_v2,,,,,,,1,0,1,24,MarauderTokens,Marauder,2,4000,2000,,,,,,,,0,0,,false
M_LightChest_MarauderRank3_v2,LightChest_MarauderRank3_v2,,,,,,,1,0,1,25,MarauderTokens,Marauder,2,6000,6000,,,,,,,,0,0,,false
M_LightHands_MarauderRank3_v2,LightHands_MarauderRank3_v2,,,,,,,1,0,1,26,MarauderTokens,Marauder,2,3000,2000,,,,,,,,0,0,,false
M_LightLegs_MarauderRank3_v2,LightLegs_MarauderRank3_v2,,,,,,,1,0,1,27,MarauderTokens,Marauder,2,5000,4000,,,,,,,,0,0,,false
M_LightFeet_MarauderRank3_v2,LightFeet_MarauderRank3_v2,,,,,,,1,0,1,28,MarauderTokens,Marauder,2,2000,2000,,,,,,,,0,0,,false
M_MediumHead_MarauderRank3_v2,MediumHead_MarauderRank3_v2,,,,,,,1,0,1,29,MarauderTokens,Marauder,2,4000,2000,,,,,,,,0,0,,false
M_MediumChest_MarauderRank3_v2,MediumChest_MarauderRank3_v2,,,,,,,1,0,1,30,MarauderTokens,Marauder,2,6000,6000,,,,,,,,0,0,,false
M_MediumHands_MarauderRank3_v2,MediumHands_MarauderRank3_v2,,,,,,,1,0,1,31,MarauderTokens,Marauder,2,3000,2000,,,,,,,,0,0,,false
M_MediumLegs_MarauderRank3_v2,MediumLegs_MarauderRank3_v2,,,,,,,1,0,1,32,MarauderTokens,Marauder,2,5000,4000,,,,,,,,0,0,,false
M_MediumFeet_MarauderRank3_v2,MediumFeet_MarauderRank3_v2,,,,,,,1,0,1,33,MarauderTokens,Marauder,2,2000,2000,,,,,,,,0,0,,false
M_HoldingRuneT4,HoldingRuneT4,,,,,,,1,0,1,34,MarauderTokens,Marauder,2,5000,100000,,,,,,,,0,0,,false
M_FactionChisel3,FactionChisel3,,,,,,,1,0,1,35,MarauderTokens,Marauder,2,2000,15000,,,,,,,,0,0,,false
M_DyeB146,DyeB146,,,,,,,1,0,1,36,MarauderTokens,Marauder,2,300,1000,,,,,,,,0,0,,false
M_GemSocketPinsT1,GemSocketPinsT1,,,,,,,1,0,1,37,MarauderTokens,Marauder,2,300,10000,,,,,,,,0,0,,false
M_GreaterMastery_LoggingXP,GreaterMastery_LoggingXP,,,,,,,1,0,1,38,MarauderTokens,Marauder,2,4000,10000,,,,,,,86400,0,0,,false
M_GreaterMastery_HarvestingXP,GreaterMastery_HarvestingXP,,,,,,,1,0,1,39,MarauderTokens,Marauder,2,4000,10000,,,,,,,86400,0,0,,false
M_GreaterMastery_MiningXP,GreaterMastery_MiningXP,,,,,,,1,0,1,40,MarauderTokens,Marauder,2,4000,10000,,,,,,,86400,0,0,,false
M_GreaterMastery_SkinningXP,GreaterMastery_SkinningXP,,,,,,,1,0,1,41,MarauderTokens,Marauder,2,4000,10000,,,,,,,86400,0,0,,false
M_GreaterMastery_FishingXP,GreaterMastery_FishingXP,,,,,,,1,0,1,42,MarauderTokens,Marauder,2,4000,10000,,,,,,,86400,0,0,,false
M_1hLongsword_MarauderRank4_v2,1hLongsword_MarauderRank4_v2,,,,,,,1,0,1,1,MarauderTokens,Marauder,3,7500,16000,,,,,,,,0,0,,false
M_2hWarhammer_MarauderRank4_v2,2hWarhammer_MarauderRank4_v2,,,,,,,1,0,1,2,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hGreatSword_MarauderRank4_v2,2hGreatSword_MarauderRank4_v2,,,,,,,1,0,1,3,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hBlunderbuss_MarauderRank4_v2,2hBlunderbuss_MarauderRank4_v2,,,,,,,1,0,1,4,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hMusket_MarauderRank4_v2,2hMusket_MarauderRank4_v2,,,,,,,1,0,1,5,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hBow_MarauderRank4_v2,2hBow_MarauderRank4_v2,,,,,,,1,0,1,6,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_1hThrowingAxe_MarauderRank4_v2,1hThrowingAxe_MarauderRank4_v2,,,,,,,1,0,1,7,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hFireStaff_MarauderRank4_v2,2hFireStaff_MarauderRank4_v2,,,,,,,1,0,1,8,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hLifeStaff_MarauderRank4_v2,2hLifeStaff_MarauderRank4_v2,,,,,,,1,0,1,9,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_1hRShield_MarauderRank4_v2,1hRShield_MarauderRank4_v2,,,,,,,1,0,1,10,MarauderTokens,Marauder,3,2500,8000,,,,,,,,0,0,,false
M_1hKShield_MarauderRank4_v2,1hKShield_MarauderRank4_v2,,,,,,,1,0,1,11,MarauderTokens,Marauder,3,2500,8000,,,,,,,,0,0,,false
M_1hTShield_MarauderRank4_v2,1hTShield_MarauderRank4_v2,,,,,,,1,0,1,12,MarauderTokens,Marauder,3,2500,8000,,,,,,,,0,0,,false
M_2hSpear_MarauderRank4_v2,2hSpear_MarauderRank4_v2,,,,,,,1,0,1,13,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_2hGreataxe_MarauderRank4_v2,2hGreataxe_MarauderRank4_v2,,,,,,,1,0,1,14,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_1hRapier_MarauderRank4_v2,1hRapier_MarauderRank4_v2,,,,,,,1,0,1,15,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_1hGauntletIce_MarauderRank4_v2,1hGauntletIce_MarauderRank4_v2,,,,,,,1,0,1,16,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_1hGauntletVoid_MarauderRank4_v2,1hGauntletVoid_MarauderRank4_v2,,,,,,,1,0,1,17,MarauderTokens,Marauder,3,10000,24000,,,,,,,,0,0,,false
M_1hFlail_MarauderRank4_v2,1hFlail_MarauderRank4_v2,,,,,,,1,0,1,18,MarauderTokens,Marauder,3,7500,16000,,,,,,,,0,0,,false
M_HeavyHead_MarauderRank4_v2,HeavyHead_MarauderRank4_v2,,,,,,,1,0,1,19,MarauderTokens,Marauder,3,8000,4000,,,,,,,,0,0,,false
M_HeavyChest_MarauderRank4_v2,HeavyChest_MarauderRank4_v2,,,,,,,1,0,1,20,MarauderTokens,Marauder,3,12000,12000,,,,,,,,0,0,,false
M_HeavyHands_MarauderRank4_v2,HeavyHands_MarauderRank4_v2,,,,,,,1,0,1,21,MarauderTokens,Marauder,3,6000,4000,,,,,,,,0,0,,false
M_HeavyLegs_MarauderRank4_v2,HeavyLegs_MarauderRank4_v2,,,,,,,1,0,1,22,MarauderTokens,Marauder,3,10000,8000,,,,,,,,0,0,,false
M_HeavyFeet_MarauderRank4_v2,HeavyFeet_MarauderRank4_v2,,,,,,,1,0,1,23,MarauderTokens,Marauder,3,4000,4000,,,,,,,,0,0,,false
M_LightHead_MarauderRank4_v2,LightHead_MarauderRank4_v2,,,,,,,1,0,1,24,MarauderTokens,Marauder,3,8000,4000,,,,,,,,0,0,,false
M_LightChest_MarauderRank4_v2,LightChest_MarauderRank4_v2,,,,,,,1,0,1,25,MarauderTokens,Marauder,3,12000,12000,,,,,,,,0,0,,false
M_LightHands_MarauderRank4_v2,LightHands_MarauderRank4_v2,,,,,,,1,0,1,26,MarauderTokens,Marauder,3,6000,4000,,,,,,,,0,0,,false
M_LightLegs_MarauderRank4_v2,LightLegs_MarauderRank4_v2,,,,,,,1,0,1,27,MarauderTokens,Marauder,3,10000,8000,,,,,,,,0,0,,false
M_LightFeet_MarauderRank4_v2,LightFeet_MarauderRank4_v2,,,,,,,1,0,1,28,MarauderTokens,Marauder,3,4000,4000,,,,,,,,0,0,,false
M_MediumHead_MarauderRank4_v2,MediumHead_MarauderRank4_v2,,,,,,,1,0,1,29,MarauderTokens,Marauder,3,8000,4000,,,,,,,,0,0,,false
