Id,GravityMod,UphillAngleThreshold,UphillSpeedAccelScaler,DownhillAngleThreshold,DownhillSpeedAccelScaler,DashSpeedScaler,DashAccelScaler,StaminaMax,StaminaRegenRate,StaminaDrainRate,StaminaLightHitThreshold,StaminaLightHitCost,StaminaHeavyHitThreshold,StaminaHeavyHitCost,StaminaHitRegenDelay,OnRoadMaxSpeed,OffRoadMaxSpeed,InVeryShallowWaterMaxSpeed,InShallowWaterMaxSpeed,InDeepWaterMaxSpeed,OnRoadMinSpeed,OffRoadMinSpeed,OnRoadWalkSpeed,OnRoadSlowWalkSpeed,OffRoadWalkSpeed,OffRoadSlowWalkSpeed,OnRoadAccel,OffRoadAccel,OnRoadDecel,OffRoadDecel,OnRoadTurnRateMinSpeed,OnRoadTurnRateMinSpeedGamepad,OffRoadTurnRateMinSpeed,OffRoadTurnRateMinSpeedGamepad,OnRoadTurnRateMidSpeed,OnRoadTurnRateMidSpeedGamepad,OffRoadTurnRateMidSpeed,OffRoadTurnRateMidSpeedGamepad,OnRoadTurnRateMaxSpeed,OnRoadTurnRateMaxSpeedGamepad,OffRoadTurnRateMaxSpeed,OffRoadTurnRateMaxSpeedGamepad,OnRoadTurnRateAtMinSpeed,OnRoadTurnRateAtMinSpeedGamepad,OffRoadTurnRateAtMinSpeed,OffRoadTurnRateAtMinSpeedGamepad,OnRoadTurnRateAtMidSpeed,OnRoadTurnRateAtMidSpeedGamepad,OffRoadTurnRateAtMidSpeed,OffRoadTurnRateAtMidSpeedGamepad,OnRoadTurnRateAtMaxSpeed,OnRoadTurnRateAtMaxSpeedGamepad,OffRoadTurnRateAtMaxSpeed,OffRoadTurnRateAtMaxSpeedGamepad,OnRoadWalkAccel,OffRoadWalkAccel,OnRoadWalkDecel,OffRoadWalkDecel,OnRoadWalkTurnRate,OffRoadWalkTurnRate,InVeryShallowWaterMinSpeed,InVeryShallowWaterAccel,InVeryShallowWaterDecel,InVeryShallowWaterTurnRateMinSpeed,InVeryShallowWaterTurnRateMinSpeedGamepad,InVeryShallowWaterTurnRateMidSpeed,InVeryShallowWaterTurnRateMidSpeedGamepad,InVeryShallowWaterTurnRateMaxSpeed,InVeryShallowWaterTurnRateMaxSpeedGamepad,InVeryShallowWaterTurnRateAtMinSpeed,InVeryShallowWaterTurnRateAtMinSpeedGamepad,InVeryShallowWaterTurnRateAtMidSpeed,InVeryShallowWaterTurnRateAtMidSpeedGamepad,InVeryShallowWaterTurnRateAtMaxSpeed,InVeryShallowWaterTurnRateAtMaxSpeedGamepad,InVeryShallowWaterWalkSpeed,InVeryShallowWaterSlowWalkSpeed,InVeryShallowWaterWalkAccel,InVeryShallowWaterWalkDecel,InVeryShallowWaterWalkTurnRate,InShallowWaterMinSpeed,InShallowWaterAccel,InShallowWaterDecel,InShallowWaterTurnRateMinSpeed,InShallowWaterTurnRateMinSpeedGamepad,InShallowWaterTurnRateMidSpeed,InShallowWaterTurnRateMidSpeedGamepad,InShallowWaterTurnRateMaxSpeed,InShallowWaterTurnRateMaxSpeedGamepad,InShallowWaterTurnRateAtMinSpeed,InShallowWaterTurnRateAtMinSpeedGamepad,InShallowWaterTurnRateAtMidSpeed,InShallowWaterTurnRateAtMidSpeedGamepad,InShallowWaterTurnRateAtMaxSpeed,InShallowWaterTurnRateAtMaxSpeedGamepad,InShallowWaterWalkSpeed,InShallowWaterSlowWalkSpeed,InShallowWaterWalkAccel,InShallowWaterWalkDecel,InShallowWaterWalkTurnRate,InDeepWaterMinSpeed,InDeepWaterAccel,InDeepWaterDecel,InDeepWaterTurnRateMinSpeed,InDeepWaterTurnRateMinSpeedGamepad,InDeepWaterTurnRateMidSpeed,InDeepWaterTurnRateMidSpeedGamepad,InDeepWaterTurnRateMaxSpeed,InDeepWaterTurnRateMaxSpeedGamepad,InDeepWaterTurnRateAtMinSpeed,InDeepWaterTurnRateAtMinSpeedGamepad,InDeepWaterTurnRateAtMidSpeed,InDeepWaterTurnRateAtMidSpeedGamepad,InDeepWaterTurnRateAtMaxSpeed,InDeepWaterTurnRateAtMaxSpeedGamepad,InDeepWaterWalkSpeed,InDeepWaterSlowWalkSpeed,InDeepWaterWalkAccel,InDeepWaterWalkDecel,InDeepWaterWalkTurnRate
ConfigMountRiding_3,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.03,6.774,6.4353,5.418,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_4,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.045,6.786,6.4467,5.427,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_5,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.06,6.798,6.4581,5.436,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_6,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.075,6.81,6.4695,5.445,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_7,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.09,6.822,6.4809,5.454,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_8,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.105,6.834,6.4923,5.463,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_9,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.12,6.846,6.5037,5.472,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_10,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.135,6.858,6.5151,5.481,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_11,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.15,6.87,6.5265,5.49,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_12,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.165,6.882,6.5379,5.499,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_13,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.18,6.894,6.5493,5.508,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_14,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.195,6.906,6.5607,5.517,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_15,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.21,6.918,6.5721,5.526,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_16,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.225,6.93,6.5835,5.535,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
ConfigMountRiding_17,5,10,0.95,10,1.05,1.12,1.15,100,10,20,0.01,25,0.15,50,1,9.24,6.942,6.5949,5.544,4.8,1.5,1.5,6.3,2,5.5,2,15,13.5,9,9,0,0,0,0,5,5,5,5,15,15,15,15,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,15,13.5,12,12,0.1,0.1,1.5,13.5,9.9,0,0,5,5,15,15,0.11,0.11,0.1,0.1,0.09,0.09,5.5,1.6,13.5,13.2,0.1,1.5,12.75,18,0,0,5,5,15,15,0.11,0.11,0.099,0.09,0.081,0.09,5,1.6,12.75,18,0.09,1.5,12,24,0,0,5,5,15,15,0.11,0.11,0.088,0.08,0.072,0.08,2.5,1.6,12,24,0.08
