BlueprintID,Name,DisplayClass,AttachmentCategories,UseReducedBuildModeUI,IsDeployable,IsSiegeWeapon,TradeskillLevel,WarPoints,HP,FuelCost,FuelResource,ResourceCost,DeteriorationTick,DeteriorationPercent,AlwaysDeteriorate,StructureHeightTag,StructureSize,CreationGameEventID,ContributionGameEventID,CompletionNotificationId,BuildingTime,StructureCost_Ingredient1,StructureCost_Ingredient2,StructureCost_Ingredient3,StructureCost_Ingredient4,StructureCost_Qty1,StructureCost_Qty2,StructureCost_Qty3,StructureCost_Qty4,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFMagic,DEFFire,DEFLightning,DEFCorruption,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSMagic,ABSFire,ABSLightning,ABSCorruption,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAMagic,BLAFire,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNMagic,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGMagic,DMGFire,DMGLightning,DMGCorruption,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,DisableMantle,DisableStepUp,DisableVaulting,PrivilegeID,PlacementGroundCastFilter
ClaimT1_25m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1000,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_25m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_25m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_25m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_25m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_30m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1000,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_30m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_30m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_30m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_30m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_40m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1000,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_40m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_40m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_40m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_40m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1000,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_50m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1000,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_50m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_50m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_50m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_50m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_60m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,1500,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_60m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_60m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_60m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_60m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,1500,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_80m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,2250,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_80m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_80m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_80m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_80m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_100m,@ClaimT1_MasterName,,,0,0,0,0,10,125000,81250,AzureT1,2250,86400,0.21,false,Low,Small,,,Complete_Territory_Marker,10,ClaimCharterT1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_100m_T2,@ClaimT2_MasterName,,,0,0,0,0,10,275000,178750,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT2,BlockT2,,,200,200,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_100m_T3,@ClaimT3_MasterName,,,0,0,0,0,10,625000,406250,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT3,BlockT3,,,300,300,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_100m_T4,@ClaimT4_MasterName,,,0,0,0,0,10,1200000,780000,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT4,BlockT4,,,400,400,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT1_100m_T5,@ClaimT5_MasterName,,,0,0,0,0,10,1800000,1170000,AzureT1,2250,86400,0.21,false,Low,Small,,,,10,TimberT5,BlockT5,,,500,500,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT2,@ClaimT2_MasterName,,,0,0,0,0,10,3000,2250,,0,86400,0.21,false,Mid,Medium,,,,10,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClaimT3,@ClaimT3_MasterName,,,0,0,0,0,10,3000,2250,,0,86400,0.21,false,High,Large,,,,10,TimberT3,BlockT3,,,125,188,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DwellingT1,@DwellingT1_MasterName,,,0,1,0,0,10,100000,75000,,0,86400,0.21,false,Low,Small,BuildingFinish1,BuidingContribute1,,10,BranchT1,,,,10,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DwellingT2,@DwellingT2_MasterName,,,0,0,0,1,10,160000,120000,,0,86400,0.21,false,Mid,Large,BuildingFinish2,BuidingContribute2,,12,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DwellingT3,@DwellingT3_MasterName,,,0,0,0,2,10,320000,240000,,0,86400,0.21,false,Low,Large,BuildingFinish3,BuidingContribute3,,15,TimberT3,BlockT3,,,125,188,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DwellingT4,@DwellingT4_MasterName,,,0,0,0,3,10,540000,405000,,0,86400,0.21,false,Low,Large,BuildingFinish4,BuidingContribute4,,19,TimberT4,BlockT4,,,367,550,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DwellingT5,@DwellingT5_MasterName,,,0,0,0,4,10,700000,525000,,0,86400,0.21,false,Low,Large,BuildingFinish5,BuidingContribute5,,25,TimberT5,BlockT5,,,500,750,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlchemyT1,@AlchemyT1_MasterName,,,0,1,0,0,10,50000,37500,,0,86400,0.21,false,High,Small,BuildingFinish1,BuidingContribute1,,10,WoodT1,StoneT1,,,5,10,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlchemyT2,@AlchemyT2_MasterName,,,0,0,0,1,10,80000,60000,,0,86400,0.21,false,Low,Medium,BuildingFinish2,BuidingContribute2,,12,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlchemyT3,@AlchemyT3_MasterName,,,0,0,0,2,10,160000,120000,,0,86400,0.21,false,Low,Large,BuildingFinish3,BuidingContribute3,,15,TimberT3,BlockT3,,,125,188,3,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlchemyT4,@AlchemyT4_MasterName,,,0,0,0,3,10,270000,202500,,0,86400,0.21,false,Low,Large,BuildingFinish4,BuidingContribute4,,19,TimberT4,BlockT4,,,367,550,8,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlchemyT5,@AlchemyT5_MasterName,,,0,0,0,4,10,350000,262500,,0,86400,0.21,false,Low,Large,BuildingFinish5,BuidingContribute5,,25,TimberT5,BlockT5,,,500,750,14,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlacksmithT2,@BlacksmithT2_MasterName,,,0,0,0,1,10,80000,60000,,0,86400,0.21,false,Low,Medium,BuildingFinish2,BuidingContribute2,,12,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlacksmithT3,@BlacksmithT3_MasterName,,,0,0,0,2,10,160000,120000,,0,86400,0.21,false,Low,Medium,BuildingFinish3,BuidingContribute3,,15,TimberT3,BlockT3,,,125,188,1,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlacksmithT4,@BlacksmithT4_MasterName,,,0,0,0,3,10,270000,202500,,0,86400,0.21,false,Low,Large,BuildingFinish4,BuidingContribute4,,19,TimberT4,BlockT4,,,367,550,2,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlacksmithT5,@BlacksmithT5_MasterName,,,0,0,0,4,10,350000,262500,,0,86400,0.21,false,Low,Large,BuildingFinish5,BuidingContribute5,,25,TimberT5,BlockT5,,,500,750,3,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarpentryT1,@CarpentryT1_MasterName,,,0,0,0,0,10,5000,3750,,0,86400,0.21,false,Low,Small,BuildingFinish1,BuidingContribute1,,10,FlintT1,WoodT1,,,6,3,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarpentryT2,@CarpentryT2_MasterName,,,0,0,0,1,10,160000,120000,,0,86400,0.21,false,Low,Medium,BuildingFinish2,BuidingContribute2,,12,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarpentryT3,@CarpentryT3_MasterName,,,0,0,0,2,10,270000,202500,,0,86400,0.21,false,Low,Medium,BuildingFinish3,BuidingContribute3,,15,TimberT3,BlockT3,,,125,188,5,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarpentryT4,@CarpentryT4_MasterName,,,0,0,0,3,10,350000,262500,,0,86400,0.21,false,Low,Large,BuildingFinish4,BuidingContribute4,,19,TimberT4,BlockT4,,,367,550,10,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookingKitT1,@CookingKitT1_MasterName,,,0,1,0,0,10,800,600,,0,86400,0.21,false,Low,Small,,,,10,BranchT1,FlintT1,,,20,5,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookingT1,@CookingT1_MasterName,,,0,1,0,0,10,5000,3750,,0,86400,0.21,false,Low,Medium,,,,10,BranchT1,FlintT1,,,20,5,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookingT2,@CookingT2_MasterName,,,0,0,0,1,10,80000,60000,,0,86400,0.21,false,Low,Medium,BuildingFinish2,BuidingContribute2,,12,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookingT3,@CookingT3_MasterName,,,0,0,0,2,10,160000,120000,,0,86400,0.21,false,Low,Medium,BuildingFinish3,BuidingContribute3,,15,TimberT3,BlockT3,,,125,188,3,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookingT4,@CookingT4_MasterName,,,0,0,0,3,10,270000,202500,,0,86400,0.21,false,Low,Large,BuildingFinish4,BuidingContribute4,,19,TimberT4,BlockT4,,,367,550,8,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookingT5,@CookingT5_MasterName,,,0,0,0,4,10,350000,262500,,0,86400,0.21,false,Low,Large,BuildingFinish5,BuidingContribute5,,25,TimberT5,BlockT5,,,500,750,14,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EngineeringT1,@EngineeringT1_MasterName,,,0,1,0,0,10,800,600,,0,86400,0.21,false,Low,Small,BuildingFinish1,BuidingContribute1,,10,WoodT1,FlintT1,,,5,3,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EngineeringT2,@EngineeringT2_MasterName,,,0,0,0,1,10,80000,60000,,0,86400,0.21,false,Low,Medium,BuildingFinish2,BuidingContribute2,,12,TimberT2,BlockT2,,,54,80,,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EngineeringT3,@EngineeringT3_MasterName,,,0,0,0,2,10,160000,120000,,0,86400,0.21,false,Low,Medium,BuildingFinish3,BuidingContribute3,,15,TimberT3,BlockT3,,,125,188,2,,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
