JourneyTaskId,Chapter,Task,RewardID,SortOrder
JourneyS9C3T6,Season9Chapter3,S9_Ch3_Task6,S9_Journey_Ch03_T06,6
JourneyS9C3T7,Season9Chapter3,S9_Ch3_Task7,S9_Journey_Ch03_T07,7
JourneyS9C3T8,Season9Chapter3,S9_Ch3_Task8,S9_Journey_Ch03_T08,8
JourneyS9C3T9,Season9Chapter3,S9_Ch3_Task9,S9_Journey_Ch03_T09,9
JourneyS9C3T10,Season9Chapter3,S9_Ch3_Task10,S9_Journey_Ch03_T10,10
JourneyS9C3T11,Season9Chapter3,S9_Ch3_Task11,S9_Journey_Ch03_T11,11
JourneyS9C3T12,Season9Chapter3,S9_Ch3_Task12,S9_Journey_Ch03_T12,12
JourneyS9C4T1,Season9Chapter4,S9_Ch4_Task1,S9_Journey_Ch04_T01,1
JourneyS9C4T2,Season9Chapter4,S9_Ch4_Task2,S9_Journey_Ch04_T02,2
JourneyS9C4T3,Season9Chapter4,S9_Ch4_Task3,S9_Journey_Ch04_T03,3
JourneyS9C4T4,Season9Chapter4,S9_Ch4_Task4,S9_Journey_Ch04_T04,4
JourneyS9C4T5,Season9Chapter4,S9_Ch4_Task5,S9_Journey_Ch04_T05,5
JourneyS9C4T6,Season9Chapter4,S9_Ch4_Task6,S9_Journey_Ch04_T06,6
JourneyS9C4T7,Season9Chapter4,S9_Ch4_Task7,S9_Journey_Ch04_T07,7
JourneyS9C4T8,Season9Chapter4,S9_Ch4_Task8,S9_Journey_Ch04_T08,8
JourneyS9C4T9,Season9Chapter4,S9_Ch4_Task9,S9_Journey_Ch04_T09,9
JourneyS9C4T10,Season9Chapter4,S9_Ch4_Task10,S9_Journey_Ch04_T10,10
JourneyS9C4T11,Season9Chapter4,S9_Ch4_Task11,S9_Journey_Ch04_T11,11
JourneyS9C4T12,Season9Chapter4,S9_Ch4_Task12,S9_Journey_Ch04_T12,12
JourneyS9C4T13,Season9Chapter4,S9_Ch4_Task13,S9_Journey_Ch04_T13,13
JourneyS9C5T1,Season9Chapter5,S9_Ch5_Task1,S9_Journey_Ch05_T01,1
JourneyS9C5T2,Season9Chapter5,S9_Ch5_Task2,S9_Journey_Ch05_T02,2
JourneyS9C5T3,Season9Chapter5,S9_Ch5_Task3,S9_Journey_Ch05_T03,3
JourneyS9C5T4,Season9Chapter5,S9_Ch5_Task4,S9_Journey_Ch05_T04,4
JourneyS9C5T5,Season9Chapter5,S9_Ch5_Task5,S9_Journey_Ch05_T05,5
JourneyS9C5T6,Season9Chapter5,S9_Ch5_Task6,S9_Journey_Ch05_T06,6
JourneyS9C5T7,Season9Chapter5,S9_Ch5_Task7,S9_Journey_Ch05_T07,7
JourneyS9C5T8,Season9Chapter5,S9_Ch5_Task8,S9_Journey_Ch05_T08,8
JourneyS9C5T9,Season9Chapter5,S9_Ch5_Task9,S9_Journey_Ch05_T09,9
JourneyS9C5T10,Season9Chapter5,S9_Ch5_Task10,S9_Journey_Ch05_T10,10
JourneyS9C5T11,Season9Chapter5,S9_Ch5_Task11,S9_Journey_Ch05_T11,11
JourneyS9C5T12,Season9Chapter5,S9_Ch5_Task12,S9_Journey_Ch05_T12,12
JourneyS9C5T13,Season9Chapter5,S9_Ch5_Task13,S9_Journey_Ch05_T13,13
JourneyS9C5T14,Season9Chapter5,S9_Ch5_Task14,S9_Journey_Ch05_T14,14
JourneyS9ChallengeT1,Season9Challenge,S9_Challenge1,S9_Journey_Challenge_T01,1
JourneyS9ChallengeT2,Season9Challenge,S9_Challenge2,S9_Journey_Challenge_T02,2
JourneyS9ChallengeT3,Season9Challenge,S9_Challenge3,S9_Journey_Challenge_T03,3
JourneyS9ChallengeT4,Season9Challenge,S9_Challenge4,S9_Journey_Challenge_T04,4
JourneyS9ChallengeT5,Season9Challenge,S9_Challenge5,S9_Journey_Challenge_T05,5
JourneyS9ChallengeT6,Season9Challenge,S9_Challenge6,S9_Journey_Challenge_T06,6
JourneyS9ChallengeT7,Season9Challenge,S9_Challenge7,S9_Journey_Challenge_T07,7
JourneyS9ChallengeT8,Season9Challenge,S9_Challenge8,S9_Journey_Challenge_T08,8
JourneyS9ChallengeT9,Season9Challenge,S9_Challenge9,S9_Journey_Challenge_T09,9
JourneyS9ChallengeT10,Season9Challenge,S9_Challenge10,S9_Journey_Challenge_T10,10
