QuickCourseId,PathReferenceQuickCourseId,IsTimed,AccumulateTime,StartingTimerSeconds,NodeTimeOverrideMultiplier,AudioGroup,NOTES
WF_Rally_5,WF_Rally_1,true,,,0.75,MNT_Race_Rally_Weavers_Fen,Vega Bridge Rally III
WF_Rally_6,WF_Rally_2,true,,,0.75,MNT_Race_Rally_Weavers_Fen,Diver's Bluff Rally III
WF_Tour_7,WF_Tour_1,true,,360,0.75,MNT_Race_Tour_Weavers_Fen,Iron Rose Tour III
WF_Tour_8,WF_Tour_2,true,,290,0.75,MNT_Race_Tour_Weavers_Fen,Smuggler's Way Tour III
WF_Tour_9,WF_Tour_3,true,,240,0.75,MNT_Race_Tour_Weavers_Fen,Flood and Folly Tour III
EW_Rally_1,,true,,,,MNT_Race_Rally_Elysian_Wilds,Emerald Run Rally
EW_Rally_2,,true,,15,,MNT_Race_Rally_Elysian_Wilds,Hanging Gardens Rally
EW_Tour_1,,true,,470,,MNT_Race_Tour_Elysian_Wilds,Warrior's Resprise
EW_Tour_2,,true,,1300,,MNT_Race_Tour_Elysian_Wilds,Island Tour
EW_Tour_3,,true,,1150,,MNT_Race_Tour_Elysian_Wilds,Sands and Storms Tour
BS_Rally_3,BS_Rally_1,true,,,0.85,MNT_Race_Rally_BrimstoneSands,Rally of the Gods II
BS_Rally_4,BS_Rally_2,true,,,0.85,MNT_Race_Rally_BrimstoneSands,Skysong Rally II
BS_Tour_4,BS_Tour_1,true,,500,0.85,MNT_Race_Tour_BrimstoneSands,Pilgrim's Tour II
BS_Tour_5,BS_Tour_2,true,,890,0.85,MNT_Race_Tour_BrimstoneSands,Four Seasons Tour II
BS_Tour_6,BS_Tour_3,true,,1120,0.85,MNT_Race_Tour_BrimstoneSands,Barrens and Bogs Tour
GC_Rally_5,GC_Rally_1,true,,,0.75,MNT_Race_Rally_Great_Cleave,Wolfsbane Tour III
GC_Rally_6,GC_Rally_2,true,,,0.75,MNT_Race_Rally_Great_Cleave,Temple of Tears Rally II
GC_Tour_7,GC_Tour_1,true,,360,0.75,MNT_Race_Tour_Great_Cleave,Wolfsbane Tour II
GC_Tour_8,GC_Tour_2,true,,280,0.75,MNT_Race_Tour_Great_Cleave,Ancient Alley Tour II
GC_Tour_9,GC_Tour_3,true,,330,0.75,MNT_Race_Tour_Great_Cleave,Snows and Spirits Tour II
FL_Tideswallow_1,,true,true,30,1,,
FL_Tideswallow_2,FL_Tideswallow_1,true,true,25,0.8,,
FL_Tideswallow_3,FL_Tideswallow_1,true,true,20,0.6,,
FL_Blithes_1,,true,true,30,1,,
FL_Saircor_1,,true,true,30,1,,
FL_Hornhold_1,,true,true,30,1,,
FL_Medusa_1,,true,true,30,1,,
FL_Elafry_1,,true,true,30,1,,
FL_Bridge_1,,true,true,30,1,,
FL_09A_S11_1,,true,true,70,1,,
FL_09A_S11_2,,true,true,300,1,,
FL_09A_S11_3,,true,true,180,1,,
MountRace_ScaleTest_1,,true,true,600,,MNT_Race_Tour_BrimstoneSands,
MountRace_ScaleTest_2,,true,true,600,,MNT_Race_Tour_BrimstoneSands,
MountRace_ScaleTest_1_Short,,true,true,600,,MNT_Race_Tour_BrimstoneSands,
MountRace_ScaleTest_2_Short,,true,true,600,,MNT_Race_Tour_BrimstoneSands,
