BuffBucketId,TableType,MaxRoll,Buff1,BuffType1,BuffPotency1,Buff2,BuffType2,BuffPotency2,Buff3,BuffType3,BuffPotency3,Buff4,BuffType4,BuffPotency4,Buff5,BuffType5,BuffPotency5,Buff6,BuffType6,BuffPotency6
ZaneBuffs,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,,,,,,,,,,,,,,,
ZaneBuffs_Probs,,0,0,,,,,,,,,,,,,,,,,
AlligatorStrangeNamed00Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,,,,,,,,,
AlligatorStrangeNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
AlligatorStrangeNamed01Buffs,AND,,AI_Slime_Buff,StatusEffect,1,,,,,,,,,,,,,,,
AlligatorStrangeNamed01Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
BlightedNamed01Buffs,AND,,AI_Damage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
BlightedNamed01Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
BlightedNamed02Buffs,AND,,AI_Armor_Buff,StatusEffect,1,,,,,,,,,,,,,,,
BlightedNamed02Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
BoarStripedNamed00Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,,,,,,,,,,,,
BoarStripedNamed00Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
ChefNavarroBuffs,AND,,AI_FireDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
ChefNavarroBuffs_Probs,,0,0,,,,,,,,,,,,,,,,,
DamnedCultistNamedBuffs,AND,,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,,,,,,,,,,,,,,,
DamnedCultistNamedBuffs_Probs,,0,0,,,,,,,,,,,,,,,,,
DamnedCultistNamed01Buffs,AND,,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,,,,,,,,,,
DamnedCultistNamed01Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
DamnedCultistNamed02Buffs,AND,,AI_SelfDestruct_Corruption_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,,,,,,,,,,,,
DamnedCultistNamed02Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
DamnedGreatAxemanNamed01Buffs,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,,,,,,,,,,,,,,,
DamnedGreatAxemanNamed01Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
GhostFrozenNamed00Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,,,,,,,,,,,,
GhostFrozenNamed00Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
GhostStarvedNamed03Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,,,,,,,,,,,,
GhostStarvedNamed03Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
GhostStarvedNamed04Buffs,AND,,RandomDefensiveBuff,BuffBucket,1,,,,,,,,,,,,,,,
GhostStarvedNamed04Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
GhostStarvedNamed05Buffs,AND,,RandomOffensiveBuff,BuffBucket,1,,,,,,,,,,,,,,,
GhostStarvedNamed05Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
GhostShackledNamed03Buffs,AND,,AI_Health_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,,,,,,,,,,,,
GhostShackledNamed03Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
GhostShipwreckedNamed03Buffs,AND,,AI_StaminaDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,,,,,,,,,,,,
GhostShipwreckedNamed03Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
GhostShipwreckedNamed04Buffs,AND,,AI_LightningDamage_Buff,StatusEffect,1,,,,,,,,,,,,,,,
GhostShipwreckedNamed04Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
GhostPlaugedNamed03Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,,,,,,,,,,,,
GhostPlaugedNamed03Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
UndeadOfficerNamed05,AND,,AI_ArcaneResist_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,,,,,,,,,,
UndeadOfficerNamed05_Probs,,0,0,,,0,,,,,,,,,,,,,,
UndeadHunterNamed03Buffs,AND,,AI_ColdAura_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,,,,,,,,,,,,
UndeadHunterNamed03Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
UndeadHunterNamed09Buffs,AND,,AI_StaminaDamage_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,,,,,,,,,,,,
UndeadHunterNamed09Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
UndeadGraveDiggerNamed01Buffs,AND,,AI_Health_Buff,StatusEffect,1,AI_RotatingBeam_Buff,StatusEffect,1,,,,,,,,,,,,
UndeadGraveDiggerNamed01Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
DamnedAcolyteNamed00Buffs,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,,,,,,,,,,,,
DamnedAcolyteNamed00Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
UndeadBerserkerNamed01Buffs,AND,,AI_SelfDestruct_Buff,StatusEffect,1,,,,,,,,,,,,,,,
UndeadBerserkerNamed01Buffs_Probs,,0,0,,,,,,,,,,,,,,,,,
Undead_Pirate_Brute_Named_05WC11Buffs,AND,,AI_StaminaDamageTakenReduced_50_Buff,StatusEffect,1,ChampRndOffDefNoElemBuff,BuffBucket,1,,,,,,,,,,,,
Undead_Pirate_Brute_Named_05WC11Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
StormcourtPirateBuffs,AND,,AI_LightningResist_Buff,StatusEffect,1,,,,,,,,,,,,,,,
StormcourtPirateBuffs_Probs,,0,0,,,,,,,,,,,,,,,,,
StormcourtFamilyBuffs,AND,,AI_LightningDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_LightningResist_Buff,StatusEffect,1,,,,,,,,,
StormcourtFamilyBuffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
WitheredBruteNamed09Buffs,AND,,AI_StaminaDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
WitheredBruteNamed09Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
WolfElementalIceNamed00Buffs,AND,,AI_ColdAura_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,,,,,,,,,,,,
WolfElementalIceNamed00Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
YonasNamedBuffs,AND,,AI_ArcaneDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,,,,,,,,,,,,
YonasNamedBuffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
YetiNamedBuffs,AND,,YetiNamedOffensiveBuffs,BuffBucket,1,YetiNamedDefensiveBuffs,BuffBucket,1,,,,,,,,,,,,
YetiNamedBuffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
YetiNamedOffensiveBuffs,OR,,AI_StaminaDamage_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,AI_NatureDamage_Buff,StatusEffect,1,,,,,,,,,
YetiNamedOffensiveBuffs_Probs,,100,0,,,34,,,67,,,,,,,,,,,
YetiNamedDefensiveBuffs,OR,,AI_IceResist_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,,,,,,,,,
YetiNamedDefensiveBuffs_Probs,,100,0,,,34,,,67,,,,,,,,,,,
EliteAlligatorBlackNamed00Buffs,AND,,AI_Slime_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteAlligatorBlackNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteBearGrizzlyNamed00Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,,,,
EliteBearGrizzlyNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteBloatedCorpseNamed00Buffs,AND,,AI_Slime_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,AI_SelfDestruct_Buff,StatusEffect,1,,,,,,
EliteBloatedCorpseNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteCorruptedOgreNamed00Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffNoElemBuff,BuffBucket,1,,,,,,
EliteCorruptedOgreNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteCorruptedOgreNamed01Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteCorruptedOgreNamed01Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteCorruptionHeavyNamed00Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteCorruptionHeavyNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteCorruptedTigerNamed00Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,,,,
EliteCorruptedTigerNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedCommanderNamed00Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDamnedCommanderNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDamnedCommanderNamed01Buffs,AND,,AI_FireDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffNoElemBuff,BuffBucket,1,,,,,,
EliteDamnedCommanderNamed01Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedAcolyteNamed00Buffs,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDamnedAcolyteNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDamnedAcolyteNamed01Buffs,AND,,AI_RotatingBeam_Buff,StatusEffect,1,AI_ArcaneDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDamnedAcolyteNamed01Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDamnedAcolyteNamed02Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDamnedAcolyteNamed02Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDamnedHoundNamed00Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDamnedHoundNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDamnedPistoleerNamed00Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,RandomOffensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,,,,
EliteDamnedPistoleerNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedPriestNamed00Buffs,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,AI_Slime_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteDamnedPriestNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedPriestNamed01Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteDamnedPriestNamed01Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedPriestNamed02Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteDamnedPriestNamed02Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedPriestNamed03Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_ArcaneResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteDamnedPriestNamed03Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDamnedVillagerHammerNamed00Buffs,AND,,AI_StaminaDamage_Buff,StatusEffect,1,AI_Armor_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDamnedVillagerHammerNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDryadBeastNamed00Buffs,AND,,AI_NatureResist_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteDryadBeastNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDryadProwlerNamed00Buffs,AND,,AI_NatureDamage_Buff,StatusEffect,1,AI_NatureResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteDryadProwlerNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteDynastyHeavyNamed00Buffs,AND,,AI_Corruption_Pool_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteDynastyHeavyNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDynastySpearmanNamed00Buffs,AND,,AI_VoidResist_Buff,StatusEffect,1,AI_IceDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteDynastySpearmanNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDynastySummonerNamed00Buffs,AND,,AI_ArcaneResist_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,,,,
EliteDynastySummonerNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDynastyMaidenNamed00Buffs,AND,,AI_Damage_Buff,StatusEffect,1,RandomUtilityBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteDynastyMaidenNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteDynastyWarriorNamed00Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteDynastyWarriorNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteElementalBearNamed00Buffs,AND,,AI_Armor_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteElementalBearNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteElementalBearNamed01Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteElementalBearNamed01Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteElementalWolfNamed00Buffs,AND,,AI_Slime_Buff,StatusEffect,1,RandomDefensiveBuff,BuffBucket,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteElementalWolfNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteElkElementalNamed00Buffs,AND,,AI_NatureDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteElkElementalNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteElkCorruptedNamed00Buffs,AND,,AI_NatureDamage_Buff,StatusEffect,1,AI_CorruptionDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteElkCorruptedNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteGhostShackledNamed01Buffs,AND,,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,,,,
EliteGhostShackledNamed01Buffs_Probs,,0,0,,,0,,,,,,,,,,,,,,
EliteGhostShipwreckedNamed00Buffs,AND,,AI_ArcaneDamage_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteGhostShipwreckedNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteGhostPlaguedNamed00Buffs,AND,,AI_Slime_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteGhostPlaguedNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteTendrilDryadNamed00Buffs,AND,,AI_NatureResist_Buff,StatusEffect,1,AI_NatureDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,,,
EliteTendrilDryadNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteTendrilCorruptionNamed00Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteTendrilCorruptionNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteUndeadBerserkerNamed00Buffs,AND,,AI_LightningDamage_Buff,StatusEffect,1,AI_SelfDestruct_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteUndeadBerserkerNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteUndeadBerserkerNamed01Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteUndeadBerserkerNamed01Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteUndeadHunterNamed00Buffs,AND,,AI_CorruptionDamage_Buff,StatusEffect,1,AI_Corruption_Pool_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteUndeadHunterNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteUndeadNavigatorNamed00Buffs,AND,,AI_FireDamage_Buff,StatusEffect,1,AI_FireResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,,,,
EliteUndeadNavigatorNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteUndeadOfficerNamed00Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_ProjectileShield_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteUndeadOfficerNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteUndeadOfficerNamed01Buffs,AND,,AI_LightningDamage_Buff,StatusEffect,1,AI_LightningResist_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomDefensiveBuff,BuffBucket,1,,,,,,
EliteUndeadOfficerNamed01Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteUndeadPirateBruteNamed01Buffs,AND,,AI_Damage_Buff,StatusEffect,1,AI_StaminaDamage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteUndeadPirateBruteNamed01Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteUndeadPirateBruteNamed00Buffs,AND,,AI_ColdAura_Buff,StatusEffect,1,AI_Health_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteUndeadPirateBruteNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
EliteUndeadPistoleerNamed00Buffs,AND,,AI_Armor_Buff,StatusEffect,1,AI_Damage_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,RandomOffensiveBuff,BuffBucket,1,,,,,,
EliteUndeadPistoleerNamed00Buffs_Probs,,0,0,,,0,,,0,,,0,,,,,,,,
EliteWitheredBruteNamed00Buffs,AND,,AI_StaminaDamage_Buff,StatusEffect,1,AI_ColdAura_Buff,StatusEffect,1,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,,,,
EliteWitheredBruteNamed00Buffs_Probs,,0,0,,,0,,,0,,,,,,,,,,,
AcolyteDarkness00Buffs,AND,,RandomOffNoElemBuff,BuffBucket,1,RandomUtilityBuff,BuffBucket,1,,,,ChampionEliteBaseBuffs,BuffBucket,1,,,,,,
AcolyteDarkness00Buffs_Probs,,0,0,,,0,,,,,,0,,,,,,,,
