LootLimitID,IsReplicated,MinLimitSeconds,MaxLimitSeconds,CountLimit,MinLimitMult,MaxLimitMult,LimitExpireSeconds,LootTagValuePerCount,LootTagValueOverrideAtLimit,LimitNotificationLocTag,AchievementAtLimit,IsAchievementBound,PityTickerOddsMod
TurkeyTerrorCoinBagLVL30,false,0,0,3,64800,64800,64800,,,,,,
TurkeyTerrorCoinBagLVL40,false,0,0,3,64800,64800,64800,,,,,,
TurkeyTerrorCoinBagLVL50,false,0,0,3,64800,64800,64800,,,,,,
TurkeyTerrorCoinBagLVL60,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL1,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL10,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL20,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL30,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL40,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL50,false,0,0,3,64800,64800,64800,,,,,,
NightveilCoinBagLVL60,false,0,0,3,64800,64800,64800,,,,,,
GoldenScarab,false,0,0,10,86400,86400,86400,,,,,,
Cooking_music_box,false,0,0,1,64800,64800,64800,,,,,,
Loom_music_box,false,0,0,1,64800,64800,64800,,,,,,
Furnishing_music_box,false,0,0,1,64800,64800,64800,,,,,,
WoodenCoin,false,0,0,5,86400,86400,86400,,,,,,
SportsmanSpoilsLVL1,false,0,0,3,64800,64800,64800,,,,,,
SportsmanSpoilsLVL10,false,0,0,3,64800,64800,64800,,,,,,
SportsmanSpoilsLVL20,false,0,0,3,64800,64800,64800,,,,,,
SportsmanSpoilsLVL30,false,0,0,3,64800,64800,64800,,,,,,
SportsmanSpoilsLVL40,false,0,0,3,64800,64800,64800,,,,,,
SportsmanSpoilsLVL50,false,0,0,3,64800,64800,64800,,,,,,
SportsmanSpoilsLVL60,false,0,0,3,64800,64800,64800,,,,,,
SpringtideCoinBagLVL1,false,0,0,4,64800,64800,64800,,,,,,
SpringtideCoinBagLVL10,false,0,0,4,64800,64800,64800,,,,,,
SpringtideCoinBagLVL20,false,0,0,4,64800,64800,64800,,,,,,
SpringtideCoinBagLVL30,false,0,0,4,64800,64800,64800,,,,,,
SpringtideCoinBagLVL40,false,0,0,4,64800,64800,64800,,,,,,
SpringtideCoinBagLVL50,false,0,0,4,64800,64800,64800,,,,,,
SpringtideCoinBagLVL60,false,0,0,4,64800,64800,64800,,,,,,
Spring_Prismabloom_Token_Limit,false,0,0,10,64800,64800,64800,,,,,,
Spring_Prismabloom_Premium_Limit,false,0,0,1,64800,64800,64800,,,,,,
Skin_Mask_RabbitSeason_Box,false,0,0,1,0,0,0,,,,,,
Skin_Gloves_RabbitSeason_Box,false,0,0,1,0,0,0,,,,,,
Skin_Legs_RabbitSeason_Box,false,0,0,1,0,0,0,,,,,,
Skin_Feet_RabbitSeason_Box,false,0,0,1,0,0,0,,,,,,
Tag_RabbitEvent_PityTicker,false,0,0,400,2678400,2678400,2678400,1,,,,,
House_HousingItem_Buff_Damage_Vs_Ancients_T0,false,0,0,1,64800,64800,64800,,,,,,
House_HousingItem_Buff_Damage_Vs_Beasts_T0,false,0,0,1,64800,64800,64800,,,,,,
House_HousingItem_Buff_Damage_Vs_Corrupted_T0,false,0,0,1,64800,64800,64800,,,,,,
House_HousingItem_Buff_Damage_Vs_Lost_T0,false,0,0,1,64800,64800,64800,,,,,,
DarknessBreachNamed,false,0,0,1,86400,86400,86400,,,,,,
DoubloonAntique05,false,0,0,1,604800,604800,604800,,,,,,0.2
WorldEvent_S1_BonusBox,false,0,0,3,64800,64800,64800,,,,,,
Schematic_House_HousingItem_Season1_SprigganFlameBrazier,false,0,0,1,2678400,2678400,2678400,,,,,,
Tag_S1Event_PityTicker,false,0,0,42,2678400,2678400,2678400,1,,,,,
2hWarhammer_MountainShakerT5,false,64800,64800,2,2678400,2678400,2678400,,,,,,
2hMusket_BurnweaverT5,false,64800,64800,2,2678400,2678400,2678400,,,,,,
2hSpear_BlazingBushHookT5,false,64800,64800,2,2678400,2678400,2678400,,,,,,
1hGauntletVoid_ForestsShadowT5,false,64800,64800,2,2678400,2678400,2678400,,,,,,
LightHead_BramblehelmT5,false,64800,64800,2,2678400,2678400,2678400,,,,,,
LightLegs_TrailblazersLegGuardsT5,false,64800,64800,2,2678400,2678400,2678400,,,,,,
WorldEvent_Crassus_BonusBox,false,0,0,3,64800,64800,64800,,,,,,
2hGreataxe_HugoT5,false,0,0,1,2678400,2678400,2678400,,,,,,
2hGreatSword_HugoT5,false,0,0,1,2678400,2678400,2678400,,,,,,
2hBow_BrevisT5,false,0,0,1,2678400,2678400,2678400,,,,,,
2hStaffFire_BrevisT5,false,0,0,1,2678400,2678400,2678400,,,,,,
HeavyChest_HugoT5,false,0,0,1,2678400,2678400,2678400,,,,,,
HeavyHands_HugoT5,false,0,0,1,2678400,2678400,2678400,,,,,,
MediumHead_BrevisT5,false,0,0,1,2678400,2678400,2678400,,,,,,
MediumFeet_BrevisT5,false,0,0,1,2678400,2678400,2678400,,,,,,
Tag_LegacyofCrassus_Ticker,false,0,0,8,2678400,2678400,2678400,,,,,,
2hPickCrassusT51,false,0,0,1,2678400,2678400,2678400,,,,,,
House_HousingItem_Season4_Statue_Cyclops_Statue_A,false,0,0,1,2678400,2678400,2678400,,,,,,
House_HousingItem_Season4_Statue_Cyclops_Statue_B,false,0,0,1,2678400,2678400,2678400,,,,,,
2hPick_Crassus_S7,false,0,0,1,2678400,2678400,2678400,,,,,,
WorldEvent_S2_BonusBox,false,0,0,3,64800,64800,64800,,,,,,
Tag_S2Event_PityTicker,false,0,0,42,1209600,1209600,1209600,1,,,,,
Skin_Head_SandwormHat_Box,false,0,0,1,0,0,0,,,,,,
House_HousingItem_Season2_SandwormEgg_Variant4,false,0,0,1,1209600,1209600,1209600,,,,,,
WorldEvent_S6_BonusBox,false,0,0,3,64800,64800,64800,,,,,,
Trial_S2_BonusBox,true,0,0,2,604800,604800,604800,,,,,,
House_HousingItem_Season2_SandwormEgg_Variant5,false,0,0,1,1209600,1209600,1209600,,,,,,
House_HousingItem_Season2_TrialDecor,false,0,0,1,1209600,1209600,1209600,,,,,,
WorldEvent_Lakeside_Limit,false,0,0,1,2678400,2678400,2678400,,,,,,
WorldEvent_ScallywagShore_Limit,false,0,0,1,2678400,2678400,2678400,,,,,,
WorldEvent_TraitorsHold_Limit,false,0,0,1,2678400,2678400,2678400,,,,,,
WorldEvent_Swampwaterfishery_Limit,false,0,0,1,2678400,2678400,2678400,,,,,,
WorldEvent_Piscarianfishery_Limit,false,0,0,1,2678400,2678400,2678400,,,,,,
ArenaLimit,false,0,0,2,86400,86400,86400,,,,,,
Arena3v3_Limit,false,0,0,40,86400,86400,86400,,,@ui_reached_max_daily_pvp_arena_reward,,,
Trial_Sandworm_DailyBox,true,0,0,1,64800,64800,64800,,,,,,
Trial_Sandworm_WeeklyBox,true,0,0,1,604800,604800,604800,,,,,,
Trial_Sandworm_DailyBox_V2,true,0,0,1,64800,64800,64800,,,,,,
Trial_Sandworm_WeeklyBox_V2,true,0,0,1,604800,604800,604800,,,,,,
SummerMedley_ShredlyLimit,true,0,0,3,64800,64800,64800,,,,,,
WinterDarkMatter_Limit,true,0,0,3,64800,64800,64800,,,,,,
WinterTree_Limit,true,0,0,3,64800,64800,64800,,,,,,
WinterVillage_Limit,true,0,0,1,64800,64800,64800,,,,,,
RidingProgression,false,0,0,749,86400,86400,86400,,,,,,
Mount_FoodDailyXP_Limit,true,0,0,3,64800,64800,86400,,,@ui_reached_max_daily_mount_consumable_exp_usage,,,
FishingFreshJunk,false,0,0,5,0,0,300,0,1,,,,
FishingSaltJunk,false,0,0,5,0,0,300,0,1,,,,
TransmogTokenPurse,true,0,0,1,604800,604800,604800,,,,,,
Skin_WarHammer_TurkeyTerror2023_Box,false,0,0,1,0,0,0,,,,,,
PotionTurkeyLuckT5,false,0,0,5,86400,86400,86400,,,,,,
TreatBasket_Tokens,false,0,0,3,64800,64800,64800,,,,,,
TreatBasket_Masks,false,0,0,1,64800,64800,64800,,,,,,
Halloween_Costumes,false,0,0,3,64800,64800,64800,,,,,,
Halloween_BossArmor,false,0,0,5,64800,64800,64800,,,,,,
Artifact_Set1_HeavyHead,false,0,0,1,0,0,0,,,,Artifact_Set1_HeavyHead,true,0.2
Artifact_Set1_HeavyChest,false,0,0,1,0,0,0,,,,Artifact_Set1_HeavyChest,true,0.2
Artifact_Set1_HeavyHands,false,0,0,1,0,0,0,,,,Artifact_Set1_HeavyHands,true,0.2
Artifact_Set1_HeavyLegs,false,0,0,1,0,0,0,,,,Artifact_Set1_HeavyLegs,true,0.2
Artifact_Set1_HeavyFeet,false,0,0,1,0,0,0,,,,Artifact_Set1_HeavyFeet,true,0.2
Artifact_Set1_MediumHead,false,0,0,1,0,0,0,,,,Artifact_Set1_MediumHead,true,0.2
Artifact_Set1_MediumChest,false,0,0,1,0,0,0,,,,Artifact_Set1_MediumChest,true,0.2
Artifact_Set1_MediumHands,false,0,0,1,0,0,0,,,,Artifact_Set1_MediumHands,true,0.2
Artifact_Set1_MediumLegs,false,0,0,1,0,0,0,,,,Artifact_Set1_MediumLegs,true,0.2
Artifact_Set1_MediumFeet,false,0,0,1,0,0,0,,,,Artifact_Set1_MediumFeet,true,0.2
Artifact_Set1_LightHead,false,0,0,1,0,0,0,,,,Artifact_Set1_LightHead,true,0.1
Artifact_Set1_LightChest,false,0,0,1,0,0,0,,,,Artifact_Set1_LightChest,true,0.2
Artifact_Set1_LightHands,false,0,0,1,0,0,0,,,,Artifact_Set1_LightHands,true,0.2
Artifact_Set1_LightLegs,false,0,0,1,0,0,0,,,,Artifact_Set1_LightLegs,true,0.2
Artifact_Set1_LightFeet,false,0,0,1,0,0,0,,,,Artifact_Set1_LightFeet,true,0.2
Artifact_Set1_1hLongsword,false,0,0,1,0,0,0,,,,Artifact_Set1_1hLongsword,true,0.2
Artifact_Set1_1hThrowingAxe,false,0,0,1,0,0,0,,,,Artifact_Set1_1hThrowingAxe,true,0.2
Artifact_Set1_2hWarhammer,false,0,0,1,0,0,0,,,,Artifact_Set1_2hWarhammer,true,0.2
Artifact_Set1_2hGreatAxe,false,0,0,1,0,0,0,,,,Artifact_Set1_2hGreatAxe,true,0.1
Artifact_Set1_2hBow,false,0,0,1,0,0,0,,,,Artifact_Set1_2hBow,true,0.2
Artifact_Set1_2hMusket,false,0,0,1,0,0,0,,,,Artifact_Set1_2hMusket,true,0.2
Artifact_Set1_1hRoundShield,false,0,0,1,0,0,0,,,,Artifact_Set1_1hRoundShield,true,0.2
Artifact_Set1_1hKiteShield,false,0,0,1,0,0,0,,,,Artifact_Set1_1hKiteShield,true,0.2
Artifact_Set1_1hTowerShield,false,0,0,1,0,0,0,,,,Artifact_Set1_1hTowerShield,true,0.2
Artifact_Set1_2hStaffFire,false,0,0,1,0,0,0,,,,Artifact_Set1_2hStaffFire,true,0.2
Artifact_Set1_2hStaffLife,false,0,0,1,0,0,0,,,,Artifact_Set1_2hStaffLife,true,0.2
Artifact_Set1_2hSpear,false,0,0,1,0,0,0,,,,Artifact_Set1_2hSpear,true,0.2
Artifact_Set1_1hRapier,false,0,0,1,0,0,0,,,,Artifact_Set1_1hRapier,true,0.2
Artifact_Set1_1hGauntletIce,false,0,0,1,0,0,0,,,,Artifact_Set1_1hGauntletIce,true,0.2
Artifact_Set1_1hGauntletVoid,false,0,0,1,0,0,0,,,,Artifact_Set1_1hGauntletVoid,true,0.2
Artifact_Set1_2hBlunderbuss,false,0,0,1,0,0,0,,,,Artifact_Set1_2hBlunderbuss,true,0.2
Artifact_Set1_2hGreatSword,false,0,0,1,0,0,0,,,,Artifact_Set1_2hGreatSword,true,0.2
Artifact_Set1_1hFlail,false,0,0,1,0,0,0,,,,Artifact_Set1_1hFlail,true,0.2
Artifact_Set1_Earring1,false,0,0,1,0,0,0,,,,Artifact_Set1_Earring1,true,0.2
Artifact_Set1_Ring1,false,0,0,1,0,0,0,,,,Artifact_Set1_Ring1,true,0.2
Artifact_Set1_Amulet1,false,0,0,1,0,0,0,,,,Artifact_Set1_Amulet1,true,0.2
Artifact_Set1_Earring2,false,0,0,1,0,0,0,,,,Artifact_Set1_Earring2,true,0.2
Artifact_Set1_Ring2,false,0,0,1,0,0,0,,,,Artifact_Set1_Ring2,true,0.2
Artifact_Set1_Amulet2,false,0,0,1,0,0,0,,,,Artifact_Set1_Amulet2,true,0.2
RafflebonesPortal,false,0,0,3,64800,64800,64800,,,@ui_reached_max_daily_fotb_rafflebones,,,
PUGDailyReward_Mutated_ChromaticSeal_PityTicker_OLD,false,0,0,1,86400,86400,86400,50000,,,,,
PUGFinder_Expedition_DailyRandomRewards_Limit,true,0,0,3,86400,86400,86400,,,,,,
PUGFinder_Expedition_DailyRoleRewards_Limit,true,0,0,3,86400,86400,86400,,,,,,
PUGFinder_Expedition_DailyCarryRewards_Limit,true,0,0,0,86400,86400,86400,,,,,,
PUGFinder_MutatedExpedition_DailyRandomRewards_Limit,true,0,0,2,86400,86400,86400,,,,,,
PUGFinder_MutatedExpedition_DailyRoleRewards_Limit,true,0,0,2,86400,86400,86400,,,,,,
PUGFinder_MutatedExpedition_DailyCarryRewards_Limit,true,0,0,0,86400,86400,86400,,,,,,
LNY_GiftLimit,false,0,0,1,64800,64800,64800,,,,,,
LNY_GiftLimit_B,false,0,0,1,64800,64800,64800,,,,,,
Artifact_Set2_HeavyChest,false,0,0,1,0,0,0,,,,Artifact_Set2_HeavyChest,true,0.2
Artifact_Set2_HeavyHands,false,0,0,1,0,0,0,,,,Artifact_Set2_HeavyHands,true,0.2
Artifact_Set2_HeavyLegs,false,0,0,1,0,0,0,,,,Artifact_Set2_HeavyLegs,true,0.2
Artifact_Set2_MediumChest,false,0,0,1,0,0,0,,,,Artifact_Set2_MediumChest,true,0.2
Artifact_Set2_MediumHands,false,0,0,1,0,0,0,,,,Artifact_Set2_MediumHands,true,0.2
Artifact_Set2_MediumLegs,false,0,0,1,0,0,0,,,,Artifact_Set2_MediumLegs,true,0.2
Artifact_Set2_LightHead,false,0,0,1,0,0,0,,,,Artifact_Set2_LightHead,true,0.2
Artifact_Set2_LightFeet,false,0,0,1,0,0,0,,,,Artifact_Set2_LightFeet,true,0.2
Artifact_Set2_1hThrowingAxe,false,0,0,1,0,0,0,,,,Artifact_Set2_1hThrowingAxe,true,0.2
Artifact_Set2_2hWarhammer,false,0,0,1,0,0,0,,,,Artifact_Set2_2hWarhammer,true,0.2
Artifact_Set2_2hGreatAxe,false,0,0,1,0,0,0,,,,Artifact_Set2_2hGreatAxe,true,0.2
Artifact_Set2_2hBow,false,0,0,1,0,0,0,,,,Artifact_Set2_2hBow,true,0.2
Artifact_Set2_2hMusket,false,0,0,1,0,0,0,,,,Artifact_Set2_2hMusket,true,0.2
Artifact_Set2_2hStaffFire,false,0,0,1,0,0,0,,,,Artifact_Set2_2hStaffFire,true,0.2
Artifact_Set2_2hStaffLife,false,0,0,1,0,0,0,,,,Artifact_Set2_2hStaffLife,true,0.2
Artifact_Set2_2hSpear,false,0,0,1,0,0,0,,,,Artifact_Set2_2hSpear,true,0.2
Artifact_Set2_1hRapier,false,0,0,1,0,0,0,,,,Artifact_Set2_1hRapier,true,0.2
Artifact_Set2_1hGauntletIce,false,0,0,1,0,0,0,,,,Artifact_Set2_1hGauntletIce,true,0.2
Artifact_Set2_1hGauntletVoid,false,0,0,1,0,0,0,,,,Artifact_Set2_1hGauntletVoid,true,0.1
Artifact_Set2_2hGreatSword,false,0,0,1,0,0,0,,,,Artifact_Set2_2hGreatSword,true,0.2
Artifact_Set2_1hFlail,false,0,0,1,0,0,0,,,,Artifact_Set2_1hFlail,true,0.2
Artifact_Set2_Earring1,false,0,0,1,0,0,0,,,,Artifact_Set2_Earring1,true,0.1
Artifact_Set2_Ring1,false,0,0,1,0,0,0,,,,Artifact_Set2_Ring1,true,0.2
Artifact_Set2_Amulet1,false,0,0,1,0,0,0,,,,Artifact_Set2_Amulet1,true,0.2
MountItem_MountReward_Box_9,false,0,0,1,0,0,0,,,,,,
MountItem_MountReward_Box_20,false,0,0,1,0,0,0,,,,,,
MountItem_MountReward_Box_30,false,0,0,1,0,0,0,,,,,,
HercyneRaid_Reward,true,0,0,1,604800,604800,604800,,,,,,
Typhon,true,0,0,1,604800,604800,604800,,,,,,
Broodmother,true,0,0,1,604800,604800,604800,,,,,,
Echidna,true,0,0,1,604800,604800,604800,,,,,,
TyphonArtifact,true,0,0,1,604800,604800,604800,,,,,,
BroodmotherArtifact,true,0,0,1,604800,604800,604800,,,,,,
EchidnaArtifact,true,0,0,1,604800,604800,604800,,,,,,
MutatorCombo_Echidna,true,0,0,1,86400,86400,86400,,,,,,
MutatorCombo_Typhon,true,0,0,1,86400,86400,86400,,,,,,
MutatorCombo_Broodmother,true,0,0,1,86400,86400,86400,,,,,,
MutatorCombo_Sandwurm,true,0,0,1,86400,86400,86400,,,,,,
1hFlail_RR_CorruptedFlail,false,0,0,1,2678400,2678400,2678400,,,,,,
RR_ChestSkin_Box,false,0,0,1,0,0,0,,,,,,
RR_RabbitPetEmote_Box,false,0,0,1,0,0,0,,,,,,
Trial_S5_BonusBox,true,0,0,2,604800,604800,604800,,,,,,
DailySoloTrialLimit,true,0,0,1,0,0,86400,,,,,,
TT_MeatFlail_SkinBox,false,0,0,1,0,0,0,,,,,,
PvPGM725Gear_Limit,false,0,0,1,604800,604800,604800,,,,,,
CRX_MB_Boots_TempestPriest,true,0,0,1,604800,604800,604800,,,,,,
2hWarhammer_FTUE_CorruptedSailer_V2,true,0,0,1,604800,604800,604800,,,,,,
Boar_1hSkinningKnifeT3,true,0,0,1,604800,604800,604800,,,,,,
Rolfes_AmuletT2,true,0,0,1,604800,604800,604800,,,,,,
Recipe_Bow_PoisonShot_PoisonCloud,true,0,0,1,0,0,0,,,,,,
Recipe_LifeStaff_HolyShield_Blocking,true,0,0,1,0,0,0,,,,,,
Recipe_KiteShield_HolyShield_Blocking,true,0,0,1,0,0,0,,,,,,
Recipe_Rapier_DodgeCorruptionBall,true,0,0,1,0,0,0,,,,,,
Recipe_Hatchet_DodgeCorruptionBall,true,0,0,1,0,0,0,,,,,,
Recipe_Spear_DodgeCorruptionBall,true,0,0,1,0,0,0,,,,,,
Recipe_Bow_DodgeCorruptionBall,true,0,0,1,0,0,0,,,,,,
Recipe_Musket_DodgeCorruptionBall,true,0,0,1,0,0,0,,,,,,
Recipe_Blunderbuss_DodgeCorruptionBall,true,0,0,1,0,0,0,,,,,,
Recipe_Warhammer_Knockback,true,0,0,1,0,0,0,,,,,,
Recipe_ShieldTower_TankAura,true,0,0,1,0,0,0,,,,,,
Recipe_GauntletIce_FrostAura,true,0,0,1,0,0,0,,,,,,
Recipe_StaffFire_BurnAura,true,0,0,1,0,0,0,,,,,,
Recipe_Hatchet_CombustibleCombustion,true,0,0,1,0,0,0,,,,,,
Recipe_Spear_Embiggen,true,0,0,1,0,0,0,,,,,,
Recipe_Greataxe_DodgeSuppressant,true,0,0,1,0,0,0,,,,,,
Recipe_Warhammer_DodgeSuppressant,true,0,0,1,0,0,0,,,,,,
Recipe_Greatsword_DodgeSuppressant,true,0,0,1,0,0,0,,,,,,
Recipe_Greatsword_CrescentWave,true,0,0,1,0,0,0,,,,,,
Recipe_Longsword_ShieldlessAgility,true,0,0,1,0,0,0,,,,,,
Recipe_Musket_LimbDebilitation,true,0,0,1,0,0,0,,,,,,
Recipe_Flail_Disease,true,0,0,1,0,0,0,,,,,,
Recipe_Greataxe_UndeadLostMonarch,true,0,0,1,0,0,0,,,,,,
Recipe_LifeStaff_SupportiveHeals,true,0,0,1,0,0,0,,,,,,
Recipe_VoidGauntlet_HarvestDamage,true,0,0,1,0,0,0,,,,,,
Recipe_Rapier_HasteWhenFacingTarget,true,0,0,1,0,0,0,,,,,,
WorldEventCrassus710Gear_Limit,false,0,0,1,86400,86400,86400,,,,,,
WorldEventSiege710Gear_Limit,false,0,0,1,86400,86400,86400,,,,,,
