ResourceID,SocketType,GemPerk,PerkBucket
2HHammerCharmT3,,,PerkBucket_2HHammerCharmT3
2HHammerCharmT4,,,PerkBucket_2HHammerCharmT4
2HHammerCharmT5,,,PerkBucket_2HHammerCharmT5
2HHammerCharmT6,,,PerkBucket_2HHammerCharmT6
2HAxeCharmT1,,,PerkBucket_2HAxeCharmT1
2HAxeCharmT2,,,PerkBucket_2HAxeCharmT2
2HAxeCharmT3,,,PerkBucket_2HAxeCharmT3
2HAxeCharmT4,,,PerkBucket_2HAxeCharmT4
2HAxeCharmT5,,,PerkBucket_2HAxeCharmT5
2HAxeCharmT6,,,PerkBucket_2HAxeCharmT6
BowCharmT1,,,PerkBucket_BowCharmT1
BowCharmT2,,,PerkBucket_BowCharmT2
BowCharmT3,,,PerkBucket_BowCharmT3
BowCharmT4,,,PerkBucket_BowCharmT4
BowCharmT5,,,PerkBucket_BowCharmT5
BowCharmT6,,,PerkBucket_BowCharmT6
MusketCharmT1,,,PerkBucket_MusketCharmT1
MusketCharmT2,,,PerkBucket_MusketCharmT2
MusketCharmT3,,,PerkBucket_MusketCharmT3
MusketCharmT4,,,PerkBucket_MusketCharmT4
MusketCharmT5,,,PerkBucket_MusketCharmT5
MusketCharmT6,,,PerkBucket_MusketCharmT6
LifeStaffCharmT1,,,PerkBucket_LifeStaffCharmT1
LifeStaffCharmT2,,,PerkBucket_LifeStaffCharmT2
LifeStaffCharmT3,,,PerkBucket_LifeStaffCharmT3
LifeStaffCharmT4,,,PerkBucket_LifeStaffCharmT4
LifeStaffCharmT5,,,PerkBucket_LifeStaffCharmT5
LifeStaffCharmT6,,,PerkBucket_LifeStaffCharmT6
FireStaffCharmT1,,,PerkBucket_FireStaffCharmT1
FireStaffCharmT2,,,PerkBucket_FireStaffCharmT2
FireStaffCharmT3,,,PerkBucket_FireStaffCharmT3
FireStaffCharmT4,,,PerkBucket_FireStaffCharmT4
FireStaffCharmT5,,,PerkBucket_FireStaffCharmT5
FireStaffCharmT6,,,PerkBucket_FireStaffCharmT6
IceGauntletCharmT1,,,PerkBucket_IceGauntletCharmT1
IceGauntletCharmT2,,,PerkBucket_IceGauntletCharmT2
IceGauntletCharmT3,,,PerkBucket_IceGauntletCharmT3
IceGauntletCharmT4,,,PerkBucket_IceGauntletCharmT4
IceGauntletCharmT5,,,PerkBucket_IceGauntletCharmT5
IceGauntletCharmT6,,,PerkBucket_IceGauntletCharmT6
RapierCharmT1,,,PerkBucket_RapierCharmT1
RapierCharmT2,,,PerkBucket_RapierCharmT2
RapierCharmT3,,,PerkBucket_RapierCharmT3
RapierCharmT4,,,PerkBucket_RapierCharmT4
RapierCharmT5,,,PerkBucket_RapierCharmT5
RapierCharmT6,,,PerkBucket_RapierCharmT6
SpearCharmT1,,,PerkBucket_SpearCharmT1
SpearCharmT2,,,PerkBucket_SpearCharmT2
SpearCharmT3,,,PerkBucket_SpearCharmT3
SpearCharmT4,,,PerkBucket_SpearCharmT4
SpearCharmT5,,,PerkBucket_SpearCharmT5
SpearCharmT6,,,PerkBucket_SpearCharmT6
BlunderbussCharmT1,,,PerkBucket_BlunderbussCharmT1
BlunderbussCharmT2,,,PerkBucket_BlunderbussCharmT2
BlunderbussCharmT3,,,PerkBucket_BlunderbussCharmT3
BlunderbussCharmT4,,,PerkBucket_BlunderbussCharmT4
BlunderbussCharmT5,,,PerkBucket_BlunderbussCharmT5
BlunderbussCharmT6,,,PerkBucket_BlunderbussCharmT6
VoidGauntletCharmT1,,,PerkBucket_VoidGauntletCharmT1
VoidGauntletCharmT2,,,PerkBucket_VoidGauntletCharmT2
VoidGauntletCharmT3,,,PerkBucket_VoidGauntletCharmT3
VoidGauntletCharmT4,,,PerkBucket_VoidGauntletCharmT4
VoidGauntletCharmT5,,,PerkBucket_VoidGauntletCharmT5
VoidGauntletCharmT6,,,PerkBucket_VoidGauntletCharmT6
GreatswordCharmT1,,,PerkBucket_GreatswordCharmT1
GreatswordCharmT2,,,PerkBucket_GreatswordCharmT2
GreatswordCharmT3,,,PerkBucket_GreatswordCharmT3
GreatswordCharmT4,,,PerkBucket_GreatswordCharmT4
GreatswordCharmT5,,,PerkBucket_GreatswordCharmT5
GreatswordCharmT6,,,PerkBucket_GreatswordCharmT6
SmolderingWeaponShardT5,,,PerkBucket_SmolderingWeaponShardT5
SmolderingArmorShardT5,,,PerkBucket_SmolderingArmorShardT5
FrozenWeaponShardT5,,,PerkBucket_FrozenWeaponShardT5
FrozenArmorShardT5,,,PerkBucket_FrozenArmorShardT5
EvergreenWeaponShardT5,,,PerkBucket_EvergreenWeaponShardT5
EvergreenArmorShardT5,,,PerkBucket_EvergreenArmorShardT5
HollowWeaponShardT5,,,PerkBucket_HollowWeaponShardT5
HollowArmorShardT5,,,PerkBucket_HollowArmorShardT5
AshResinT1,,,PerkBucket_AshResinT1
EvergreenResinT1,,,PerkBucket_EvergreenResinT1
GlacierResinT1,,,PerkBucket_GlacierResinT1
FulguriteResinT1,,,PerkBucket_FulguriteResinT1
ReaperResinT1,,,PerkBucket_ReaperResinT1
CrystallineResinT1,,,PerkBucket_CrystallineResinT1
PvP_PerkItem1,,,PerkBucket_PvP_PerkItem1
PvP_PerkItem2,,,PerkBucket_PvP_PerkItem2
PvP_PerkItem3,,,PerkBucket_PvP_PerkItem3
PvP_PerkItem4,,,PerkBucket_PvP_PerkItem4
PvP_PerkItem5,,,PerkBucket_PvP_PerkItem5
PvP_PerkItem6,,,PerkBucket_PvP_PerkItem6
PvP_PerkItem7,,,PerkBucket_PvP_PerkItem7
PvP_PerkItem8,,,PerkBucket_PvP_PerkItem8
PvP_PerkItem9,,,PerkBucket_PvP_PerkItem9
PvP_PerkItem10,,,PerkBucket_PvP_PerkItem10
PvP_PerkItem11,,,PerkBucket_PvP_PerkItem11
PvP_PerkItem12,,,PerkBucket_PvP_PerkItem12
GemSocketPinsT1,,,GemSocketPinsT1Bucket
AmberCutT1,Gem,,AmberCutT1
AmberCutT2,Gem,,AmberCutT2
AmberCutT3,Gem,,AmberCutT3
AmberCutT4,Gem,,AmberCutT4
AmethystCutT1,Gem,,AmethystCutT1
AmethystCutT2,Gem,,AmethystCutT2
AmethystCutT3,Gem,,AmethystCutT3
AmethystCutT4,Gem,,AmethystCutT4
AquamarineCutT1,Gem,,AquamarineCutT1
AquamarineCutT2,Gem,,AquamarineCutT2
AquamarineCutT3,Gem,,AquamarineCutT3
AquamarineCutT4,Gem,,AquamarineCutT4
CarnelianCutT1,Gem,,CarnelianCutT1
CarnelianCutT2,Gem,,CarnelianCutT2
CarnelianCutT3,Gem,,CarnelianCutT3
CarnelianCutT4,Gem,,CarnelianCutT4
DiamondCutT1,Gem,,DiamondCutT1
DiamondCutT2,Gem,,DiamondCutT2
DiamondCutT3,Gem,,DiamondCutT3
DiamondCutT4,Gem,,DiamondCutT4
EmeraldCutT1,Gem,,EmeraldCutT1
EmeraldCutT2,Gem,,EmeraldCutT2
EmeraldCutT3,Gem,,EmeraldCutT3
EmeraldCutT4,Gem,,EmeraldCutT4
JasperCutT1,Gem,,JasperCutT1
JasperCutT2,Gem,,JasperCutT2
JasperCutT3,Gem,,JasperCutT3
JasperCutT4,Gem,,JasperCutT4
MalachiteCutT1,Gem,,MalachiteCutT1
MalachiteCutT2,Gem,,MalachiteCutT2
MalachiteCutT3,Gem,,MalachiteCutT3
MalachiteCutT4,Gem,,MalachiteCutT4
MoonstoneCutT1,Gem,,MoonstoneCutT1
MoonstoneCutT2,Gem,,MoonstoneCutT2
MoonstoneCutT3,Gem,,MoonstoneCutT3
MoonstoneCutT4,Gem,,MoonstoneCutT4
OnyxCutT1,Gem,,OnyxCutT1
OnyxCutT2,Gem,,OnyxCutT2
OnyxCutT3,Gem,,OnyxCutT3
OnyxCutT4,Gem,,OnyxCutT4
OpalCutT1,Gem,,OpalCutT1
OpalCutT2,Gem,,OpalCutT2
OpalCutT3,Gem,,OpalCutT3
OpalCutT4,Gem,,OpalCutT4
RubyCutT1,Gem,,RubyCutT1
RubyCutT2,Gem,,RubyCutT2
RubyCutT3,Gem,,RubyCutT3
RubyCutT4,Gem,,RubyCutT4
SapphireCutT1,Gem,,SapphireCutT1
SapphireCutT2,Gem,,SapphireCutT2
SapphireCutT3,Gem,,SapphireCutT3
SapphireCutT4,Gem,,SapphireCutT4
TopazCutT1,Gem,,TopazCutT1
TopazCutT2,Gem,,TopazCutT2
TopazCutT3,Gem,,TopazCutT3
TopazCutT4,Gem,,TopazCutT4
PearlT1,Gem,,PearlT1
PearlT2,Gem,,PearlT2
PearlT3,Gem,,PearlT3
PearlT4,Gem,,PearlT4
ChitinPadding,Chitin,,ChitinPadding
STRBonusT1,,,STRBonusT1
DEXBonusT1,,,DEXBonusT1
INTBonusT1,,,INTBonusT1
CONBonusT1,,,CONBonusT1
FOCBonusT1,,,FOCBonusT1
STRDEXBonusT1,,,STRDEXBonusT1
STRINTBonusT1,,,STRINTBonusT1
STRCONBonusT1,,,STRCONBonusT1
STRFOCBonusT1,,,STRFOCBonusT1
DEXSTRBonusT1,,,DEXSTRBonusT1
DEXINTBonusT1,,,DEXINTBonusT1
DEXCONBonusT1,,,DEXCONBonusT1
DEXFOCBonusT1,,,DEXFOCBonusT1
INTSTRBonusT1,,,INTSTRBonusT1
INTDEXBonusT1,,,INTDEXBonusT1
INTCONBonusT1,,,INTCONBonusT1
INTFOCBonusT1,,,INTFOCBonusT1
CONSTRBonusT1,,,CONSTRBonusT1
CONDEXBonusT1,,,CONDEXBonusT1
CONINTBonusT1,,,CONINTBonusT1
CONFOCBonusT1,,,CONFOCBonusT1
FOCSTRBonusT1,,,FOCSTRBonusT1
FOCDEXBonusT1,,,FOCDEXBonusT1
FOCINTBonusT1,,,FOCINTBonusT1
FOCCONBonusT1,,,FOCCONBonusT1
Runeglass_Gem_Amber_Heal,Runeglass,,Runeglass_Gem_Amber_Heal
Runeglass_Gem_Amber_Stamina,Runeglass,,Runeglass_Gem_Amber_Stamina
Runeglass_Gem_Amber_Mana,Runeglass,,Runeglass_Gem_Amber_Mana
Runeglass_Gem_Amber_Fire,Runeglass,,Runeglass_Gem_Amber_Fire
Runeglass_Gem_Amber_Ice,Runeglass,,Runeglass_Gem_Amber_Ice
Runeglass_Gem_Amber_Void,Runeglass,,Runeglass_Gem_Amber_Void
Runeglass_Gem_Amber_Lightning,Runeglass,,Runeglass_Gem_Amber_Lightning
Runeglass_Gem_Amber_Nature,Runeglass,,Runeglass_Gem_Amber_Nature
Runeglass_Gem_Amber_Arcane,Runeglass,,Runeglass_Gem_Amber_Arcane
Runeglass_Gem_Amber_Melee,Runeglass,,Runeglass_Gem_Amber_Melee
Runeglass_Gem_Amber_Ranged,Runeglass,,Runeglass_Gem_Amber_Ranged
Runeglass_Gem_Amethyst_Heal,Runeglass,,Runeglass_Gem_Amethyst_Heal
Runeglass_Gem_Amethyst_Stamina,Runeglass,,Runeglass_Gem_Amethyst_Stamina
Runeglass_Gem_Amethyst_Mana,Runeglass,,Runeglass_Gem_Amethyst_Mana
Runeglass_Gem_Amethyst_Fire,Runeglass,,Runeglass_Gem_Amethyst_Fire
Runeglass_Gem_Amethyst_Ice,Runeglass,,Runeglass_Gem_Amethyst_Ice
Runeglass_Gem_Amethyst_Void,Runeglass,,Runeglass_Gem_Amethyst_Void
Runeglass_Gem_Amethyst_Lightning,Runeglass,,Runeglass_Gem_Amethyst_Lightning
Runeglass_Gem_Amethyst_Nature,Runeglass,,Runeglass_Gem_Amethyst_Nature
Runeglass_Gem_Amethyst_Arcane,Runeglass,,Runeglass_Gem_Amethyst_Arcane
Runeglass_Gem_Amethyst_Melee,Runeglass,,Runeglass_Gem_Amethyst_Melee
Runeglass_Gem_Amethyst_Ranged,Runeglass,,Runeglass_Gem_Amethyst_Ranged
Runeglass_Gem_Aquamarine_Heal,Runeglass,,Runeglass_Gem_Aquamarine_Heal
Runeglass_Gem_Aquamarine_Stamina,Runeglass,,Runeglass_Gem_Aquamarine_Stamina
Runeglass_Gem_Aquamarine_Mana,Runeglass,,Runeglass_Gem_Aquamarine_Mana
Runeglass_Gem_Aquamarine_Fire,Runeglass,,Runeglass_Gem_Aquamarine_Fire
Runeglass_Gem_Aquamarine_Ice,Runeglass,,Runeglass_Gem_Aquamarine_Ice
Runeglass_Gem_Aquamarine_Void,Runeglass,,Runeglass_Gem_Aquamarine_Void
Runeglass_Gem_Aquamarine_Lightning,Runeglass,,Runeglass_Gem_Aquamarine_Lightning
Runeglass_Gem_Aquamarine_Nature,Runeglass,,Runeglass_Gem_Aquamarine_Nature
Runeglass_Gem_Aquamarine_Arcane,Runeglass,,Runeglass_Gem_Aquamarine_Arcane
Runeglass_Gem_Aquamarine_Melee,Runeglass,,Runeglass_Gem_Aquamarine_Melee
Runeglass_Gem_Aquamarine_Ranged,Runeglass,,Runeglass_Gem_Aquamarine_Ranged
Runeglass_Gem_Carnelian_Heal,Runeglass,,Runeglass_Gem_Carnelian_Heal
Runeglass_Gem_Carnelian_Stamina,Runeglass,,Runeglass_Gem_Carnelian_Stamina
Runeglass_Gem_Carnelian_Mana,Runeglass,,Runeglass_Gem_Carnelian_Mana
Runeglass_Gem_Carnelian_Fire,Runeglass,,Runeglass_Gem_Carnelian_Fire
Runeglass_Gem_Carnelian_Ice,Runeglass,,Runeglass_Gem_Carnelian_Ice
Runeglass_Gem_Carnelian_Void,Runeglass,,Runeglass_Gem_Carnelian_Void
Runeglass_Gem_Carnelian_Lightning,Runeglass,,Runeglass_Gem_Carnelian_Lightning
Runeglass_Gem_Carnelian_Nature,Runeglass,,Runeglass_Gem_Carnelian_Nature
Runeglass_Gem_Carnelian_Arcane,Runeglass,,Runeglass_Gem_Carnelian_Arcane
Runeglass_Gem_Carnelian_Melee,Runeglass,,Runeglass_Gem_Carnelian_Melee
Runeglass_Gem_Carnelian_Ranged,Runeglass,,Runeglass_Gem_Carnelian_Ranged
Runeglass_Gem_Diamond_Heal,Runeglass,,Runeglass_Gem_Diamond_Heal
Runeglass_Gem_Diamond_Stamina,Runeglass,,Runeglass_Gem_Diamond_Stamina
Runeglass_Gem_Diamond_Mana,Runeglass,,Runeglass_Gem_Diamond_Mana
Runeglass_Gem_Diamond_Fire,Runeglass,,Runeglass_Gem_Diamond_Fire
Runeglass_Gem_Diamond_Ice,Runeglass,,Runeglass_Gem_Diamond_Ice
Runeglass_Gem_Diamond_Void,Runeglass,,Runeglass_Gem_Diamond_Void
Runeglass_Gem_Diamond_Lightning,Runeglass,,Runeglass_Gem_Diamond_Lightning
Runeglass_Gem_Diamond_Nature,Runeglass,,Runeglass_Gem_Diamond_Nature
Runeglass_Gem_Diamond_Arcane,Runeglass,,Runeglass_Gem_Diamond_Arcane
Runeglass_Gem_Diamond_Melee,Runeglass,,Runeglass_Gem_Diamond_Melee
Runeglass_Gem_Diamond_Ranged,Runeglass,,Runeglass_Gem_Diamond_Ranged
Runeglass_Gem_Emerald_Heal,Runeglass,,Runeglass_Gem_Emerald_Heal
Runeglass_Gem_Emerald_Stamina,Runeglass,,Runeglass_Gem_Emerald_Stamina
Runeglass_Gem_Emerald_Mana,Runeglass,,Runeglass_Gem_Emerald_Mana
Runeglass_Gem_Emerald_Fire,Runeglass,,Runeglass_Gem_Emerald_Fire
Runeglass_Gem_Emerald_Ice,Runeglass,,Runeglass_Gem_Emerald_Ice
Runeglass_Gem_Emerald_Void,Runeglass,,Runeglass_Gem_Emerald_Void
Runeglass_Gem_Emerald_Lightning,Runeglass,,Runeglass_Gem_Emerald_Lightning
Runeglass_Gem_Emerald_Nature,Runeglass,,Runeglass_Gem_Emerald_Nature
Runeglass_Gem_Emerald_Arcane,Runeglass,,Runeglass_Gem_Emerald_Arcane
Runeglass_Gem_Emerald_Melee,Runeglass,,Runeglass_Gem_Emerald_Melee
Runeglass_Gem_Emerald_Ranged,Runeglass,,Runeglass_Gem_Emerald_Ranged
Runeglass_Gem_Jasper_Heal,Runeglass,,Runeglass_Gem_Jasper_Heal
Runeglass_Gem_Jasper_Stamina,Runeglass,,Runeglass_Gem_Jasper_Stamina
Runeglass_Gem_Jasper_Mana,Runeglass,,Runeglass_Gem_Jasper_Mana
Runeglass_Gem_Jasper_Fire,Runeglass,,Runeglass_Gem_Jasper_Fire
Runeglass_Gem_Jasper_Ice,Runeglass,,Runeglass_Gem_Jasper_Ice
