SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,SpawnBeamCasterJoint,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,EvenlyDistributeMeteorSpawns,SecondarySpellProjectileLaunchAngles,SecondaryProjectileLaunchMinZSpeeds,SecondaryProjectileLaunchMaxZSpeeds,SecondaryProjectileLaunchZOffset,IgnoreRotationForSecondaryProjectileLaunchZSpd,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
AI_Corruption_Explosion,,,,,,,,,,,,,,,,true,true,,false,5000,,5,,5,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Corruption_Explosion,,,,,Characters/SpellSlices/Elite_Corruption_Explosion,,,,
AI_Corruption_Pool,ApplyCurseL4,,,,,,,,,,,,,,,true,true,,false,7000,,5,,4,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/Elite_Corruption_Pool,,,,
Mutator Effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mut_SilenceArea,Mut_SilenceArea_Effect,,,,,,,,,,false,,,,,true,true,,false,10000,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_SilenceArea,,,,
Mut_RotatingBeam,Mut_RotatingBeam_Damage,,,,true,,,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,5,,,0,,,,,,,10000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_RotatingBeam,,,
Mut_ProjectileShield,,,,,true,,,,,,true,,,,,true,true,,false,-1,,,,0.5,,,,0,1,,,,0,,,,,,,,,,,,,,,true,true,Enemy,Elemental,AoE,,,Sphere,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_ProjectileShield,,,,
Mut_Fir_AOE_1,Mut_Fir_AOE_1_Damage,,,,,,,,,,false,,,,,true,true,,false,5000,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Fir_AOE_1,,,,
Mut_Fir_AOE_2,Mut_Fir_AOE_2_Damage,,,,,,,,,,false,,,,,true,true,,false,5000,,10,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Fir_AOE_1,,,,
Mut_Fir_Death,,,,,,,,,,,,,,,,true,true,,false,5000,,5,,5,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Mut_Fir_Death,,,,,Characters/Expeditions/Mutators/Mut_Fir_Death,,,,
Mut_Voi_Stacks_1,,,,,,,,,,,false,,,,,true,true,,false,5000,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,true,,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Mut_Voi_Stacks_1,,,,,Characters/Expeditions/Mutators/Mut_Voi_Stacks,,,,
Mut_Voi_Stacks_2,,,,,,,,,,,false,,,,,true,true,,false,5000,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,true,,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Mut_Voi_Stacks_2,,,,,Characters/Expeditions/Mutators/Mut_Voi_Stacks,,,,
Mut_Voi_Chain_1,Mut_Voi_Chain_1_Damage,,,,true,,,,,,,,,,,false,false,,true,,,,,5,,,,,,,,,,0.3,5,,,,,,,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Lightning,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Voi_Chain_2,Mut_Voi_Chain_2_Damage,,,,true,,,,,,,,,,,false,false,,true,,,,,5,,,,,,,,,,0.3,5,,,,,,,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Lightning,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Void_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Voi_Death,Mut_Voi_Death_Empower,,,,,,,,,,false,,,,,false,false,,true,1500,,5,,1,,9,9,12,20,10,,,0,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Voi_Death,,,,
Mut_Nat_Pools_1,Mut_Nat_Pools_1_Damage,,,,true,true,true,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,15,,,0,,,,,,,8000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Pools,,,
Mut_Nat_Pools_2,Mut_Nat_Pools_2_Damage,,,,true,true,true,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,15,,,0,,,,,,,8000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Pools_2,,,
Mut_Nat_Crawler_1,,,,,true,,,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,2,,,0,,,,,,,15000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Crawler,,,
Mut_Nat_Crawler_2,,,,,true,,,,,,true,,,,,true,true,,false,-1,,1.5,,0,,,,12,20,2,,,0,,,,,,,15000,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,Characters/Expeditions/Mutators/Mut_Nat_Crawler_2,,,
Mut_Nat_Death,Mut_Nat_Death_Effect,,,,,,,,,,false,,,,,true,true,,false,15000,,5,,3,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Nat_Death,Characters/Expeditions/Mutators/Mut_Nat_Crawler_2,,,
Mut_Ice_CloseZone_1,Mut_Ice_CloseZone_1_Damage,,,,true,,,,,,true,,,,,true,true,,false,-1,,5,,40,4,,,20,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Ice_CloseZone,,,,
Mut_Ice_CloseZone_2,Mut_Ice_CloseZone_2_Damage,,,,true,,,,,,true,,,,,true,true,,false,-1,,5,,40,4,,,20,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Ice_CloseZone,,,,
Mut_Ice_Death,,,,,,,,,,,false,,,,,true,true,,false,5000,,5,,5,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,EliteAffixDamageTable,Mut_Ice_Death,,,,,Characters/Expeditions/Mutators/Mut_Ice_Death,,,,
Mut_Ice_DeathFreeze,Mut_Ice_DeathFreeze_Slow,4,,,,,,,,,false,,,,,true,true,,false,15000,,5,,4,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Mut_Ice_Death_Freeze,,,,
AI_Staggered_Telegraph,,,,,,,,,,,,,,,,true,true,,false,6000,,,,4,,,,0,0,0,,,0,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/ai_stagger_telegraph,,,,
AI_Boss_Victory_Wipe,,,,,,,,,,,true,,,,,true,true,,false,5000,,25,,100,,,,12,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,false,true,true,true,,,,,,,,,,,,,,,,,,,,GenericBossDamageTable,Victory_Wipe,,,,,Characters/SpellSlices/ai_boss_wipe,,,,
AI_Boss_Ally_Wipe,,,,,,,,,,,true,,,,,true,true,,false,5000,,25,,100,,,,12,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,false,true,true,true,,,,,,,,,,,,,,,,,,,,GenericBossDamageTable,Victory_Wipe,,,,,Items/Weapons/spell_aoe_leadership_enemy,,,,
AI_GraveDigger_Heal_Siphon_Projectile,,,,true,,,,,,,,true,true,,,,true,Celestial_Heal_AoE,false,200,,,,,,,,4,,,,,0,,,,,,,,,,,,,,,,,Friend,Celestial,Projectile,,,,,,true,,,,,Siphon,Basic,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_proj_siphon,,Celestial_Heal_Siphon,,
AI_GraveDigger_Siphon,,,,,true,,,,,,true,,,,,true,true,,false,-1,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,UndeadGravediggerDamageTable,Undead_GraveDigger_Siphon,,,,,Characters/SpellSlices/undead_gravedigger_siphon,,,,
AI_Spellcaster_Ranged_AOE,PoisonCloud,,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE,false,1500,,5,,6,,,,30,5,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,Fire,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_ai_caster_aoe_base,,,,
Dryad_Ranged_AOE,PoisonCloud,,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE,false,15000,,5,,3,,,,30,2.5,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/dryad_ranged_aoe,,,,
AI_Dynasty_Summoner_Execution_Sword,,,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE,false,25000,,5,,3,,,,30,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/dynasty_summoner_execution_sword,,,,
AI_Torso_Boss_Shrink,AI_Torso_Boss_ArenaShrink,,,,,,,,,,true,,,,,true,true,Elemental_Fire_AoE,false,-1,,5,,12,,,,30,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/arenashrink,,,,
AI_Torso_Boss_Shrink_L_Tell,,,,,,,,,,,true,,,,,true,true,Elemental_Fire_AoE,false,-1,,5,,12,,,,30,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/arenashrink_tell_L,,,,
AI_Torso_Boss_Shrink_R_Tell,,,,,,,,,,,true,,,,,true,true,Elemental_Fire_AoE,false,-1,,5,,12,,,,30,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/arenashrink_tell_R,,,,
AI_Torso_Boss_Shrink_R,AI_Torso_Boss_ArenaShrink,,,,,,,,,,true,,,,,true,true,Elemental_Fire_AoE,false,-1,,5,,12,,,,30,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/arenashrink_right,,,,
AI_OR_Boss_Aura,,,,,,,,,,,,,,,,true,true,Elemental_Fire_AoE,false,25000,,5,,3,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/or_boss_frost_aura,,,,
AI_OR_Ghost_Frozen_IceBomb,,,,,,,,,,,true,,,,,true,true,,false,1000,,5,,0,,,,12,20,1.5,,,0,,,,,,,750,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,BaronessHainDamageTable,Spell_Frozen_Summon_Icicle,,,,,Characters/SpellSlices/spell_meteor_spawn_ice_bomb,Characters/SpellSlices/or_boss_ghost_frozen_ice_bomb,,,
AI_Naga_AngryEarth_Poison_Trail,,,,,true,true,true,,,,true,,,,,true,true,,false,-1,,5,,1,,,,0,5,0,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,Burnout,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/spell_meteor_spawn_elite,,AI_Naga_AngryEarth_Poison_Trail_Spawn,,
AI_Naga_AngryEarth_Poison_Trail_Spawn,,,,,,,,,,,,,,,,true,true,,false,8500,,5,,2,,,,3,5,0,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/Poison_Trail,,,,
AI_Naga_AngryEarth_Channel_Poison,AI_Naga_AngryEarth_Channel_Poison,,,,true,,,,,,true,,,,,false,false,,true,4000,,5,,80,,,,12,20,20,,,,4,1,,,,,,,,,,,,,,,Enemy,Elemental,Chain,true,,Sphere,,,,,true,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,cFX_npc_AngryEarthNaga.Poison_Pool_Beam,,Items/Weapons/spell_aoe_leadership_enemy,,,,
AI_Naga_AngryEarth_Poison_Pool,,,,,,,,,,,true,,,,,true,true,Elemental_Fire_AoE,false,25000,,5,,3,,,,30,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/naga_angryEarth_poison_pool,,,,
AI_Naga_AngryEarth_MassiveAOE,,,,,,,,,,,true,,,,,true,true,,false,10000,,5,,50,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,false,true,,true,,,,,,,,,,,,,,,,,,,,NagaAngryEarthDamageTable,Massive_AOE,,,,,Characters/SpellSlices/Naga_AngryEarth_MassiveAOE,,,,
AI_Naga_AngryEarth_SummonBoulder,,,,,,,,,,,true,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,false,true,,,,,AI_Naga_AngryEarth,Boulder,,,,,,,,,,,,-4,,,,,,,,,,Characters/SpellSlices/Naga_AngryEarth_DestructibleBoulder,,,,
AI_Naga_AngryEarth_Victory,,,,,,,,,,,true,,,,,true,true,,false,10000,,5,,30,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,false,true,,true,,,,,,,,,,,,,,,,,,,,NagaAngryEarthDamageTable,Massive_AOE,,,,,Characters/SpellSlices/Naga_AngryEarth_Victory,,,,
AI_Naga_AncientGuardian_Bomb,,,,,,,,,,,true,true,true,,,true,true,,false,-1,,7.5,,10,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,,,,,,,,,,,,,,,,,,,,,,NagaAncientGuardianDamageTable,Arcane_Bomb,,,,,Characters/SpellSlices/naga_ancientguardian_arcanebomb,,,,
AI_Naga_AncientGuardian_Bomb_Apply,AI_Naga_AncientGuardian_Bomb_StatusEffect,,,,,,,,,,true,true,true,,,false,false,,true,1000,,2.5,,40,,,,12,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/naga_ancientguardian_arcanebomb_apply,,,,
AI_Naga_AncientGuardian_Snare,,,,,,,,,,,true,,,,,true,true,,false,400,,5,,0,,,,12,20,10,,,0,,,,,,,100,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,,,NagaAncientGuardianDamageTable,Arcane_Snare,,,,,Characters/SpellSlices/spell_meteor_spawn_ice_bomb,Characters/SpellSlices/naga_ancientguardian_arcanesnare,,,
AI_Naga_AncientGuardian_Snare_Trail,,,,,,,,,,,true,,,,,true,true,,false,1000,,5,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,Burnout,,,,,,true,,,,,,,,,,,,,,,,,,,,,,NagaAncientGuardianDamageTable,Arcane_Snare,,,,,Items/Weapons/spell_aoe_leadership_enemy,,AI_Naga_AncientGuardian_Snare_Trail_Spawn,,
AI_Naga_AncientGuardian_Snare_Trail_Spawn,,,,,,,,,,,,,,,,true,true,,false,5500,,5,,2,,,,3,5,0,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/SpellSlices/naga_ancientguardian_arcanesnare,,,,
AI_Naga_AncientGuardian_Arc,"AI_Naga_AncientGuardian_Arc_Damage,AI_Naga_AncientGuardian_Arc_Range",,,,true,,,,,,,true,true,,,false,false,,true,,,,,4.8,,,,,,,,,,1.3,5,,,,,,,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Arcane,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,wFX_Arcane_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
AI_Naga_AncientGuardian_Arc_Apply,AI_Naga_AncientGuardian_Arc_StatusEffect,,,,,,,,,,true,true,true,,,true,true,,true,500,,7.5,,0.5,,,,12,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,NagaAncientGuardianDamageTable,Arcane_Arc,,,,,Characters/SpellSlices/naga_ancientguardian_arcanearc_apply,,,,
AI_Naga_AncientGuardian_Arc_Range,,,,,true,true,true,,,,,,,,,false,false,,true,2100,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Arcane_Range.Chain,,Characters/SpellSlices/naga_ancientguardian_arcanearc_range,,,,
AI_Naga_AncientGuardian_Wave,,,,,,,,,,,true,,,,,true,true,,false,4100,,1,1,6,,,,12,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,Projectile,,,Box,,,true,,,,,AI_Naga_AncientGuardian,Wave,,0,0,0,0,0,0,,,,,,,,,NagaAncientGuardianDamageTable,Arcane_Wave,,,,,Characters/SpellSlices/naga_ancientguardian_arcanewave,,,,
AI_Naga_Corrupted_Volley,,,,,,,,,,,true,,,,,true,true,,false,2000,,0,,0,,,,20,30,30,,,0,,,,,,,15,,,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,AI_Ranged_AOE,Meteor,,,,,,,,,,,,,,ZNegative,,NagaCorruptedDamageTable,Volley,,,,,Characters/SpellSlices/Naga_Corrupted/AI_Naga_Corrupted_Volley,Characters/SpellSlices/Naga_Corrupted/AI_Naga_Corrupted_Volley_Arrow,,,
AI_Naga_Corrupted_SummonCorruptionCore,,,,,,,,,,,true,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,false,true,,,,,AI_Ranged_AOE,Basic,,,,,,,,,-2,,,,,,,NagaCorruptedDamageTable,Corruption_Core_Summon,,,,,Characters/SpellSlices/Naga_Corrupted/AI_Naga_Corrupted_CorruptionCore,,,,
