SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,DoNotSyncToJointOnClient,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,SpawnBeamCasterJoint,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,EvenlyDistributeMeteorSpawns,SecondarySpellProjectileLaunchAngles,SecondaryProjectileLaunchMinZSpeeds,SecondaryProjectileLaunchMaxZSpeeds,SecondaryProjectileLaunchZOffset,IgnoreRotationForSecondaryProjectileLaunchZSpd,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,AOECharRelPosOffsetX,AOECharRelPosOffsetY,AOECharRelPosOffsetZ,AOECharRelRotOffsetX,AOECharRelRotOffsetY,AOECharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
AI_Dahut_Sacrifice_CancelTimer,AI_Dahut_Sacrifice_CancelTimer,,,,true,,,,,,,,,,,,false,false,,true,3000,,5,,70,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_Dahut_Sacrifice_CancelTimer,,,,
AI_PalatineGuard_Combo_1,AI_PalatineGuard_Combo_1,,,,false,,,,,,,,,,,,false,false,,true,3000,,10,,10,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Combo_1,,,,
AI_PalatineGuard_Combo_2,AI_PalatineGuard_Combo_2,,,,false,,,,,,,,,,,,false,false,,true,3000,,10,,10,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Combo_2,,,,
AI_PalatineGuard_Combo_Check,AI_PalatineGuard_Combo_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,60,,60,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Combo_Check,,,,
AI_PalatineGuard_Combo_Once,AI_PalatineGuard_Combo_Once,,,,false,,,,,,,,,,,,false,false,,true,3000,,60,,60,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Combo_Once,,,,
AI_PalatineArcher_Combo_Check,AI_PalatineArcher_Combo_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,60,,60,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_Combo_Check,,,,
AI_PalatineHalberd_Combo_Check,AI_PalatineHalberd_Combo_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,60,,60,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_Combo_Check,,,,
AI_PalatineShield_Combo_Check,AI_PalatineShield_Combo_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,60,,60,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Combo_Check,,,,
AI_PalatineSwordsman_Combo_Check,AI_PalatineSwordsman_Combo_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,60,,60,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineSwordsman_Combo_Check,,,,
AI_PalatineGuard_Signature_Start_Check,AI_PalatineGuard_Signature_Start_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,30,,70,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Signature_Start_Check,,,,
AI_PalatineGuard_Dahut_Signature_Check,AI_PalatineGuard_Signature_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,50,,90,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Signature_Check,,,,
AI_PalatineGuard_Rally_Check,AI_PalatineGuard_Rally_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,30,,70,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_Rally_Check,,,,
AI_PalatineGuard_ArcherRally_Check,AI_PalatineGuard_ArcherRally_Check,,,,false,,,,,,,,,,,,false,false,,true,3000,,30,,70,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,Sphere,,,true,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuard_ArcherRally_Check,,,,
AI_PalatineArcher_Rally_Mark,,,,,true,,,,true,,,true,true,,,,,true,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_Rally_Mark,,,,
AI_PalatineHalberd_Smite_Rally_Mark,,,,,true,,,,true,,,true,true,,,,,true,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_Rally_Mark,,,,
AI_PalatineHalberd_Rally_Mark,,,,,true,,,,true,,,true,true,,,,,true,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_Rally_Mark,,,,
AI_PalatineShield_Rally_Mark,,,,,true,,,,true,,,true,true,,,,,true,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Rally_Mark,,,,
AI_PalatineSwordsman_BladeRush_Rally_Mark,,,,,true,,,,true,,,true,true,,,,,true,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineSwordsman_Rally_Mark,,,,
AI_PalatineSwordsman_Rally_Mark,,,,,true,,,,true,,,true,true,,,,,true,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineSwordsman_Rally_Mark,,,,
AI_PalatineHalberd_Apprehend1,,,,,,,,,,,,true,true,,,,true,true,,false,3000,,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Box,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Apprehend1,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_Apprehend1,,,,
AI_PalatineHalberd_Apprehend2,,,,,,,,,,,,true,true,,,,true,true,,false,3000,,60,,12,,,,0,0,,30,2,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Wedge,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Apprehend2,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_Apprehend2,,,,
AI_PalatineHalberd_Smite,,,,,,,,,,,,true,true,,,,,,,,3000,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,,,,,,AI_Ranged_AOE,Basic,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Smite,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_Smite,,,,
AI_PalatineHalberd_DecimateJail_Prison,AI_PalatineHalberd_DecimateJail_Prison,,,,,,,,,,,true,true,,,,false,false,,true,5000,,10,,11,9,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Decimate_Jail_Prison,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_DecimateJail_Test,,,,
AI_PalatineHalberd_DecimateJail_Prison_Scaled,AI_PalatineHalberd_DecimateJail_Prison,,,,,,,,,,,true,true,,,,false,false,,true,7500,,10,,11,9,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Decimate_Jail_Prison,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_DecimateJail_Scaled,,,,
AI_PalatineHalberd_LostPull,,,,,,,,,,,,true,true,,,,true,true,,false,3000,,10,,40,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Pull,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_LostPull,,,,
AI_PalatineHalberd_LostPull_Empower,,,,,,,,,,,,true,true,,,true,true,true,,true,2000,,10,,10,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Pull_Detection,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineHalberd_LostPull_Empower,,,,
AI_PalatineArcher_StrandedTether_Projectile,,,,,,,,,,,true,true,true,true,,,,true,,false,1,,,,0.2,,,,80,,,,,0,,,,,,,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,,AI_Lost_PalatineGuard_Archer,Stranded_Tether,Xform,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Stranded_Tether_Projectile,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/PalatineArcher_Stranded_Tether_Projectile,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_StrandedTether_Root,AI_PalatineArcher_StrandedTether_Root,,
AI_PalatineArcher_StrandedTether_Root,,,,,true,,,,true,,,true,true,,,,false,true,,false,5000,,,,4,,,,,,,,,0,,,,,,,,,,,,,,,,,Enemy,Ability,Direct,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_StrandedTether_Root,,,,
AI_PalatineArcher_Lost_Fission,,,,,true,,,,true,,,true,true,,,,,true,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_Lost_Fission,,,,
AI_PalatineArcher_Lost_Fission_Empower,,,,,true,,,,true,,,true,true,,,,,true,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_Lost_Fission_Empower,,,,
AI_PalatineArcher_Meteor_Flare,,,,,,,,,,,,true,true,,,,,,,false,5000,,0,,8,1,,,0,3,3.25,,,0,,,,,,,350,,true,,,,,,,,Enemy,Elemental,Meteor,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_MeteorFlare_Spawner,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_MeteorFlare_Impact,,,
AI_PalatineArcher_Meteor_Flare_Rally,,,,,,,,,,,,true,true,,,,,false,,false,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friend,Elemental,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/PalatineArcher_MeteorFlare_Rally_WP,,,,
AI_PalatineArcher_Blazzing_Fission,,,,,true,,,,true,,true,true,true,,,,,true,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineArcher_Blazzing_Fission,,,,
AI_PalatineShield_LostGong_Tel_1,,,,,,,,,,,,true,true,,,,true,true,,false,1000,,5,,7,0,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Tel_1,,,,
AI_PalatineShield_LostGong_Tel_2,,,,,,,,,,,,true,true,,,,true,true,,false,1000,,5,,14,7,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Tel_2,,,,
AI_PalatineShield_LostGong_Tel_3,,,,,,,,,,,,true,true,,,,true,true,,false,1000,,5,,21,14,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Tel_3,,,,
AI_PalatineShield_LostGong_Tel_4,,,,,,,,,,,,true,true,,,,true,true,,false,1000,,5,,28,21,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Tel_4,,,,
AI_PalatineShield_LostGong_Tel_5,,,,,,,,,,,,true,true,,,,true,true,,false,1000,,5,,35,28,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Tel_5,,,,
AI_PalatineShield_LostGong_Wave_1,,,,,,,,,,,,true,true,,,,true,true,,false,250,,5,,7,0,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Gong,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Wave_1,,,,
AI_PalatineShield_LostGong_Wave_2,,,,,,,,,,,,true,true,,,,true,true,,false,250,,5,,14,7,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Gong,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Wave_2,,,,
AI_PalatineShield_LostGong_Wave_3,,,,,,,,,,,,true,true,,,,true,true,,false,250,,5,,21,14,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Gong,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Wave_3,,,,
AI_PalatineShield_LostGong_Wave_4,,,,,,,,,,,,true,true,,,,true,true,,false,250,,5,,28,21,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Gong,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Wave_4,,,,
AI_PalatineShield_LostGong_Wave_5,,,,,,,,,,,,true,true,,,,true,true,,false,250,,5,,35,28,,,28,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,SquareToroid,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Gong,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostGong_Wave_5,,,,
AI_PalatineShield_LostBite,,,,,,,,,,,,true,true,,,,true,true,,false,250,,1,,8,,,,0.4,0.1,0.1,40,1,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Wedge,,,true,,true,,,,,aim_direction,,,,,,,,,,,,,,,,,,,,,LostPalatineGuardsDamageTable,Lost_Bite,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineShield_Spell_LostBite,,,,
AI_PalatineSword_LostBreaker,,,,,,,,,,,,,true,,,,true,true,,false,1800,,1,,36,,,,60,0,,0,0,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Cylinder,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineSword_Spell_LostBreaker,,,,
