SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,DoNotSyncToJointOnClient,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,AOECharRelPosOffsetX,AOECharRelPosOffsetY,AOECharRelPosOffsetZ,AOECharRelRotOffsetX,AOECharRelRotOffsetY,AOECharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Mut_Ice_Curse1_Minor,Mut_Curse1_Ice_Minor_Chain_Damage,,,,true,,,,,,,,,true,true,,,false,false,,true,,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,Elemental,Chain,,,Sphere,Ice,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
Mut_Fir_Curse1_Major,Mut_Curse1_Fir_Major_Damage_DoT,,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Fire,,true,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Fir_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Fir_Curse1_Major,,,,
Mut_Lig_Curse1_Major,Mut_Curse1_Lig_Major_Damage_DoT,,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Lightning,,true,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Lig_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Lig_Curse1_Major,,,,
Mut_Voi_Curse1_Major,Mut_Curse1_Voi_Major_Damage_DoT,,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Corruption,,true,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Voi_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Voi_Curse1_Major,,,,
Mut_Nat_Curse1_Major,Mut_Curse1_Nat_Major_Damage_DoT,,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Nature,,true,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Nat_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Nat_Curse1_Major,,,,
Mut_Ice_Curse1_Major,Mut_Curse1_Ice_Major_Damage_DoT,,,,,,,,,,,,,true,true,,,true,true,,true,15000,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,Ice,,true,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,MutatorDamageTable,Mut_Ice_Curse1_Cleanse,,,,,Characters/Expeditions/Mutators/Curse1/Mut_Ice_Curse1_Major,,,,
Mut_Curse2_Minor,Mut_Curse2_Minor_SlowRend,,,,false,false,false,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse2/Mut_Curse2_Minor,,,,
Mut_Fir_Curse3_Minor_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Fir_Curse3_Minor,,,,
Mut_Fir_Curse3_Minor,Mut_Fir_Curse3_Minor_Damage,,,,true,,,,,,,,,true,true,,,false,false,,true,-1,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,,Chain,,,Sphere,Fire,true,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Characters/Expeditions/Mutators/Curse3/mut_curse3_chain_detection,,,,
Mut_Voi_Curse3_Minor_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Voi_Curse3_Minor,,,,
Mut_Voi_Curse3_Minor,Mut_Voi_Curse3_Minor_Damage,,,,true,,,,,,,,,true,true,,,false,false,,true,-1,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,,Chain,,,Sphere,Corruption,true,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Void_Range.Chain,,Characters/Expeditions/Mutators/Curse3/mut_curse3_chain_detection,,,,
Mut_Nat_Curse3_Minor_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Nat_Curse3_Minor,,,,
Mut_Nat_Curse3_Minor,Mut_Nat_Curse3_Minor_Damage,,,,true,,,,,,,,,true,true,,,false,false,,true,-1,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,,Chain,,,Sphere,Nature,true,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Nature_Range.Chain,,Characters/Expeditions/Mutators/Curse3/mut_curse3_chain_detection,,,,
Mut_Ice_Curse3_Minor_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Ice_Curse3_Minor,,,,
Mut_Ice_Curse3_Minor,Mut_Ice_Curse3_Minor_Damage,,,,true,,,,,,,,,true,true,,,false,false,,true,-1,,,,4,,,,,,,,,,0.25,4,,,,,,,,,All,,Chain,,,Sphere,Ice,true,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Ice_Range.Chain,,Characters/Expeditions/Mutators/Curse3/mut_curse3_chain_detection,,,,
Mut_Curse3_Major_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Curse3_Major,,,,
Mut_Fir_Curse3_Major_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Fir_Curse3_Major,,,,
Mut_Voi_Curse3_Major_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Voi_Curse3_Major,,,,
Mut_Nat_Curse3_Major_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Nat_Curse3_Major,,,,
Mut_Ice_Curse3_Major_Tell,,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,4,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Ice_Curse3_Major,,,,
Mut_Base_Curse3_Major,Mut_Base_Curse3_Major_Heal,,,,true,,,,,,,,,true,true,,,true,true,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse3/Mut_Curse3_Major,,,,
Mut_Fir_Curse4_Minor,Mut_Fir_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Fir_Curse4_Major,,,,
Mut_Voi_Curse4_Minor,Mut_Voi_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Voi_Curse4_Major,,,,
Mut_Nat_Curse4_Minor,Mut_Nat_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Nat_Curse4_Major,,,,
Mut_Ice_Curse4_Minor,Mut_Ice_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Ice_Curse4_Major,,,,
Mut_Fir_Curse4_Major,Mut_Fir_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Fir_Curse4_Major_Mana,,,,
Mut_Voi_Curse4_Major,Mut_Voi_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Voi_Curse4_Major_Mana,,,,
Mut_Nat_Curse4_Major,Mut_Nat_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Nat_Curse4_Major_Mana,,,,
Mut_Ice_Curse4_Major,Mut_Ice_Curse4_Minor_Damage,,,,,,,,,,,,,true,true,,,false,false,,true,-1,,,,3,,,,0,0,,,,,,,,,,,,,,,All,,AOE,,,Sphere,,,true,true,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characters/Expeditions/Mutators/Curse4/Mut_Ice_Curse4_Major_Mana,,,,
ChainLightningPerk1,ChainLightningDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.3,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Lightning,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Lightning_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainLightningPerk2,ChainLightningDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,2000,,,,6,,,,,,,,,,0.3,2,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Lightning,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Lightning_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainLightningPerk3,ChainLightningDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,3000,,,,6,,,,,,,,,,0.3,3,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Lightning,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Lightning_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainFirePerk1,ChainFireDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.3,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Fire,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainFirePerk2,ChainFireDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,2000,,,,6,,,,,,,,,,0.3,2,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Fire,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainFirePerk3,ChainFireDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,3000,,,,6,,,,,,,,,,0.3,3,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Fire,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Fire_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainArcanePerk1,ChainArcaneDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,1000,,,,6,,,,,,,,,,0.3,1,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Arcane,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Arcane_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainArcanePerk2,ChainArcaneDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,2000,,,,6,,,,,,,,,,0.3,2,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Arcane,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Arcane_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
ChainArcanePerk3,ChainArcaneDamage,,,,true,,,,,,,,,true,true,,,false,false,,true,3000,,,,6,,,,,,,,,,0.3,3,,,,,,,,,Enemy,Elemental,Chain,,,Sphere,Arcane,true,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wFX_Arcane_Range.Chain,,Items/Weapons/spell_aoe_leadership_enemy,,,,
