SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,SpawnSecondaryOnPassthrough,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID,TrackableByOwner
VoidGauntlet_DecayingOrb_Detonate_Damage_AoE,,,,,,,,,,,,,,,,,,true,true,,false,300,,5,,4,,,,20,5,4,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,Corruption,true,true,,,,,,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_DecayingOrb_Detonate_Damage,,,,,Items/Weapons/VoidGauntlet_DecayingOrb_Detonate_Damage_AoE,,,,,true
VoidGauntlet_DecayingOrb_Detonate_Heal_AoE,VoidGauntlet_DecayingOrb_Detonate_Heal,,,,,,,,,,,,,,,,,true,true,,false,300,,5,,4,,,,20,5,4,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/VoidGauntlet_DecayingOrb_Detonate_Heal_AoE,,,,,true
VoidGauntlet_DrainingTether_Projectile,,,,true,,,,,,,,,,true,true,,,,true,VoidGauntlet_DrainingTether,false,-1,,,,1,,,,5,5,3,,,0,,,,,,,,,,,All,Ability,Projectile,,,,,,true,,,,VoidGauntlet,DrainingTether,right_hand_attach,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_DrainingTether,,,,,Items/Weapons/VoidGauntlet_DrainingTether_Proj,,VoidGauntlet_DrainingTether,,,
VoidGauntlet_DrainingTether,VoidGauntlet_DrainingTether_Weaken,,,true,,,,,,,,,true,true,true,,,true,true,,true,10000,,,,20,,,,5,5,3,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_DrainingTether,,,wFX_VoidGaunt_Decay.Drain_HitScan,,Items/Weapons/VoidGauntlet_DrainingTether_Connect,,VoidGauntlet_DrainingTether_AoE,,,
VoidGauntlet_DrainingTether_AoE,VoidGauntlet_DrainingTether_Empower,,,true,,,,,,,,,,true,true,,,true,true,,true,10000,,5,,20,,,,5,5,3,,,0,,,,,,,,,,,Friend,Ability,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,wFX_VoidGaunt_Decay.Drain_HitScan,,Items/Weapons/spell_aoe_heal,,,,,
VoidGauntlet_EssenceRupture_Projectile,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_EssenceRupture,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,EssenceRupture,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_EssenceRupture,,,,,Items/Weapons/VoidGauntlet_EssenceRupture_Projectile,,,,,
VoidGauntlet_EssenceRupture_Stamina_Projectile,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_EssenceRupture,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,EssenceRupture,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_EssenceRupture_Stamina,,,,,Items/Weapons/VoidGauntlet_EssenceRupture_Projectile,,,,,
VoidGauntlet_EssenceRupture_AoE_OnEnd_Projectile,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_EssenceRupture,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,EssenceRupture,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_EssenceRupture_AoE_OnEnd,,,,,Items/Weapons/VoidGauntlet_EssenceRupture_Projectile,,,,,
VoidGauntlet_EssenceRupture_Heal_AoE,VoidGauntlet_EssenceRupture_AoE_Heal,,,,,,,,,,,,,,,,,true,true,,false,300,,5,,4,,,,20,5,4,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/VoidGauntlet_EssenceRupture_Heal_AoE,,,,,
VoidGauntlet_EmpowerCloseRange_Detection,,,,,true,,,,,,,,,,,,true,true,true,,false,-1,,,,5,,,,0,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,Passive_VoidGauntlet_EmpowerCloseRange,,,,Items/Weapons/spell_NumAroundMe_Enemy,,,,,
VoidGauntlet_SiphonAura_AoE,,,,,true,,,,,,,,,,,,,true,true,,false,5000,,,,3,,,,0,,,,,0,,,,,,,,,,,All,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,Ultimate_VoidGauntlet_DotHealAura,,,,Items/Weapons/VoidGauntlet_SiphonAura,,VoidGauntlet_SiphonAura_DoT,,VoidGauntlet_SiphonAura_Heal,true
VoidGauntlet_SiphonAura_DoT,VoidGauntlet_SiphonAura_DoT,,,,,,,,,,,,,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoidGauntlet_SiphonAura_Heal,VoidGauntlet_SiphonAura_Heal,,,,,,,,,,,,,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Friend,Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
