ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon,ScheduleId
08a04_08a12_CaptainsOrders,Journey,,,,,,,08a04_08a12_d_00_container_CaptainsOrders,0827_Bardroy_01,,08a_Quest_12,08_Quest_15 && 99F_MSQ_08,,,08a04_08a12_CaptainsOrders_success,,,,,,,,1,@08_SQ_ER_RetrievePuzzleBox_title,@08_SQ_ER_RetrievePuzzleBox_desc,@08_SQ_ER_RetrievePuzzleBox_Bardroy_start_prompt,@08_SQ_ER_RetrievePuzzleBox_proposal,@08_SQ_ER_RetrievePuzzleBox_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_RetrievePuzzleBox_complete,,,,TRUE,,,,,,,
08a05_08a06_ShrineCleansing,Journey,,,,,,,08a05_08a06_d_00_container_ShrineCleansing,08_ArtificerLong_01,,08a_Quest_06,99F_MSQ_08 && 08a_Quest_09,,,08a05_08a06_ShrineCleansing_success,,,,,,,,1,@08_SQ_ER_CleanseShrine_title,@08_SQ_ER_CleanseShrine_desc,@08_SQ_ER_CleanseShrine_ArtificerLong_start_prompt,@08_SQ_ER_CleanseShrine_proposal,@08_SQ_ER_CleanseShrine_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_CleanseShrine_complete,,,,TRUE,,,,,,,
0828_0803_Legacy,Journey,,,,,,,0828_0803_d_00_container_Legacy,0828_YueLai_02,,08_Quest_25,99F_MSQ_08 && 08_Quest_24,,,0828_0803_Legacy_success,,,,,,,,TRUE,@08_SQ_ER_CollectScrolls_title,@08_SQ_ER_CollectScrolls_desc,@08_SQ_ER_CollectScrolls_YueLai_start_prompt,@08_SQ_ER_CollectScrolls_proposal,@08_SQ_ER_CollectScrolls_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_CollectScrolls_complete,,,,TRUE,,,,,,,
0829_0801_LuckyRed,Journey,,,,,,,0829_0801_d_00_container_LuckyRed,0829_Enlai,,08_Quest_16,99F_MSQ_08,,,0829_0801_LuckyRed_success,,,,,,,,TRUE,@08_SQ_ER_GetPawFromClaw_title,@08_SQ_ER_GetPawFromClaw_desc,@08_SQ_ER_GetPawFromClaw_Enlai_start_prompt,@08_SQ_ER_GetPawFromClaw_proposal,@08_SQ_ER_GetPawFromClaw_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_GetPawFromClaw_complete,,,,TRUE,,,,,,,
08a05_08a13_SkysongsEnd,Journey,,,,,,,08a05_08a13_d_00_container_SkysongsEnd,08_ArtificerLong_02,,08a_Quest_13,99F_MSQ_08 && 08a_Quest_06,,,08a05_08a13_SkysongsEnd_success,,,,,,,,1,@08_SQ_ER_DisruptMeeting_title,@08_SQ_ER_DisruptMeeting_desc,@08_SQ_ER_DisruptMeeting_ArtificerLong_start_prompt,@08_SQ_ER_DisruptMeeting_proposal,@08_SQ_ER_DisruptMeeting_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_DisruptMeeting_complete,,,,TRUE,,,,,,,
0829_0802_StringsOfFate,Journey,,,,,,,0829_0802_d_00_container_StringsOfFate,0829_Enlai_01,,08_Quest_17,08_Quest_16 && 99F_MSQ_08,,,0829_0802_StringsOfFate_success,,,,,GypsumOrb,1,,TRUE,@08_SQ_ER_GetStringFromCorrupted_title,@08_SQ_ER_GetStringFromCorrupted_desc,@08_SQ_ER_GetStringFromCorrupted_Enlai_start_prompt,@08_SQ_ER_GetStringFromCorrupted_proposal,@08_SQ_ER_GetStringFromCorrupted_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_GetStringFromCorrupted_complete,,,,TRUE,,,,,,,
08a02_08a08a_CorruptedCritics,Journey,,,,,,,08a02_08a08a_d_00_container_CorruptedCritics,08_Redridge_01,,08a_Quest_08a,99F_MSQ_09 && 08a_Quest_01,,,08a02_08a08a_CorruptedCritics_success,,,,,,,,1,@08_SQ_ER_AvengePlay_title,@08_SQ_ER_AvengePlay_desc,@08_SQ_ER_AvengePlay_Redridge_start_prompt,@08_SQ_ER_AvengePlay_proposal,@08_SQ_ER_AvengePlay_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_AvengePlay_complete,,,,TRUE,,,,,,,
08a11_08a03_EndOfHerReign,Journey,,60,,,,,08a11_08a03_d_00_container_EndOfHerReign,08_Zeng_01,,08a_Quest_03,99F_MSQ_12 && 08a_Quest_02,,,08a11_08a03_EndOfHerReign_success,,,,,GypsumOrb,1,,0,@08_SQ_ER_EndEmpress_title,@08_SQ_ER_EndEmpress_desc,@08_SQ_ER_EndEmpress_Zeng_start_prompt,@08_SQ_ER_EndEmpress_proposal,@08_SQ_ER_EndEmpress_incomplete,@complete_available_prompt_DEFAULT,@08_SQ_ER_EndEmpress_complete,,,,TRUE,,,,,,,
0899_0801_Liberation_2,Journey,,,,,,,0899_0801_d_00_container_Liberation,0899_Liberator_2,,0899_0801_Liberation_done,,,,0899_0801_Liberation_success,,,,,,,1,1,@0899_0801_Liberation_objective_title,@0899_0801_Liberation_objective_desc,@0899_0801_Liberation_start,@0899_0801_Liberation_proposal,@0899_0801_Liberation_incomplete,@complete_available_prompt_DEFAULT,@0899_0801_Liberation_complete_available_response,@0899_0801_Liberation_Cooldown,,,TRUE,,,,,,true,Daily
FM_0801_objective,Mission,,,,,true,true,FM_0801_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0802_objective,Mission,,,,,true,true,FM_0802_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0803_objective,Mission,,,,,true,true,FM_0803_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0804_objective,Mission,,,,,true,true,FM_0804_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0805_objective,Mission,,,,,true,true,FM_0805_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0806_objective,Mission,,,,,true,true,FM_0806_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0807_objective,Mission,,,,,true,true,FM_0807_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0808_objective,Mission,,,,,true,true,FM_0808_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0809_objective,Mission,,,,,true,true,FM_0809_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0810_objective,Mission,,,,,true,true,FM_0810_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0801_objective,Mission,,,,,true,true,FM_S_0801_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0802_objective,Mission,,,,,true,true,FM_S_0802_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0803_objective,Mission,,,,,true,true,FM_S_0803_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0804_objective,Mission,,,,,true,true,FM_S_0804_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0805_objective,Mission,,,,,true,true,FM_S_0805_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0806_objective,Mission,,,,,true,true,FM_S_0806_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0807_objective,Mission,,,,,true,true,FM_S_0807_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0808_objective,Mission,,,,,true,true,FM_S_0808_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0809_objective,Mission,,,,,true,true,FM_S_0809_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0810_objective,Mission,,,,,true,true,FM_S_0810_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0801_objective,Mission,,,,,true,true,FM_C_0801_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0802_objective,Mission,,,,,true,true,FM_C_0802_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0803_objective,Mission,,,,,true,true,FM_C_0803_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0804_objective,Mission,,,,,true,true,FM_C_0804_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0805_objective,Mission,,,,,true,true,FM_C_0805_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0806_objective,Mission,,,,,true,true,FM_C_0806_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0807_objective,Mission,,,,,true,true,FM_C_0807_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0808_objective,Mission,,,,,true,true,FM_C_0808_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0809_objective,Mission,,,,,true,true,FM_C_0809_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0810_objective,Mission,,,,,true,true,FM_C_0810_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0861_objective,Mission,,,,,true,true,FM_0861_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0862_objective,Mission,,,,,true,true,FM_0862_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0863_objective,Mission,,,,,true,true,FM_0863_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0864_objective,Mission,,,,,true,true,FM_0864_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0865_objective,Mission,,,,,true,true,FM_0865_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0866_objective,Mission,,,,,true,true,FM_0866_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0867_objective,Mission,,,,,true,true,FM_0867_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0868_objective,Mission,,,,,true,true,FM_0868_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0869_objective,Mission,,,,,true,true,FM_0869_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_0870_objective,Mission,,,,,true,true,FM_0870_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0861_objective,Mission,,,,,true,true,FM_S_0861_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0862_objective,Mission,,,,,true,true,FM_S_0862_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0863_objective,Mission,,,,,true,true,FM_S_0863_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0864_objective,Mission,,,,,true,true,FM_S_0864_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0865_objective,Mission,,,,,true,true,FM_S_0865_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0866_objective,Mission,,,,,true,true,FM_S_0866_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0867_objective,Mission,,,,,true,true,FM_S_0867_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0868_objective,Mission,,,,,true,true,FM_S_0868_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0869_objective,Mission,,,,,true,true,FM_S_0869_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_S_0870_objective,Mission,,,,,true,true,FM_S_0870_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0861_objective,Mission,,,,,true,true,FM_C_0861_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0862_objective,Mission,,,,,true,true,FM_C_0862_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0863_objective,Mission,,,,,true,true,FM_C_0863_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0864_objective,Mission,,,,,true,true,FM_C_0864_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0865_objective,Mission,,,,,true,true,FM_C_0865_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0866_objective,Mission,,,,,true,true,FM_C_0866_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0867_objective,Mission,,,,,true,true,FM_C_0867_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0868_objective,Mission,,,,,true,true,FM_C_0868_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0869_objective,Mission,,,,,true,true,FM_C_0869_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_C_0870_objective,Mission,,,,,true,true,FM_C_0870_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_08_PVP_Spy_Marauder_objective,Mission,,,,true,true,false,FM_08_PVP_Spy_Marauder_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Poach_Marauder_objective,Mission,,,,true,true,false,FM_08_PVP_Poach_Marauder_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Control_Marauder_objective,Mission,,,,true,true,false,FM_08_PVP_Control_Marauder_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Spy_Syndicate_objective,Mission,,,,true,true,false,FM_08_PVP_Spy_Syndicate_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Poach_Syndicate_objective,Mission,,,,true,true,false,FM_08_PVP_Poach_Syndicate_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Control_Syndicate_objective,Mission,,,,true,true,false,FM_08_PVP_Control_Syndicate_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Spy_Covenant_objective,Mission,,,,true,true,false,FM_08_PVP_Spy_Covenant_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Poach_Covenant_objective,Mission,,,,true,true,false,FM_08_PVP_Poach_Covenant_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_PVP_Control_Covenant_objective,Mission,,,,true,true,false,FM_08_PVP_Control_Covenant_container,,8,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,Hourly
FM_08_H_01_objective,Mission,,,,,true,true,FM_08_H_01_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_08_H_02_objective,Mission,,,,,true,true,FM_08_H_02_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_08_H_03_objective,Mission,,,,,true,true,FM_08_H_03_container,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_08_EXP_01_objective,Mission,,,,,true,true,FM_08_EXP_01_container,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_08_EXP_02_objective,Mission,,,,,true,true,FM_08_EXP_02_container,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FM_08_EXP_03_objective,Mission,,,,,true,true,FM_08_EXP_03_container,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
