ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId,ShouldResetInProgressQuestOnScheduleEnd
1525_1520_Rations,Journey,,,,,,,1525_1520_d_00_container_Rations,1525_AngryEarth,,15_Quest_20,15_Quest_19,,,1525_1520_Rations_Success,,,,,,,true,,@1525_1520_a_Title,@1525_1520_b_Description,@1525_1520_b_start,@1525_1520_c_Proposal_a,@1525_1520_e_Incomplete,@complete_available_prompt_DEFAULT,@1525_1520_f_Complete_a,,,,true,,,,,,,,
1526_1521_Point,Journey,,41,,,,,1526_1521_d_00_container_Point,1526_Naturalist,,15_Quest_21,,,,1526_1521_Point_Success,,,,,,,true,,@1526_1521_a_Title,@1526_1521_b_Description,@1526_1521_b_start,@1526_1521_c_Proposal_a,@1526_1521_e_Incomplete,@complete_available_prompt_DEFAULT,@1526_1521_f_Complete,,,,true,,,,,,,,
1526_1522_Breath,Journey,,,,,,,1526_1522_d_00_container_Breath,1526_Naturalist,,15_Quest_22,15_Quest_21,,,1526_1522_Breath_Success,,,,,,,true,,@1526_1522_a_Title,@1526_1522_b_Description,@1526_1522_b_start,@1526_1522_c_Proposal_a,@1526_1522_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1526_1522_f_Complete,,,,true,,,,,,,,
1526_1523_ToothClaw,Journey,,,,,,,1526_1523_d_00_container_ToothClaw,1503_Survivalist,,15_Quest_23,15_Quest_22,,,1526_1523_ToothClaw_Success,,,,,,,true,,@1526_1523_a_Title,@1526_1523_b_Description,@1526_1523_b_start,@1526_1523_c_Proposal_a,@1526_1523_e_Incomplete,@complete_available_prompt_DEFAULT,@1526_1523_f_Complete_a,,,,true,,,,,,,,
1527_1524_Steadfast,Journey,,45,,,,,1527_1524_d_00_container_Steadfast,1527_Wader,,15_Quest_24,,,,1527_1524_Steadfast_Success,,,,,,,true,,@1527_1524_a_Title,@1527_1524_b_Description,@1527_1524_b_start,@1527_1524_c_Proposal_a,@1527_1524_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1527_1524_f_Complete_a,,,,true,,,,,,,,
1527_1525_Treasured,Journey,,,,,,,1527_1525_d_00_container_Treasured,1528_Rogue,,15_Quest_25,15_Quest_24,,,1527_1525_Treasured_Success,,,,,,,true,,@1527_1525_a_Title,@1527_1525_b_Description,@1527_1525_b_start,@1527_1525_c_Proposal_a,@1527_1525_e_Incomplete_a,@complete_available_prompt_DEFAULT,@1527_1525_f_Complete_a,,,,true,,,,,,,,
1528_1526_NotAnotherFish,Journey,,45,,,,,1528_1526_d_00_container_NotAnotherFish,1528_Rogue,,15_Quest_26,15_Quest_25,,,1528_1526_NotAnotherFish_Success,,,,,,,true,,@1528_1526_a_Title,@1528_1526_b_Description,@1528_1526_b_start,@1528_1526_c_Proposal_a,@1528_1526_e_Incomplete,@complete_available_prompt_DEFAULT,@1528_1526_f_Complete,,,,true,,,,,,,,
1599_1513_Nekumanesh_v2,Journey,,45,,,,,1599_1513_d_00_container_Nekumanesh,1599_Nekumanesh_2,,1599_1513_Nekumanesh_done,,,,1599_1513_Nekumanesh_Success,,,,,,,true,true,@1599_1513_a_Title,@1599_1513_b_Description,@1599_1513_b_start,@1599_1513_c_Proposal,@1599_1513_e_Incomplete,@complete_available_prompt_DEFAULT,@1599_1513_f_Complete,@1599_1513_Cooldown,,,true,,,,,,,Daily,
1530_01_Spring_Spritz,Event,,25,,,,,1530_01_Spring_Spritz_Container,1533_BloomHerald,,SpringtideBloom_Quest1,,,,1530_01_Spring_Spritz_Success,,,,,,,false,,@1530_01_Spring_Spritz_Title,@1530_01_Spring_Spritz_Description,@1530_01_Spring_Spritz_start,@1530_01_Spring_Spritz_Proposal_a,@1530_01_Spring_Spritz_Incomplete,@complete_available_prompt_DEFAULT,@1530_01_Spring_Spritz_Complete,,,,,,,,,,,EventSpring,true
1530_02_Spring_Bloom,Event,,25,,,,,1530_02_Spring_Bloom_Container,1533_BloomHerald,,SpringtideBloom_Quest2,SpringtideBloom_Quest1,,,1530_02_Spring_Bloom_Success,,,,,,,true,,@1530_02_Spring_Bloom_Title,@1530_02_Spring_Bloom_Description,@1530_02_Spring_Bloom_start,@1530_02_Spring_Bloom_Proposal_a,@1530_02_Spring_Bloom_Incomplete,@complete_available_prompt_DEFAULT,@1530_02_Spring_Bloom_Complete_a,,,,,,,,,,,EventSpring,true
FM_1501_objective,Mission,,,,,true,true,FM_1501_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1502_objective,Mission,,,,,true,true,FM_1502_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1503_objective,Mission,,,,,true,true,FM_1503_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1504_objective,Mission,,,,,true,true,FM_1504_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1505_objective,Mission,,,,,true,true,FM_1505_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1506_objective,Mission,,,,,true,true,FM_1506_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1507_objective,Mission,,,,,true,true,FM_1507_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1508_objective,Mission,,,,,true,true,FM_1508_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1509_objective,Mission,,,,,true,true,FM_1509_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1510_objective,Mission,,,,,true,true,FM_1510_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1501_objective,Mission,,,,,true,true,FM_S_1501_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1502_objective,Mission,,,,,true,true,FM_S_1502_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1503_objective,Mission,,,,,true,true,FM_S_1503_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1504_objective,Mission,,,,,true,true,FM_S_1504_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1505_objective,Mission,,,,,true,true,FM_S_1505_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1506_objective,Mission,,,,,true,true,FM_S_1506_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1507_objective,Mission,,,,,true,true,FM_S_1507_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1508_objective,Mission,,,,,true,true,FM_S_1508_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1509_objective,Mission,,,,,true,true,FM_S_1509_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1510_objective,Mission,,,,,true,true,FM_S_1510_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1501_objective,Mission,,,,,true,true,FM_C_1501_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1502_objective,Mission,,,,,true,true,FM_C_1502_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1503_objective,Mission,,,,,true,true,FM_C_1503_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1504_objective,Mission,,,,,true,true,FM_C_1504_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1505_objective,Mission,,,,,true,true,FM_C_1505_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1506_objective,Mission,,,,,true,true,FM_C_1506_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1507_objective,Mission,,,,,true,true,FM_C_1507_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1508_objective,Mission,,,,,true,true,FM_C_1508_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1509_objective,Mission,,,,,true,true,FM_C_1509_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1510_objective,Mission,,,,,true,true,FM_C_1510_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1561_objective,Mission,,,,,true,true,FM_1561_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1562_objective,Mission,,,,,true,true,FM_1562_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1563_objective,Mission,,,,,true,true,FM_1563_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1564_objective,Mission,,,,,true,true,FM_1564_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1565_objective,Mission,,,,,true,true,FM_1565_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1566_objective,Mission,,,,,true,true,FM_1566_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1567_objective,Mission,,,,,true,true,FM_1567_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1568_objective,Mission,,,,,true,true,FM_1568_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1569_objective,Mission,,,,,true,true,FM_1569_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_1570_objective,Mission,,,,,true,true,FM_1570_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1561_objective,Mission,,,,,true,true,FM_S_1561_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1562_objective,Mission,,,,,true,true,FM_S_1562_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1563_objective,Mission,,,,,true,true,FM_S_1563_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1564_objective,Mission,,,,,true,true,FM_S_1564_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1565_objective,Mission,,,,,true,true,FM_S_1565_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1566_objective,Mission,,,,,true,true,FM_S_1566_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1567_objective,Mission,,,,,true,true,FM_S_1567_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1568_objective,Mission,,,,,true,true,FM_S_1568_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1569_objective,Mission,,,,,true,true,FM_S_1569_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_S_1570_objective,Mission,,,,,true,true,FM_S_1570_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1561_objective,Mission,,,,,true,true,FM_C_1561_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1562_objective,Mission,,,,,true,true,FM_C_1562_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1563_objective,Mission,,,,,true,true,FM_C_1563_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1564_objective,Mission,,,,,true,true,FM_C_1564_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1565_objective,Mission,,,,,true,true,FM_C_1565_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1566_objective,Mission,,,,,true,true,FM_C_1566_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1567_objective,Mission,,,,,true,true,FM_C_1567_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1568_objective,Mission,,,,,true,true,FM_C_1568_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1569_objective,Mission,,,,,true,true,FM_C_1569_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_C_1570_objective,Mission,,,,,true,true,FM_C_1570_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_15_PVP_ControlSpot_Marauder_objective,Mission,,,,true,true,false,FM_15_PVP_ControlSpot_Marauder_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_PoachArea_Marauder_objective,Mission,,,,true,true,false,FM_15_PVP_PoachArea_Marauder_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_SpySpot_Marauder_objective,Mission,,,,true,true,false,FM_15_PVP_SpySpot_Marauder_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_ControlSpot_Syndicate_objective,Mission,,,,true,true,false,FM_15_PVP_ControlSpot_Syndicate_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_PoachArea_Syndicate_objective,Mission,,,,true,true,false,FM_15_PVP_PoachArea_Syndicate_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_SpySpot_Syndicate_objective,Mission,,,,true,true,false,FM_15_PVP_SpySpot_Syndicate_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_ControlSpot_Covenant_objective,Mission,,,,true,true,false,FM_15_PVP_ControlSpot_Covenant_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_PoachArea_Covenant_objective,Mission,,,,true,true,false,FM_15_PVP_PoachArea_Covenant_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_PVP_SpySpot_Covenant_objective,Mission,,,,true,true,false,FM_15_PVP_SpySpot_Covenant_container,,15,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly,
FM_15_H_01_objective,Mission,,,,,true,true,FM_15_H_01_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_15_H_02_objective,Mission,,,,,true,true,FM_15_H_02_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_15_H_03_objective,Mission,,,,,true,true,FM_15_H_03_container,,15,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_15_EXP_01_objective,Mission,,,,,true,true,FM_15_EXP_01_container,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_15_EXP_02_objective,Mission,,,,,true,true,FM_15_EXP_02_container,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
FM_15_EXP_03_objective,Mission,,,,,true,true,FM_15_EXP_03_container,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,
