ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,RewardWithPlayerLevel,RewardType,NOTE
12A_MSQ_16_FastTravel,MainStoryQuest,,12,,,,,12A_MSQ_16_FastTravel_Container,12_RegentJinJae,,12A_MSQ_16,12A_MSQ_15,,,12A_MSQ_16_FastTravel_Success,,,,,,,,,0,@12A_MSQ_16_FastTravel_Obj_Title,@12A_MSQ_16_FastTravel_Obj_Desc,@12A_MSQ_16_FastTravel_Obj_Start_Prompt,@12A_MSQ_16_FastTravel_Obj_Proposal_a,@12A_MSQ_16_FastTravel_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_16_FastTravel_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_17_LochnirsNotes,MainStoryQuest,,13,,,,,12A_MSQ_17_LochnirsNotes_Container,12_MB_Moira_02,,12A_MSQ_17,12A_MSQ_16,,,12A_MSQ_17_LochnirsNotes_Success,,,,,amuletmonarchsblufft3,1,,,0,@12A_MSQ_17_LochnirsNotes_Obj_Title,@12A_MSQ_17_LochnirsNotes_Obj_Desc,@12A_MSQ_17_LochnirsNotes_Obj_Start_Prompt_new,@12A_MSQ_17_LochnirsNotes_Obj_Proposal_a_new,@12A_MSQ_17_LochnirsNotes_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_17_LochnirsNotes_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_18_InspectStatue,MainStoryQuest,,14,,,,,12A_MSQ_18_InspectStatue_Container,12_MB_Moira_03,,12A_MSQ_18,12A_MSQ_17,,,12A_MSQ_18_InspectStatue_Success,,,,,CRX_RewardContainerT2_Handwear_15,1,,,0,@12A_MSQ_18_InspectStatue_Obj_Title,@12A_MSQ_18_InspectStatue_Obj_Desc,@12A_MSQ_18_InspectStatue_Obj_Start_Prompt_new,@12A_MSQ_18_InspectStatue_Obj_Proposal_a_new,@12A_MSQ_18_InspectStatue_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_18_InspectStatue_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_19_MeetPercilla,MainStoryQuest,,14,,,,,12A_MSQ_19_MeetPercilla_Container,12_PercillaWallen,,12A_MSQ_19,12A_MSQ_18,,,12A_MSQ_19_MeetPercilla_Success,,,,,PotionHealthT2,5,,,0,@12A_MSQ_19_MeetPercilla_Obj_Title,@12A_MSQ_19_MeetPercilla_Obj_Desc,@12A_MSQ_19_MeetPercilla_Obj_Start_Prompt_new,@12A_MSQ_19_MeetPercilla_Obj_Proposal_a_new,@12A_NPCGreet_Moira_07,@complete_available_prompt_DEFAULT,@12A_MSQ_19_MeetPercilla_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_20_CollectCrown,MainStoryQuest,,15,,,,,12A_MSQ_20_CollectCrown_Container,12_PercillaWallen,,12A_MSQ_20,12A_MSQ_19,,,12A_MSQ_20_CollectCrown_Success,,,,,CRX_RewardContainerT2_Chestwear_15,1,,,0,@12A_MSQ_20_CollectCrown_Obj_Title,@12A_MSQ_20_CollectCrown_Obj_Desc,@12A_MSQ_20_CollectCrown_Obj_Start_Prompt_new,@12A_MSQ_20_CollectCrown_Obj_Proposal_a_new,@12A_MSQ_20_CollectCrown_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_20_CollectCrown_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_21_FindGrace,MainStoryQuest,,15,,,,,12A_MSQ_21_FindGrace_Container,12_MB_Grace_03,,12A_MSQ_21,12A_MSQ_20,,,12A_MSQ_21_FindGrace_Success,,,,,,,,,0,@12A_MSQ_21_FindGrace_Obj_Title,@12A_MSQ_21_FindGrace_Obj_Desc,@12A_MSQ_21_FindGrace_Obj_Start_Prompt_new,@12A_MSQ_21_FindGrace_Obj_Proposal_a_new,@12A_MSQ_21_FindGrace_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_21_FindGrace_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_22_DestroyShrine,MainStoryQuest,,16,,,,,12A_MSQ_22_DestroyShrine_Container,12_PercillaWallen_01,,12A_MSQ_22,12A_MSQ_21,,,12A_MSQ_22_DestroyShrine_Success,,,,,HoningStoneT2,3,,,0,@12A_MSQ_22_DestroyShrine_Obj_Title,@12A_MSQ_22_DestroyShrine_Obj_Desc,@12A_MSQ_22_DestroyShrine_Obj_Start_Prompt,@12A_MSQ_22_DestroyShrine_Obj_Proposal_a,@12A_MSQ_22_DestroyShrine_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_22_DestroyShrine_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_23_ToTower,MainStoryQuest,,16,,,,,12A_MSQ_23_ToTower_Container,12_PercillaWallen_02,,12A_MSQ_23,12A_MSQ_22,,,12A_MSQ_23_ToTower_Success,,,,,PotionHealthT2,10,,,0,@12A_MSQ_23_ToTower_Obj_Title,@12A_MSQ_23_ToTower_Obj_Desc,@12A_MSQ_23_ToTower_Obj_Start_Prompt_new,@12A_MSQ_23_ToTower_Obj_Proposal_a_new,@12A_MSQ_23_ToTower_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_MSQ_23_ToTower_Obj_Response,,,TRUE,,,,,,,,,
12A_MSQ_24_DefeatGawain,MainStoryQuest,,16,,,,,12A_MSQ_24_DefeatGawain_Container,12_PercillaWallen_02,,12A_MSQ_24,12A_MSQ_23,,,12A_MSQ_24_DefeatGawain_Success,,,,,,,,,0,@12A_MSQ_24_DefeatGawain_Obj_Title,@12A_MSQ_24_DefeatGawain_Obj_Desc,@12A_MSQ_24_DefeatGawain_Obj_Start_Prompt_new,@12A_MSQ_24_DefeatGawain_Obj_Proposal_a_new,@12A_MSQ_24_DefeatGawain_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_24_DefeatGawain_Obj_Response_a_new,,,TRUE,,,,,,,,,Soul Trial
12A_MSQ_25_CrownRegent,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,12A_MSQ_25_CrownRegent_Success,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_destroyer,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Warmonger,,,12A_MSQ_25_CrownRegent_Success_destroyer,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_musketeer,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Musketeer,,,12A_MSQ_25_CrownRegent_Success_musketeer,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_mystic,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Theurgist,,,12A_MSQ_25_CrownRegent_Success_mystic,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_occultist,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Occultist,,,12A_MSQ_25_CrownRegent_Success_occultist,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_ranger,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Tracker,,,12A_MSQ_25_CrownRegent_Success_ranger,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_soldier,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Mercenary,,,12A_MSQ_25_CrownRegent_Success_soldier,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_25_CrownRegent_swordsman,MainStoryQuest,,17,,,,,12A_MSQ_25_CrownRegent_Container,12_RegentJinJae_02,,12A_MSQ_25,12A_MSQ_24 && Archetype_Wanderer,,,12A_MSQ_25_CrownRegent_Success_swordsman,,,,,,,,,0,@12A_MSQ_25_CrownRegent_Obj_Title,@12A_MSQ_25_CrownRegent_Obj_Desc,@12A_MSQ_25_CrownRegent_Obj_Start_Prompt_new,@12A_MSQ_25_CrownRegent_Obj_Proposal_a_new,@12A_MSQ_25_CrownRegent_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@12A_MSQ_25_CrownRegent_Obj_Response_a_new,,,TRUE,,,,,,,,,
12A_MSQ_26_ToYonas,MainStoryQuest,,17,,,,,12A_MSQ_26_ToYonas_Container,99A_Yonas_00,,MSQ_00_init,12A_MSQ_25,,,12A_MSQ_26_ToYonas_Success,,,,,CRX_RewardContainerT3_Headgear_20,1,,,0,@12A_MSQ_26_ToYonas_Obj_Title,@12A_MSQ_26_ToYonas_Obj_Desc,@12A_MSQ_26_ToYonas_Obj_Start_Prompt_new,@12A_MSQ_26_ToYonas_Obj_Proposal_a_new,@12A_MSQ_26_ToYonas_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_22_TalkToSoulwarden_response,,,TRUE,,,,,,,,,
12A_MSQ_26_ToYonas_alt,MainStoryQuest,,17,,,,,12A_MSQ_26_ToYonas_Container,99A_Yonas_00,,MSQ_00_init,12A_MSQ_25,,,12A_MSQ_26_ToYonas_Success_alt,,,,,CRX_RewardContainerT3_Headgear_20,1,,,0,@12A_MSQ_26_ToYonas_Obj_Title,@12A_MSQ_26_ToYonas_Obj_Desc,@12A_MSQ_26_ToYonas_Obj_Start_Prompt_new,@12A_MSQ_26_ToYonas_Obj_Proposal_a_new,@12A_MSQ_26_ToYonas_Obj_Incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_22_TalkToSoulwarden_response,,,TRUE,,,,,,,,,
12A_Side_01_PlaceFlowers,Journey,,7,,,,,12A_Side_01_PlaceFlowers_Container,12_FionaMurphy,,12A_Side_01,12A_MSQ_03,,,12A_Side_01_PlaceFlowers_Success,,,,,,,,,1,@12A_Side_01_PlaceFlowers_Obj_Title,@12A_Side_01_PlaceFlowers_Obj_Desc,@12A_Side_01_PlaceFlowers_Obj_Start_Prompt,@12A_Side_01_PlaceFlowers_Obj_Proposal,@12A_Side_01_PlaceFlowers_Obj_Incomplete_a,@complete_available_prompt_DEFAULT,@12A_Side_01_PlaceFlowers_Obj_Response_a,,,1,,,,,,,,,
12A_Side_02_GatherGift,Journey,,7,,,,,12A_Side_02_GatherGift_Container,12_EddaYonkers,,12A_Side_02,12A_MSQ_04,,,12A_Side_02_GatherGift_Success,,,,,,,,,1,@12A_Side_02_GatherGift_Obj_Title,@12A_Side_02_GatherGift_Obj_Desc,@12A_Side_02_GatherGift_Obj_Start_Prompt,@12A_Side_02_GatherGift_Obj_Proposal_a,@12A_Side_02_GatherGift_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_02_GatherGift_Obj_Response_a,,,1,,,,,,,,,
12A_Side_03_CollectPicks,Journey,,7,,,,,12A_Side_03_CollectPicks_Container,12_CemalQadir,,12A_Side_03,12A_MSQ_04,,,12A_Side_03_CollectPicks_Success,,,,,,,,,1,@12A_Side_03_CollectPicks_Obj_Title,@12A_Side_03_CollectPicks_Obj_Desc,@12A_Side_03_CollectPicks_Obj_Start_Prompt,@12A_Side_03_CollectPicks_Obj_Proposal,@12A_Side_03_CollectPicks_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_03_CollectPicks_Obj_Response_a,,,1,,,,,,,,,
12A_Side_04_ExplodeBarrels,Journey,,9,,,,,12A_Side_04_ExplodeBarrels_Container,12_AsheDubois_01,,12A_Side_04,12A_MSQ_13,,,12A_Side_04_ExplodeBarrels_Success,,,,,,,,,1,@12A_Side_04_ExplodeBarrels_Obj_Title,@12A_Side_04_ExplodeBarrels_Obj_Desc,@12A_Side_04_ExplodeBarrels_Obj_Start_Prompt,@12A_Side_04_ExplodeBarrels_Obj_Proposal_a,@12A_Side_04_ExplodeBarrels_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_04_ExplodeBarrels_Obj_Response,,,1,,,,,,,,,
12A_Side_05_ArtifactShards,Journey,,11,,,,,12A_Side_05_ArtifactShards_Container,12_HugoMolina,,12A_Side_05,12A_MSQ_16,,,12A_Side_05_ArtifactShards_Success,,,,,,,,,1,@12A_Side_05_ArtifactShards_Obj_Title,@12A_Side_05_ArtifactShards_Obj_Desc,@12A_Side_05_ArtifactShards_Obj_Start_Prompt,@12A_Side_05_ArtifactShards_Obj_Proposal_a,@12A_Side_05_ArtifactShards_Obj_Incomplete_a,@complete_available_prompt_DEFAULT,@12A_Side_05_ArtifactShards_Obj_Response_a,,,1,,,,,,,,,
12A_Side_07_ForgeRing,Journey,,12,,,,,12A_Side_07_ForgeRing_Container,12_JeongNabi,,12A_Side_07,12A_MSQ_19,,,12A_Side_07_ForgeRing_Success,,,,,,,,,1,@12A_Side_07_ForgeRing_Obj_Title,@12A_Side_07_ForgeRing_Obj_Desc,@12A_Side_07_ForgeRing_Obj_Start_Prompt,@12A_Side_07_ForgeRing_Obj_Proposal_a,@12A_Side_07_ForgeRing_Obj_Incomplete_a,@complete_available_prompt_DEFAULT,@12A_Side_07_ForgeRing_Obj_Response_a,,,1,,,,,,,,,
12A_Side_08_GatherFangs,Journey,,12,,,,,12A_Side_08_GatherFangs_Container,12_HamzaKillic,,12A_Side_08,12A_MSQ_19,,,12A_Side_08_GatherFangs_Success,,,,,,,,,1,@12A_Side_08_GatherFangs_Obj_Title,@12A_Side_08_GatherFangs_Obj_Desc,@12A_Side_08_GatherFangs_Obj_Start_Prompt,@12A_Side_08_GatherFangs_Obj_Proposal_a,@12A_Side_08_GatherFangs_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_08_GatherFangs_Obj_Response_a,,,1,,,,,,,,,
12A_Side_09_CollectGlass,Journey,,14,,,,,12A_Side_09_CollectGlass_Container,12_OliviaBarovier,,12A_Side_09,12A_MSQ_19,,,12A_Side_09_CollectGlass_Success,,,,,,,,,1,@12A_Side_09_CollectGlass_Obj_Title,@12A_Side_09_CollectGlass_Obj_Desc,@12A_Side_09_CollectGlass_Obj_Start_Prompt,@12A_Side_09_CollectGlass_Obj_Proposal_a,@12A_Side_09_CollectGlass_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_09_CollectGlass_Obj_Response_a,,,1,,,,,,,,,
12A_Side_10_BreakCurse,Journey,,14,,,,,12A_Side_10_BreakCurse_Container,12_HugoMolina_01,,12A_Side_10,12A_Side_05,,,12A_Side_10_BreakCurse_Success,,,,,,,,,1,@12A_Side_10_BreakCurse_Obj_Title,@12A_Side_10_BreakCurse_Obj_Desc,@12A_Side_10_BreakCurse_Obj_Start_Prompt,@12A_Side_10_BreakCurse_Obj_Proposal_a,@12A_Side_10_BreakCurse_Obj_Incomplete,@complete_available_prompt_DEFAULT,@12A_Side_10_BreakCurse_Obj_Response_a,,,1,,,,,,,,,
