ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ReleaseEventTags,ReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
0902_0102_intrototrader,MainStoryQuest,,4,,,,,0902_0102_d_00_container_intrototrader,0902_Magistrate,9,S_intrototrader,,,,0902_0102_intrototrader_success,,,,,,,,,false,@0902_0102_intrototrader_objective_title,@0902_0102_intrototrader_objective_desc,@0902_0102_intrototrader_start_prompt,@0902_0102_intrototrader_proposal,@0902_0102_intrototrader_incomplete,@complete_available_prompt_DEFAULT,@0902_0102_intrototrader_complete_available_response,,,,,,,,,
0902_0103_introtooverseer,MainStoryQuest,,4,,,,,0902_0103_d_00_container_introtooverseer,0904_Overseer,9,S_introtooverseer,,,,0902_0103_introtooverseer_success,,,,,,,,,false,@0902_0103_introtooverseer_objective_title,@0902_0103_introtooverseer_objective_desc,@0902_0103_introtooverseer_start_prompt,@0902_0103_introtooverseer_proposal,@0902_0103_introtooverseer_incomplete,@complete_available_prompt_DEFAULT,@0902_0103_introtooverseer_complete_availaible_response,,,,,,,,,
0904_0104_overseersettlement,MainStoryQuest,,4,,,,,0904_0104_d_00_container_overseersettlement,0904_Overseer,9,S_overseersettlement,,,,0904_0104_overseersettlement_success,,,,,,,,,false,@0904_0104_overseersettlement_objective_title,@0904_0104_overseersettlement_objective_desc,@0904_0104_overseersettlement_start_prompt,@0904_0104_overseersettlement_proposal,@0904_0104_overseersettlement_incomplete,@complete_available_prompt_DEFAULT,@0904_0104_overseersettlement_complete_available_response,,,,,,,,,
0904_0103_introtoartificer,MainStoryQuest,,4,,,,,0904_0103_d_00_container_introtoartificer,0905_Artificer,9,S_introtoartificer,,,,0904_0103_introtoartificer_success,,,,,,,,,false,@0904_0103_introtoartificer_objective_title,@0904_0103_introtoartificer_objective_desc,@0904_0103_introtoartificer_start_prompt,@0904_0103_introtoartificer_proposal,@0904_0103_introtoartificer_incomplete,@complete_available_prompt_DEFAULT,@0904_0103_introtoartificer_complete_availaible_response,,,,,,,,,
0905_0101_craftforartificer,MainStoryQuest,,5,,,,,0905_0101_d_00_container_craftforartificer,0905_Artificer,9,S_craftforartificer,,,,0905_0101_craftforartificer_success,,,,,,,,,false,@0905_0101_craftforartificer_objective_title,@0905_0101_craftforartificer_objective_desc,@0905_0101_craftforartificer_start_prompt,@0905_0101_craftforartificer_proposal,@0905_0101_craftforartificer_incomplete,@complete_available_prompt_DEFAULT,@0905_0101_craftforartificer_complete_availaible_response,,,,,,,,,
0905_0102_campingunlock,MainStoryQuest,,5,,,,,0905_0102_d_00_container_campingunlock,0903_Survivalist,9,S_campingunlock,,,,0905_0102_campingunlock_success,,,,,,,,,false,@0905_0102_campingunlock_objective_title,@0905_0102_campingunlock_objective_desc,@0905_0102_campingunlock_start_prompt,@0905_0102_campingunlock_proposal,@0905_0102_campingunlock_incomplete,@complete_available_prompt_DEFAULT,@0905_0102_campingunlock_complete_available_response,,,,,,,,,
0903_0201_survivalistquest,MainStoryQuest,,,,,,,0903_0201_d_00_container_survivalistquest,0903_Survivalist,9,S_magistratequest,,,,0903_0201_survivalistquest_success,,,,,,,,,false,@0903_0201_survivalistquest_objective_title,@0903_0201_survivalistquest_objective_desc,@0903_0201_survivalistquest_start_prompt,@0903_0201_survivalistquest_proposal,@0903_0201_survivalistquest_incomplete,@complete_available_prompt_DEFAULT,@0903_0201_survivalistquest_complete_availaible_response,,,,HFR,,,,,
0903_0201_survivalistquest_V2,MainStoryQuest,,,,,,,0903_0201_d_00_container_survivalistquest_V2,0903_Survivalist,9,S_magistratequest,,,,0903_0201_survivalistquest_V2_success,,,,,,,,,false,@0903_0201_survivalistquest_objective_title,@0903_0201_survivalistquest_objective_desc,@0903_0201_survivalistquest_start_prompt,@0903_0201_survivalistquest_proposal,@0903_0201_survivalistquest_incomplete,@complete_available_prompt_DEFAULT,@0903_0201_survivalistquest_complete_availaible_response,,,,,,,,,
0903_0202_returntomagistrate,MainStoryQuest,,6,,,,,0903_0202_d_00_container_returntomagistrate,0902_Magistrate,9,S_returntomagistrate,,,,0903_0202_returntomagistrate_success,,,,,,,,,false,@0903_0202_returntomagistrate_objective_title,@0903_0202_returntomagistrate_objective_desc,@0903_0202_returntomagistrate_start_prompt,@0903_0202_returntomagistrate_proposal,@0903_0202_returntomagistrate_incomplete,@complete_available_prompt_DEFAULT,@0903_0202_returntomagistrate_complete_availaible_response,,,,,,,,,
0902_0202_introtoallfactions,MainStoryQuest,,6,,,,,0902_0202_d_00_container_introtoallfactions,,9,S_introtoallfactions,S_introtoallfactions_accepted,,,0902_0202_introtoallfactions_success,,,,0909_0103_timetochoose,,,,,false,@0902_0202_introtoallfactions_objective_title,@0902_0202_introtoallfactions_objective_desc,@0902_0202_introtoallfactions_start_prompt,@0902_0202_introtoallfactions_proposal,@0902_0202_introtoallfactions_incomplete,@complete_available_prompt_DEFAULT,@0902_0202_introtoallfactions_complete_availaible_response,,,,,,,,,
0907_0101_marauderquest1,MainStoryQuest,,,,,,,0907_0101_d_00_container_marauderquest1,0907_Commander,9,S_marauderquest1,S_timetochoose,,,0907_0101_marauderquest1_success,,,,9809_M_0001_RankUp,,,true,,false,@0907_0101_marauderquest1_objective_title,@0907_0101_marauderquest1_objective_desc,@0907_0101_marauderquest1_start_prompt,@0907_0101_marauderquest1_proposal,@0907_0101_marauderquest1_incomplete,@complete_available_prompt_DEFAULT,@0907_0101_marauderquest1_complete_availaible_response,,,,,,,,,
0908_0101_syndicatequest1,MainStoryQuest,,,,,,,0908_0101_d_00_container_syndicatequest1,0908_Alchemist,9,S_syndicatequest1,S_timetochoose,,,0908_0101_syndicatequest1_success,,,,9809_S_0001_RankUp,,,true,,false,@0908_0101_syndicatequest1_objective_title,@0908_0101_syndicatequest1_objective_desc,@0908_0101_syndicatequest1_start_prompt,@0908_0101_syndicatequest1_proposal,@0908_0101_syndicatequest1_incomplete,@complete_available_prompt_DEFAULT,@0908_0101_syndicatequest1_complete_availaible_response,,,,,,,,,
0909_0101_covenantquest1,MainStoryQuest,,,,,,,0909_0101_d_00_container_covenantquest1,0909_Adjudicator,9,S_covenantquest1,S_timetochoose,,,0909_0101_covenantquest1_success,,,,9809_C_0001_RankUp,,,true,,false,@0909_0101_covenantquest1_objective_title,@0909_0101_covenantquest1_objective_desc,@0909_0101_covenantquest1_start_prompt,@0909_0101_covenantquest1_proposal,@0909_0101_covenantquest1_incomplete,@complete_available_prompt_DEFAULT,@0909_0101_covenantquest1_complete_availaible_response,,,,,,,,,
0909_0103_timetochoose,MainStoryQuest,,6,,,,,0909_0103_d_00_container_timetochoose,,9,S_timetochoose,S_introtoallfactions,,,0909_0103_timetochoose_success,,,,,,,,,false,@0909_0103_timetochoose_objective_title,@0909_0103_timetochoose_objective_desc,@prompt_DEFAULT,@0909_0103_timetochoose_proposal,@0909_0103_timetochoose_incomplete,@complete_available_prompt_DEFAULT,@0909_0103_timetochoose_complete_availaible_response,,,,,,,,,
0902_0401_factionhandoff,MainStoryQuest,,7,,,,,0902_0401_d_00_container_factionhandoff,0902_Magistrate,9,S_factionhandoff,,,,0902_0401_factionhandoff_success,,,,0904_0501_encroachingcorruption,,,,,false,@0902_0401_factionhandoff_objective_title,@0902_0401_factionhandoff_objective_desc,@prompt_DEFAULT,@0902_0401_factionhandoff_proposal,@0902_0401_factionhandoff_incomplete,@complete_available_prompt_DEFAULT,@0902_0401_factionhandoff_complete_available_response,,,,,,,,,
0904_0501_encroachingcorruption,MainStoryQuest,,10,,,,,0904_0501_d_00_container_encroachingcorruption,0904_Overseer,9,S_encroachingcorruption,S_factionhandoff,,,0904_0501_encroachingcorruption_success,,,,0904_0901_TheHermitFL,,,,,false,@0904_0501_encroachingcorruption_objective_title,@0904_0501_encroachingcorruption_objective_desc,@0904_0501_encroachingcorruption_start_prompt,@0904_0501_encroachingcorruption_proposal,@0904_0501_encroachingcorruption_incomplete,@complete_available_prompt_DEFAULT,@0904_0501_encroachingcorruption_complete,,,,,,,,,
0910_0101_laidtorest,Journey,,,,,,,0910_0101_d_00_container_laidtorest,0910_Barkeep,,09_Quest_01,,,,0910_0101_laidtorest_success,,,,,,,,,true,@0910_0101_laidtorest_objective_title,@0910_0101_laidtorest_objective_desc,@0910_0101_laidtorest_start_prompt,@0910_0101_laidtorest_proposal,@0910_0101_laidtorest_incomplete,@complete_available_prompt_DEFAULT,@0910_0101_laidtorest_complete_available_response,,,,,,,,FirstLightArc1,
0903_0301_avoidopenflame,Journey,,,,,,,0903_0301_d_00_container_avoidopenflame,0903_Survivalist,,09_Quest_04,,,,0903_0301_avoidopenflame_success,,,,,,,,,true,@0903_0301_avoidopenflame_objective_title,@0903_0301_avoidopenflame_objective_desc,@0903_0301_avoidopenflame_start_prompt,@0903_0301_avoidopenflame_proposal,@0903_0301_avoidopenflame_incomplete,@complete_available_prompt_DEFAULT,@0903_0301_avoidopenflame_complete_available_response,,,,,,,,,
0910_0102_distillation,Journey,,,,,,,0910_0102_d_00_container_distillation,0910_Barkeep,,09_Quest_02,09_Quest_01,,,0910_0102_distillation_success,,,,,,,,,true,@0910_0102_distillation_objective_title,@0910_0102_distillation_objective_desc,@0910_0102_distillation_start_prompt,@0910_0102_distillation_proposal,@0910_0102_distillation_incomplete,@complete_available_prompt_DEFAULT,@0910_0102_distillation_complete_available_response,,,,,,,,FirstLightArc1,
0904_0201_minerrequisition,Journey,,,,,,,0904_0201_d_00_container_minerrequisition,0904_Overseer,,09_Quest_06,09_Quest_01,,,0904_0201_minerrequisition_success,,,,,,,,,true,@0904_0201_minerrequisition_objective_title,@0904_0201_minerrequisition_objective_desc,@0904_0201_minerrequisition_start_prompt,@0904_0201_minerrequisition_proposal,@0904_0201_minerrequisition_incomplete,@complete_available_prompt_DEFAULT,@0904_0201_minerrequisition_complete_available_response,,,,,,,,,
0905_0302_theoryoldworld,Journey,,,,,,,0905_0302_d_00_container_theoryoldworld,0905_Artificer,,09_Quest_15,09_Quest_04,,,0905_0302_theoryoldworld_success,,,,,,,,,true,@0905_0302_theoryoldworld_objective_title,@0905_0302_theoryoldworld_objective_desc,@0905_0302_theoryoldworld_start_prompt,@0905_0302_theoryoldworld_proposal,@0905_0302_theoryoldworld_incomplete,@complete_available_prompt_DEFAULT,@0905_0302_theoryoldworld_complete_available_response,,,,,,,,,
0905_0301_evolutioncorruption_pt1,Journey,,,,,,,0905_0301_d_00_container_evolutioncorruption_p1,0905_Artificer,,09_Quest_14,09_Quest_02,,,0905_0301_evolutioncorruption_pt1_success,,,,,,,,,true,@0905_0301_evolutioncorruption_pt1_objective_title,@0905_0301_evolutioncorruption_pt1_objective_desc,@0905_0301_evolutioncorruption_pt1_start_prompt,@0905_0301_evolutioncorruption_pt1_proposal,@0905_0301_evolutioncorruption_pt1_incomplete,@complete_available_prompt_DEFAULT,@0905_0301_evolutioncorruption_pt1_complete_available_response,,,,,,,,FirstLightArc1,
0902_0501_discardedmemories,Journey,,,,,,,0902_0501_d_00_container_discardedmemories,0902_Magistrate,,09_Quest_10,09_Quest_15,,,0902_0501_discardedmemories_success,,,,,,,,,true,@0902_0501_discardedmemories_objective_title,@0902_0501_discardedmemories_objective_desc,@0902_0501_discardedmemories_start_prompt,@0902_0501_discardedmemories_proposal,@0902_0501_discardedmemories_incomplete,@complete_available_prompt_DEFAULT,@0902_0501_discardedmemories_complete_available_response,,,,,,,,,
0905_0305_evolutioncorruption_pt3,Journey,,,,,,,0905_0305_d_00_container_evolutioncorruption_p3,0905_Artificer,,09_Quest_18,,,,0905_0305_evolutioncorruption_pt3_success,,,,,,,,,true,@0905_0305_evolutioncorruption_pt3_objective_title,@0905_0305_evolutioncorruption_pt3_objective_desc,@0905_0305_evolutioncorruption_pt3_start_prompt,@0905_0305_evolutioncorruption_pt3_proposal,@0905_0305_evolutioncorruption_pt3_incomplete,@complete_available_prompt_DEFAULT,@0905_0305_evolutioncorruption_pt3_complete_available_response,,,,,,,,FirstLightArc1,
0902_0502_errorofways,Journey,,,,,,,0902_0502_d_00_container_errorofways,0902_Magistrate,,09_Quest_11,,,,0902_0502_errorofways_success,,,,,,,,,true,@0902_0502_errorofways_objective_title,@0902_0502_errorofways_objective_desc,@0902_0502_errorofways_start_prompt,@0902_0502_errorofways_proposal,@0902_0502_errorofways_incomplete,@complete_available_prompt_DEFAULT,@0902_0502_errorofways_complete_available_response,,,,,,,,FirstLightArc3,
0904_0301_muzzleorthrus,Journey,,,,,,,0904_0301_d_00_container_muzzleorthrus,0904_Overseer,,09_Quest_07,,,,0904_0301_muzzleorthrus_success,,,,,,,,,true,@0904_0301_muzzleorthrus_objective_title,@0904_0301_muzzleorthrus_objective_desc,@0904_0301_muzzleorthrus_start_prompt,@0904_0301_muzzleorthrus_proposal,@0904_0301_muzzleorthrus_incomplete,@complete_available_prompt_DEFAULT,@0904_0301_muzzleorthrus_complete_available_response,,,,,,,,FirstLightArc3,
0903_0401_skininthegame,Journey,,,,,,,0903_0401_d_00_container_skininthegame,0903_Survivalist,,09_Quest_05,09_Quest_11,,,0903_0401_skininthegame_success,,,,,,,,,true,@0903_0401_skininthegame_objective_title,@0903_0401_skininthegame_objective_desc,@0903_0401_skininthegame_start_prompt,@0903_0401_skininthegame_proposal,@0903_0401_skininthegame_incomplete,@complete_available_prompt_DEFAULT,@0903_0401_skininthegame_complete_available_response,,,,,,,,,
0902_0503_abandonedresearch,Journey,,,,,,,0902_0503_d_00_container_abandonedresearch,0902_Magistrate,,09_Quest_12,09_Quest_11,,,0902_0503_abandonedresearch_success,,,,,,,,,true,@0902_0503_abandonedresearch_objective_title,@0902_0503_abandonedresearch_objective_desc,@0902_0503_abandonedresearch_start_prompt,@0902_0503_abandonedresearch_proposal,@0902_0503_abandonedresearch_incomplete,@complete_available_prompt_DEFAULT,@0902_0503_abandonedresearch_complete_available_response,,,,,,,,,
0904_0302_snuffingcandle,Journey,,,,,,,0904_0302_d_00_container_snuffingcandle,0904_Overseer,,09_Quest_08,09_Quest_12,,,0904_0302_snuffingcandle_success,,,,,,,,,true,@0904_0302_snuffingcandle_objective_title,@0904_0302_snuffingcandle_objective_desc,@0904_0302_snuffingcandle_start_prompt,@0904_0302_snuffingcandle_proposal,@0904_0302_snuffingcandle_incomplete,@complete_available_prompt_DEFAULT,@0904_0302_snuffingcandle_complete_available_response,,,,,,,,,
0905_0306_brightazothflame,Journey,,,,,,,0905_0306_d_00_container_brightazothflame,0903_Survivalist,,09_Quest_19,09_Quest_12,,,0905_0306_brightazothflame_success,,,,,,,,,true,@0905_0306_brightazothflame_objective_title,@0905_0306_brightazothflame_objective_desc,@0905_0306_brightazothflame_start_prompt,@0905_0306_brightazothflame_proposal,@0905_0306_brightazothflame_incomplete,@complete_available_prompt_DEFAULT,@0905_0306_brightazothflame_complete_available_response,,,,,,,,,
0902_0601_dispatchtothefront,Journey,,,,,,,0902_0601_d_00_container_dispatchtothefront,0904_Overseer,,09_Quest_13,09_Quest_08,,,0902_0601_dispatchtothefront_success,,,,,,,,,true,@0902_0601_dispatchtothefront_objective_title,@0902_0601_dispatchtothefront_objective_desc,@0902_0601_dispatchtothefront_start_prompt,@0902_0601_dispatchtothefront_proposal,@0902_0601_dispatchtothefront_incomplete,@complete_available_prompt_DEFAULT,@0902_0601_dispatchtothefront_complete_available_response,,,,,,,,FirstLightArc2,
0910_0201_zoneofcontrol,Journey,,,,,,,0910_0201_d_00_container_zoneofcontrol,0902_Magistrate,,09_Quest_03,09_Quest_08,,,0910_0201_zoneofcontrol_success,,,,,,,,,true,@0910_0201_zoneofcontrol_objective_title,@0910_0201_zoneofcontrol_objective_desc,@0910_0201_zoneofcontrol_start_prompt,@0910_0201_zoneofcontrol_proposal,@0910_0201_zoneofcontrol_incomplete,@complete_available_prompt_DEFAULT,@0910_0201_zoneofcontrol_complete_available_response,,,,,,,,,
0904_0303_curseebonyhawk,Journey,,,,,,,0904_0303_d_00_container_curseebonyhawk,0904_Overseer,,09_Quest_09,09_Quest_03,,,0904_0303_curseebonyhawk_success,,,,,,,,,true,@0904_0303_curseebonyhawk_objective_title,@0904_0303_curseebonyhawk_objective_desc,@0904_0303_curseebonyhawk_start_prompt,@0904_0303_curseebonyhawk_proposal,@0904_0303_curseebonyhawk_incomplete,@complete_available_prompt_DEFAULT,@0904_0303_curseebonyhawk_complete_available_response,,,,,,,,FirstLightArc2,
0905_0307_evolutioncorruption_pt4,Journey,,,,,,,0905_0307_d_00_container_evolutioncorruption_p4,0905_Artificer,,09_Quest_20,09_Quest_13,,,0905_0307_evolutioncorruption_pt4_success,,,,,,,,,true,@0905_0307_evolutioncorruption_pt4_objective_title,@0905_0307_evolutioncorruption_pt4_objective_desc,@0905_0307_evolutioncorruption_pt4_start_prompt,@0905_0307_evolutioncorruption_pt4_proposal,@0905_0307_evolutioncorruption_pt4_incomplete,@complete_available_prompt_DEFAULT,@0905_0307_evolutioncorruption_pt4_complete_available_response,,,,,,,,FirstLightArc1,
0904_0801_reassuringmagistrate,Journey,,25,,,,,0904_0801_d_00_container_reassuringmagistrate,0902_Magistrate,,09_Quest_16,09_Quest_09,,,0904_0801_reassuringmagistrate_success,,,,,,,,,true,@0904_0801_reassuringmagistrate_objective_title,@0904_0801_reassuringmagistrate_objective_desc,@0904_0801_reassuringmagistrate_start_prompt,@0904_0801_reassuringmagistrate_proposal,@0904_0801_reassuringmagistrate_incomplete,@complete_available_prompt_DEFAULT,@0904_0801_reassuringmagistrate_complete_available_response,,,,,,,,,
0905_0701_artificersgratitude,Journey,,25,,,,,0905_0701_d_00_container_artificersgratitude,0910_Barkeep,,09_Quest_17,09_Quest_20,,,0905_0701_artificersgratitude_success,,,,,,,,,true,@0905_0701_artificersgratitude_objective_title,@0905_0701_artificersgratitude_objective_desc,@0905_0701_artificersgratitude_start_prompt,@0905_0701_artificersgratitude_proposal,@0905_0701_artificersgratitude_incomplete,@complete_available_prompt_DEFAULT,@0905_0701_artificersgratitude_complete_available_response,,,,,,,,FirstLightArc1,
0904_0901_TheHermitFL,MainStoryQuest,,12,,,,,0904_0901_container_TheHermitFL,9901_MSQ_Yonas,,MSQ_00_Init,,,,9901_MSQ_TheHermit_success,,,,,,,,,false,@0904_0901_TheHermitFL_objective_title,@0904_0901_TheHermitFL_objective_desc,@0904_0901_TheHermitFL_start_prompt,@0904_0901_TheHermitFL_proposal,@NPC_DefaultDialogue_0904_01_Overseer,@complete_available_prompt_DEFAULT,@9901_9901_TheHermit_complete_available_response,,,,,,,,,
0922_1501_intrototravel,Journey,,12,,,,,0922_1501_d_00_container_intrototravel,1222_Innkeep,9,S_intrototravel,,,,0922_1501_intrototravel_success,,,,0922_1502_returntravel,,,,,true,@0922_1501_intrototravel_objective_title,@0922_1501_intrototravel_objective_desc,@0922_1501_intrototravel_start_prompt,@0922_1501_intrototravel_proposal,@0922_1501_intrototravel_incomplete,@complete_available_prompt_DEFAULT,@0922_1501_intrototravel_complete_availaible_response,,,,,,,,,
0922_1502_returntravel,Journey,,12,,,,,0922_1502_d_00_container_returntravel,0922_Innkeep,9,S_returntravel,,,,0922_1502_returntravel_success,,,,,,,,,false,@0922_1502_returntravel_objective_title,@0922_1502_returntravel_objective_desc,@prompt_DEFAULT,@0922_1502_returntravel_proposal,@0922_1502_returntravel_incomplete,@complete_available_prompt_DEFAULT,@0922_1502_returntravel_complete_availaible_response,,,,,,,,,
FM_0901_objective,Mission,,,,,true,true,FM_0901_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_0902_objective,Mission,,,,,true,true,FM_0902_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_0903_objective,Mission,,,,,true,true,FM_0903_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_0904_objective,Mission,,,,,true,true,FM_0904_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_0905_objective,Mission,,,,,true,true,FM_0905_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_0906_objective,Mission,,,,,true,true,FM_0906_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_0907_objective,Mission,,,,,true,true,FM_0907_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0901_objective,Mission,,,,,true,true,FM_S_0901_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0902_objective,Mission,,,,,true,true,FM_S_0902_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0903_objective,Mission,,,,,true,true,FM_S_0903_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0904_objective,Mission,,,,,true,true,FM_S_0904_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0905_objective,Mission,,,,,true,true,FM_S_0905_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0906_objective,Mission,,,,,true,true,FM_S_0906_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_S_0907_objective,Mission,,,,,true,true,FM_S_0907_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_0901_objective,Mission,,,,,true,true,FM_C_0901_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_0902_objective,Mission,,,,,true,true,FM_C_0902_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_0903_objective,Mission,,,,,true,true,FM_C_0903_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
FM_C_0904_objective,Mission,,,,,true,true,FM_C_0904_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,
