ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ReleaseEventTags,ReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag
0804_0812_CaptainsOrders,Journey,,,,,,,0804_0812_d_00_container_CaptainsOrders,0804_Overseer,,08_Quest_12,,,,0804_0812_CaptainsOrders_success,,,,,,,,true,@0804_0812_CaptainsOrders_objective_title,@0804_0812_CaptainsOrders_objective_desc,@0804_0812_CaptainsOrders_start,@0804_0812_CaptainsOrders_proposal,@0804_0812_CaptainsOrders_incomplete,@complete_available_prompt_DEFAULT,@0804_0812_CaptainsOrders_complete_available_response,,,,,,,,
0805_0813_SkysongsEnd,Journey,,,,,,,0805_0813_d_00_container_SkysongsEnd,0805_Artificer,,08_Quest_13,08_Quest_09,,,0805_0813_SkysongsEnd_success,,,,,,,,true,@0805_0813_SkysongsEnd_objective_title,@0805_0813_SkysongsEnd_objective_desc,@0805_0813_SkysongsEnd_start,@0805_0813_SkysongsEnd_proposal,@0805_0813_SkysongsEnd_incomplete,@complete_available_prompt_DEFAULT,@0805_0813_SkysongsEnd_complete_available_response,,,,,,,,EbonscaleReachArc2
0810_0814_Temple,Journey,,,,,,,0810_0814_d_00_container_Temple,0810_Barkeep,,08_Quest_14,08_Quest_07,,,0810_0814_Temple_success,,,,,,,,true,@0810_0814_Temple_objective_title,@0810_0814_Temple_objective_desc,@0810_0814_Temple_start,@0810_0814_Temple_proposal,@0810_0814_Temple_incomplete,@complete_available_prompt_DEFAULT,@0810_0814_Temple_complete_available_response,,,,,,,,
0899_0801_Liberation,Journey,,,,,,,0899_0801_d_00_container_Liberation,0899_Liberator,,,,,,0899_0801_Liberation_success,,,,,,,1,true,@0899_0801_Liberation_objective_title,@0899_0801_Liberation_objective_desc,@0899_0801_Liberation_start,@0899_0801_Liberation_proposal,@0899_0801_Liberation_incomplete,@complete_available_prompt_DEFAULT,@0899_0801_Liberation_complete_available_response,,,,,,,,
FM_0801_objective,Mission,,,,,true,true,FM_0801_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0802_objective,Mission,,,,,true,true,FM_0802_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0803_objective,Mission,,,,,true,true,FM_0803_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0804_objective,Mission,,,,,true,true,FM_0804_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0805_objective,Mission,,,,,true,true,FM_0805_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0806_objective,Mission,,,,,true,true,FM_0806_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0807_objective,Mission,,,,,true,true,FM_0807_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0808_objective,Mission,,,,,true,true,FM_0808_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0809_objective,Mission,,,,,true,true,FM_0809_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0810_objective,Mission,,,,,true,true,FM_0810_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0801_objective,Mission,,,,,true,true,FM_S_0801_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0802_objective,Mission,,,,,true,true,FM_S_0802_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0803_objective,Mission,,,,,true,true,FM_S_0803_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0804_objective,Mission,,,,,true,true,FM_S_0804_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0805_objective,Mission,,,,,true,true,FM_S_0805_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0806_objective,Mission,,,,,true,true,FM_S_0806_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0807_objective,Mission,,,,,true,true,FM_S_0807_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0808_objective,Mission,,,,,true,true,FM_S_0808_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0809_objective,Mission,,,,,true,true,FM_S_0809_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0810_objective,Mission,,,,,true,true,FM_S_0810_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0801_objective,Mission,,,,,true,true,FM_C_0801_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0802_objective,Mission,,,,,true,true,FM_C_0802_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0803_objective,Mission,,,,,true,true,FM_C_0803_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0804_objective,Mission,,,,,true,true,FM_C_0804_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0805_objective,Mission,,,,,true,true,FM_C_0805_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0806_objective,Mission,,,,,true,true,FM_C_0806_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0807_objective,Mission,,,,,true,true,FM_C_0807_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0808_objective,Mission,,,,,true,true,FM_C_0808_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0809_objective,Mission,,,,,true,true,FM_C_0809_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0810_objective,Mission,,,,,true,true,FM_C_0810_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0861_objective,Mission,,,,,true,true,FM_0861_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0862_objective,Mission,,,,,true,true,FM_0862_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0863_objective,Mission,,,,,true,true,FM_0863_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0864_objective,Mission,,,,,true,true,FM_0864_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0865_objective,Mission,,,,,true,true,FM_0865_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0866_objective,Mission,,,,,true,true,FM_0866_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0867_objective,Mission,,,,,true,true,FM_0867_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0868_objective,Mission,,,,,true,true,FM_0868_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0869_objective,Mission,,,,,true,true,FM_0869_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_0870_objective,Mission,,,,,true,true,FM_0870_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0861_objective,Mission,,,,,true,true,FM_S_0861_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0862_objective,Mission,,,,,true,true,FM_S_0862_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0863_objective,Mission,,,,,true,true,FM_S_0863_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0864_objective,Mission,,,,,true,true,FM_S_0864_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0865_objective,Mission,,,,,true,true,FM_S_0865_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0866_objective,Mission,,,,,true,true,FM_S_0866_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0867_objective,Mission,,,,,true,true,FM_S_0867_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0868_objective,Mission,,,,,true,true,FM_S_0868_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0869_objective,Mission,,,,,true,true,FM_S_0869_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_S_0870_objective,Mission,,,,,true,true,FM_S_0870_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0861_objective,Mission,,,,,true,true,FM_C_0861_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0862_objective,Mission,,,,,true,true,FM_C_0862_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0863_objective,Mission,,,,,true,true,FM_C_0863_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0864_objective,Mission,,,,,true,true,FM_C_0864_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0865_objective,Mission,,,,,true,true,FM_C_0865_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0866_objective,Mission,,,,,true,true,FM_C_0866_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0867_objective,Mission,,,,,true,true,FM_C_0867_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0868_objective,Mission,,,,,true,true,FM_C_0868_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0869_objective,Mission,,,,,true,true,FM_C_0869_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_C_0870_objective,Mission,,,,,true,true,FM_C_0870_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_08_PVP_Spy_Marauder_objective,Mission,,,,true,true,false,FM_08_PVP_Spy_Marauder_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Poach_Marauder_objective,Mission,,,,true,true,false,FM_08_PVP_Poach_Marauder_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Control_Marauder_objective,Mission,,,,true,true,false,FM_08_PVP_Control_Marauder_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Spy_Syndicate_objective,Mission,,,,true,true,false,FM_08_PVP_Spy_Syndicate_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Poach_Syndicate_objective,Mission,,,,true,true,false,FM_08_PVP_Poach_Syndicate_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Control_Syndicate_objective,Mission,,,,true,true,false,FM_08_PVP_Control_Syndicate_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Spy_Covenant_objective,Mission,,,,true,true,false,FM_08_PVP_Spy_Covenant_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Poach_Covenant_objective,Mission,,,,true,true,false,FM_08_PVP_Poach_Covenant_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_PVP_Control_Covenant_objective,Mission,,,,true,true,false,FM_08_PVP_Control_Covenant_container,,8,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,
FM_08_H_01_objective,Mission,,,,,true,true,FM_08_H_01_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_08_H_02_objective,Mission,,,,,true,true,FM_08_H_02_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_08_H_03_objective,Mission,,,,,true,true,FM_08_H_03_container,,8,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_08_EXP_01_objective,Mission,,,,,true,true,FM_08_EXP_01_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_08_EXP_02_objective,Mission,,,,,true,true,FM_08_EXP_02_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
FM_08_EXP_03_objective,Mission,,,,,true,true,FM_08_EXP_03_container,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,
