ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
1001_0101_heads_tails,Journey,,,,,,,1001_0101_heads_tails_container,,,10_Quest_11,10_Quest_05,,,1001_0101_heads_tails_success,,,,,,,true,,@1001_0101_heads_tails_objective_title,@1001_0101_heads_tails_objective_desc,@1001_0101_heads_tails_start_prompt,@1001_0101_heads_tails_proposal,@1001_0101_heads_tails_incomplete,@complete_available_prompt_DEFAULT,@1001_0101_heads_tails_complete_available_response,,,,,,,,CutlassKeysArc4,,
1001_0101a_heads_tails_watcher,Journey,,34,,,,,1001_0101a_heads_tails_watcher_container,1001_Watcher,,10_Quest_13,,,,1001_0101a_heads_tails_watcher_success,,,,,,,false,,@1001_0101a_heads_tails_watcher_objective_title,@1001_0101a_heads_tails_watcher_objective_desc,@prompt_DEFAULT,@1001_0101a_heads_tails_watcher_proposal,@1001_0101a_heads_tails_watcher_incomplete,@complete_available_prompt_DEFAULT,@1001_0101a_heads_tails_watcher_complete_available_response,,,,,,,,,,
1001_0101b_heads_tails_survivalist,Journey,,34,,,,,1001_0101b_heads_tails_survivalist_container,1003_Survivalist,,10_Quest_12,,,,1001_0101b_heads_tails_survivalist_success,,,,,,,false,,@1001_0101b_heads_tails_survivalist_objective_title,@1001_0101b_heads_tails_survivalist_objective_desc,@prompt_DEFAULT,@1001_0101b_heads_tails_survivalist_proposal,@1001_0101b_heads_tails_survivalist_incomplete,@complete_available_prompt_DEFAULT,@1001_0101b_heads_tails_survivalist_complete_available_response,,,,,,,,,,
1030_0201_animalinstincts,Journey,,,,,,,1030_0201_animalinstincts_container_d_00,1030_Tamer,,10_Quest_15,,,,1030_0201_animalinstincts_success,,,,,,,true,,@1030_0201_animalinstincts_title,@1030_0201_animalinstincts_description,@1030_0201_animalinstincts_start_prompt,@1030_0201_animalinstincts_proposal,@1030_0201_animalinstincts_incomplete,@complete_available_prompt_DEFAULT,@1030_0201_animalinstincts_complete,,,,,,,,,,
1030_0201_animalinstincts_alt,Journey,,,,,,,1030_0201_animalinstincts_container_d_00,1030_Tamer,,10_Quest_15_alt,99B_MSQ_03,,,1030_0201_animalinstincts_success_alt,,,,,,,true,,@1030_0201_animalinstincts_title,@1030_0201_animalinstincts_description,@1030_0201_animalinstincts_start_prompt,@1030_0201_animalinstincts_proposal,@1030_0201_animalinstincts_incomplete,@complete_available_prompt_DEFAULT,@1030_0201_animalinstincts_complete,,,,,,,,,,
1030_0202_snaggletooth,Journey,,,,,,,1030_0202_snaggletooth_container_d_00,1030_Tamer,,10_Quest_16,10_Quest_15 || 10_Quest_15_alt,,,1030_0202_snaggletooth_success,,,,,,,true,,@1030_0202_snaggletooth_title,@1030_0202_snaggletooth_description,@1030_0202_snaggletooth_start_prompt,@1030_0202_snaggletooth_proposal,@1030_0202_snaggletooth_incomplete,@complete_available_prompt_DEFAULT,@1030_0202_snaggletooth_complete,,,,,,,,,,
1030_0203_catnipping,Journey,,,,,,,1030_0203_catnipping_container_d_00,1030_Tamer,,10_Quest_17,10_Quest_16,,,1030_0203_catnipping_success,,,,,,,true,,@1030_0203_catnipping_title,@1030_0203_catnipping_description,@1030_0203_catnipping_start_prompt,@1030_0203_catnipping_proposal,@1030_0203_catnipping_incomplete,@complete_available_prompt_DEFAULT,@1030_0203_catnipping_complete,,,,,,,,,,
1030_0204_tamingthelionhearted,Journey,,,,,,,1030_0204_tamingthelionhearted_container_d_00,1030_Tamer,,10_Quest_18,10_Quest_17,,,1030_0204_tamingthelionhearted_success,,,,,,,true,,@1030_0204_tamingthelionhearted_title,@1030_0204_tamingthelionhearted_description,@1030_0204_tamingthelionhearted_start_prompt,@1030_0204_tamingthelionhearted_proposal,@1030_0204_tamingthelionhearted_incomplete,@complete_available_prompt_DEFAULT,@1030_0204_tamingthelionhearted_complete,,,,,,,,,,
1030_0205_perfectcompanion,Journey,,,,,,,1030_0205_perfectcompanion_container_d_00,1030_Tamer,,10_Quest_19,10_Quest_18,,,1030_0205_perfectcompanion_success,,,,,,,true,,@1030_0205_perfectcompanion_title,@1030_0205_perfectcompanion_description,@1030_0205_perfectcompanion_start_prompt,@1030_0205_perfectcompanion_proposal,@1030_0205_perfectcompanion_incomplete,@complete_available_prompt_DEFAULT,@1030_0205_perfectcompanion_complete,,,,,,,,,,
1031_0201_adisturbingsilence,Journey,,,,,,,1031_0201_adisturbingsilence_container_d_00,1031_SwampWalker,,10_Quest_20,,,,1031_0201_adisturbingsilence_success,,,,,,,true,,@1031_0201_adisturbingsilence_title,@1031_0201_adisturbingsilence_description,@1031_0201_adisturbingsilence_start_prompt,@1031_0201_adisturbingsilence_proposal,@1031_0201_adisturbingsilence_incomplete,@complete_available_prompt_DEFAULT,@1031_0201_adisturbingsilence_complete,,,,,,,,,,
1031_0202_trackingbyteeth,Journey,,,,,,,1031_0202_trackingbyteeth_container_d_00,1031_SwampWalker,,10_Quest_21,10_Quest_20,,,1031_0202_trackingbyteeth_success,,,,,,,true,,@1031_0202_trackingbyteeth_title,@1031_0202_trackingbyteeth_description,@1031_0202_trackingbyteeth_start_prompt,@1031_0202_trackingbyteeth_proposal,@1031_0202_trackingbyteeth_incomplete,@complete_available_prompt_DEFAULT,@1031_0202_trackingbyteeth_complete,,,,,,,,,,
1031_0203_heartofthemarsh,Journey,,,,,,,1031_0203_heartofthemarsh_container_d_00,1031_SwampWalker,,10_Quest_22,10_Quest_21,,,1031_0203_heartofthemarsh_success,,,,,,,true,,@1031_0203_heartofthemarsh_title,@1031_0203_heartofthemarsh_description,@1031_0203_heartofthemarsh_start_prompt,@1031_0203_heartofthemarsh_proposal,@1031_0203_heartofthemarsh_incomplete,@complete_available_prompt_DEFAULT,@1031_0203_heartofthemarsh_complete,,,,,,,,,,
1032_0201_onewhotolledthebells,Journey,,26,,,,,1032_0201_onewhotolledthebells_container_d_00,1032_Watcher,,10_Quest_23,,,,1032_0201_onewhotolledthebells_success,,,,,,,true,,@1032_0201_onewhotolledthebells_title,@1032_0201_onewhotolledthebells_description,@1032_0201_onewhotolledthebells_start_prompt,@1032_0201_onewhotolledthebells_proposal,@1032_0201_onewhotolledthebells_incomplete,@complete_available_prompt_DEFAULT,@1032_0201_onewhotolledthebells_complete,,,,,,,,,,
1032_0202_bridgetonowhere,Journey,,,,,,,1032_0202_bridgetonowhere_container_d_00,1032_Watcher,,10_Quest_24,10_Quest_23,,,1032_0202_bridgetonowhere_success,,,,,,,true,,@1032_0202_bridgetonowhere_title,@1032_0202_bridgetonowhere_description,@1032_0202_bridgetonowhere_start_prompt,@1032_0202_bridgetonowhere_proposal,@1032_0202_bridgetonowhere_incomplete,@complete_available_prompt_DEFAULT,@1032_0202_bridgetonowhere_complete,,,,,,,,,,
1032_0203_onebridgetoofar,Journey,,,,,,,1032_0203_onebridgetoofar_container_d_00,1032_Watcher,,10_Quest_25,10_Quest_24,,,1032_0203_onebridgetoofar_success,,,,,,,true,,@1032_0203_onebridgetoofar_title,@1032_0203_onebridgetoofar_description,@1032_0203_onebridgetoofar_start_prompt,@1032_0203_onebridgetoofar_proposal,@1032_0203_onebridgetoofar_incomplete,@complete_available_prompt_DEFAULT,@1032_0203_onebridgetoofar_complete,,,,,,,,,,
1032_0204_burningbridges,Journey,,,,,,,1032_0204_burningbridges_container_d_00,1032_Watcher,,10_Quest_26,10_Quest_25,,,1032_0204_burningbridges_success,,,,,,,true,,@1032_0204_burningbridges_title,@1032_0204_burningbridges_description,@1032_0204_burningbridges_start_prompt,@1032_0204_burningbridges_proposal,@1032_0204_burningbridges_incomplete,@complete_available_prompt_DEFAULT,@1032_0204_burningbridges_complete,,,,,,,,,,
1033_0201_treasureisland,Journey,,,,,,,1033_0201_treasureisland_container_d_00,1033_TreasureHunter,,10_Quest_27,,,,1033_0201_treasureisland_success,,,,,,,true,,@1033_0201_treasureisland_title,@1033_0201_treasureisland_description,@1033_0201_treasureisland_start_prompt,@1033_0201_treasureisland_proposal,@1033_0201_treasureisland_incomplete,@complete_available_prompt_DEFAULT,@1033_0201_treasureisland_complete,,,,,,,,,,
1033_0202_trailofthemisanthrope,Journey,,,,,,,1033_0202_trailofthemisanthrope_container_d_00,1033_TreasureHunter,,10_Quest_28,10_Quest_27,,,1033_0202_trailofthemisanthrope_success,,,,,,,true,,@1033_0202_trailofthemisanthrope_title,@1033_0202_trailofthemisanthrope_description,@1033_0202_trailofthemisanthrope_start_prompt,@1033_0202_trailofthemisanthrope_proposal,@1033_0202_trailofthemisanthrope_incomplete,@complete_available_prompt_DEFAULT,@1033_0202_trailofthemisanthrope_complete,,,,,,,,,,
1034_0201_motherocean,Journey,,,,,,,1034_0201_motherocean_container_d_00,1034_Navigator,,10_Quest_29,,,,1034_0201_motherocean_success,,,,,,,true,,@1034_0201_motherocean_title,@1034_0201_motherocean_description,@1034_0201_motherocean_start_prompt,@1034_0201_motherocean_proposal,@1034_0201_motherocean_incomplete,@complete_available_prompt_DEFAULT,@1034_0201_motherocean_complete,,,,,,,,,,
1034_0202_seadreams,Journey,,,,,,,1034_0202_seadreams_container_d_00,1034_Navigator,,10_Quest_30,10_Quest_29,,,1034_0202_seadreams_success,,,,,,,true,,@1034_0202_seadreams_title,@1034_0202_seadreams_description,@1034_0202_seadreams_start_prompt,@1034_0202_seadreams_proposal,@1034_0202_seadreams_incomplete,@complete_available_prompt_DEFAULT,@1034_0202_seadreams_complete,,,,,,,,,,
1034_0203_hightide,Journey,,,,,,,1034_0203_hightide_container_d_00,1034_Navigator,,10_Quest_31,10_Quest_30,,,1034_0203_hightide_success,,,,,,,true,,@1034_0203_hightide_title,@1034_0203_hightide_description,@1034_0203_hightide_start_prompt,@1034_0203_hightide_proposal,@1034_0203_hightide_incomplete,@complete_available_prompt_DEFAULT,@1034_0203_hightide_complete,,,,,,,,,,
1035_0201_cookiecrumbles,Journey,,,,,,,1035_0201_cookiecrumbles_container_d_00,1035_Chef,,10_Quest_32,,,,1035_0201_cookiecrumbles_success,,,,,,,true,,@1035_0201_cookiecrumbles_title,@1035_0201_cookiecrumbles_description,@1035_0201_cookiecrumbles_start_prompt,@1035_0201_cookiecrumbles_proposal,@1035_0201_cookiecrumbles_incomplete,@complete_available_prompt_DEFAULT,@1035_0201_cookiecrumbles_complete,,,,,,,,,,
1036_0101_AdmiralBlackpowder,Journey,,60,,,,,1036_0101_admiralblackpowder_container_d_00,1036_WallyWiddershins,,BarnaclesQuest01,,,60,1036_0101_AdmiralBlackpowder_success,,,,,GypsumOrb,1,true,,@1036_0101_AdmiralBlackpowder_objecitve_title,@1036_0101_AdmiralBlackpowder_objecitve_description,@1036_0101_AdmiralBlackpowder_start_prompt,@1036_0101_AdmiralBlackpowder_proposal,@1036_0101_AdmiralBlackpowder_incomplete,@complete_available_prompt_DEFAULT,@1036_0101_AdmiralBlackpowder_complete_available_response,,,,,,,,,,
1037_0101_MysteriesOfDeep,Journey,,60,,,,,1037_0101_mysteriesofdeep_container_d_00,1037_RowanPennbrook,,BarnaclesQuest02,,,60,1037_0101_MysteriesOfDeep_success,,,,,GypsumOrb,1,true,,@1037_0101_MysteriesOfDeep_objecitve_title,@1037_0101_MysteriesOfDeep_objecitve_description,@1037_0101_MysteriesOfDeep_start_prompt,@1037_0101_MysteriesOfDeep_proposal,@1037_0101_MysteriesOfDeep_incomplete,@complete_available_prompt_DEFAULT,@1037_0101_MysteriesOfDeep_complete_available_response,,,,,,,,,,
1038_0101_CleansingTreasure,Journey,,60,,,,,1038_0101_cleansingtreasure_container_d_00,1038_QuiggleyQuorus,,,,,60,1038_0101_CleansingTreasure_success,,,,,GypsumOrb,1,true,true,@1038_0101_CleansingTreasure_objecitve_title,@1038_0101_CleansingTreasure_objecitve_description,@1038_0101_CleansingTreasure_start_prompt,@1038_0101_CleansingTreasure_proposal,@1038_0101_CleansingTreasure_incomplete,@complete_available_prompt_DEFAULT,@1038_0101_CleansingTreasure_complete_available_response,,,,,,,,,,
FM_10_PVP_Spy_Marauder_objective,Mission,,,,true,true,false,FM_10_PVP_Spy_Marauder_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Poach_Marauder_objective,Mission,,,,true,true,false,FM_10_PVP_Poach_Marauder_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Control_Marauder_objective,Mission,,,,true,true,false,FM_10_PVP_Control_Marauder_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Spy_Syndicate_objective,Mission,,,,true,true,false,FM_10_PVP_Spy_Syndicate_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Poach_Syndicate_objective,Mission,,,,true,true,false,FM_10_PVP_Poach_Syndicate_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Control_Syndicate_objective,Mission,,,,true,true,false,FM_10_PVP_Control_Syndicate_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Spy_Covenant_objective,Mission,,,,true,true,false,FM_10_PVP_Spy_Covenant_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Poach_Covenant_objective,Mission,,,,true,true,false,FM_10_PVP_Poach_Covenant_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_10_PVP_Control_Covenant_objective,Mission,,,,true,true,false,FM_10_PVP_Control_Covenant_container,,10,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,Hourly
FM_1001_objective,Mission,,,,,true,true,FM_1001_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1002_objective,Mission,,,,,true,true,FM_1002_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1003_objective,Mission,,,,,true,true,FM_1003_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1004_objective,Mission,,,,,true,true,FM_1004_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1005_objective,Mission,,,,,true,true,FM_1005_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1006_objective,Mission,,,,,true,true,FM_1006_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1007_objective,Mission,,,,,true,true,FM_1007_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1008_objective,Mission,,,,,true,true,FM_1008_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1009_objective,Mission,,,,,true,true,FM_1009_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1010_objective,Mission,,,,,true,true,FM_1010_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1001_objective,Mission,,,,,true,true,FM_S_1001_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1002_objective,Mission,,,,,true,true,FM_S_1002_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1003_objective,Mission,,,,,true,true,FM_S_1003_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1004_objective,Mission,,,,,true,true,FM_S_1004_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1005_objective,Mission,,,,,true,true,FM_S_1005_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1006_objective,Mission,,,,,true,true,FM_S_1006_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1007_objective,Mission,,,,,true,true,FM_S_1007_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1008_objective,Mission,,,,,true,true,FM_S_1008_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1009_objective,Mission,,,,,true,true,FM_S_1009_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1010_objective,Mission,,,,,true,true,FM_S_1010_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1001_objective,Mission,,,,,true,true,FM_C_1001_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1002_objective,Mission,,,,,true,true,FM_C_1002_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1003_objective,Mission,,,,,true,true,FM_C_1003_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1004_objective,Mission,,,,,true,true,FM_C_1004_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1005_objective,Mission,,,,,true,true,FM_C_1005_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1006_objective,Mission,,,,,true,true,FM_C_1006_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1007_objective,Mission,,,,,true,true,FM_C_1007_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1008_objective,Mission,,,,,true,true,FM_C_1008_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1009_objective,Mission,,,,,true,true,FM_C_1009_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1010_objective,Mission,,,,,true,true,FM_C_1010_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1061_objective,Mission,,,,,true,true,FM_1061_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1062_objective,Mission,,,,,true,true,FM_1062_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1063_objective,Mission,,,,,true,true,FM_1063_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1064_objective,Mission,,,,,true,true,FM_1064_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1065_objective,Mission,,,,,true,true,FM_1065_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1066_objective,Mission,,,,,true,true,FM_1066_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1067_objective,Mission,,,,,true,true,FM_1067_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1068_objective,Mission,,,,,true,true,FM_1068_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1069_objective,Mission,,,,,true,true,FM_1069_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_1070_objective,Mission,,,,,true,true,FM_1070_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1061_objective,Mission,,,,,true,true,FM_S_1061_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1062_objective,Mission,,,,,true,true,FM_S_1062_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1063_objective,Mission,,,,,true,true,FM_S_1063_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1064_objective,Mission,,,,,true,true,FM_S_1064_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1065_objective,Mission,,,,,true,true,FM_S_1065_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1066_objective,Mission,,,,,true,true,FM_S_1066_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1067_objective,Mission,,,,,true,true,FM_S_1067_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1068_objective,Mission,,,,,true,true,FM_S_1068_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1069_objective,Mission,,,,,true,true,FM_S_1069_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_S_1070_objective,Mission,,,,,true,true,FM_S_1070_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1061_objective,Mission,,,,,true,true,FM_C_1061_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1062_objective,Mission,,,,,true,true,FM_C_1062_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1063_objective,Mission,,,,,true,true,FM_C_1063_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1064_objective,Mission,,,,,true,true,FM_C_1064_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1065_objective,Mission,,,,,true,true,FM_C_1065_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1066_objective,Mission,,,,,true,true,FM_C_1066_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1067_objective,Mission,,,,,true,true,FM_C_1067_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1068_objective,Mission,,,,,true,true,FM_C_1068_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1069_objective,Mission,,,,,true,true,FM_C_1069_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
FM_C_1070_objective,Mission,,,,,true,true,FM_C_1070_container,,10,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,
