ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,PushObjectiveOnReqMet,PushObjectiveOnReqRetrigger,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon 
06_boarfeast_musketeer,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Musketeer,,,,,01_boarfeast_success_musketeer,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
06_boarfeast_occultist,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Occultist,,,,,01_boarfeast_success_occultist,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
06_boarfeast_mystic,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Theurgist,,,,,01_boarfeast_success_mystic,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
06_boarfeast_swordsman,MainStoryQuest,,2,,,,,06_boarfeast_container,01_AelstromWW_03,6,S_boarfeast,S_skinningknife && Archetype_Wanderer,,,,,01_boarfeast_success_swordsman,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new,,,true,,,,,,
12_boarfeast,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_boarfeast_success,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_soldier,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Mercenary,,,,,01_boarfeast_success_soldier,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_destroyer,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Warmonger,,,,,01_boarfeast_success_destroyer,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_ranger,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Tracker,,,,,01_boarfeast_success_ranger,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_musketeer,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Musketeer,,,,,01_boarfeast_success_musketeer,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_occultist,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Occultist,,,,,01_boarfeast_success_occultist,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_mystic,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Theurgist,,,,,01_boarfeast_success_mystic,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
12_boarfeast_swordsman,MainStoryQuest,,2,,,,,12_boarfeast_container,01_AelstromMB_03,12,S_boarfeast_mb,S_skinningknife_mb && Archetype_Wanderer,,,,,01_boarfeast_success_swordsman,,,,,PotionHealthT1,5,,,false,@01_boarfeast_title,@01_boarfeast_description,@01_boarfeast_start_prompt_new,@01_boarfeast_proposal_a_new_MB,@01_boarfeast_incomplete_new,@complete_available_prompt_DEFAULT,@01_boarfeast_complete_a_new_MB,,,true,,,,,,
06_crewmates,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_crewmates_success,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_soldier,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Mercenary,,,,,01_crewmates_success_soldier,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_destroyer,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Warmonger,,,,,01_crewmates_success_destroyer,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_ranger,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Tracker,,,,,01_crewmates_success_ranger,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_musketeer,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Musketeer,,,,,01_crewmates_success_musketeer,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_occultist,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Occultist,,,,,01_crewmates_success_occultist,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_mystic,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Theurgist,,,,,01_crewmates_success_mystic,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
06_crewmates_swordsman,MainStoryQuest,,2,,,,,06_crewmates_container,01_AelstromWW_03,6,S_crewmates,S_boarfeast && Archetype_Wanderer,,,,,01_crewmates_success_swordsman,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new,,,true,,,,,,
12_crewmates,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_crewmates_success,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_soldier,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Mercenary,,,,,01_crewmates_success_soldier,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_destroyer,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Warmonger,,,,,01_crewmates_success_destroyer,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_ranger,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Tracker,,,,,01_crewmates_success_ranger,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_musketeer,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Musketeer,,,,,01_crewmates_success_musketeer,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_occultist,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Occultist,,,,,01_crewmates_success_occultist,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_mystic,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Theurgist,,,,,01_crewmates_success_mystic,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
12_crewmates_swordsman,MainStoryQuest,,2,,,,,12_crewmates_container,01_AelstromMB_03,12,S_crewmates_mb,S_boarfeast_mb && Archetype_Wanderer,,,,,01_crewmates_success_swordsman,,,,,,,,,false,@01_crewmates_title,@01_crewmates_description,@01_crewmates_start_prompt_new,@01_crewmates_proposal_a_new_MB,@01_crewmates_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_crewmates_complete_a_new_MB,,,true,,,,,,
06_survivors,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_06_survivors_success,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_soldier,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Mercenary,,,,,01_06_survivors_success_soldier,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_destroyer,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Warmonger,,,,,01_06_survivors_success_destroyer,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_ranger,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Tracker,,,,,01_06_survivors_success_ranger,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_musketeer,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Musketeer,,,,,01_06_survivors_success_musketeer,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_occultist,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Occultist,,,,,01_06_survivors_success_occultist,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_mystic,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Theurgist,,,,,01_06_survivors_success_mystic,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_survivors_swordsman,MainStoryQuest,,3,,,,,06_survivors_container,01_GraceWW_01,6,S_survivors,S_crewmates && Archetype_Wanderer,,,,,01_06_survivors_success_swordsman,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new,@01_survivors_incomplete_a_new,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_survivors_success,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_soldier,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Mercenary,,,,,01_06_survivors_success_soldier,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_destroyer,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Warmonger,,,,,01_06_survivors_success_destroyer,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_ranger,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Tracker,,,,,01_06_survivors_success_ranger,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_musketeer,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Musketeer,,,,,01_06_survivors_success_musketeer,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_occultist,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Occultist,,,,,01_06_survivors_success_occultist,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_mystic,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Theurgist,,,,,01_06_survivors_success_mystic,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
12_survivors_swordsman,MainStoryQuest,,3,,,,,12_survivors_container,01_GraceMB_01,12,S_survivors_mb,S_crewmates_mb && Archetype_Wanderer,,,,,01_06_survivors_success_swordsman,,,,,,,,,false,@01_survivors_title,@01_survivors_description,@01_survivors_start_prompt_new,@01_survivors_proposal_a_new_MB,@01_survivors_incomplete_a_new_MB,@complete_available_prompt_DEFAULT,@01_survivors_complete_a,,,true,,,,,,
06_pillageship,MainStoryQuest,,3,,,,,06_pillageship_container,01_GraceWW_02,6,S_pillageship,S_survivors && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,,,01_06_pillageship_success,,,,,,,,,false,@01_pillageship_title,@01_pillageship_description,@01_pillageship_start_prompt,@01_pillageship_proposal_a,@01_pillageship_incomplete,@complete_available_prompt_DEFAULT,@01_pillageship_complete_a,,,true,,,,,,
06_pillageship_destroyer,MainStoryQuest,,3,,,,,06_pillageship_container,01_GraceWW_02,6,S_pillageship,S_survivors && Archetype_Warmonger,,,,,01_pillageship_success_destroyer,,,,,,,,,false,@01_pillageship_title,@01_pillageship_description,@01_pillageship_start_prompt,@01_pillageship_proposal_a,@01_pillageship_incomplete,@complete_available_prompt_DEFAULT,@01_pillageship_complete_a,,,true,,,,,,
06_pillageship_musketeer,MainStoryQuest,,3,,,,,06_pillageship_container,01_GraceWW_02,6,S_pillageship,S_survivors && Archetype_Musketeer,,,,,01_pillageship_success_musketeer,,,,,,,,,false,@01_pillageship_title,@01_pillageship_description,@01_pillageship_start_prompt,@01_pillageship_proposal_a,@01_pillageship_incomplete,@complete_available_prompt_DEFAULT,@01_pillageship_complete_a,,,true,,,,,,
06_pillageship_mystic,MainStoryQuest,,3,,,,,06_pillageship_container,01_GraceWW_02,6,S_pillageship,S_survivors && Archetype_Theurgist,,,,,01_pillageship_success_mystic,,,,,,,,,false,@01_pillageship_title,@01_pillageship_description,@01_pillageship_start_prompt,@01_pillageship_proposal_a,@01_pillageship_incomplete,@complete_available_prompt_DEFAULT,@01_pillageship_complete_a,,,true,,,,,,
