ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId,ShouldResetInProgressQuestOnScheduleEnd
04A_Side05_01_ChooseInstrument,Journey,,,,,,,04A_Side05_01_ChooseInstrument_container,0440a_AtticusDelphi,,04A_Side05_01,,,,04A_Side05_01_ChooseInstrument_success,,,,,,,,true,,@04A_Side05_01_ChooseInstrument_Title,@04A_Side05_01_ChooseInstrument_Desc,@04A_Side05_01_ChooseInstrument_Start_Prompt,@04A_Side05_01_ChooseInstrument_Proposal,@04A_Side05_01_ChooseInstrument_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side05_01_ChooseInstrument_Complete,,,,,,,,,,,
04A_Side05_02_PlayForTown,Journey,,,,,,,04A_Side05_02_PlayForTown_container,0440a_AtticusDelphi,,04A_Side05_02,04A_Side05_01,,,04A_Side05_02_PlayForTown_success,,,,,,,,true,,@04A_Side05_02_PlayForTown_Title,@04A_Side05_02_PlayForTown_Desc,@04A_Side05_02_PlayForTown_Start_Prompt,@04A_Side05_02_PlayForTown_Proposal,@04A_Side05_02_PlayForTown_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side05_02_PlayForTown_Complete,,,,,,,,,,,
04A_Side05_03_EarnAudience,Journey,,,,,,,04A_Side05_03_EarnAudience_container,0440a_AtticusDelphi,,04A_Side05_03,04A_Side05_02,,,04A_Side05_03_EarnAudience_success,,,,,,,,true,,@04A_Side05_03_EarnAudience_Title,@04A_Side05_03_EarnAudience_Desc,@04A_Side05_03_EarnAudience_Start_Prompt,@04A_Side05_03_EarnAudience_Proposal,@04A_Side05_03_EarnAudience_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side05_03_EarnAudience_Complete,,,,,,,,,,,
04A_Side05_04_EarnPatron,Journey,,,,,,,04A_Side05_04_EarnPatron_container,0443a_OuShen,,04A_Side05_04,04A_Side05_03,,,04A_Side05_04_EarnPatron_success,,,,,,,,true,,@04A_Side05_04_EarnPatron_Title,@04A_Side05_04_EarnPatron_Desc,@04A_Side05_04_EarnPatron_Start_Prompt,@04A_Side05_04_EarnPatron_Proposal,@04A_Side05_04_EarnPatron_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side05_04_EarnPatron_Complete,,,,,,,,,,,
04A_Side06_01_DefeatBear,Journey,,,,,,,04A_Side06_01_DefeatBear_container,0437a_FelixLivius,,04A_Side06_01,,,,04A_Side06_01_DefeatBear_success,,,,,,,,true,,@04A_Side06_01_DefeatBear_Title,@04A_Side06_01_DefeatBear_Desc,@04A_Side06_01_DefeatBear_Start_Prompt,@04A_Side06_01_DefeatBear_Proposal,@04A_Side06_01_DefeatBear_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side06_01_DefeatBear_Complete,,,,,,,,,,,
04A_Side06_02_TownBrag,Journey,,,,,,,04A_Side06_02_TownBrag_container,0403a_HuntsmanLee,,04A_Side06_02,04A_Side06_01,,,04A_Side06_02_TownBrag_success,,,,,,,,true,,@04A_Side06_02_TownBrag_Title,@04A_Side06_02_TownBrag_Desc,@04A_Side06_02_TownBrag_Start_Prompt,@04A_Side06_02_TownBrag_Proposal,@04A_Side06_02_TownBrag_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side06_02_TownBrag_Complete,,,,,,,,,,,
04A_Side07_01_GetMead,Journey,,,,,,,04A_Side07_01_GetMead_container,0438a_JacobEvans,,04A_Side07_01,,,,04A_Side07_01_GetMead_success,,,,,,,,true,,@04A_Side07_01_GetMead_Title,@04A_Side07_01_GetMead_Desc,@04A_Side07_01_GetMead_Start_Prompt,@04A_Side07_01_GetMead_Proposal,@04A_Side07_01_GetMead_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side07_01_GetMead_Complete,,,,,,,,,,,
04A_Side07_02_GetWine,Journey,,,,,,,04A_Side07_02_GetWine_container,0438a_JacobEvans,,04A_Side07_02,04A_Side07_01,,,04A_Side07_02_GetWine_success,,,,,,,,true,,@04A_Side07_02_GetWine_Title,@04A_Side07_02_GetWine_Desc,@04A_Side07_02_GetWine_Start_Prompt,@04A_Side07_02_GetWine_Proposal,@04A_Side07_02_GetWine_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side07_02_GetWine_Complete,,,,,,,,,,,
04A_Side07_03_GetPort,Journey,,,,,,,04A_Side07_03_GetPort_container,0438a_JacobEvans,,04A_Side07_03,04A_Side07_02,,,04A_Side07_03_GetPort_success,,,,,,,,true,,@04A_Side07_03_GetPort_Title,@04A_Side07_03_GetPort_Desc,@04A_Side07_03_GetPort_Start_Prompt,@04A_Side07_03_GetPort_Proposal,@04A_Side07_03_GetPort_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side07_03_GetPort_Complete,,,,,,,,,,,
04A_Side07_04_SaveBar,Journey,,,,,,,04A_Side07_04_SaveBar_container,0410a_BarkeepPolly,,04A_Side07_04,04A_Side07_03,,,04A_Side07_04_SaveBar_success,,,,,,,,true,,@04A_Side07_04_SaveBar_Title,@04A_Side07_04_SaveBar_Desc,@04A_Side07_04_SaveBar_Start_Prompt,@04A_Side07_04_SaveBar_Proposal,@04A_Side07_04_SaveBar_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side07_04_SaveBar_Complete,,,,,,,,,,,
04A_Side08_01_GetReagents,Journey,,,,,,,04A_Side08_01_GetReagents_container,0439a_AnwirHughes_01,,04A_Side08_01,,,,04A_Side08_01_GetReagents_success,,,,,,,,true,,@04A_Side08_01_GetReagents_Title,@04A_Side08_01_GetReagents_Desc,@04A_Side08_01_GetReagents_Start_Prompt,@04A_Side08_01_GetReagents_Proposal,@04A_Side08_01_GetReagents_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side08_01_GetReagents_Complete,,,,,,,,,,,
04A_Side08_02_SecretIngredient,Journey,,,,,,,04A_Side08_02_SecretIngredient_container,0439a_AnwirHughes_01,,04A_Side08_02,04A_Side08_01,,,04A_Side08_02_SecretIngredient_success,,,,,,,,true,,@04A_Side08_02_SecretIngredient_Title,@04A_Side08_02_SecretIngredient_Desc,@04A_Side08_02_SecretIngredient_Start_Prompt,@04A_Side08_02_SecretIngredient_Proposal,@04A_Side08_02_SecretIngredient_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side08_02_SecretIngredient_Complete,,,,,,,,,,,
04A_Side08_03_DeliverPotions,Journey,,,,,,,04A_Side08_03_DeliverPotions_container,0439a_AnwirHughes_02,,04A_Side08_03,04A_Side08_02,,,04A_Side08_03_DeliverPotions_success,,,,,,,,true,,@04A_Side08_03_DeliverPotions_Title,@04A_Side08_03_DeliverPotions_Desc,@04A_Side08_03_DeliverPotions_Start_Prompt,@04A_Side08_03_DeliverPotions_Proposal,@04A_Side08_03_DeliverPotions_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side08_03_DeliverPotions_Complete,,,,,,,,,,,
04A_Side09_01_LostAlchemy,Journey,,,,,,,04A_Side09_01_LostAlchemy_container,0448a_SyndicateAlchemist,,04A_Side09_01,,,,04A_Side09_01_LostAlchemy_success,,,,,,,,true,,@04A_Side09_01_LostAlchemy_Title,@04A_Side09_01_LostAlchemy_Desc,@04A_Side09_01_LostAlchemy_Start_Prompt,@04A_Side09_01_LostAlchemy_Proposal,@04A_Side09_01_LostAlchemy_Incomplete,@complete_available_prompt_DEFAULT,@04A_Side09_01_LostAlchemy_Complete,,,true,,,,,,,,
04A_Side10_01_CopperSeam,Journey,,,,,,,04A_Side10_01_CopperSeam_container,,,04A_Side10_01,,,,04A_Side10_01_CopperSeam_success,,,,,,,,true,,@04A_Side10_01_CopperSeam_Title,@04A_Side10_01_CopperSeam_Desc,@04A_Side10_01_CopperSeam_Start_Prompt,@04A_Side10_01_CopperSeam_Proposal,@04A_Side10_01_CopperSeam_Incomplete,,,,,true,,,,,,,,
0424_2022_WC_01,Event,,15,,,,,0424_0101_d_00_Container_Convergence1,0424_Yeti_WW_NPC,,WC_2022_01,,,,0424_2022_WC_01_success,,,,,,,,true,,@0424_2022_WC_01_Title,@0424_2022_WC_01_Description,@0424_2022_WC_01_Start_Prompt,@0424_2022_WC_01_Proposal,@0424_2022_WC_01_Incomplete,@complete_available_prompt_DEFAULT,@0424_2022_WC_01_Complete,,,,,,,,,,EventWinter,true
0424_2022_WC_02,Event,,15,,,,,0424_0105_d_00_Container_JoyRecaptured1,0424_Yeti_WW_NPC,,WC_2022_02,WC_2022_01,,,0424_2022_WC_02_success,,,,,,,,false,,@0424_2022_WC_02_Title,@0424_2022_WC_02_Description,@0424_2022_WC_02_Start_Prompt,@0424_2022_WC_02_Proposal,@0424_2022_WC_02_Incomplete,@complete_available_prompt_DEFAULT,@0424_2022_WC_02_Complete,,,,,,,,,,EventWinter,true
0424_2022_WC_03,Event,,15,,,,,0424_0104_d_00_Container_Gleamites1,0424_Yeti_WW_NPC,,WC_2022_03,WC_2022_02,,,0424_2022_WC_03_success,,,,,,,,false,,@0424_2022_WC_03_Title,@0424_2022_WC_03_Description,@0424_2022_WC_03_Start_Prompt,@0424_2022_WC_03_Proposal,@0424_2022_WC_03_Incomplete,@complete_available_prompt_DEFAULT,@0424_2022_WC_03_Complete,,,,,,,,,,EventWinter,true
0424_2022_WC_04,Event,,15,,,,,0424_0108_d_00_Container_WinterWarrior1,0424_Yeti_WW_NPC,,WC_2022_04,WC_2022_03,,,0424_2022_WC_04_success,,,,,,,,true,,@0424_2022_WC_04_Title,@0424_2022_WC_04_Description,@0424_2022_WC_04_Start_Prompt,@0424_2022_WC_04_Proposal,@0424_2022_WC_04_Incomplete,@complete_available_prompt_DEFAULT,@0424_2022_WC_04_Complete,,,,,,,,,,EventWinter,true
0425_0101_truffles,Journey,,3,,,,,0425_0101_d_00_container_truffles,0425_HerbalistEF_Town,4,S_truffles,,,,0425_0101_truffles_success,,,,,,,,false,,@0425_0101_truffles_title,@0425_0101_truffles_desc,@0425_0101_truffles_start_prompt,@0425_0101_truffles_proposal,@0425_0101_truffles_incomplete,@complete_available_prompt_DEFAULT,@0425_0101_truffles_complete,,,,,,,,,,,
0430_0101_Arena,Journey,,20,,,,,0430_0101_d_00_container_arena,0430_PVPArena,,PVPArena_Quest_01,,,,0430_0101_Arena_success,,,,,,,,true,,@0430_0101_a_Title,@0430_0101_b_Description,@0430_0101_c_start_prompt,@0430_0101_c_Proposal,@0430_0101_e_Incomplete,@complete_available_prompt_DEFAULT,@0430_0101_f_Complete,,,,,,,,,,,
FM_04_PVP_ControlSpot_Marauder_objective,Mission,,,,true,true,false,FM_04_PVP_ControlSpot_Marauder_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_PoachSpot_Marauder_objective,Mission,,,,true,true,false,FM_04_PVP_PoachSpot_Marauder_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_SpySpot_Marauder_objective,Mission,,,,true,true,false,FM_04_PVP_SpySpot_Marauder_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_ControlSpot_Syndicate_objective,Mission,,,,true,true,false,FM_04_PVP_ControlSpot_Syndicate_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_PoachSpot_Syndicate_objective,Mission,,,,true,true,false,FM_04_PVP_PoachSpot_Syndicate_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_SpySpot_Syndicate_objective,Mission,,,,true,true,false,FM_04_PVP_SpySpot_Syndicate_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_ControlSpot_Covenant_objective,Mission,,,,true,true,false,FM_04_PVP_ControlSpot_Covenant_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_PoachSpot_Covenant_objective,Mission,,,,true,true,false,FM_04_PVP_PoachSpot_Covenant_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_04_PVP_SpySpot_Covenant_objective,Mission,,,,true,true,false,FM_04_PVP_SpySpot_Covenant_container,,4,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,
FM_0401_objective,Mission,,,,,true,true,FM_0401_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0402_objective,Mission,,,,,true,true,FM_0402_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0403_objective,Mission,,,,,true,true,FM_0403_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0404_objective,Mission,,,,,true,true,FM_0404_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0405_objective,Mission,,,,,true,true,FM_0405_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0406_objective,Mission,,,,,true,true,FM_0406_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0407_objective,Mission,,,,,true,true,FM_0407_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0408_objective,Mission,,,,,true,true,FM_0408_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0410_objective,Mission,,,,,true,true,FM_0410_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0401_objective,Mission,,,,,true,true,FM_S_0401_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0402_objective,Mission,,,,,true,true,FM_S_0402_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0403_objective,Mission,,,,,true,true,FM_S_0403_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0404_objective,Mission,,,,,true,true,FM_S_0404_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0405_objective,Mission,,,,,true,true,FM_S_0405_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0406_objective,Mission,,,,,true,true,FM_S_0406_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0407_objective,Mission,,,,,true,true,FM_S_0407_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0408_objective,Mission,,,,,true,true,FM_S_0408_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0410_objective,Mission,,,,,true,true,FM_S_0410_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0401_objective,Mission,,,,,true,true,FM_C_0401_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0402_objective,Mission,,,,,true,true,FM_C_0402_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0403_objective,Mission,,,,,true,true,FM_C_0403_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0404_objective,Mission,,,,,true,true,FM_C_0404_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0405_objective,Mission,,,,,true,true,FM_C_0405_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0406_objective,Mission,,,,,true,true,FM_C_0406_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0407_objective,Mission,,,,,true,true,FM_C_0407_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0408_objective,Mission,,,,,true,true,FM_C_0408_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0410_objective,Mission,,,,,true,true,FM_C_0410_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0461_objective,Mission,,,,,true,true,FM_0461_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0462_objective,Mission,,,,,true,true,FM_0462_container,,4,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
