ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon,ScheduleId,ObjectiveOnCooldownResponse,ShouldResetInProgressQuestOnScheduleEnd
C10A_Q1R_Build,Journey,,65,,,,,C10A_Q1_Container_Main,C10A_Arnold,,C10A_Q1R,C10A_Q1,,65,C10A_Q1R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_Q1_Title,@C10A_Q1_Description,@C10A_Q1R_Prompt,@C10A_Q1R_Proposal,@C10A_Q1R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q1R_Complete,,,,,,,,,,Daily,@C10A_Arnold_01,false
C10A_Q2R_FreePirates,Journey,,65,,,,,C10A_Q2_Container_Main,C10A_Bronn,,C10A_Q2R,C10A_Q2,,65,C10A_Q2R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_Q2_Title,@C10A_Q2_Description,@C10A_Q2R_Prompt,@C10A_Q2R_Proposal,@C10A_Q2R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q2R_Complete,,,,,,,,,,Daily,@C10A_Q2R_Cooldown,false
C10A_Q3R_Revelation,Journey,,67,,,,,C10A_Q3_Container_Main,C10A_Billiam,,C10A_Q3R,C10A_Q3,,65,C10A_Q3R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_Q3_Title,@C10A_Q3_Description,@C10A_Q3R_Prompt,@C10A_Q3R_Proposal,@C10A_Q3R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q3_Complete,,,,,,,,,,Daily,@C10A_Billiam_03,false
C10A_Q4R_SpectralArtifacts,Journey,,65,,,,,C10A_Q4_Container_Main,C10A_Kasper,,C10A_Q4R,C10A_Q4,,65,C10A_Q4R_Success,,,,,CK_PVEResource_DoubloonToken,45,,true,true,@C10A_Q4_Title,@C10A_Q4_Description,@C10A_Q4R_Prompt,@C10A_Q4R_Proposal,@C10A_Q4R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q4R_Complete,,,,,,,,,,Daily,@C10A_Q4R_Cooldown,false
C10A_Q5R_Souls,Journey,,65,,,,,C10A_Q5_Container_Main,C10A_Rosina,,C10A_Q5R,C10A_Q5,,65,C10A_Q5R_Success,,,,,CK_PVEResource_DoubloonToken,45,,true,true,@C10A_Q5_Title,@C10A_Q5_Description,@C10A_Q5R_Prompt,@C10A_Q5R_Proposal,@C10A_Q5R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q5R_Complete,,,,,,,,,,Daily,@C10A_Rosina_02,false
C10A_Q6R_Citadel,Journey,,70,,,,,C10A_Q6_Container_Main,C10A_Decima,,C10A_Q6R,C10A_Q6,,65,C10A_Q6R_Success,,,,,CK_PVEResource_DoubloonToken,45,,true,true,@C10A_Q6_Title,@C10A_Q6_Description,@C10A_Q6R_Prompt,@C10A_Q6R_Proposal,@C10A_Q6R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_Q6R_Complete,,,,,,,,,,Daily,@C10A_Decima_03,false
C10A_S1_SeadogBrew,Journey,,65,,,,,C10A_S1_Container_Main,C10A_Plute,,C10A_S1,,,65,C10A_S1_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S1_Title,@C10A_S1_Description,@C10A_S1_Prompt,@C10A_S1_Proposal,@C10A_S1_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S1_Complete,,,,,,,,,,,,
C10A_S2_AncientWonders,Journey,,65,,,,,C10A_S2_Container_Main,C10A_Shillie,,C10A_S2,,,65,C10A_S2_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S2_Title,@C10A_S2_Description,@C10A_S2_Prompt,@C10A_S2_Proposal,@C10A_S2_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S2_Complete,,,,,,,,,,,,
C10A_S3_AeternumTriangle,Journey,,65,,,,,C10A_S3_Container_Main,C10A_Shillie,,C10A_S3,C10A_S2,,65,C10A_S3_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S3_Title,@C10A_S3_Description,@C10A_S3_Prompt,@C10A_S3_Proposal,@C10A_S3_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S3_Complete,,,,,,,,,,,,
C10A_S4_ExplosiveProspecting,Journey,,65,,,,,C10A_S4_Container_Main,C10A_Antonia,,C10A_S4,,,65,C10A_S4_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S4_Title,@C10A_S4_Description,@C10A_S4_Prompt,@C10A_S4_Proposal,@C10A_S4_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S4_Complete,,,,,,,,,,,,
C10A_S5_LightningBottle,Journey,,65,,,,,C10A_S5_Container_Main,C10A_Fei,,C10A_S5,C10A_S3,,65,C10A_S5_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S5_Title,@C10A_S5_Description,@C10A_S5_Prompt,@C10A_S5_Proposal,@C10A_S5_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S5_Complete,,,,,,,,,,,,
C10A_S6_LightningBottleTest,Journey,,65,,,,,C10A_S6_Container_Main,C10A_Fei,,C10A_S6,C10A_S5,,65,C10A_S6_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S6_Title,@C10A_S6_Description,@C10A_S6_Prompt,@C10A_S6_Proposal,@C10A_S6_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S6_Complete,,,,,,,,,,,,
C10A_S7_AnimalInstincts,Journey,,65,,,,,C10A_S7_Container_Main,C10A_Tosch,,C10A_S7,,,65,C10A_S7_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S7_Title,@C10A_S7_Description,@C10A_S7_Prompt,@C10A_S7_Proposal,@C10A_S7_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S7_Complete,,,,,,,,,,,,
C10A_S8_SnaggleTooth,Journey,,65,,,,,C10A_S8_Container_Main,C10A_Tosch,,C10A_S8,,,65,C10A_S8_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S8_Title,@C10A_S8_Description,@C10A_S8_Prompt,@C10A_S8_Proposal,@C10A_S8_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S8_Complete,,,,,,,,,,,,
C10A_S9_Catnipping,Journey,,65,,,,,C10A_S9_Container_Main,C10A_Tosch,,C10A_S9,,,65,C10A_S9_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S9_Title,@C10A_S9_Description,@C10A_S9_Prompt,@C10A_S9_Proposal,@C10A_S9_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S9_Complete,,,,,,,,,,,,
C10A_S10_TamingTheLionhearted,Journey,,65,,,,,C10A_S10_Container_Main,C10A_Tosch,,C10A_S10,,,65,C10A_S10_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S10_Title,@C10A_S10_Description,@C10A_S10_Prompt,@C10A_S10_Proposal,@C10A_S10_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S10_Complete,,,,,,,,,,,,
C10A_S11_PerfectCompanion,Journey,,65,,,,,C10A_S11_Container_Main,C10A_Tosch,,C10A_S11,,,65,C10A_S11_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S11_Title,@C10A_S11_Description,@C10A_S11_Prompt,@C10A_S11_Proposal,@C10A_S11_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S11_Complete,,,,,,,,,,,,
C10A_S12_DisturbingSilence,Journey,,65,,,,,C10A_S12_Container_Main,C10A_Nekumanesh,,C10A_S12,,,65,C10A_S12_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S12_Title,@C10A_S12_Description,@C10A_S12_Prompt,@C10A_S12_Proposal,@C10A_S12_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S12_Complete,,,,,,,,,,,,
C10A_S13_TrackingByTeeth,Journey,,65,,,,,C10A_S13_Container_Main,C10A_Nekumanesh,,C10A_S13,C10A_S12,,65,C10A_S13_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S13_Title,@C10A_S13_Description,@C10A_S13_Prompt,@C10A_S13_Proposal,@C10A_S13_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S13_Complete,,,,,,,,,,,,
C10A_S14_HeartOfTheMarsh,Journey,,65,,,,,C10A_S14_Container_Main,C10A_Nekumanesh,,C10A_S14,C10A_S13,,65,C10A_S14_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S14_Title,@C10A_S14_Description,@C10A_S14_Prompt,@C10A_S14_Proposal,@C10A_S14_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S14_Complete,,,,,,,,,,,,
C10A_S15_TreasureIsland,Journey,,65,,,,,C10A_S15_Container_Main,C10A_Claire,,C10A_S15,,,65,C10A_S15_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_S15_Title,@C10A_S15_Description,@C10A_S15_Prompt,@C10A_S15_Proposal,@C10A_S15_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S15_Complete,,,,,,,,,,,,
C10A_M5_AdmiralBlackPowder,Journey,,70,,,,,C10A_M5_Container_Main,C10A_Wally,,C10A_M5,,,65,C10A_M5_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_M5_Title,@C10A_M5_Description,@C10A_M5_Prompt,@C10A_M5_Proposal,@C10A_M5_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M5_Complete,,,,,,,,,,,,
C10A_M6_MysteriesOfDeep,Journey,,70,,,,,C10A_M6_Container_Main,C10A_Rowan,,C10A_M6,,,65,C10A_M6_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_M6_Title,@C10A_M6_Description,@C10A_M6_Prompt,@C10A_M6_Proposal,@C10A_M6_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M6_Complete,,,,,,,,,,,,
C10A_M7_CleansingTreasure,Journey,,70,,,,,C10A_M7_Container_Main,C10A_Quiggley_2,,C10A_M7,,,65,C10A_M7_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,,@C10A_M7_Title,@C10A_M7_Description,@C10A_M7_Prompt,@C10A_M7_Proposal,@C10A_M7_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M7_Complete,,,1,,,,,,,,,
C10A_M7R_CleansingTreasure,Journey,,70,,,,,C10A_M7_Container_Main,C10A_Quiggley_2,,C10A_M7R,,,65,C10A_M7R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_M7_Title,@C10A_M7_Description,@C10A_M7_Prompt,@C10A_M7_Proposal,@C10A_M7_Incomplete,@complete_available_prompt_DEFAULT,@C10A_M7_Complete,,,1,,,,,,,Daily,@C10A_M7_Cooldown,false
C10A_S1R_SeadogBrew,Journey,,65,,,,,C10A_S1_Container_Main,C10A_Plute,,C10A_S1R,C10A_S1,,65,C10A_S1R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S1_Title,@C10A_S1_Description,@C10A_S1R_Prompt,@C10A_S1R_Proposal,@C10A_S1R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S1R_Complete,,,,,,,,,,Daily,@C10A_S1R_Cooldown,false
C10A_S3R_AeternumTriangle,Journey,,65,,,,,C10A_S3_Container_Main,C10A_Shillie,,C10A_S3R,C10A_S3,,65,C10A_S3R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S3_Title,@C10A_S3_Description,@C10A_S3R_Prompt,@C10A_S3R_Proposal,@C10A_S3R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S3R_Complete,,,,,,,,,,Daily,@C10A_Shillie_05,false
C10A_S4R_ExplosiveProspecting,Journey,,65,,,,,C10A_S4_Container_Main,C10A_Antonia,,C10A_S4R,C10A_S4,,65,C10A_S4R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S4_Title,@C10A_S4_Description,@C10A_S4R_Prompt,@C10A_S4R_Proposal,@C10A_S4R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S4R_Complete,,,,,,,,,,Daily,@C10A_Antonia_04,false
C10A_S5R_LightningBottle,Journey,,65,,,,,C10A_S5_Container_Main,C10A_Table_LightningBottle,,C10A_S5R,C10A_S5,,65,C10A_S5R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S5_Title,@C10A_S5_Description,@C10A_S5R_Prompt,@C10A_S5R_Proposal,@C10A_S5R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S5R_Complete,,,,,,,,,,Daily,@C10A_Table_LightningBottle_02,false
C10A_S6R_LightningBottleTest,Journey,,65,,,,,C10A_S6_Container_Main,C10A_Fei,,C10A_S6R,C10A_S6,,65,C10A_S6R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S6_Title,@C10A_S6_Description,@C10A_S6R_Prompt,@C10A_S6R_Proposal,@C10A_S6_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S6R_Complete,,,,,,,,,,Daily,@C10A_Fei_05,false
C10A_S7R_AnimalInstincts,Journey,,65,,,,,C10A_S7_Container_Main,C10A_Table_AnimalInstincts,,C10A_S7R,C10A_S7,,65,C10A_S7R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S7_Title,@C10A_S7_Description,@C10A_S7R_Prompt,@C10A_S7R_Proposal,@C10A_S7R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S7R_Complete,,,,,,,,,,Daily,@C10A_Table_LightningBottle_02,false
C10A_S8R_SnaggleTooth,Journey,,65,,,,,C10A_S8_Container_Main,C10A_Table_Snaggletooth,,C10A_S8R,C10A_S8,,65,C10A_S8R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S8_Title,@C10A_S8_Description,@C10A_S8R_Prompt,@C10A_S8R_Proposal,@C10A_S8R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S8R_Complete,,,,,,,,,,Daily,@C10A_S8R_Cooldown,false
C10A_S9R_Catnipping,Journey,,65,,,,,C10A_S9_Container_Main,C10A_Table_Catnipping,,C10A_S9R,C10A_S9,,65,C10A_S9R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S9_Title,@C10A_S9_Description,@C10A_S9R_Prompt,@C10A_S9R_Proposal,@C10A_S9R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S9R_Complete,,,,,,,,,,Daily,@C10A_Table_LightningBottle_02,false
C10A_S10R_TamingTheLionhearted,Journey,,65,,,,,C10A_S10_Container_Main,C10A_Table_Lionhearted,,C10A_S10R,C10A_S10,,65,C10A_S10R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S10_Title,@C10A_S10_Description,@C10A_S10R_Prompt,@C10A_S10R_Proposal,@C10A_S10R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S10R_Complete,,,,,,,,,,Daily,@C10A_S10R_Cooldown,false
C10A_S11R_PerfectCompanion,Journey,,65,,,,,C10A_S11_Container_Main,C10A_Tosch,,C10A_S11R,C10A_S11,,65,C10A_S11R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S11_Title,@C10A_S11_Description,@C10A_S11R_Prompt,@C10A_S11R_Proposal,@C10A_S11R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S11R_Complete,,,,,,,,,,Daily,@C10A_S11R_Cooldown,false
C10A_S15R_TreasureIsland,Journey,,65,,,,,C10A_S15_Container_Main,C10A_Claire,,C10A_S15R,C10A_S15,,65,C10A_S15R_Success,,,,,CK_PVEResource_DoubloonToken,35,,true,true,@C10A_S15_Title,@C10A_S15_Description,@C10A_S15R_Prompt,@C10A_S15R_Proposal,@C10A_S15R_Incomplete,@complete_available_prompt_DEFAULT,@C10A_S15R_Complete,,,,,,,,,,Daily,@C10A_Claire_02,false
FM_10_PVP_Control_Marauder_objective,Mission,,,,true,true,false,FM_10_PVP_Control_Marauder_container,,10,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Syndicate_objective,Mission,,,,true,true,false,FM_10_PVP_Control_Syndicate_container,,10,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,
FM_10_PVP_Control_Covenant_objective,Mission,,,,true,true,false,FM_10_PVP_Control_Covenant_container,,10,,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,
