ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ReleaseVersion
1403A_0301_GKW,Journey,,60,,,,,1403A_0301_d_00_Container_GKW,1403_SurvivalistA,,14_Quest_12,,,,1403A_0301_GKW_Success,,,,,,,,false,@1403A_0301_a_Title,@1403A_0301_b_Description,@1403A_0301_Start_Prompt,@1403A_0301_c_Proposal,@1403A_0301_e_Incomplete,@complete_available_prompt_DEFAULT,@1403A_0301_f_Complete,,,,,,,,,,
1413_0201_spriggan,Journey,,,,,,,1413_0201_d_00_Container_spriggan,1413_Watcher,,14_Quest_14,,,,1413_0201_spriggan_Success,,,,,,,,false,@1413_0201_spriggan_a_Title,@1413_0201_spriggan_b_Description,@1413_0201_spriggan_Start_Prompt,@1413_0201_spriggan_c_Proposal,@1413_0201_spriggan_e_Incomplete,@complete_available_prompt_DEFAULT,@1413_0201_spriggan_f_Complete,,,,,,,,EdengroveArc1,,
1414_0101_ToReekwater,Journey,,54,,,,,1414_0101_d_00_Container_ToReekwater,0502_Magistrate,,14_Quest_13,,,,1414_0101_ToReekwater_Success,,,,,,,,true,@1414_0101_a_Title,@1414_0101_b_Description,@1414_0101_Start_Prompt,@1414_0101_c_Proposal,@1414_0101_e_Incomplete,@complete_available_prompt_DEFAULT,@1414_0101_f_Complete,,,,,,,,,,
1426_0101_MoreSabotage,Journey,,54,,,,,1426_0101_MoreSabotage_Container,1426_Foreman,,14_Quest_15,,,,1426_0101_BurnEquipment_Success,,,,,,,,true,@1426_0101_MoreSabotage_Title,@1426_0101_MoreSabotage_Description,@1426_0101_MoreSabotage_Start_Prompt,@1426_0101_MoreSabotage_Proposal,@1426_0101_MoreSabotage_Incomplete,@complete_available_prompt_DEFAULT,@1426_0101_MoreSabotage_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1426_0102_CollapseVault,Journey,,54,,,,,1426_0102_CollapseVault_Container,1426_Foreman,,14_Quest_16,14_Quest_15,,,1426_0103_CollapseVault_Success,,,,,,,,true,@1426_0102_CollapseVault_Title,@1426_0102_CollapseVault_Description,@1426_0102_CollapseVault_Start_Prompt,@1426_0102_CollapseVault_Proposal,@1426_0102_CollapseVault_Incomplete,@complete_available_prompt_DEFAULT,@1426_0102_CollapseVault_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0101_JoinedACult,Journey,,50,,,,,1427_0101_JoinedACult_Container,1427_CultMother,,14_Quest_17,14_Quest_06,,,1427_0101_JoinedACult_Success,,,,,,,,true,@1427_0101_JoinedACult_Title,@1427_0101_JoinedACult_Description,@1427_0101_JoinedACult_Start_Prompt,@1427_0101_JoinedACult_Proposal,@1427_0101_JoinedACult_Incomplete,@complete_available_prompt_DEFAULT,@1427_0101_JoinedACult_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0102_Pilgrimmage01,Journey,,52,,,,,1427_0102_Pilgrimmage01_Container,1428_CultDaughter,,14_Quest_18,14_Quest_17,,,1427_0102_Pilgrimmage01_Success,,,,,,,,true,@1427_0102_Pilgrimmage01_Title,@1427_0102_Pilgrimmage01_Description,@1427_0102_Pilgrimmage01_Start_Prompt,@1427_0102_Pilgrimmage01_Proposal,@1427_0102_Pilgrimmage01_Incomplete,@complete_available_prompt_DEFAULT,@1427_0102_Pilgrimmage01_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0103_Pilgrimmage02,Journey,,53,,,,,1427_0103_Pilgrimmage02_Container,1429_CultOfficer,,14_Quest_19,14_Quest_18,,,1427_0103_Pilgrimmage02_Success,,,,,,,,true,@1427_0103_Pilgrimmage02_Title,@1427_0103_Pilgrimmage02_Description,@1427_0103_Pilgrimmage02_Start_Prompt,@1427_0103_Pilgrimmage02_Proposal,@1427_0103_Pilgrimmage02_Incomplete,@complete_available_prompt_DEFAULT,@1427_0103_Pilgrimmage02_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0104_Oath,Journey,,53,,,,,1427_0104_Oath_Container,1429_CultOfficer,,14_Quest_20,14_Quest_19,,,1427_0104_Oath_Success,,,,,,,,true,@1427_0104_Oath_Title,@1427_0104_Oath_Description,@1427_0104_Oath_Start_Prompt,@1427_0104_Oath_Proposal,@1427_0104_Oath_Incomplete,@complete_available_prompt_DEFAULT,@1427_0104_Oath_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0106_UmbrageTrial,Journey,,57,,,,,1427_0106_UmbrageTrial_Container,1429_CultOfficer_01,,14_Quest_21,14_Quest_20,,,1427_0106_UmbrageTrial_Success,,,,,,,,true,@1427_0106_UmbrageTrial_Title,@1427_0106_UmbrageTrial_Description,@1427_0106_UmbrageTrial_Start_Prompt,@1427_0106_UmbrageTrial_Proposal,@1427_0106_UmbrageTrial_Incomplete,@complete_available_prompt_DEFAULT,@1427_0106_UmbrageTrial_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0107_HerbalTea,Journey,,57,,,,,1427_0107_HerbalTea_Container,1429_CultOfficer_01,,14_Quest_22,14_Quest_21,,,1427_0107_HerbalTea_Success,,,,,,,,true,@1427_0107_HerbalTea_Title,@1427_0107_HerbalTea_Description,@1427_0107_HerbalTea_Start_Prompt,@1427_0107_HerbalTea_Proposal,@1427_0107_HerbalTea_Incomplete,@complete_available_prompt_DEFAULT,@1427_0107_HerbalTea_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0108_Wreathes,Journey,,58,,,,,1427_0108_Wreathes_Container,1429_CultOfficer_01,,14_Quest_23,14_Quest_22,,,1427_0108_Wreathes_Success,,,,,,,,true,@1427_0108_Wreathes_Title,@1427_0108_Wreathes_Description,@1427_0108_Wreathes_Start_Prompt,@1427_0108_Wreathes_Proposal,@1427_0108_Wreathes_Incomplete,@complete_available_prompt_DEFAULT,@1427_0108_Wreathes_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0109_WasteNot,Journey,,58,,,,,1427_0109_WasteNot_Container,1428_CultDaughter_02,,14_Quest_24,14_Quest_23,,,1427_0109_WasteNot_Success,,,,,,,,true,@1427_0109_WasteNot_Title,@1427_0109_WasteNot_Description,@1427_0109_WasteNot_Start_Prompt,@1427_0109_WasteNot_Proposal,@1427_0109_WasteNot_Incomplete,@complete_available_prompt_DEFAULT,@1427_0109_WasteNot_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1427_0109_DaughtersChoice,Journey,,58,,,,,1427_0109_DaughtersChoice_Container,1428_CultDaughter_02,,14_Quest_25,14_Quest_24,,,1427_0109_DaughtersChoice_Success,,,,,,,,true,@1427_0109_DaughtersChoice_Title,@1427_0109_DaughtersChoice_Description,@1427_0109_DaughtersChoice_Start_Prompt,@1427_0109_DaughtersChoice_Proposal,@1427_0109_DaughtersChoice_Incomplete,@complete_available_prompt_DEFAULT,@1427_0109_DaughtersChoice_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1431_0101_TastyMushrooms,Journey,,52,,,,,1431_0101_TastyMushrooms_Container,1431_Mycophile,,14_Quest_26,14_Quest_02,,,1431_0101_TastyMushrooms_Success,,,,,,,,true,@1431_0101_TastyMushrooms_Title,@1431_0101_TastyMushrooms_Description,@1431_0101_TastyMushrooms_Start_Prompt,@1431_0101_TastyMushrooms_Proposal,@1431_0101_TastyMushrooms_Incomplete,@complete_available_prompt_DEFAULT,@1431_0101_TastyMushrooms_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1431_0102_Symbiote,Journey,,52,,,,,1431_0102_Symbiote_Container,1431_Mycophile_Note,,14_Quest_27,14_Quest_26,,,1431_0102_Symbiote_Success,,,,,,,,true,@1431_0102_Symbiote_Title,@1431_0102_Symbiote_Description,@1431_0102_Symbiote_Start_Prompt,@1431_0102_Symbiote_Proposal,@1431_0102_Symbiote_Incomplete,@complete_available_prompt_DEFAULT,@1431_0102_Symbiote_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1431_0103_BeRightBack,Journey,,52,,,,,1431_0103_BeRightBack_Container,1431_Mycophile,,14_Quest_28,14_Quest_27,,,1431_0103_BeRightBack_Success,,,,,,,,true,@1431_0103_BeRightBack_Title,@1431_0103_BeRightBack_Description,@1431_0103_BeRightBack_Start_Prompt,@1431_0103_BeRightBack_Proposal,@1431_0103_BeRightBack_Incomplete,@complete_available_prompt_DEFAULT,@1431_0103_BeRightBack_Complete,,,true,,,,,,,Quest_Supplement_Edengrove
1431_0104_Mycelium,Journey,,54,,,,,1431_0104_Mycelium_Container,1431_Mycophile,,14_Quest_29,14_Quest_28,,,1431_0104_Mycelium_Success,,,,,,,,true,@1431_0104_Mycelium_Title,@1431_0104_Mycelium_Description,@1431_0104_Mycelium_Start_Prompt,@1431_0104_Mycelium_Proposal,@1431_0104_Mycelium_Incomplete,@complete_available_prompt_DEFAULT,@1431_0104_Mycelium_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1432_0101_Medicine,Journey,,58,,,,,1432_0101_Medicine_Container,1432_Homesteader,,14_Quest_30,,,,1432_0101_Medicine_Success,,,,,,,,true,@1432_0101_Medicine_Title,@1432_0101_Medicine_Description,@1432_0101_Medicine_Start_Prompt,@1432_0101_Medicine_Proposal,@1432_0101_Medicine_Incomplete,@complete_available_prompt_DEFAULT,@1432_0101_Medicine_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1432_0102_DryadThieves,Journey,,54,,,,,1432_0102_DryadThieves_Container,1432_Homesteader_01,,14_Quest_31,14_Quest_30,,,1432_0102_DryadThieves_Success,,,,,,,,true,@1432_0102_DryadThieves_Title,@1432_0102_DryadThieves_Description,@1432_0102_DryadThieves_Start_Prompt,@1432_0102_DryadThieves_Proposal,@1432_0102_DryadThieves_Incomplete,@complete_available_prompt_DEFAULT,@1432_0102_DryadThieves_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1432_0103_LostDog,Journey,,57,,,,,1432_0103_LostDog_Container,1433_AEDog_01,,14_Quest_32,14_Quest_31,,,1432_0103_LostDog_Success,,,,,,,,true,@1432_0103_LostDog_Title,@1432_0103_LostDog_Description,@1432_0103_LostDog_Start_Prompt,@1432_0103_LostDog_Proposal,@1432_0103_LostDog_Incomplete,@complete_available_prompt_DEFAULT,@1432_0103_LostDog_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1432_0104_FoundDog,Journey,,57,,,,,1432_0104_FoundDog_Container,1432_Homesteader_01,,14_Quest_33,14_Quest_32,,,1432_0104_FoundDog_Success,,,,,,,,true,@1432_0104_FoundDog_Title,@1432_0104_FoundDog_Description,@1432_0104_FoundDog_Start_Prompt,@1432_0104_FoundDog_Proposal,@1432_0104_FoundDog_Incomplete,@complete_available_prompt_DEFAULT,@1432_0104_FoundDog_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1435_0101_PutItBack,Journey,,58,,,,,1435_0101_PutItBack_Container,1435_SirenDryad,,14_Quest_34,14_Quest_33,,,1435_0101_PutItBack_Success,,,,,,,,true,@1435_0101_PutItBack_Title,@1435_0101_PutItBack_Description,@1435_0101_PutItBack_Start_Prompt,@1435_0101_PutItBack_Proposal,@1435_0101_PutItBack_Incomplete,@complete_available_prompt_DEFAULT,@1435_0101_PutItBack_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1435_0102_PopBlossoms,Journey,,59,,,,,1435_0102_PopBlossoms_Container,1435_SirenDryad_01,,14_Quest_35,14_Quest_34,,,1435_0102_PopBlossoms_Success,,,,,,,,true,@1435_0102_PopBlossoms_Title,@1435_0102_PopBlossoms_Description,@1435_0102_PopBlossoms_Start_Prompt,@1435_0102_PopBlossoms_Proposal,@1435_0102_PopBlossoms_Incomplete,@complete_available_prompt_DEFAULT,@1435_0102_PopBlossoms_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1435_0103_WayUpHigh,Journey,,58,,,,,1435_0103_WayUpHigh_Container,1435_SirenDryad_01,,14_Quest_36,14_Quest_35,,,1435_0102_WayUpHigh_Success,,,,,,,,true,@1435_0102_WayUpHigh_Title,@1435_0102_WayUpHigh_Description,@1435_0102_WayUpHigh_Start_Prompt,@1435_0102_WayUpHigh_Proposal,@1435_0102_WayUpHigh_Incomplete,@complete_available_prompt_DEFAULT,@1435_0102_WayUpHigh_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1434_0101_DestroyBlooms,Journey,,57,,,,,1434_0101_DestroyBlooms_Container,1434_SirenRanger,,14_Quest_37,14_Quest_21,,,1434_0101_DestroyBlooms_Success,,,,,,,,true,@1434_0101_DestroyBlooms_Title,@1434_0101_DestroyBlooms_Description,@1434_0101_DestroyBlooms_Start_Prompt,@1434_0101_DestroyBlooms_Proposal,@1434_0101_DestroyBlooms_Incomplete,@complete_available_prompt_DEFAULT,@1434_0101_DestroyBlooms_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1434_0102_ClearPath,Journey,,57,,,,,1434_0102_ClearPath_Container,1434_SirenRanger_01,,14_Quest_38,14_Quest_37,,,1434_0102_ClearPath_Success,,,,,,,,true,@1434_0102_ClearPath_Title,@1434_0102_ClearPath_Description,@1434_0102_ClearPath_Start_Prompt,@1434_0102_ClearPath_Proposal,@1434_0102_ClearPath_Incomplete,@complete_available_prompt_DEFAULT,@1434_0102_ClearPath_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1434_0103_Pyre,Journey,,58,,,,,1434_0103_Pyre_Container,1434_SirenRanger_01,,14_Quest_39,14_Quest_38,,,1434_0103_Pyre_Success,,,,,,,,true,@1434_0103_Pyre_Title,@1434_0103_Pyre_Description,@1434_0103_Pyre_Start_Prompt,@1434_0103_Pyre_Proposal,@1434_0103_Pyre_Incomplete,@complete_available_prompt_DEFAULT,@1434_0103_Pyre_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1434_0104_OutOfHisMisery,Journey,,58,,,,,1434_0104_OutOfHisMisery_Container,1435_SirenDryad_02,,14_Quest_40,14_Quest_36,,,1434_0103_OutOfHisMisery_Success,,,,,,,,true,@1434_0103_OutOfHisMisery_Title,@1434_0103_OutOfHisMisery_Description,@1434_0103_OutOfHisMisery_Start_Prompt,@1434_0103_OutOfHisMisery_Proposal,@1434_0103_OutOfHisMisery_Incomplete,@complete_available_prompt_DEFAULT,@1434_0103_OutOfHisMisery_Complete,,,,,,,,,,Quest_Supplement_Edengrove
1420_0501_ClamorousVox,EpicEquipment,,60,,,,,1420_0501_d_00_Containter_weaponwrapperquest,0719_Ranger,,WeaponQuest_ClamorousVox_00,07_Quest_11,,,1420_1501_ClamorousVoxSuccess,,,,,,,,false,@1420_0501_a_Title,@1420_0501_b_Description,@1420_0501_start_prompt,@1420_0501_c_Proposal,@1420_0501_e_Incomplete,@complete_available_prompt_DEFAULT,@1420_0501_f_Complete,,,,,,,,,,
1420_0502_CVOne,EpicEquipment,,60,,,,,1420_0501_d_01_01_weaponwrapperquest_questComplete1,,,WeaponQuest_ClamorousVox_01,,,,1420_0502_CVOneSuccess,,,,,,,,false,@1420_0502_a_Title,@1420_0502_b_Description,,,,,,,,,,,,,,,
1420_0503_CVTwo,EpicEquipment,,60,,,,,1420_0501_d_01_02_weaponwrapperquest_questComplete2,,,WeaponQuest_ClamorousVox_02,,,,1420_0503_CVTwoSuccess,,,,,,,,false,@1420_0503_a_Title,@1420_0503_b_Description,,,,,,,,,,,,,,,
1420_0504_CVThree,EpicEquipment,,60,,,,,1420_0501_d_01_03_weaponwrapperquest_questComplete3,,,WeaponQuest_ClamorousVox_03,,,,1420_0504_CVThreeSuccess,,,,,,,,false,@1420_0504_a_Title,@1420_0504_b_Description,,,,,,,,,,,,,,,
1420_0505_CVFour,EpicEquipment,,60,,,,,1420_0501_d_01_04_weaponwrapperquest_questComplete4,,,WeaponQuest_ClamorousVox_04,,,,1420_0505_CVFourSuccess,,,,,,,,false,@1420_0505_a_Title,@1420_0505_b_Description,,,,,,,,,,,,,,,
1420_0506_CVFive,EpicEquipment,,60,,,,,1420_0501_d_02_01_weaponwrapperquest_questComplete1,,,WeaponQuest_ClamorousVox_05,,,,1420_0506_CVFiveSuccess,,,,,,,,false,@1420_0506_a_Title,@1420_0506_b_Description,,,,,,,,,,,,,,,
1420_0507_CVSix,EpicEquipment,,60,,,,,1420_0501_d_02_02_weaponwrapperquest_questComplete2,,,WeaponQuest_ClamorousVox_06,,,,1420_0507_CVSixSuccess,,,,,,,,false,@1420_0507_a_Title,@1420_0507_b_Description,,,,,,,,,,,,,,,
1420_0508_CVSeven,EpicEquipment,,60,,,,,1420_0501_d_02_03_weaponwrapperquest_questComplete3,,,WeaponQuest_ClamorousVox_07,,,,1420_0508_CVSevenSuccess,,,,,,,,false,@1420_0508_a_Title,@1420_0508_b_Description,,,,,,,,,,,,,,,
1420_0509_CVEight,EpicEquipment,,60,,,,,1420_0501_d_02_04_weaponwrapperquest_questComplete4,,,WeaponQuest_ClamorousVox_08,,,,1420_0509_CVEightSuccess,,,,,,,,false,@1420_0509_a_Title,@1420_0509_b_Description,,,,,,,,,,,,,,,
1421_0201_Torrent,EpicEquipment,,60,,,,,1421_0201_d_00_TorrentContainer_weaponwrapperquest,0719_Ranger,,WeaponQuest_Torrent_00,07_Quest_11,,,1421_0201_TorrentSuccess,,,,,,,,false,@1421_0201_a_Title,@1421_0201_b_Description,@1421_0201_c_start_prompt,@1421_0201_c_Proposal,@1421_0201_e_Incomplete,@complete_available_prompt_DEFAULT,@1421_0201_f_Complete,,,,,,,,,,
1421_0202_TorOne,EpicEquipment,,60,,,,,1421_0201_d_01_01_weaponwrapperquest_TorOne,,,WeaponQuest_Torrent_01,,,,1421_0202_TorOneSuccess,,,,,,,,false,@1421_0202_a_Title,@1421_0202_b_Description,,,,,,,,,,,,,,,
1421_0203_TorTwo,EpicEquipment,,60,,,,,1421_0201_d_01_02_weaponwrapperquest_TorTwo,,,WeaponQuest_Torrent_02,,,,1421_0203_TorTwoSuccess,,,,,,,,false,@1421_0203_a_Title,@1421_0203_b_Description,,,,,,,,,,,,,,,
1421_0204_TorThree,EpicEquipment,,60,,,,,1421_0201_d_01_03_weaponwrapperquest_TorThree,,,WeaponQuest_Torrent_03,,,,1421_0204_TorThreeSuccess,,,,,,,,false,@1421_0204_a_Title,@1421_0204_b_Description,,,,,,,,,,,,,,,
1421_0205_TorFour,EpicEquipment,,60,,,,,1421_0201_d_01_04_weaponwrapperquest_TorFour,,,WeaponQuest_Torrent_04,,,,1421_0205_TorFourSuccess,,,,,,,,false,@1421_0205_a_Title,@1421_0205_b_Description,,,,,,,,,,,,,,,
1421_0206_TorFive,EpicEquipment,,60,,,,,1421_0201_d_02_01_weaponwrapperquest_TorFive,,,WeaponQuest_Torrent_05,,,,1421_0206_TorFiveSuccess,,,,,,,,false,@1421_0206_a_Title,@1421_0206_b_Description,,,,,,,,,,,,,,,
1421_0207_TorSix,EpicEquipment,,60,,,,,1421_0201_d_02_02_weaponwrapperquest_TorSix,,,WeaponQuest_Torrent_06,,,,1421_0207_TorSixSuccess,,,,,,,,false,@1421_0207_a_Title,@1421_0207_b_Description,,,,,,,,,,,,,,,
1421_0208_TorSeven,EpicEquipment,,60,,,,,1421_0201_d_02_03_weaponwrapperquest_TorSeven,,,WeaponQuest_Torrent_07,,,,1421_0208_TorSevenSuccess,,,,,,,,false,@1421_0208_a_Title,@1421_0208_b_Description,,,,,,,,,,,,,,,
1421_0209_TorEight,EpicEquipment,,60,,,,,1421_0201_d_02_04_weaponwrapperquest_TorEight,,,WeaponQuest_Torrent_08,,,,1421_0209_TorEightSuccess,,,,,,,,false,@1421_0209_a_Title,@1421_0209_b_Description,,,,,,,,,,,,,,,
1419_0201_Reformation,EpicEquipment,,60,,,,,1419_0201_d_00_container_Reformation,0719_Ranger,,WeaponQuest_Reformation_00,07_Quest_11,,,1419_0201_Reformation_success,,,,,,,,false,@1419_0201_Reformation_objective_title,@1419_0201_Reformation_objective_desc,@1419_0201_Reformation_start_prompt,@1419_0201_Reformation_proposal,@1419_0201_Reformation_incomplete,@complete_available_prompt_DEFAULT,@1419_0201_Reformation_complete_available_response,,,,,,,,,,
1419_0202_Reformation_metalsraw,EpicEquipment,,60,,,,,1419_0202_d_00_container_Reformation_metalsraw,,,WeaponQuest_Reformation_01,,,,1419_0202_Reformation_metalsraw_success,,,,,,,,false,@1419_0202_Reformation_metalsraw_objective_title,@1419_0202_Reformation_metalsraw_objective_desc,@prompt_DEFAULT,@1419_0202_Reformation_metalsraw_proposal,@1419_0202_Reformation_metalsraw_incomplete,@complete_available_prompt_DEFAULT,@1419_0202_Reformation_metalsraw_complete_available_response,,,,,,,,,,
1419_0203_Reformation_essencebalanced,EpicEquipment,,60,,,,,1419_0203_d_00_container_Reformation_essencebalanced,,,WeaponQuest_Reformation_02,,,,1419_0203_Reformation_essencebalanced_success,,,,,,,,false,@1419_0203_Reformation_essencebalanced_objective_title,@1419_0203_Reformation_essencebalanced_objective_desc,@prompt_DEFAULT,@1419_0203_Reformation_essencebalanced_proposal,@1419_0203_Reformation_essencebalanced_incomplete,@complete_available_prompt_DEFAULT,@1419_0203_Reformation_essencebalanced_complete_available_response,,,,,,,,,,
1419_0204_Reformation_polishpure,EpicEquipment,,60,,,,,1419_0204_d_00_container_Reformation_polishpure,,,WeaponQuest_Reformation_03,,,,1419_0204_Reformation_polishpure_success,,,,,,,,false,@1419_0204_Reformation_polishpure_objective_title,@1419_0204_Reformation_polishpure_objective_desc,@prompt_DEFAULT,@1419_0204_Reformation_polishpure_proposal,@1419_0204_Reformation_polishpure_incomplete,@complete_available_prompt_DEFAULT,@1419_0204_Reformation_polishpure_complete_available_response,,,,,,,,,,
1419_0205_Reformation_wieldertested,EpicEquipment,,60,,,,,1419_0205_d_00_container_Reformation_wieldertested,,,WeaponQuest_Reformation_04,,,,1419_0205_Reformation_wieldertested_success,,,,,,,,false,@1419_0205_Reformation_wieldertested_objective_title,@1419_0205_Reformation_wieldertested_objective_desc,@prompt_DEFAULT,@1419_0205_Reformation_wieldertested_proposal,@1419_0205_Reformation_wieldertested_incomplete,@complete_available_prompt_DEFAULT,@1419_0205_Reformation_wieldertested_complete_available_response,,,,,,,,,,
