ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
FactionIntro_Marauders_Recruitment,FactionStory_Marauders,,17,,,,,FactionIntro_Marauders_Recruitment_Container,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_03,!Marauder,17,FactionIntro_Marauders_Recruitment_Success,,,,,,,,,true,@FactionRecruitment_Marauders_Title,@FactionRecruitment_Marauders_Description,@FactionRecruitment_Marauders_StartPrompt,@FactionRecruitment_Marauders_Proposal,@FactionRecruitment_Marauders_Incomplete,@complete_available_prompt_DEFAULT,@FactionRecruitment_Marauders_Completed,,,true,,,,,,true,
FactionIntro_Syndicate_01,FactionStory_Syndicate,,17,,,,,FactionIntro_Syndicate_01_Container,9807_Aventus_01,,FactionIntro_Syndicate_01,!FactionIntro_Syndicate_Recruitment,!Syndicate,17,FactionIntro_Syndicate_01_Success,,,,,,,,,false,@FactionIntro_Syndicate_01_Title,@FactionIntro_Syndicate_01_Description,@FactionIntro_Syndicate_01_StartPrompt,@FactionIntro_Syndicate_01_Proposal_a,@FactionIntro_Syndicate_01_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_01_Completed_a,,,,,,,,,,
FactionIntro_Syndicate_02,FactionStory_Syndicate,,19,,,,,FactionIntro_Syndicate_02_Container,9807_Aventus_01,,FactionIntro_Syndicate_02,FactionIntro_Syndicate_01,!Syndicate,17,FactionIntro_Syndicate_02_Success,,,,,,,,,false,@FactionIntro_Syndicate_02_Title,@FactionIntro_Syndicate_02_Description,@FactionIntro_Syndicate_02_StartPrompt,@FactionIntro_Syndicate_02_Proposal,@FactionIntro_Syndicate_02_Incomplete_a,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_02_Completed_a,,,,,,,,,,
FactionIntro_Syndicate_Vector,FactionStory_Syndicate,,17,,,,,FactionIntro_Syndicate_Vector_Container,9808_Cleo_00,,FactionIntro_Syndicate_Vector,FactionIntro_Syndicate_02,!Syndicate,17,FactionIntro_Syndicate_Vector_Success,,,,,,,,,false,@FactionIntro_Syndicate_Vector_Title,@FactionIntro_Syndicate_Vector_Description,@FactionIntro_Syndicate_Vector_StartPrompt,@FactionIntro_Syndicate_Vector_Proposal,@FactionIntro_Syndicate_Vector_Incomplete,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_Vector_Completed_a,,,,,,,,,,
FactionIntro_Syndicate_03,FactionStory_Syndicate,,21,,,,,FactionIntro_Syndicate_03_Container,9808_Cleo_00,,FactionIntro_Syndicate_03,FactionIntro_Syndicate_Vector,!Syndicate,17,FactionIntro_Syndicate_03_Success,,,,,,,,,false,@FactionIntro_Syndicate_03_Title,@FactionIntro_Syndicate_03_Description,@FactionIntro_Syndicate_03_StartPrompt,@FactionIntro_Syndicate_03_Proposal_a,@FactionIntro_Syndicate_03_Incomplete_a,@complete_available_prompt_DEFAULT,@FactionIntro_Syndicate_03_Completed_a,,,,,,,,,,
FactionIntro_Syndicate_Recruitment,FactionStory_Syndicate,,17,,,,,FactionIntro_Syndicate_Recruitment_Container,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_03,!Syndicate,17,FactionIntro_Syndicate_Recruitment_Success,,,,,,,,,true,@FactionRecruitment_Syndicate_Title,@FactionRecruitment_Syndicate_Description,@FactionRecruitment_Syndicate_StartPrompt,@FactionRecruitment_Syndicate_Proposal,@FactionRecruitment_Syndicate_Incomplete,@complete_available_prompt_DEFAULT,@FactionRecruitment_Syndicate_Completed,,,true,,,,,,true,
FM_98_03_EXP_01_objective,Mission,,,,,true,true,FM_98_03_EXP_01_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_98_03_EXP_02_objective,Mission,,,,,true,true,FM_98_03_EXP_02_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_98_03_EXP_03_objective,Mission,,,,,true,true,FM_98_03_EXP_03_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_98_03_EXP_04_objective,Mission,,,,,true,true,FM_98_03_EXP_04_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_98_03_EXP_05_objective,Mission,,,,,true,true,FM_98_03_EXP_05_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_C_98_03_EXP_05_objective,Mission,,,,,true,true,FM_C_98_03_EXP_05_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_S_98_03_EXP_05_objective,Mission,,,,,true,true,FM_S_98_03_EXP_05_container,,3,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0901_KillAndLoot_objective,Mission,,,,,true,true,FM_R0901_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0902_KillAndLoot_objective,Mission,,,,,true,true,FM_R0902_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0903_KillAndLoot_objective,Mission,,,,,true,true,FM_R0903_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0904_KillAndLoot_objective,Mission,,,,,true,true,FM_R0904_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0905_KillAndLoot_objective,Mission,,,,,true,true,FM_R0905_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0906_KillAndLoot_objective,Mission,,,,,true,true,FM_R0906_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0907_KillAndLoot_objective,Mission,,,,,true,true,FM_R0907_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0908_KillAndLoot_objective,Mission,,,,,true,true,FM_R0908_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0909_KillAndLoot_objective,Mission,,,,,true,true,FM_R0909_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0910_KillAndLoot_objective,Mission,,,,,true,true,FM_R0910_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_R0911_KillAndLoot_objective,Mission,,,,,true,true,FM_R0911_KillAndLoot_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_Darkness_Hunt_Objective,Mission,,,,,true,true,FM_task_darkness_hunt_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Tideswallow_Objective,Mission,,,,,true,true,FM_task_timetrial_Tideswallow_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Blithes_Objective,Mission,,,,,true,true,FM_task_timetrial_Blithes_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Saircor_Objective,Mission,,,,,true,true,FM_task_timetrial_Saircor_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Hornhold_Objective,Mission,,,,,true,true,FM_task_timetrial_Hornhold_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Medusa_Objective,Mission,,,,,true,true,FM_task_timetrial_Medusa_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Elafry_Objective,Mission,,,,,true,true,FM_task_timetrial_Elafry_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_TimeTrial_Bridge_Objective,Mission,,,,,true,true,FM_task_timetrial_Bridge_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_EXP_R0901_objective,Mission,,,,,true,true,FM_EXP_R0901_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_EXP_R0902_objective,Mission,,,,,true,true,FM_EXP_R0902_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_EXP_R0903_objective,Mission,,,,,true,true,FM_EXP_R0903_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
FM_EXP_R0904_objective,Mission,,,,,true,true,FM_EXP_R0904_container,,9,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,
9804_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9804_M_0001_d_00_Container_RankUp_V2,,,FactionRank_M_0001_RankUp,,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,1,,false,@98_M_0001_RankUp_title_V2,@98_M_0001_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
9806_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9806_M_0001_d_00_Container_RankUp_V2,,,FactionRank_M_0001_RankUp,,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,1,,false,@98_M_0001_RankUp_title_V2,@98_M_0001_RankUp_description_V2,@9806_M_0001_RankUp_start,@9806_M_0001_RankUp_proposal,@NPC_DefaultDialogue_1207_06a_Commander,@complete_available_prompt_DEFAULT,,,,,,,,,,,
9809_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9809_M_0001_d_00_Container_RankUp_V2,,,FactionRank_M_0001_RankUp,,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,1,,false,@98_M_0001_RankUp_title_V2,@98_M_0001_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
9812_M_0001_RankUp,FactionStory_Marauders,,25,,,,,9812_M_0001_d_00_Container_RankUp_V2,,,FactionRank_M_0001_RankUp,,Marauder,,98_M_0001_RankUp_success,,Marauder 1,,,,,1,,false,@98_M_0001_RankUp_title_V2,@98_M_0001_RankUp_description_V2,@9812_M_0001_RankUp_start,@9812_M_0001_RankUp_proposal,@NPC_DefaultDialogue_1207_07_Commander,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_M_01_combatprowess,FactionStory_Marauders,,25,,,,,98_M_01_d_00_Container_combatprowess_V2,1007_Commander,,marauders_faction_quest_01,,Marauder,20,98_M_01_combatprowess_success,,MarauderTokens 1 1500,,98_M_0102_RankUp,,,1,,true,@98_M_01_combatprowess_title_V2,@98_M_01_combatprowess_description_V2,@98_M_01_combatprowess_start_prompt_V2,@98_M_01_combatprowess_proposal_V2_a,@98_M_01_combatprowess_incomplete_V2,@complete_available_prompt_DEFAULT,@98_M_01_combatprowess_complete_V2_a,,,,,,,,,,
98_M_0102_RankUp,FactionStory_Marauders,,35,,,,,98_M_0102_d_00_Container_RankUp_V2,,,FactionRank_M_0102_RankUp,,Marauder,,98_M_0102_RankUp_success,,Marauder 2,,,,,1,,false,@98_M_0102_RankUp_title_V2,@98_M_0102_RankUp_description,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_M_01b_fenravager,FactionStory_Marauders,,35,,,,,98_M_01b_d_00_Container_brightwoodravager_V2,1007_Commander,,marauders_faction_quest_01b,marauders_faction_quest_01,Marauder,,98_M_01b_fenravager_success,,MarauderTokens 2 3000,,98_M_0203_RankUp,,,1,,true,@98_M_01b_fenravager_title_V2,@98_M_01b_fenravager_description_V2,@98_M_01b_fenravager_start_prompt_V2,@98_M_01b_fenravager_proposal_V2_a,@98_M_01b_fenravager_incomplete_V2,@complete_available_prompt_DEFAULT,@98_M_01b_fenravager_complete_V2,,,,,,,,,,
98_M_0203_RankUp,FactionStory_Marauders,,49,,,,,98_M_0203_d_00_Container_RankUp_V2,,,FactionRank_M_0203_RankUp,,Marauder,,98_M_0203_RankUp_success,,Marauder 3,,,,,1,,false,@98_M_0203_RankUp_title_V2,@98_M_0203_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_M_02_ultimatewarrior,FactionStory_Marauders,,49,,,,,98_M_02_d_00_Container_ultimatewarrior_V2,9805_Tibbs_02,,marauders_faction_quest_02,marauders_faction_quest_01b,Marauder,,98_M_02_ultimatewarrior_success,,MarauderTokens 3 6000,,98_M_0304_RankUp,,,1,,true,@98_M_02_ultimatewarrior_title_V2,@98_M_02_ultimatewarrior_description_V2,@98_M_02_ultimatewarrior_start_prompt_V2,@98_M_02_ultimatewarrior_proposal_V2_a,@98_M_02_ultimatewarrior_incomplete_V2,@complete_available_prompt_DEFAULT,@98_M_02_ultimatewarrior_complete_V2,,,,,,,,,,
98_M_0304_RankUp,FactionStory_Marauders,,60,,,,,98_M_0304_d_00_Container_RankUp_V2,,,FactionRank_M_0304_RankUp,,Marauder,,98_M_0304_RankUp_success,,Marauder 4,,,,,1,,false,@98_M_0304_RankUp_title_V2,@98_M_0304_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_M_03_darkvengeance,FactionStory_Marauders,,60,,,,,98_M_03_d_00_Container_darkvengeance_V2,9806_Stroudahia_00,,marauders_faction_quest_03,marauders_faction_quest_02,Marauder,,98_M_03_darkvengeance_success,,MarauderTokens 4 12000,,98_M_0405_RankUp,,,1,,true,@98_M_03_darkvengeance_title_V2,@98_M_03_darkvengeance_description_V2,@98_M_03_darkvengeance_start_prompt_V2,@98_M_03_darkvengeance_proposal_V2,@98_M_03_darkvengeance_incomplete_V2_a,@complete_available_prompt_DEFAULT,@98_M_03_darkvengeance_complete_V2_a,,,,,,,,,,
98_M_0405_RankUp,FactionStory_Marauders,,65,,,,,98_M_0405_d_00_Container_RankUp_V2,,,FactionRank_M_0405_RankUp,,Marauder,,98_M_0405_RankUp_success,,Marauder 5,,,,,1,,false,@98_M_0405_RankUp_title_V2,@98_M_0405_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_M_04_bullseye,FactionStory_Marauders,,65,,,,,98_M_04_d_00_Container_bullseye_V2,9806_Stroudahia_00,,marauders_faction_quest_04,marauders_faction_quest_03,Marauder,,98_M_04_bullseye_success,,MarauderTokens 5 24000,,,,,1,,true,@98_M_04_bullseye_title_V2,@98_M_04_bullseye_description_V2,@98_M_04_bullseye_start_prompt_V2,@98_M_04_bullseye_proposal_V2_a,@98_M_04_bullseye_incomplete_V2,@complete_available_prompt_DEFAULT,@98_M_04_bullseye_complete_V2_a,,,,,,,,,,
9804_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9804_S_0001_d_00_Container_RankUp_V2,,,FactionRank_S_0001_RankUp,,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,1,,false,@98_S_0001_RankUp_title_V2,@98_S_0001_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
9806_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9806_S_0001_d_00_Container_RankUp_V2,,,FactionRank_S_0001_RankUp,,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,1,,false,@98_S_0001_RankUp_title_V2,@98_S_0001_RankUp_description_V2,@9806_S_0001_RankUp_start,@9806_S_0001_RankUp_proposal,@NPC_DefaultDialogue_1208_06a_Alchemist,@complete_available_prompt_DEFAULT,,,,,,,,,,,
9809_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9809_S_0001_d_00_Container_RankUp_V2,,,FactionRank_S_0001_RankUp,,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,1,,false,@98_S_0001_RankUp_title_V2,@98_S_0001_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
9812_S_0001_RankUp,FactionStory_Syndicate,,25,,,,,9812_S_0001_d_00_Container_RankUp_V2,,,FactionRank_S_0001_RankUp,,Syndicate,,98_S_0001_RankUp_success,,Syndicate 1,,,,,1,,false,@98_S_0001_RankUp_title_V2,@98_S_0001_RankUp_description_V2,@9812_S_0001_RankUp_start,@9812_S_0001_RankUp_proposal,@NPC_DefaultDialogue_1208_07_Alchemist,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_S_01_theexperiment,FactionStory_Syndicate,,25,,,,,98_S_01_d_00_Container_theexperiment_V2,0208_Alchemist,,syndicate_faction_quest_01,,Syndicate,20,98_S_01_theexperiment_success,,SyndicateTokens 1 1500,,98_S_0102_RankUp,,,1,,true,@98_S_01_theexperiment_title_V2,@98_S_01_theexperiment_description_V2,@98_S_01_theexperiment_start_prompt_V2,@98_S_01_theexperiment_proposal_V2_a,@98_S_01_theexperiment_incomplete_V2,@complete_available_prompt_DEFAULT,@98_S_01_theexperiment_complete_V2_a,,,,,,,,,,
98_S_0102_RankUp,FactionStory_Syndicate,,35,,,,,98_S_0102_d_00_Container_RankUp_V2,,,FactionRank_S_0102_RankUp,,Syndicate,,98_S_0102_RankUp_success,,Syndicate 2,,,,,1,,false,@98_S_0102_RankUp_title_V2,@98_S_0102_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_S_01b_fenscholar,FactionStory_Syndicate,,35,,,,,98_S_01b_d_00_Container_fenscholar_V2,0208_Alchemist,,syndicate_faction_quest_01b,syndicate_faction_quest_01,Syndicate,,98_S_01b_fenscholar_success,,SyndicateTokens 2 3000,,98_S_0203_RankUp,,,1,,true,@98_S_01b_fenscholar_title_V2,@98_S_01b_fenscholar_description_V2,@98_S_01b_fenscholar_start_prompt_V2,@98_S_01b_fenscholar_proposal_V2_a,@98_S_01b_fenscholar_incomplete_V2,@complete_available_prompt_DEFAULT,@98_S_01b_fenscholar_complete_V2,,,,,,,,,,
98_S_0203_RankUp,FactionStory_Syndicate,,49,,,,,98_S_0203_d_00_Container_RankUp_V2,,,FactionRank_S_0203_RankUp,,Syndicate,,98_S_0203_RankUp_success,,Syndicate 3,,,,,1,,false,@98_S_0203_RankUp_title_V2,@98_S_0203_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_S_02_necromanticchemistry,FactionStory_Syndicate,,49,,,,,98_S_02_d_00_Container_necromanticchemistry_V2,0208_Alchemist,,syndicate_faction_quest_02,syndicate_faction_quest_01b,Syndicate,,98_S_02_necromanticchemistry_success,,SyndicateTokens 3 6000,,98_S_0304_RankUp,,,1,,true,@98_S_02_necromanticchemistry_title_V2,@98_S_02_necromanticchemistry_description_V2,@98_S_02_necromanticchemistry_start_prompt_V2,@98_S_02_necromanticchemistry_proposal_V2_a,@98_S_02_necromanticchemistry_incomplete_V2,@complete_available_prompt_DEFAULT,@98_S_02_necromanticchemistry_complete_V2_a,,,,,,,,,,
98_S_0304_RankUp,FactionStory_Syndicate,,60,,,,,98_S_0304_d_00_Container_RankUp_V2,,,FactionRank_S_0304_RankUp,,Syndicate,,98_S_0304_RankUp_success,,Syndicate 4,,,,,1,,false,@98_S_0304_RankUp_title_V2,@98_S_0304_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_S_03_lostnotlost,FactionStory_Syndicate,,60,,,,,98_S_03_d_00_Container_lostnotlost_V2,9808_Cleo_00,,syndicate_faction_quest_03,syndicate_faction_quest_02,Syndicate,56,98_S_03_lostnotlost_success,,SyndicateTokens 4 12000,,98_S_0405_RankUp,,,1,,true,@98_S_03_lostnotlost_title_V2,@98_S_03_lostnotlost_description_V2,@98_S_03_lostnotlost_start_prompt_V2,@98_S_03_lostnotlost_proposal_V2_a,@98_S_03_lostnotlost_incomplete_V2,@complete_available_prompt_DEFAULT,@98_S_03_lostnotlost_complete_V2_a,,,,,,,,,,
98_S_0405_RankUp,FactionStory_Syndicate,,65,,,,,98_S_0405_d_00_Container_RankUp_V2,,,FactionRank_S_0405_RankUp,,Syndicate,,98_S_0405_RankUp_success,,Syndicate 5,,,,,1,,false,@98_S_0405_RankUp_title_V2,@98_S_0405_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
98_S_04_ciphercryptic,FactionStory_Syndicate,,65,,,,,98_S_04_d_00_Container_ciphercryptic_V2,9808_Cleo_00,,syndicate_faction_quest_04,syndicate_faction_quest_03,Syndicate,,98_S_04_ciphercryptic_success,,SyndicateTokens 5 24000,,,,,1,,true,@98_S_04_ciphercryptic_title_V2,@98_S_04_ciphercryptic_description_V2,@98_S_04_ciphercryptic_start_prompt_V2,@98_S_04_ciphercryptic_proposal_V2_a,@98_S_04_ciphercryptic_incomplete_V2_a,@complete_available_prompt_DEFAULT,@98_S_04_ciphercryptic_complete_V2_a,,,,,,,,,,
9804_C_0001_RankUp,FactionStory_Covenant,,25,,,,,9804_C_0001_d_00_Container_RankUp_V2,,,FactionRank_C_0001_RankUp,,Covenant,,98_C_0001_RankUp_success,,Covenant 1,,,,,1,,false,@98_C_0001_RankUp_title_V2,@98_C_0001_RankUp_description_V2,,,,@complete_available_prompt_DEFAULT,,,,,,,,,,,
