ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,SuccessGameEventId,FailureGameEventId,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,Repeatable,CanBeAbandoned,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,EntitlementId,QuestArcTag,SkipReqAchievmentWhenInvalid
AC_Test_7,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_7,debug_2 || debug_3,,,,,,,,,,,,,,,,,,,,,
AC_Test_8,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_8,!debug_2 && !debug_3,,,,,,,,,,,,,,,,,,,,,
AC_Test_9,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_9,debug_4 && debug_6 && debug_7,,,,,,,,,,,,,,,,,,,,,
AC_Test_10,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_10,,,,,,,,,,,,,,,,,,,,,,
AC_Test_11,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_11,!debug_48 && !debug_45 && !debug_42 && !debug_39,,,,,,,,,,,,,,,,,,,,,
AC_Test_12,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_12,debug_34 && debug_28 && debug_25,,,,,,,,,,,,,,,,,,,,,
AC_Test_13,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_13,,,,,,,,,,,,,,,,,,,,,,
AC_Test_14,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_14,,,,,,,,,,,,,,,,,,,,,,
AC_Test_15,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_15,(debug_14 && debug_2) || (!debug_14 && debug_13),,,,,,,,,,,,,,,,,,,,,
AC_Test_16_12,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,12,debug_16,,,,,,,,,,,,,,,,,,,,,,
AC_Test_17_9,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,9,debug_17,,,,,,,,,,,,,,,,,,,,,,
AC_Test_18_6,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,6,debug_18,,,,,,,,,,,,,,,,,,,,,,
AC_Test_19_4,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,4,debug_19,,,,,,,,,,,,,,,,,,,,,,
AC_Test_20_4,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,4,debug_20,debug_19,,,,,,,,,,,,,,,,,,,,,
AC_Test_20_6,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,6,debug_20,debug_18,,,,,,,,,,,,,,,,,,,,,
AC_Test_20_9,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,9,debug_20,debug_17,,,,,,,,,,,,,,,,,,,,,
AC_Test_20_12_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,12,debug_20,debug_16,,,,,,,,,,,,,,,,,,,,,true
AC_Test_21_6,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,6,debug_21,!debug_20,,,,,,,,,,,,,,,,,,,,,
AC_Test_22_6,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,6,debug_22,debug_20,,,,,,,,,,,,,,,,,,,,,
AC_Test_23,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_23,!debug_20,,,,,,,,,,,,,,,,,,,,,
AC_Test_24,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_24,debug_20,,,,,,,,,,,,,,,,,,,,,
AC_Test_25,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_25,debug_26,,,,,,,,,,,,,,,,,,,,,
AC_Test_26,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_26,debug_33,,,,,,,,,,,,,,,,,,,,,
AC_Test_27,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_27,!debug_35,,,,,,,,,,,,,,,,,,,,,
AC_Test_28,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_28,debug_29,,,,,,,,,,,,,,,,,,,,,
AC_Test_29_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_29,debug_33,,,,,,,,,,,,,,,,,,,,,true
AC_Test_30,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_30,!debug_37,,,,,,,,,,,,,,,,,,,,,
AC_Test_31,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_31,debug_32,,,,,,,,,,,,,,,,,,,,,
AC_Test_32_d_d,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_32,debug_33,,,,,,,,,,,,,,,,,,,,,false
AC_Test_33,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_33,,,,,,,,,,,,,,,,,,,,,,
AC_Test_34,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_34,debug_35,,,,,,,,,,,,,,,,,,,,,
AC_Test_35_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_35,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_36,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_36,debug_37,,,,,,,,,,,,,,,,,,,,,
AC_Test_37_d_d,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_37,,,,,,,,,,,,,,,,,,,,,,false
AC_Test_38,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_38,debug_48 && debug_45 && debug_42 && debug_39 && debug_55,,,,,,,,,,,,,,,,,,,,,
AC_Test_39,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_39,debug_41 || debug_40,,,,,,,,,,,,,,,,,,,,,
AC_Test_40_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_40,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_41_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_41,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_42,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_42,debug_44 && debug_43,,,,,,,,,,,,,,,,,,,,,
AC_Test_43_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_43,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_44_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_44,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_45,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_45,debug_47 || debug_46,,,,,,,,,,,,,,,,,,,,,
AC_Test_46,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_46,,,,,,,,,,,,,,,,,,,,,,
AC_Test_47_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_47,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_48,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_48,debug_50 && debug_49,,,,,,,,,,,,,,,,,,,,,
AC_Test_49,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_49,,,,,,,,,,,,,,,,,,,,,,
AC_Test_50_d_s,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_50,,,,,,,,,,,,,,,,,,,,,,true
AC_Test_51_12,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,12,debug_51,!debug_20,,,,,,,,,,,,,,,,,,,,,
AC_Test_52_12,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,12,debug_52,debug_20,,,,,,,,,,,,,,,,,,,,,
AC_Test_53,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_53,debug_57 || debug_60,,,,,,,,,,,,,,,,,,,,,
AC_Test_54,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_54,debug_57 && debug_60,,,,,,,,,,,,,,,,,,,,,
AC_Test_55,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_55,debug_57 || debug_46,,,,,,,,,,,,,,,,,,,,,
AC_Test_56,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_56,debug_57 && debug_49,,,,,,,,,,,,,,,,,,,,,
AC_Test_57_d_d,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_57,,,,,,,,,,,,,,,,,,,,,,false
AC_Test_58,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_58,debug_50 || debug_57,,,,,,,,,,,,,,,,,,,,,
AC_Test_59,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_59,debug_50 && debug_57,,,,,,,,,,,,,,,,,,,,,
AC_Test_60_d_d,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_60,,,,,,,,,,,,,,,,,,,,,,false
AC_Test_63,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_63,,,,,,,,,,,,,,,,,,,,,,
AC_Test_65,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_65,debug_62,,,,,,,,,,,,,,,,,,,,,
AC_Test_66,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_66,debug_62 || debug_63,,,,,,,,,,,,,,,,,,,,,
AC_Test_67,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_67,debug_62 && debug_63,,,,,,,,,,,,,,,,,,,,,
AC_Test_68,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_68,debug_61,,,,,,,,,,,,,,,,,,,,,
AC_Test_69,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_69,debug_61 || debug_63,,,,,,,,,,,,,,,,,,,,,
AC_Test_70,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_70,debug_61 && debug_63,,,,,,,,,,,,,,,,,,,,,
AC_Test_71,Journey,,1,,,,,Debug_AchievementConditional_UnitTesting_Container,7405_Artificer,,debug_71,debug_64 && debug_69,,,,,,,,,,,,,,,,,,,,,
