ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId
0503_0203_wardensofthegreen,Journey,,,,,,,0503_0203_d_00_container_wardensofthegreen,0503_Survivalist,,05_Quest_19,05_Quest_18,,,0503_0203_wardensofthegreen_success,,,,,GypsumOrb,1,true,,@0503_0203_wardensofthegreen_objective_title,@0503_0203_wardensofthegreen_objective_desc,@0503_0203_wardensofthegreen_start_prompt,@0503_0203_wardensofthegreen_proposal_a,@0503_0203_wardensofthegreen_incomplete,@complete_available_prompt_DEFAULT,@0503_0203_wardensofthegreen_complete_available_response_a,,,,true,,,,,ReekwaterArc3,,
0503_0301_theeternalpool,Journey,,,,,,,0503_0301_d_00_container_theeternalpool,0503_Survivalist,,05_Quest_20,05_Quest_19,,,0503_0301_theeternalpool_success,,,,,GypsumOrb,1,false,,@0503_0301_theeternalpool_objective_title,@0503_0301_theeternalpool_objective_desc,@0503_0301_theeternalpool_start_prompt,@0503_0301_theeternalpool_proposal_a,@0503_0301_theeternalpool_incomplete_a,@complete_available_prompt_DEFAULT,@0503_0301_theeternalpool_complete_available_response_a,,,,true,,,,,ReekwaterArc3,,
0505_0103_thedryadpromenade,Journey,,,,,true,,0505_0103_d_00_container_thedryadpromenade,,,05_Quest_24R,05_Quest_20,,,0505_0103_thedryadpromenade_success,,,,,,,false,true,@0505_0103_thedryadpromenade_objective_title,@0505_0103_thedryadpromenade_objective_desc,@0505_0103_thedryadpromenade_start_prompt,@0505_0103_thedryadpromenade_proposal_a,@0505_0103_thedryadpromenade_incomplete,@complete_available_prompt_DEFAULT,@0505_0103_thedryadpromenade_complete_available_response,@0505_0103_Cooldown,,,true,,,,,,,Daily
0502_0106_primevalcyclops,Journey,,60,,,,,0502_0106_d_00_container_primevalcyclops,0502_Magistrate,,05_Quest_Lazarus_21,05_Quest_06,,,0502_0106_primevalcyclops_success,,,,,GypsumOrb,1,false,,@0502_0106_primevalcyclops_objective_title,@0502_0106_primevalcyclops_objective_desc,@0502_0106_primevalcyclops_start_prompt,@0502_0106_primevalcyclops_proposal_a,@0502_0106_primevalcyclops_incomplete,@complete_available_prompt_DEFAULT,@0502_0106_primevalcyclops_complete_available_response_a,,,,true,,,,,,,
0525_EXP_AncientHearts,Journey,,60,,,true,,0525_EXP_AncientHearts_container,0525_Druid_2,,0525_EXP_AncientHearts,,,,0525_EXP_AncientHearts_success,,,,,,,true,true,@0525_EXP_AncientHearts_title,@0525_EXP_AncientHearts_desc,@0525_EXP_AncientHearts_start_prompt,@0525_EXP_AncientHearts_proposal,@0525_EXP_AncientHearts_incomplete,@complete_available_prompt_DEFAULT,@0525_EXP_AncientHearts_complete,@0525_EXP_AncientHearts_Cooldown,,,false,,,,,,,Daily
FM_05_PVP_ControlSpot_Marauder_objective,Mission,,,,true,true,false,FM_05_PVP_ControlSpot_Marauder_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_PoachArea_Marauder_objective,Mission,,,,true,true,false,FM_05_PVP_PoachArea_Marauder_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_SpySpot_Marauder_objective,Mission,,,,true,true,false,FM_05_PVP_SpySpot_Marauder_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_ControlSpot_Syndicate_objective,Mission,,,,true,true,false,FM_05_PVP_ControlSpot_Syndicate_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_PoachArea_Syndicate_objective,Mission,,,,true,true,false,FM_05_PVP_PoachArea_Syndicate_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_SpySpot_Syndicate_objective,Mission,,,,true,true,false,FM_05_PVP_SpySpot_Syndicate_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_ControlSpot_Covenant_objective,Mission,,,,true,true,false,FM_05_PVP_ControlSpot_Covenant_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_PoachArea_Covenant_objective,Mission,,,,true,true,false,FM_05_PVP_PoachArea_Covenant_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_05_PVP_SpySpot_Covenant_objective,Mission,,,,true,true,false,FM_05_PVP_SpySpot_Covenant_container,,5,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,,,,Hourly
FM_0501_objective,Mission,,,,,true,true,FM_0501_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0502_objective,Mission,,,,,true,true,FM_0502_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0503_objective,Mission,,,,,true,true,FM_0503_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0504_objective,Mission,,,,,true,true,FM_0504_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0505_objective,Mission,,,,,true,true,FM_0505_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0506_objective,Mission,,,,,true,true,FM_0506_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0507_objective,Mission,,,,,true,true,FM_0507_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0501_objective,Mission,,,,,true,true,FM_S_0501_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0502_objective,Mission,,,,,true,true,FM_S_0502_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0503_objective,Mission,,,,,true,true,FM_S_0503_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0504_objective,Mission,,,,,true,true,FM_S_0504_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0505_objective,Mission,,,,,true,true,FM_S_0505_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0506_objective,Mission,,,,,true,true,FM_S_0506_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0507_objective,Mission,,,,,true,true,FM_S_0507_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0501_objective,Mission,,,,,true,true,FM_C_0501_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0502_objective,Mission,,,,,true,true,FM_C_0502_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0503_objective,Mission,,,,,true,true,FM_C_0503_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0504_objective,Mission,,,,,true,true,FM_C_0504_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0505_objective,Mission,,,,,true,true,FM_C_0505_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0506_objective,Mission,,,,,true,true,FM_C_0506_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0507_objective,Mission,,,,,true,true,FM_C_0507_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0561_objective,Mission,,,,,true,true,FM_0561_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0562_objective,Mission,,,,,true,true,FM_0562_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0563_objective,Mission,,,,,true,true,FM_0563_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0564_objective,Mission,,,,,true,true,FM_0564_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0565_objective,Mission,,,,,true,true,FM_0565_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0566_objective,Mission,,,,,true,true,FM_0566_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_0567_objective,Mission,,,,,true,true,FM_0567_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0561_objective,Mission,,,,,true,true,FM_S_0561_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0562_objective,Mission,,,,,true,true,FM_S_0562_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0563_objective,Mission,,,,,true,true,FM_S_0563_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0564_objective,Mission,,,,,true,true,FM_S_0564_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0565_objective,Mission,,,,,true,true,FM_S_0565_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0566_objective,Mission,,,,,true,true,FM_S_0566_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_S_0567_objective,Mission,,,,,true,true,FM_S_0567_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0561_objective,Mission,,,,,true,true,FM_C_0561_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0562_objective,Mission,,,,,true,true,FM_C_0562_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0563_objective,Mission,,,,,true,true,FM_C_0563_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0564_objective,Mission,,,,,true,true,FM_C_0564_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0565_objective,Mission,,,,,true,true,FM_C_0565_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0566_objective,Mission,,,,,true,true,FM_C_0566_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_C_0567_objective,Mission,,,,,true,true,FM_C_0567_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_05_H_01_objective,Mission,,,,,true,true,FM_05_H_01_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_05_H_02_objective,Mission,,,,,true,true,FM_05_H_02_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_05_H_03_objective,Mission,,,,,true,true,FM_05_H_03_container,,5,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_05_EXP_01_objective,Mission,,,,,true,true,FM_05_EXP_01_container,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_05_EXP_02_objective,Mission,,,,,true,true,FM_05_EXP_02_container,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
FM_05_EXP_03_objective,Mission,,,,,true,true,FM_05_EXP_03_container,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,
