ObjectiveID,Type,Difficulty,DifficultyLevel,MaxInfluenceLevel,FlagPvp,CanBeShared,CanFastTravel,Task,NpcDestinationId,ExclusiveTerritory,AchievementId,RequiredAchievementId,RequiredFaction,RequiredLevel,SuccessGameEventId,FailureGameEventId,ProgressionReward,ExperienceReward,ObjectiveReward,ItemRewardName,ItemRewardQty,ShouldResetOnFactionChange,CanBeAbandoned,Repeatable,Title,Description,PlayerPrompt,ObjectiveProposalResponse,InProgressResponse,DestinationCompletionAvailablePrompt,DestinationCompletionAvailableResponse,ObjectiveOnCooldownResponse,ObjectiveCompletionResponse,ObjectiveAcceptanceResponse,HideIncompleteTurninMarker,ORMReleaseEventTags,ORMReleaseActiveOverride,SkipReqAchievmentWhenInvalid,EntitlementId,QuestArcTag,HideAvailableMapIcon ,ScheduleId,NOTES
06A_MSQ_11_LootPirateCrates,MainStoryQuest,,,,,,,06A_MSQ_11_LootPirateCrates_container,06_NessaHarrower05,,06A_MSQ_11,06A_MSQ_10,,,06A_MSQ_11_LootPirateCrates_success,,,,,PotionHealthT2,5,,0,,@06A_MSQ_11_LootPirateCrates_title,@06A_MSQ_11_LootPirateCrates_desc,@06A_MSQ_11_LootPirateCrates_prompt_new,@06A_MSQ_11_LootPirateCrates_proposal_a_new,@06A_MSQ_11_LootPirateCrates_incomplete_a,@complete_available_prompt_DEFAULT,@06A_MSQ_11_LootPirateCrates_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_12_DefeatPirateCaptain,MainStoryQuest,,,,,,,06A_MSQ_12_DefeatPirateCaptain_container,06_NessaHarrower04,,06A_MSQ_12,06A_MSQ_11,,,06A_MSQ_12_DefeatPirateCaptain_success,,,,,CRX_RewardContainerT2_Legwear_15,1,,0,,@06A_MSQ_12_DefeatPirateCaptain_title,@06A_MSQ_12_DefeatPirateCaptain_desc,@06A_MSQ_12_DefeatPirateCaptain_prompt_new,@06A_MSQ_12_DefeatPirateCaptain_proposal_a_new,@06A_MSQ_12_DefeatPirateCaptain_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_12_DefeatPirateCaptain_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_13_ReturnMiradorJewel,MainStoryQuest,,,,,,,06A_MSQ_13_ReturnMiradorJewel_container,06_MoiraChapman,,06A_MSQ_13,06A_MSQ_12,,,06A_MSQ_13_ReturnMiradorJewel_success,,,,,amuletwindswardt3,1,,0,,@06A_MSQ_13_ReturnMiradorJewel_title,@06A_MSQ_13_ReturnMiradorJewel_desc,@06A_MSQ_13_ReturnMiradorJewel_prompt_new,@06A_MSQ_13_ReturnMiradorJewel_proposal_a_new,@06A_MSQ_13_ReturnMiradorJewel_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_13_ReturnMiradorJewel_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_14_SolveMapPuzzle,MainStoryQuest,,,,,,,06A_MSQ_14_SolveMapPuzzle_container,06_NessaHarrower03,,06A_MSQ_14,06A_MSQ_13,,,06A_MSQ_14_SolveMapPuzzle_success,,,,,CRX_RewardContainerT2_Handwear_15,1,,0,,@06A_MSQ_14_SolveMapPuzzle_title,@06A_MSQ_14_SolveMapPuzzle_desc,@06A_MSQ_14_SolveMapPuzzle_prompt_new,@06A_MSQ_14_SolveMapPuzzle_proposal_a_new,@06A_MSQ_14_SolveMapPuzzle_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_14_SolveMapPuzzle_response_new,,,,TRUE,,,,,,,,
06A_MSQ_15_RecoverSpeakerJewel,MainStoryQuest,,,,,,,06A_MSQ_15_RecoverSpeakerJewel_container,06_NessaHarrower03,,06A_MSQ_15,06A_MSQ_14,,,06A_MSQ_15_RecoverSpeakerJewel_success,,,,,PotionHealthT2,5,,0,,@06A_MSQ_15_RecoverSpeakerJewel_title,@06A_MSQ_15_RecoverSpeakerJewel_desc,@06A_MSQ_15_RecoverSpeakerJewel_prompt_new,@06A_MSQ_15_RecoverSpeakerJewel_proposal_a_new,@06A_MSQ_15_RecoverSpeakerJewel_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_15_RecoverSpeakerJewel_response_a,,,,TRUE,,,,,,,,
06A_MSQ_16_ReturnEldergateJewel,MainStoryQuest,,,,,,,06A_MSQ_16_ReturnEldergateJewel_container,06_GraceWW_06,,06A_MSQ_16,06A_MSQ_15,,,06A_MSQ_16_ReturnEldergateJewel_success,,,,,CRX_RewardContainerT2_Chestwear_15,1,,0,,@06A_MSQ_16_ReturnEldergateJewel_title,@06A_MSQ_16_ReturnEldergateJewel_desc,@06A_MSQ_16_ReturnEldergateJewel_prompt,@06A_MSQ_16_ReturnEldergateJewel_proposal_a,@06A_MSQ_16_ReturnEldergateJewel_incomplete_a,@complete_available_prompt_DEFAULT,@06A_MSQ_16_ReturnEldergateJewel_response_a,,,,TRUE,,,,,,,,
06A_MSQ_17_RecoverStolenJewel,MainStoryQuest,,,,,,,06A_MSQ_17_RecoverStolenJewel_container,06_NessaHarrower06,,06A_MSQ_17,06A_MSQ_16,,,06A_MSQ_17_RecoverStolenJewel_success,,,,,HoningStoneT2,3,,0,,@06A_MSQ_17_RecoverStolenJewel_title,@06A_MSQ_17_RecoverStolenJewel_desc,@06A_MSQ_17_RecoverStolenJewel_prompt,@06A_MSQ_17_RecoverStolenJewel_proposal_a,@06A_MSQ_17_RecoverStolenJewel_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_17_RecoverStolenJewel_response_a,,,,TRUE,,,,,,,,
06A_MSQ_18_ReturnSiriusJewel,MainStoryQuest,,,,,,,06A_MSQ_18_ReturnSiriusJewel_container,06_NessaHarrower03,,06A_MSQ_18,06A_MSQ_17,,,06A_MSQ_18_ReturnSiriusJewel_success,,,,,PotionHealthT2,10,,0,,@06A_MSQ_18_ReturnSiriusJewel_title,@06A_MSQ_18_ReturnSiriusJewel_desc,@06A_MSQ_18_ReturnSiriusJewel_prompt,@06A_MSQ_18_ReturnSiriusJewel_proposal_a,@06A_MSQ_18_ReturnSiriusJewel_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_18_ReturnSiriusJewel_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && !Archetype_Mercenary && !Archetype_Warmonger && !Archetype_Tracker && !Archetype_Musketeer && !Archetype_Occultist && !Archetype_Theurgist && !Archetype_Wanderer,,,06A_MSQ_21_DefeatBoss_success,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,Soul Trial
06A_MSQ_21_DefeatBoss_destroyer,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Warmonger,,,06A_MSQ_21_DefeatBoss_success_destroyer,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss_musketeer,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Musketeer,,,06A_MSQ_21_DefeatBoss_success_musketeer,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss_mystic,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Theurgist,,,06A_MSQ_21_DefeatBoss_success_mystic,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss_occultist,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Occultist,,,06A_MSQ_21_DefeatBoss_success_occultist,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss_ranger,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Tracker,,,06A_MSQ_21_DefeatBoss_success_ranger,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss_soldier,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Mercenary,,,06A_MSQ_21_DefeatBoss_success_soldier,,,,,CRX_QuestReward_ArcTyp_WW_1hRshield,1,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_21_DefeatBoss_swordsman,MainStoryQuest,,17,,,,,06A_MSQ_21_DefeatBoss_container,06_Medea03,,06A_MSQ_21,06A_MSQ_18 && Archetype_Wanderer,,,06A_MSQ_21_DefeatBoss_success_swordsman,,,,,,,,0,,@06A_MSQ_21_DefeatBoss_title,@06A_MSQ_21_DefeatBoss_desc,@06A_MSQ_21_DefeatBoss_prompt_new,@06A_MSQ_21_DefeatBoss_proposal_a_new,@06A_MSQ_21_DefeatBoss_incomplete_new,@complete_available_prompt_DEFAULT,@06A_MSQ_21_DefeatBoss_response_a_new,,,,TRUE,,,,,,,,
06A_MSQ_22_TalkToSoulwarden,MainStoryQuest,,,,,,,06A_MSQ_22_TalkToSoulwarden_container,99A_Yonas_00,,MSQ_00_init,06A_MSQ_21,,,06A_MSQ_22_TalkToSoulwarden_success,,,,,CRX_RewardContainerT3_Headgear_20,1,,0,,@06A_MSQ_22_TalkToSoulwarden_title,@06A_MSQ_22_TalkToSoulwarden_desc,@06A_MSQ_22_TalkToSoulwarden_prompt_new,@06A_MSQ_22_TalkToSoulwarden_proposal_a_new,@06A_MSQ_22_TalkToSoulwarden_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_22_TalkToSoulwarden_response,,,,TRUE,,,,,,,,
06A_MSQ_22_TalkToSoulwarden_alt,MainStoryQuest,,,,,,,06A_MSQ_22_TalkToSoulwarden_container,99A_Yonas_00,,MSQ_00_init,06A_MSQ_21,,,06A_MSQ_22_TalkToSoulwarden_success_alt,,,,,CRX_RewardContainerT3_Headgear_20,1,,0,,@06A_MSQ_22_TalkToSoulwarden_title,@06A_MSQ_22_TalkToSoulwarden_desc,@06A_MSQ_22_TalkToSoulwarden_prompt_new,@06A_MSQ_22_TalkToSoulwarden_proposal_a_new,@06A_MSQ_22_TalkToSoulwarden_incomplete,@complete_available_prompt_DEFAULT,@06A_MSQ_22_TalkToSoulwarden_response,,,,TRUE,,,,,,,,
06A_B_01_ReturnBrushes,Journey,,,,,,,06A_B_01_ReturnBrushes_container,06_FudeHinode,,06A_B_01,06A_MSQ_15,,,06A_B_01_ReturnBrushes_success,,,,,,,,1,,@06A_B_01_ReturnBrushes_title,@06A_B_01_ReturnBrushes_desc,@06A_B_01_ReturnBrushes_prompt,@06A_B_01_ReturnBrushes_proposal,@06A_B_01_ReturnBrushes_incomplete,@complete_available_prompt_DEFAULT,@06A_B_01_ReturnBrushes_response_a,,,,TRUE,,,,,,,,
06A_IR_01_FindCreed,Journey,,,,,,,06A_IR_01_FindCreed_container,06_RoyaHakimi02,,06A_IR_01,06A_MSQ_06,,,06A_IR_01_FindCreed_success,,,,,,,,1,,@06A_IR_01_FindCreed_title,@06A_IR_01_FindCreed_desc,@06A_IR_01_FindCreed_prompt,@06A_IR_01_FindCreed_proposal_a,@06A_IR_01_FindCreed_incomplete_a,@complete_available_prompt_DEFAULT,@06A_IR_01_FindCreed_response,,,,TRUE,,,,,,,,
06A_IR_02_GetSword,Journey,,,,,,,06A_IR_02_GetSword_container,06_RoyaHakimi02,,06A_IR_02,06A_IR_01,,,06A_IR_02_GetSword_success,,,,,,,,1,,@06A_IR_02_GetSword_title,@06A_IR_02_GetSword_desc,@06A_IR_02_GetSword_prompt,@06A_IR_02_GetSword_proposal_a,@06A_IR_02_GetSword_incomplete,@complete_available_prompt_DEFAULT,@06A_IR_02_GetSword_response,,,,TRUE,,,,,,,,
06A_IR_03_DeliverLetter,Journey,,,,,,,06A_IR_03_DeliverLetter_container,06_GideonStormsbane02,,06A_IR_03,06A_IR_02 && 06A_MSQ_18,,,06A_IR_03_DeliverLetter_success,,,,,,,,1,,@06A_IR_03_DeliverLetter_title,@06A_IR_03_DeliverLetter_desc,@06A_IR_03_DeliverLetter_prompt,@06A_IR_03_DeliverLetter_proposal_a,@06A_IR_03_DeliverLetter_incomplete,@complete_available_prompt_DEFAULT,@06A_IR_03_DeliverLetter_response_a,,,,TRUE,,,,,,,,
06A_TS_01_GatherAndRefine,Journey,,,,,,,06A_TS_01_GatherAndRefine_container,06_TalesaSerrano,,06A_TS_01,06A_MSQ_03,,,06A_TS_01_GatherAndRefine_success,,,,06A_TS_03_LearnTownBoard,,,,0,,@06A_TS_01_GatherAndRefine_title,@06A_TS_01_GatherAndRefine_desc,@06A_TS_01_GatherAndRefine_prompt,@06A_TS_01_GatherAndRefine_proposal_a,@06A_TS_01_GatherAndRefine_incomplete_a,@complete_available_prompt_DEFAULT,@06A_TS_01_GatherAndRefine_response_a,,,,TRUE,,,,,,,,
06A_TS_02_ForgeSword,Journey,,,,,,,06A_TS_02_ForgeSword_container,06_ZhangHaoyu,,06A_TS_02,06A_TS_01,,,06A_TS_02_ForgeSword_success,,,,,,,,0,,@06A_TS_02_ForgeSword_title,@06A_TS_02_ForgeSword_desc,@06A_TS_02_ForgeSword_prompt,@06A_TS_02_ForgeSword_proposal_a,@06A_TS_02_ForgeSword_incomplete_a,@complete_available_prompt_DEFAULT,@06A_TS_02_ForgeSword_response_a,,,,TRUE,,,,,,,,
06A_TS_03_LearnTownBoard,Journey,,,,,,,06A_TS_03_LearnTownBoard_container,,,06A_TS_03,06A_TS_01,,,06A_TS_03_LearnTownBoard_success,,,,,,,,0,,@06A_TS_03_LearnTownBoard_title,@06A_TS_03_LearnTownBoard_desc,@06A_TS_03_LearnTownBoard_prompt,@06A_TS_03_LearnTownBoard_proposal,@06A_TS_03_LearnTownBoard_incomplete,@complete_available_prompt_DEFAULT,@06A_TS_03_LearnTownBoard_response,,,,TRUE,,,,,,,,
06A_F_01_CollectJam,Journey,,,,,,,06A_F_01_CollectJam_container,06_KathrijnJanssen02,,06A_F_01,06A_MSQ_10,,,06A_F_01_CollectJam_success,,,,,,,,1,,@06A_F_01_CollectJam_title,@06A_F_01_CollectJam_desc,@06A_F_01_CollectJam_prompt,@06A_F_01_CollectJam_proposal_a,@06A_F_01_CollectJam_incomplete,@complete_available_prompt_DEFAULT,@06A_F_01_CollectJam_response,,,,TRUE,,,,,,,,
06A_F_02_RecoverSpices,Journey,,,,,,,06A_F_02_RecoverSpices_container,06_KathrijnJanssen03,,06A_F_02,06A_F_01,,,06A_F_02_RecoverSpices_success,,,,,,,,1,,@06A_F_02_RecoverSpices_title,@06A_F_02_RecoverSpices_desc,@06A_F_02_RecoverSpices_prompt,@06A_F_02_RecoverSpices_proposal_a,@06A_F_02_RecoverSpices_incomplete_a,@complete_available_prompt_DEFAULT,@06A_F_02_RecoverSpices_response_a,,,,TRUE,,,,,,,,
06A_T_02_DefeatBear,Journey,,,,,,,06A_T_02_DefeatBear_container,06_TsuiFen,,06A_T_02,06A_MSQ_15,,,06A_T_02_DefeatBear_success,,,,,,,,1,,@06A_T_02_DefeatBear_title,@06A_T_02_DefeatBear_desc,@06A_T_02_DefeatBear_prompt,@NPC_DefaultDialogue_01_TsuiFen_b,@06A_T_02_DefeatBear_incomplete_a,@complete_available_prompt_DEFAULT,@06A_T_01_DefeatPumas_response,,,,TRUE,,,,,,,,
06A_G_01_DefeatPirates,Journey,,,,,,,06A_G_01_DefeatPirates_container,06_MichaelLewis03,,06A_G_01,06A_MSQ_16,,,06A_G_01_DefeatPirates_success,,,,,,,,1,,@06A_G_01_DefeatPirates_title,@06A_G_01_DefeatPirates_desc,@06A_G_01_DefeatPirates_prompt,@06A_G_01_DefeatPirates_proposal_a,@06A_G_01_DefeatPirates_incomplete_a,@complete_available_prompt_DEFAULT,@06A_G_01_DefeatPirates_response,,,,TRUE,,,,,,,,
06A_W_01_GetPatterns,Journey,,,,,,,06A_W_01_GetPatterns_container,06_LionelDeLaRue02,,06A_W_01,06A_MSQ_14,,,06A_W_01_GetPatterns_success,,,,,,,,1,,@06A_W_01_GetPatterns_title,@06A_W_01_GetPatterns_desc,@06A_W_01_GetPatterns_prompt,@06A_W_01_GetPatterns_proposal_a,@06A_W_01_GetPatterns_incomplete_a,@complete_available_prompt_DEFAULT,@06A_W_01_GetPatterns_response_a,,,,TRUE,,,,,,,,
06A_Z_01_GetBisonNotes,Journey,,,,,,,06A_Z_01_GetBisonNotes_container,06_MargotEmerson02,,06A_Z_01,06A_Z_02 && 06A_MSQ_18,,,06A_Z_01_GetBisonNotes_success,,,,,,,,1,,@06A_Z_01_GetBisonNotes_title,@06A_Z_01_GetBisonNotes_desc,@06A_Z_01_GetBisonNotes_prompt,@06A_Z_01_GetBisonNotes_proposal_a,@06A_Z_01_GetBisonNotes_incomplete,@complete_available_prompt_DEFAULT,@06A_Z_01_GetBisonNotes_response,,,,TRUE,,,,,,,,
06A_Z_02_SpreadJoy,Journey,,,,,,,06A_Z_02_SpreadJoy,06_MargotEmerson01,,06A_Z_02,06A_MSQ_03,,,06A_Z_02_SpreadJoy_success,,,,,,,,1,,@06A_Z_02_SpreadJoy_title,@06A_Z_02_SpreadJoy_desc,@06A_Z_02_SpreadJoy_prompt,@06A_Z_02_SpreadJoy_proposal_a,@06A_Z_02_SpreadJoy_incomplete_a,@complete_available_prompt_DEFAULT,@06A_Z_02_SpreadJoy_response_a,,,,TRUE,,,,,,,,
06A_S_01_FindArcheologists,Journey,,,,,,,06A_S_01_FindArcheologists_container,06_ElricChapman,,06A_S_01,06A_MSQ_03,,,06A_S_01_FindArcheologists_success,,,,,,,,1,,@06A_S_01_FindArcheologists_title,@06A_S_01_FindArcheologists_desc,@06A_S_01_FindArcheologists_prompt,@06A_S_01_FindArcheologists_proposal_a,@06A_S_01_FindArcheologists_incomplete,@complete_available_prompt_DEFAULT,@06A_S_01_FindArcheologists_response,,,,TRUE,,,,,,,,
06A_S_02_PowerSpheres,Journey,,,,,,,06A_S_02_PowerSpheres_container,06_ElricChapman,,06A_S_02,06A_Z_01,,,06A_S_02_PowerSpheres_success,,,,,,,,1,,@06A_S_02_PowerSpheres_title,@06A_S_02_PowerSpheres_desc,@06A_S_02_PowerSpheres_prompt,@06A_S_02_PowerSpheres_proposal_a,@06A_S_02_PowerSpheres_incomplete,@complete_available_prompt_DEFAULT,@06A_S_02_PowerSpheres_response,,,,TRUE,,,,,,,,
