Slice,PowerLevel,Destruction,Disruption,Defense,RangeInside,RangeClose,RangeMid,RangeFar,Type,Family,Available
slices/Characters/Damned_Great_Axeman.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/Damned_Great_Axeman_Female.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/Damned_LongSwordsman.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_LongSwordsman_Commander.dynamicslice,10,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_LongSwordsman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_LongSwordsman_Guard.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Pistoleer.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Pistoleer_Female.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Priest.dynamicslice,10,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Rifleman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Rifleman_Guard.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Spy.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Spy_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Swordsman_Female.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/Damned_Villager_AxeThrower.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_AxeThrower_Female.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Cleaver.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Hammer.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Hatchet.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Hookaroon.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_KitchenKnife.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Knife.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Ladel.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_LumberAxe.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Pickaxe.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Pitchfork.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Prong.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Rake.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Shovel.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/Damned_Villager_Sickle.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Corrupted,0
slices/Characters/damned_axeman.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/damned_bowman.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/damned_hound.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/damned_rifleman.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/Characters/damned_swordsman.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,1
slices/Characters/Bear_Black.dynamicslice,7,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Bear_Elemental.dynamicslice,10,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Spriggan_Forest.dynamicslice,15,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Wolf_Alpha.dynamicslice,7,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Wolf_Brown.dynamicslice,2,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Wolf_Elemental.dynamicslice,7,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Wolf_Grey.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Wolf_White.dynamicslice,7,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/bear.dynamicslice,5,0,1,0,0,1,1,0,Infantry,Earth,0
slices/Characters/Risen_Left_Arm.dynamicslice,1,0,1,0,1,1,1,0,Infantry,Withered,0
slices/Characters/Risen_Regurgitator.dynamicslice,1,0,1,0,1,1,1,0,Infantry,Withered,0
slices/Characters/Risen_Right_Arm.dynamicslice,1,0,1,0,1,1,1,0,Infantry,Withered,0
slices/Characters/risen.dynamicslice,1,0,1,0,1,1,1,0,Infantry,Withered,0
slices/FtW/Siege/BatteringRam.dynamicslice,3,0,0,0,0,0,1,0,Siege,Unaffiliated,0
slices/FtW/Siege/Cannon.dynamicslice,3,0,0,0,0,0,1,0,Siege,Unaffiliated,0
slices/FtW/Siege/FireTrebuchet.dynamicslice,5,0,1,0,0,0,1,1,Siege,Unaffiliated,0
slices/FtW/Siege/FrostTrebuchet.dynamicslice,5,0,1,0,0,0,1,1,Siege,Unaffiliated,0
slices/FtW/Siege/SiegeTower.dynamicslice,5,0,1,0,0,0,1,0,Siege,Unaffiliated,0
slices/FtW/Siege/VoidSpike.dynamicslice,10,0,1,0,0,0,1,1,Siege,Unaffiliated,0
slices/FtW/Siege/WitheredTrebuchet.dynamicslice,5,0,1,0,0,0,1,1,Siege,Unaffiliated,0
slices/FtW/Characters/Bear_Damned_FtW.dynamicslice,10,1,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_2H_Spearman_FtW.dynamicslice,5,1,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_Acolyte_FtW_Darkness.dynamicslice,3,1,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_Bowman_FtW.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_Hound_FtW.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_LongSwordsman_Commander_FtW.dynamicslice,10,1,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_Priest_FtW.dynamicslice,10,1,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_Rifleman_FtW.dynamicslice,3,0,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Damned_Swordsman_FtW.dynamicslice,3,1,1,0,0,1,1,0,Infantry,Damned,0
slices/FtW/Characters/Risen_FtW.dynamicslice,1,1,0,0,0,1,1,0,Infantry,Withered,0
slices/FtW/Characters/WitheredTrebuchet_Regurgitator.dynamicslice,1,0,1,0,0,1,1,0,Infantry,Withered,0
slices/FtW/Characters/WitheredTrebuchet_Risen.dynamicslice,1,1,0,0,0,1,1,0,Infantry,Withered,0
