RewardID,MilestoneType,MilestoneLevel,Name,Icon,Image,Tooltip,QuestName,ExpansionIdUnlock,Notes
AzothStaffT4,,50,@AzothStaffT4_Name,LyShineUI/Images/Icons/ProgressionMilestones/azothStaff4.dds,,@AzothStaffT4_Tooltip,@9905_0045_thebox_objective_title,,
AzothStaffT5,,60,@AzothStaffT5_Name,LyShineUI/Images/Icons/ProgressionMilestones/azothStaff5.dds,,@AzothStaffT5_Tooltip,@9910_0056_thetempestsheart_objective_title,,
CampingT1,,10,@CampingT1_Name,LyShineUI/Images/Icons/ProgressionMilestones/campUpgrade.dds,,@CampingT1_Tooltip,,,
CampingT2,,15,@CampingT2_Name,LyShineUI/Images/Icons/ProgressionMilestones/campUpgrade2.dds,,@CampingT2_Tooltip,,,
CampingT3,,30,@CampingT3_Name,LyShineUI/Images/Icons/ProgressionMilestones/campUpgrade3.dds,,@CampingT3_Tooltip,,,
CampingT4,,40,@CampingT4_Name,LyShineUI/Images/Icons/ProgressionMilestones/campUpgrade4.dds,,@CampingT4_Tooltip,,,
CampingT5,,55,@CampingT5_Name,LyShineUI/Images/Icons/ProgressionMilestones/campUpgrade5.dds,,@CampingT5_Tooltip,,,
Territory1a,territory,15,@TerritoryRecommendation_1a,,,,,,
Territory2,territory,25,@TerritoryRecommendation_2,,,,,,
Territory3,territory,30,@TerritoryRecommendation_3,,,,,,
Territory4,territory,40,@TerritoryRecommendation_4,,,,,,
Territory5,territory,45,@TerritoryRecommendation_5,,,,,,
Territory6,territory,50,@TerritoryRecommendation_6,,,,,,
Territory7,territory,60,@TerritoryRecommendation_7,,,,,,
PvPArenas,,20,@PvPArenas_Name,LyShineUI/Images/Icons/ProgressionMilestones/3v3Arena.dds,,@PvPArenas_Tooltip,,,
SeasonsRewards,minor,25,@SeasonsRewards_Name,LyShineUI/Images/SeasonsRewards/Icon_Unlock_SeasonRewardTrack_bg.dds,,@seasons_leveling_guide_tooltip_text,,,
SeasonsJourney,minor,60,@SeasonsJourney_Name,LyShineUI/Images/SeasonsRewards/Icon_Unlock_SeasonJourney_bg.dds,,,,,
HorseUnlock,minor,20,@Mount_Horse_Unlock,LyShineUI/Images/Icons/ProgressionMilestones/mountUnlock.dds,,@Mount_Horse_Tooltip,@9401_BefriendHorse_title,Expansion2023,
Artifacts1,major,65,@Artifacts1_Name,LyShineUI/Images/Icons/ProgressionMilestones/weaponSlot.dds,LyShineUI/Images/glory/milestoneRewards/milestoneReward_weapon1.dds,@Artifacts1_Tooltip,,Expansion2023,Located in PBA
