95_s04_Daichi_p02,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p02_c01,95_s04_Daichi_p02_c03,95_s04_Daichi_p02_c02,,,,,,,,,,,,,,,,,,at dojo
95_s04_Daichi_p03,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p03_c01,,,,,,,,,,,,,,,,,,,,ice castle exterior
95_s04_Daichi_p03i,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p03_c01,,,,,,,,,,,,,,,,,,,,ice castle exterior
95_s04_Daichi_p04,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p04_c01,,,,,,,,,,,,,,,,,,,,chess room
95_s04_Daichi_p05,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p05_c01,95_s04_Daichi_p05_c03,95_s04_Daichi_p05_c02,,,,,,,,,,,,,,,,,,ice garden
95_s04_Daichi_p06,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p06_c01,95_s04_Daichi_p06_c02,,,,,,,,,,,,,,,,,,,outside rune forge
95_s04_Daichi_p07,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p07_c01,95_s04_Daichi_p07_c02,,,,,,,,,,,,,,,,,,,first position catara
95_s04_Daichi_p08,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p08_c01,95_s04_Daichi_p08_c02,,,,,,,,,,,,,,,,,,,outside entry catara
95_s04_Daichi_p09,@95_s04_Daichi_t,@95_s04_Daichi,,95_s04_Daichi_p09_c01,95_s04_Daichi_p09_c02,,,,,,,,,,,,,,,,,,,lizard room catara
95_RimaCamp_p01,@95A_Rima_t,@95A_Rima,,95A_Rima_S02_End,95_RimaCamp_p01_c02,TMP_95_RimaCamp_p01_c03,95_RimaCamp_p01_c01,,,,,,,,,,,,,,,,,Camp slice
95_s04_Rima_p01,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p01_c01,95_s04_Rima_p01_c02,95_s04_Rima_p01_c03,95_s04_Rima_p01_c04,,,,,,,,,,,,,,,,,ice castle ext
95_s04_Rima_p02,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p02_c01,95_s04_Rima_p02_c02,95_s04_Rima_p02_c03,,,,,,,,,,,,,,,,,,Ebonscale Reach
95_s04_Rima_p03,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p03_c01,95_s04_Rima_p03_c02,,,,,,,,,,,,,,,,,,,outside mage caves
95_s04_Rima_p04,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p04_c01,95_s04_Rima_p04_c02,,,,,,,,,,,,,,,,,,,porticullis room
95_s04_Rima_p05,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p05_c01,95_s04_Rima_p05_c02,,,,,,,,,,,,,,,,,,,outer lab room
95_s04_Rima_p06,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p06_c01,,,,,,,,,,,,,,,,,,,,outside rune forge
95_s04_Rima_p07,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p07_c01,,,,,,,,,,,,,,,,,,,,first mokosh location
95_s04_Rima_p08,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p08_c01,,,,,,,,,,,,,,,,,,,,falls cave entrance area
95_s04_Rima_p09,@95A_Rima_t,@95A_Rima,,95_s04_Rima_p09_c01,95_s04_Rima_p09_c02,95_s04_Rima_p09_c03,95_s04_Rima_p09_c04,,,,,,,,,,,,,,,,,lizard puzzle room
95_SkyeCamp_p01,@9505_Skye_t,@9505_Skye,,95_SkyeCamp_p01_c01,95_SkyeCamp_p01_c01_dnm,TMP_95_SkyeCamp_p01_c04,TMP_95_SkyeCamp_p01_c05,TMP_95_SkyeCamp_p01_c07,TMP_95_SkyeCamp_p01_c02,TMP_95_SkyeCamp_p01_c02_dnm,TMP_95_SkyeCamp_p01_c03,TMP_95_SkyeCamp_p01_c06,,,,,,,,,,,,Camp slice skye
95_s04_Skye_p01,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p01_c01,95_s04_Skye_p01_c02,95_s04_Skye_p01_c04,95_s04_Skye_p01_c03,95_s04_Skye_p01_c05,,,,,,,,,,,,,,,,outside braided caves
95_s04_Skye_p02,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p02_c01,,,,,,,,,,,,,,,,,,,,ice castle ext wa
95_s04_Skye_p02i,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p02_c01,,,,,,,,,,,,,,,,,,,,ice castle ext wa
95_s04_Skye_p03,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p03_c01,,,,,,,,,,,,,,,,,,,,chess room wi
95_s04_Skye_p04,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p04_c01,95_s04_Skye_p04_c02,,,,,,,,,,,,,,,,,,,ice garden wi wa
95_s04_Skye_p05,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p05_c01,95_s04_Skye_p05_c02,95_s04_Skye_p05_c03,,,,,,,,,,,,,,,,,,ext mage caves st
95_s04_Skye_p06,@9505_Skye_t,@9505_Skye,,95_s04_Skye_p06_c01,95_s04_Skye_p06_c02,,,,,,,,,,,,,,,,,,,mordred cabin
9502_Zander_s01_02,@9502_Zander_t2,@9502_Zander,,9502_Zander_s01_c03,9502_Zander_s01_c04,95A_Zander_01,95A_Zander_S02_End,TMP_95_ZanderCamp_p01_c01,95_ZanderCamp_p01_c02,TMP_95_ZanderCamp_p01_c04,TMP_95_ZanderCamp_p01_c05,95_ZanderCamp_p01_c03,,,,,,,,,,,,Camp slice zander
95_s04_Zander_p01,@9502_Zander_t2,@9502_Zander,,95_s04_03_Zander_p01_c01,95_s04_03_Zander_p01_c02,,,,,,,,,,,,,,,,,,,zander outside ice castle walls
95_s04_Zander_p01i,@9502_Zander_t2,@9502_Zander,,95_s04_03_Zander_p01_c01,95_s04_03_Zander_p01_c02,,,,,,,,,,,,,,,,,,,zander outside ice castle walls
95_s04_Zander_p02,@9502_Zander_t2,@9502_Zander,,95_s04_03_Zander_p02_c01,95_s04_03_Zander_p02_c02,,,,,,,,,,,,,,,,,,,zander inside chess room
95_s04_Zander_p03,@9502_Zander_t2,@9502_Zander,,95_s04_03_Zander_p03_c01,,,,,,,,,,,,,,,,,,,,ice garden
95_s04_Zander_p04,@9502_Zander_t2,@9502_Zander,,95_s04_05_Zander_p04_c01,95_s04_05_Zander_p04_c02,,,,,,,,,,,,,,,,,,,zander outside rune forge
9501_Grace_s01_05,@9501_Grace_t2,@9501_Grace,,9501_Grace_s01_c07a,9501_Grace_s01_c07,95A_Grace_03,95A_Grace_S02_End,TMP_95_GraceCamp_p01_c01_dnmSkye,TMP_95_GraceCamp_p01_c01,95_GraceCamp_p01_c02,95_GraceCamp_p01_c03,TMP_95_GraceCamp_p01_c04,TMP_95_GraceCamp_p01_c05,TMP_95_GraceCamp_p01_c06,TMP_95_GraceCamp_p01_c07,TMP_95_GraceCamp_p01_c08,TMP_95_GraceCamp_p01_c09,TMP_95_GraceCamp_p01_c10,,,,,,Camp slice grace
95_s04_Grace_p01,@9501_Grace_t2,@9501_Grace,,95_s04_Grace_p01_c01,95_s04_Grace_p01_c02,,,,,,,,,,,,,,,,,,,ice castle ext
95_s04_Grace_p02,@9501_Grace_t2,@9501_Grace,,95_s04_Grace_p02_c01,95_s04_Grace_p02_c02,,,,,,,,,,,,,,,,,,,mordred cabin finale
95_s04_Elsa_p01,@95_s04_Elsa_tf,@95_s04_Elsaf,,95_s04_Elsa_p01_c01,,,,,,,,,,,,,,,,,,,,ice prisoner 1 elsa frozen wa
95_s04_Elsa_p02,@95_s04_Elsa_t,@95_s04_Elsa,,95_s04_Elsa_p02_c01,,,,,,,,,,,,,,,,,,,,ice prisoner 2 elsa unfrozen wi wa
95_s04_Shen_p01,@95_s04_Shen_tf,@95_s04_Shenf,,95_s04_Shen_p01_c01,,,,,,,,,,,,,,,,,,,,ice prisoner 1 shen frozen wa
95_s04_Shen_p02,@95_s04_Shen_t,@95_s04_Shen,,95_s04_Shen_p02_c01,,,,,,,,,,,,,,,,,,,,ice prisoner 2 shen unfrozen wi wa
95_s04_Scholar_p01,@95_s04_Adolfo_t,@9509_AdolfodeAcutis,,95_s04_Scholar_p01_c01,95_s04_Scholar_p01_c02,,,,,,,,,,,,,,,,,,,scholar ER t
95_s04_MagicDoor_p01,@95_s04_MagicDoor_t,@95_s04_MagicDoor,,95_s04_MagicDoor_p01_c01,95_s04_MagicDoor_p01_c02,95_s04_MagicDoor_p01_c03,,,,,,,,,,,,,,,,,,magic door jehan lab wi wa as option
95_DogCamp_p01,@9503_Dog_t2,@9503_Dog,,95_DogCamp_p01_c01,95_DogCamp_p01_c02,TMP_95_DogCamp_p01_c03,TMP_95_DogCamp_p01_c04,,,,,,,,,,,,,,,,,Camp slice slightly bigger
95_s04_Dog_p01,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p01_c01,,,,,,,,,,,,,,,,,,,,ice castle ext - relaxed t
95_s04_Dog_p02,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p02_c01,,,,,,,,,,,,,,,,,,,,outside mage caves - alert listening t
95_s04_Dog_p03,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p03_c01,95_s04_Dog_p03_c03,95_s04_Dog_p03_c02,,,,,,,,,,,,,,,,,,porticullis room - sitting next to hole wi wa
95_s04_Dog_p04,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p04_c01,,,,,,,,,,,,,,,,,,,,outer lab room - standing alert wi wa
95_s04_Dog_p05,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p05_c01,,,,,,,,,,,,,,,,,,,,outside rune forge - standing upset t
95_s04_Dog_p06,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p06_c01,,,,,,,,,,,,,,,,,,,,first mokosh location - relaxed wi
95_s04_Dog_p07,@9503_Dog_t2,@9503_Dog,,95_s04_Dog_p07_c01,95_s04_Dog_p07_c02,95_s04_Dog_p07_c03,,,,,,,,,,,,,,,,,,entry door waterfall area - standing alert wi wa
9504_Shailyn_s04_01,@9504_Shailyn_t,@9504_Shailyn,,9504_Shailyn_s04_c01,9504_Shailyn_s04_c02,9504_Shailyn_s04_c03,,,,,,,,,,,,,,,,,,
95_s04_AoWei,@95_s04_Ao_t,@95_s04_Ao,,95_s04_AoWei_DefaultDialogue,95_s04_AoWei_Bestowal,,,,,,,,,,,,,,,,,,,
