Index,OldIndex,isForeground,DisplayName,EntitlementId,Image,Color,isEntitlement,isEnabled,Faction,Notes,Intent
44,16,true,@ui_crestforeground_17,,lyshineui/images/crests/foregrounds/icon_crest_17.dds,,false,true,Faction1,,
45,17,true,@ui_crestforeground_18,,lyshineui/images/crests/foregrounds/icon_crest_18.dds,,false,true,Faction1,,
46,18,true,@ui_crestforeground_19,,lyshineui/images/crests/foregrounds/icon_crest_19.dds,,false,true,Faction1,,
47,19,true,@ui_crestforeground_20,,lyshineui/images/crests/foregrounds/icon_crest_20.dds,,false,true,Faction1,,
48,20,true,@ui_crestforeground_21,,lyshineui/images/crests/foregrounds/icon_crest_21.dds,,false,true,Faction1,,
49,21,true,@ui_crestforeground_22,,lyshineui/images/crests/foregrounds/icon_crest_22.dds,,false,true,Faction1,,
50,22,true,@ui_crestforeground_23,icon_crest_23,lyshineui/images/crests/foregrounds/icon_crest_23.dds,,true,true,Any,Frosty Mug,Merriment
51,23,true,@ui_crestforeground_24,,lyshineui/images/crests/foregrounds/icon_crest_24.dds,,false,true,Faction1,,
52,24,true,@ui_crestforeground_25,,lyshineui/images/crests/foregrounds/icon_crest_25.dds,,false,true,Faction1,,
53,25,true,@ui_crestforeground_26,,lyshineui/images/crests/foregrounds/icon_crest_26.dds,,false,true,Faction1,,
54,26,true,@ui_crestforeground_27,,lyshineui/images/crests/foregrounds/icon_crest_27.dds,,false,true,Faction1,,
55,27,true,@ui_crestforeground_28,,lyshineui/images/crests/foregrounds/icon_crest_28.dds,,false,true,Faction1,,
56,28,true,@ui_crestforeground_29,,lyshineui/images/crests/foregrounds/icon_crest_29.dds,,false,true,Faction1,,
57,29,true,@ui_crestforeground_30,,lyshineui/images/crests/foregrounds/icon_crest_30.dds,,false,true,Faction1,,
58,30,true,@ui_crestforeground_31,,lyshineui/images/crests/foregrounds/icon_crest_31.dds,,false,true,Faction1,,
59,31,true,@ui_crestforeground_32,,lyshineui/images/crests/foregrounds/icon_crest_32.dds,,false,true,Faction2,,
60,32,true,@ui_crestforeground_33,,lyshineui/images/crests/foregrounds/icon_crest_33.dds,,false,true,Faction2,,
61,33,true,@ui_crestforeground_34,,lyshineui/images/crests/foregrounds/icon_crest_34.dds,,false,true,Faction2,,
62,34,true,@ui_crestforeground_35,icon_crest_35,lyshineui/images/crests/foregrounds/icon_crest_35.dds,,true,true,Any,Bull's Head,Animal Head
63,35,true,@ui_crestforeground_36,,lyshineui/images/crests/foregrounds/icon_crest_36.dds,,false,true,Faction2,,
64,36,true,@ui_crestforeground_37,,lyshineui/images/crests/foregrounds/icon_crest_37.dds,,false,true,Faction2,,
65,37,true,@ui_crestforeground_38,,lyshineui/images/crests/foregrounds/icon_crest_38.dds,,false,true,Faction2,,
66,38,true,@ui_crestforeground_39,,lyshineui/images/crests/foregrounds/icon_crest_39.dds,,false,true,Faction2,,
67,39,true,@ui_crestforeground_40,,lyshineui/images/crests/foregrounds/icon_crest_40.dds,,false,true,Faction2,,
68,40,true,@ui_crestforeground_41,,lyshineui/images/crests/foregrounds/icon_crest_41.dds,,false,true,Faction2,,
69,41,true,@ui_crestforeground_42,icon_crest_42,lyshineui/images/crests/foregrounds/icon_crest_42.dds,,true,true,Any,Cheer's,Merriment
70,42,true,@ui_crestforeground_43,,lyshineui/images/crests/foregrounds/icon_crest_43.dds,,false,true,Faction2,,
71,43,true,@ui_crestforeground_44,,lyshineui/images/crests/foregrounds/icon_crest_44.dds,,false,true,Faction2,,
72,44,true,@ui_crestforeground_45,,lyshineui/images/crests/foregrounds/icon_crest_45.dds,,false,true,Faction2,,
73,45,true,@ui_crestforeground_46,,lyshineui/images/crests/foregrounds/icon_crest_46.dds,,false,true,Faction2,,
74,46,true,@ui_crestforeground_47,,lyshineui/images/crests/foregrounds/icon_crest_47.dds,,false,true,Faction2,,
75,47,true,@ui_crestforeground_48,,lyshineui/images/crests/foregrounds/icon_crest_48.dds,,false,true,Faction2,,
76,48,true,@ui_crestforeground_49,,lyshineui/images/crests/foregrounds/icon_crest_49.dds,,false,true,Faction2,,
77,49,true,@ui_crestforeground_50,,lyshineui/images/crests/foregrounds/icon_crest_50.dds,,false,true,Faction2,,
78,50,true,@ui_crestforeground_51,,lyshineui/images/crests/foregrounds/icon_crest_051.dds,,false,true,Faction2,,
79,51,true,@ui_crestforeground_52,,lyshineui/images/crests/foregrounds/icon_crest_052.dds,,false,true,Faction2,,
80,52,true,@ui_crestforeground_53,icon_crest_53,lyshineui/images/crests/foregrounds/icon_crest_053.dds,,true,true,Any,Hearts,Card Suite
81,53,true,@ui_crestforeground_54,icon_crest_54,lyshineui/images/crests/foregrounds/icon_crest_054.dds,,true,true,Any,Spades,Card Suite
82,54,true,@ui_crestforeground_55,icon_crest_55,lyshineui/images/crests/foregrounds/icon_crest_055.dds,,true,true,Any,Clubs,Card Suite
83,55,true,@ui_crestforeground_56,icon_crest_56,lyshineui/images/crests/foregrounds/icon_crest_056.dds,,true,true,Any,Diamonds,Card Suite
84,56,true,@ui_crestforeground_57,,lyshineui/images/crests/foregrounds/icon_crest_057.dds,,false,true,Faction2,,
85,57,true,@ui_crestforeground_58,,lyshineui/images/crests/foregrounds/icon_crest_058.dds,,false,true,Faction2,,
86,58,true,@ui_crestforeground_59,,lyshineui/images/crests/foregrounds/icon_crest_059.dds,,false,true,Faction2,,
87,59,true,@ui_crestforeground_60,,lyshineui/images/crests/foregrounds/icon_crest_060.dds,,false,true,Faction2,,
88,60,true,@ui_crestforeground_61,,lyshineui/images/crests/foregrounds/icon_crest_061.dds,,false,true,Faction2,,
89,61,true,@ui_crestforeground_62,,lyshineui/images/crests/foregrounds/icon_crest_062.dds,,false,true,Faction3,,
90,62,true,@ui_crestforeground_63,,lyshineui/images/crests/foregrounds/icon_crest_063.dds,,false,true,Faction3,,
91,63,true,@ui_crestforeground_64,,lyshineui/images/crests/foregrounds/icon_crest_064.dds,,false,true,Faction3,,
92,64,true,@ui_crestforeground_65,,lyshineui/images/crests/foregrounds/icon_crest_065.dds,,false,true,Faction3,,
93,65,true,@ui_crestforeground_66,,lyshineui/images/crests/foregrounds/icon_crest_066.dds,,false,true,Faction3,,
94,66,true,@ui_crestforeground_67,,lyshineui/images/crests/foregrounds/icon_crest_067.dds,,false,true,Faction3,,
95,67,true,@ui_crestforeground_68,,lyshineui/images/crests/foregrounds/icon_crest_068.dds,,false,true,Faction3,,
96,68,true,@ui_crestforeground_69,,lyshineui/images/crests/foregrounds/icon_crest_069.dds,,false,true,Faction3,,
97,69,true,@ui_crestforeground_70,,lyshineui/images/crests/foregrounds/icon_crest_070.dds,,false,true,Faction3,,
98,70,true,@ui_crestforeground_71,,lyshineui/images/crests/foregrounds/icon_crest_071.dds,,false,true,Faction3,,
99,71,true,@ui_crestforeground_72,,lyshineui/images/crests/foregrounds/icon_crest_072.dds,,false,true,Faction3,,
100,72,true,@ui_crestforeground_73,,lyshineui/images/crests/foregrounds/icon_crest_073.dds,,false,true,Faction3,,
101,73,true,@ui_crestforeground_74,,lyshineui/images/crests/foregrounds/icon_crest_074.dds,,false,true,Faction3,,
102,74,true,@ui_crestforeground_75,,lyshineui/images/crests/foregrounds/icon_crest_075.dds,,false,true,Faction3,,
103,75,true,@ui_crestforeground_76,,lyshineui/images/crests/foregrounds/icon_crest_076.dds,,false,true,Faction3,,
104,76,true,@ui_crestforeground_77,,lyshineui/images/crests/foregrounds/icon_crest_077.dds,,false,true,Faction3,,
105,77,true,@ui_crestforeground_78,,lyshineui/images/crests/foregrounds/icon_crest_078.dds,,false,true,Faction3,,
106,78,true,@ui_crestforeground_79,,lyshineui/images/crests/foregrounds/icon_crest_079.dds,,false,true,Faction3,,
107,79,true,@ui_crestforeground_80,,lyshineui/images/crests/foregrounds/icon_crest_080.dds,,false,true,Faction3,,
108,80,true,@ui_crestforeground_81,,lyshineui/images/crests/foregrounds/icon_crest_081.dds,,false,true,Faction3,,
109,81,true,@ui_crestforeground_82,,lyshineui/images/crests/foregrounds/icon_crest_082.dds,,false,true,Faction3,,
110,82,true,@ui_crestforeground_83,,lyshineui/images/crests/foregrounds/icon_crest_083.dds,,false,true,Faction3,,
111,83,true,@ui_crestforeground_84,,lyshineui/images/crests/foregrounds/icon_crest_084.dds,,false,true,Faction3,,
112,84,true,@ui_crestforeground_85,,lyshineui/images/crests/foregrounds/icon_crest_085.dds,,false,true,Faction3,,
113,85,true,@ui_crestforeground_86,,lyshineui/images/crests/foregrounds/icon_crest_086.dds,,false,true,Faction3,,
114,86,true,@ui_crestforeground_87,,lyshineui/images/crests/foregrounds/icon_crest_087.dds,,false,true,Faction3,,
115,87,true,@ui_crestforeground_88,,lyshineui/images/crests/foregrounds/icon_crest_088.dds,,false,true,Faction3,,
116,88,true,@ui_crestforeground_89,,lyshineui/images/crests/foregrounds/icon_crest_089.dds,,false,true,Faction3,,
117,89,true,@ui_crestforeground_90,icon_crest_90,lyshineui/images/crests/foregrounds/icon_crest_090.dds,,true,true,Any,Crossed Pistols,Smugglers
118,90,true,@ui_crestforeground_91,,lyshineui/images/crests/foregrounds/icon_crest_091.dds,,false,true,Faction3,,
119,91,true,@ui_crestforeground_92,,lyshineui/images/crests/foregrounds/icon_crest_092.dds,,false,true,Faction3,,
120,92,true,@ui_crestforeground_93,,lyshineui/images/crests/foregrounds/icon_crest_093.dds,,false,true,Faction3,,
121,93,true,@ui_crestforeground_94,,lyshineui/images/crests/foregrounds/icon_crest_094.dds,,false,true,Faction3,,
122,94,true,@ui_crestforeground_95,,lyshineui/images/crests/foregrounds/icon_crest_095.dds,,false,true,Faction3,,
126,98,true,@ui_crestforeground_99,icon_crest_099_Premium,lyshineui/images/crests/foregrounds/icon_crest_099_premium.dds,,true,true,Any,Turkey Dinner,Merriment
127,99,true,@ui_crestforeground_100,DLC_Item_Woodsman_Crest_2,lyshineui/images/crests/foregrounds/icon_crest_100_premium.dds,,true,true,Any,Pilgrim Hat,Pre-Order
128,100,true,@ui_crestforeground_101,DLC_Item_Woodsman_Crest_3,lyshineui/images/crests/foregrounds/icon_crest_101_premium.dds,,true,true,Any,Axe x Musket,Pre-Order
129,101,true,@ui_crestforeground_102,twitch_pirate_icon_102,lyshineui/images/crests/foregrounds/icon_crest_102_twitch.dds,,true,true,Any,Pirate Crest 1,Prime Gaming
130,102,true,@ui_crestforeground_103,twitch_pirate_icon_103,lyshineui/images/crests/foregrounds/icon_crest_103_twitch.dds,,true,true,Any,Pirate Crest 2,Prime Gaming
131,103,true,@ui_crestforeground_104,twitch_pirate_icon_104,lyshineui/images/crests/foregrounds/icon_crest_104_twitch.dds,,true,true,Any,Pirate Crest 3,Prime Gaming
132,104,true,@ui_crestforeground_105,,lyshineui/images/crests/foregrounds/icon_crest_105.dds,,false,true,Any,,
133,105,true,@ui_crestforeground_106,,lyshineui/images/crests/foregrounds/icon_crest_106.dds,,false,true,Any,,
134,106,true,@ui_crestforeground_107,,lyshineui/images/crests/foregrounds/icon_crest_107.dds,,false,true,Any,,
135,107,true,@ui_crestforeground_108,,lyshineui/images/crests/foregrounds/icon_crest_108.dds,,false,true,Any,,
136,108,true,@ui_crestforeground_109,,lyshineui/images/crests/foregrounds/icon_crest_109.dds,,false,true,Any,,
137,109,true,@ui_crestforeground_110,,lyshineui/images/crests/foregrounds/icon_crest_110.dds,,false,true,Any,,
138,110,true,@ui_crestforeground_111,,lyshineui/images/crests/foregrounds/icon_crest_111.dds,,false,true,Any,,
139,111,true,@ui_crestforeground_112,,lyshineui/images/crests/foregrounds/icon_crest_112.dds,,false,true,Any,,
140,112,true,@ui_crestforeground_113,,lyshineui/images/crests/foregrounds/icon_crest_113.dds,,false,true,Any,,
141,113,true,@ui_crestforeground_114,,lyshineui/images/crests/foregrounds/icon_crest_114.dds,,false,true,Any,,
142,114,true,@ui_crestforeground_115,,lyshineui/images/crests/foregrounds/icon_crest_115.dds,,false,true,Any,,
143,115,true,@ui_crestforeground_116,,lyshineui/images/crests/foregrounds/icon_crest_116.dds,,false,true,Any,,
144,116,true,@ui_crestforeground_117,,lyshineui/images/crests/foregrounds/icon_crest_117.dds,,false,true,Any,,
145,117,true,@ui_crestforeground_118,,lyshineui/images/crests/foregrounds/icon_crest_118.dds,,false,true,Any,,
146,118,true,@ui_crestforeground_119,,lyshineui/images/crests/foregrounds/icon_crest_119.dds,,false,true,Any,,
147,119,true,@ui_crestforeground_120,,lyshineui/images/crests/foregrounds/icon_crest_120.dds,,false,true,Any,,
148,120,true,@ui_crestforeground_121,,lyshineui/images/crests/foregrounds/icon_crest_121.dds,,false,true,Any,,
149,121,true,@ui_crestforeground_122,,lyshineui/images/crests/foregrounds/icon_crest_122.dds,,false,true,Any,,
150,122,true,@ui_crestforeground_123,,lyshineui/images/crests/foregrounds/icon_crest_123.dds,,false,true,Any,,
151,123,true,@ui_crestforeground_124,,lyshineui/images/crests/foregrounds/icon_crest_124.dds,,false,true,Any,,
152,124,true,@ui_crestforeground_125,,lyshineui/images/crests/foregrounds/icon_crest_125.dds,,false,true,Any,,
153,125,true,@ui_crestforeground_126,,lyshineui/images/crests/foregrounds/icon_crest_126.dds,,false,true,Any,,
154,126,true,@ui_crestforeground_127,,lyshineui/images/crests/foregrounds/icon_crest_127.dds,,false,true,Any,,
155,127,true,@ui_crestforeground_128,,lyshineui/images/crests/foregrounds/icon_crest_128.dds,,false,true,Any,,
156,128,true,@ui_crestforeground_129,,lyshineui/images/crests/foregrounds/icon_crest_129.dds,,false,true,Any,,
157,129,true,@ui_crestforeground_130,,lyshineui/images/crests/foregrounds/icon_crest_130.dds,,false,true,Any,,
158,130,true,@ui_crestforeground_131,,lyshineui/images/crests/foregrounds/icon_crest_131.dds,,false,true,Any,,
159,131,true,@ui_crestforeground_132,,lyshineui/images/crests/foregrounds/icon_crest_132.dds,,false,true,Any,,
160,132,true,@ui_crestforeground_133,,lyshineui/images/crests/foregrounds/icon_crest_133.dds,,false,true,Any,,
161,133,true,@ui_crestforeground_134,,lyshineui/images/crests/foregrounds/icon_crest_134.dds,,false,true,Any,,
162,134,true,@ui_crestforeground_135,,lyshineui/images/crests/foregrounds/icon_crest_135.dds,,false,true,Any,,
163,135,true,@ui_crestforeground_136,,lyshineui/images/crests/foregrounds/icon_crest_136.dds,,false,true,Any,,
164,136,true,@ui_crestforeground_137,,lyshineui/images/crests/foregrounds/icon_crest_137.dds,,false,true,Any,,
165,137,true,@ui_crestforeground_138,,lyshineui/images/crests/foregrounds/icon_crest_138.dds,,false,true,Any,,
166,138,true,@ui_crestforeground_139,,lyshineui/images/crests/foregrounds/icon_crest_139.dds,,false,true,Any,,
167,139,true,@ui_crestforeground_140,,lyshineui/images/crests/foregrounds/icon_crest_140.dds,,false,true,Any,,
168,140,true,@ui_crestforeground_141,,lyshineui/images/crests/foregrounds/icon_crest_141.dds,,false,true,Any,,
169,141,true,@ui_crestforeground_142,twitch_robinhood_icon_142,lyshineui/images/crests/foregrounds/icon_crest_142.dds,,true,true,Any,Robin Hood Crest 1,Prime Gaming
170,142,true,@ui_crestforeground_143,,lyshineui/images/crests/foregrounds/icon_crest_143.dds,,false,true,Any,,
171,143,true,@ui_crestforeground_144,icon_crest_144,lyshineui/images/crests/foregrounds/icon_crest_144.dds,,true,true,Any,Smuggler's Crest,Smugglers
172,144,true,@ui_crestforeground_145,icon_crest_145,lyshineui/images/crests/foregrounds/icon_crest_145.dds,,true,true,Any,Chefs Hat,Merriment
173,145,true,@ui_crestforeground_146,,lyshineui/images/crests/foregrounds/icon_crest_146.dds,,false,true,Any,,
174,146,true,@ui_crestforeground_147,,lyshineui/images/crests/foregrounds/icon_crest_147.dds,,false,true,Any,,
175,147,true,@ui_crestforeground_148,,lyshineui/images/crests/foregrounds/icon_crest_148.dds,,false,true,Any,,
176,148,true,@ui_crestforeground_149,twitch_robinhood_icon_149,lyshineui/images/crests/foregrounds/icon_crest_149.dds,,true,true,Any,Robin Hood Crest 2,Prime Gaming
177,149,true,@ui_crestforeground_150,,lyshineui/images/crests/foregrounds/icon_crest_150.dds,,false,true,Any,,
178,150,true,@ui_crestforeground_151,,lyshineui/images/crests/foregrounds/icon_crest_151.dds,,false,true,Any,,
179,151,true,@ui_crestforeground_152,,lyshineui/images/crests/foregrounds/icon_crest_152.dds,,false,true,Any,,
180,152,true,@ui_crestforeground_153,,lyshineui/images/crests/foregrounds/icon_crest_153.dds,,false,true,Any,,
181,153,true,@ui_crestforeground_154,,lyshineui/images/crests/foregrounds/icon_crest_154.dds,,false,true,Any,,
182,154,true,@ui_crestforeground_155,DLC_Item_Woodsman_Crest_1,lyshineui/images/crests/foregrounds/icon_crest_155.dds,,true,true,Any,Coat of Arms,Pre-Order
183,155,true,@ui_crestforeground_156,,lyshineui/images/crests/foregrounds/icon_crest_156.dds,,false,true,Any,,
184,156,true,@ui_crestforeground_157,twitch_robinhood_icon_157,lyshineui/images/crests/foregrounds/icon_crest_157.dds,,true,true,Any,Robin Hood Crest 3,Prime Gaming
185,157,true,@ui_crestforeground_158,,lyshineui/images/crests/foregrounds/icon_crest_158.dds,,false,true,Any,,
186,158,true,@ui_crestforeground_159,,lyshineui/images/crests/foregrounds/icon_crest_159.dds,,false,true,Any,,
187,159,true,@ui_crestforeground_160,icon_crest_160,lyshineui/images/crests/foregrounds/icon_crest_160.dds,,true,true,Any,Bear's Head,Animal head
188,160,true,@ui_crestforeground_161,,lyshineui/images/crests/foregrounds/icon_crest_161.dds,,false,true,Any,,
189,161,true,@ui_crestforeground_162,icon_crest_162,lyshineui/images/crests/foregrounds/icon_crest_162.dds,,true,true,Any,Lion's Head,Animal head
190,162,true,@ui_crestforeground_163,,lyshineui/images/crests/foregrounds/icon_crest_163.dds,,false,true,Any,,
191,163,true,@ui_crestforeground_164,,lyshineui/images/crests/foregrounds/icon_crest_164.dds,,false,true,Any,,
192,164,true,@ui_crestforeground_165,,lyshineui/images/crests/foregrounds/icon_crest_165.dds,,false,true,Any,,
193,165,true,@ui_crestforeground_166,,lyshineui/images/crests/foregrounds/icon_crest_166.dds,,false,true,Any,,
194,166,true,@ui_crestforeground_167,,lyshineui/images/crests/foregrounds/icon_crest_167.dds,,false,true,Any,,
195,167,true,@ui_crestforeground_168,,lyshineui/images/crests/foregrounds/icon_crest_168.dds,,false,true,Any,,
196,168,true,@ui_crestforeground_169,,lyshineui/images/crests/foregrounds/icon_crest_169.dds,,false,true,Any,,
197,169,true,@ui_crestforeground_170,icon_crest_170,lyshineui/images/crests/foregrounds/icon_crest_170.dds,,true,true,Any,Snake's Head,Animal Head
200,172,true,@ui_crestforeground_173,,lyshineui/images/crests/foregrounds/icon_crest_173.dds,,false,true,Any,,
201,173,true,@ui_crestforeground_174,,lyshineui/images/crests/foregrounds/icon_crest_174.dds,,false,true,Any,,
202,174,true,@ui_crestforeground_175,,lyshineui/images/crests/foregrounds/icon_crest_175.dds,,false,true,Any,,
203,175,true,@ui_crestforeground_176,,lyshineui/images/crests/foregrounds/icon_crest_176.dds,,false,true,Any,,
204,176,true,@ui_crestforeground_177,,lyshineui/images/crests/foregrounds/icon_crest_177.dds,,false,true,Any,,
205,177,true,@ui_crestforeground_178,icon_crest_178,lyshineui/images/crests/foregrounds/icon_crest_178.dds,,true,true,Any,Kaboom,Smugglers
206,178,true,@ui_crestforeground_179,icon_crest_179,lyshineui/images/crests/foregrounds/icon_crest_179.dds,,true,true,Any,Merchant's Mark,Smugglers
207,179,true,@ui_crestforeground_180,,lyshineui/images/crests/foregrounds/icon_crest_180.dds,,false,true,Any,,
208,180,true,@ui_crestforeground_181,,lyshineui/images/crests/foregrounds/icon_crest_181.dds,,false,true,Any,,
209,181,true,@ui_crestforeground_182,,lyshineui/images/crests/foregrounds/icon_crest_182.dds,,false,true,Any,,
210,182,true,@ui_crestforeground_183,,lyshineui/images/crests/foregrounds/icon_crest_183.dds,,false,true,Any,,
211,183,true,@ui_crestforeground_184,icon_crest_184,lyshineui/images/crests/foregrounds/icon_crest_184.dds,,true,true,Any,Rockin Horns,Gesture
212,184,true,@ui_crestforeground_185,,lyshineui/images/crests/foregrounds/icon_crest_185.dds,,false,true,Any,,
213,185,true,@ui_crestforeground_186,,lyshineui/images/crests/foregrounds/icon_crest_186.dds,,false,true,Any,,
214,186,true,@ui_crestforeground_187,icon_crest_187,lyshineui/images/crests/foregrounds/icon_crest_187.dds,,true,true,Any,Heart Hands,Gesture
215,187,true,@ui_crestforeground_188,,lyshineui/images/crests/foregrounds/icon_crest_188.dds,,false,true,Any,,
216,188,true,@ui_crestforeground_189,,lyshineui/images/crests/foregrounds/icon_crest_189.dds,,false,true,Any,,
217,189,true,@ui_crestforeground_190,,lyshineui/images/crests/foregrounds/icon_crest_190.dds,,false,true,Any,,
218,190,true,@ui_crestforeground_191,icon_crest_191,lyshineui/images/crests/foregrounds/icon_crest_191.dds,,true,true,Any,L for Love,Gesture
219,191,true,@ui_crestforeground_192,,lyshineui/images/crests/foregrounds/icon_crest_192.dds,,false,true,Any,,
220,192,true,@ui_crestforeground_193,,lyshineui/images/crests/foregrounds/icon_crest_193.dds,,false,true,Any,,
221,193,true,@ui_crestforeground_194,,lyshineui/images/crests/foregrounds/icon_crest_194.dds,,false,true,Any,,
222,194,true,@ui_crestforeground_195,,lyshineui/images/crests/foregrounds/icon_crest_195.dds,,false,true,Any,,
223,195,true,@ui_crestforeground_196,,lyshineui/images/crests/foregrounds/icon_crest_196.dds,,false,true,Any,,
224,196,true,@ui_crestforeground_197,,lyshineui/images/crests/foregrounds/icon_crest_197.dds,,false,true,Any,,
225,197,true,@ui_crestforeground_198,,lyshineui/images/crests/foregrounds/icon_crest_198.dds,,false,true,Any,,
226,198,true,@ui_crestforeground_199,,lyshineui/images/crests/foregrounds/icon_crest_199.dds,,false,true,Any,,
227,199,true,@ui_crestforeground_200,icon_crest_200,lyshineui/images/crests/foregrounds/icon_crest_200.dds,,true,true,Any,Bow Master,Weapons
228,200,true,@ui_crestforeground_201,icon_crest_201,lyshineui/images/crests/foregrounds/icon_crest_201.dds,,true,true,Any,Fire Staff Master,Weapons
229,201,true,@ui_crestforeground_202,icon_crest_202,lyshineui/images/crests/foregrounds/icon_crest_202.dds,,true,true,Any,Battle Axe Master,Weapons
230,202,true,@ui_crestforeground_203,icon_crest_203,lyshineui/images/crests/foregrounds/icon_crest_203.dds,,true,true,Any,Hatchet Master,Weapons
231,203,true,@ui_crestforeground_204,icon_crest_204,lyshineui/images/crests/foregrounds/icon_crest_204.dds,,true,true,Any,Life Staff Master,Weapons
232,204,true,@ui_crestforeground_205,icon_crest_205,lyshineui/images/crests/foregrounds/icon_crest_205.dds,,true,true,Any,Musket Master,Weapons
233,205,true,@ui_crestforeground_206,icon_crest_206,lyshineui/images/crests/foregrounds/icon_crest_206.dds,,true,true,Any,Fortess,Weapons
234,206,true,@ui_crestforeground_207,icon_crest_207,lyshineui/images/crests/foregrounds/icon_crest_207.dds,,true,true,Any,Spear Master,Weapons
235,207,true,@ui_crestforeground_208,icon_crest_208,lyshineui/images/crests/foregrounds/icon_crest_208.dds,,true,true,Any,Warhammer Mastery,Weapons
236,0,false,@ui_crestbackground_1V1,,lyshineui/images/crests/backgrounds/icon_shield_shape1v1.dds,,false,true,Any,,
237,1,false,@ui_crestbackground_1V2,,lyshineui/images/crests/backgrounds/icon_shield_shape1v2.dds,,false,true,Any,,
238,2,false,@ui_crestbackground_1V3,,lyshineui/images/crests/backgrounds/icon_shield_shape1v3.dds,,false,true,Any,,
239,3,false,@ui_crestbackground_1V4,,lyshineui/images/crests/backgrounds/icon_shield_shape1v4.dds,,false,true,Any,,
240,4,false,@ui_crestbackground_1V5,,lyshineui/images/crests/backgrounds/icon_shield_shape1v5.dds,,false,true,Any,,
241,5,false,@ui_crestbackground_1V6,,lyshineui/images/crests/backgrounds/icon_shield_shape1v6.dds,,false,true,Any,,
242,6,false,@ui_crestbackground_2V1,,lyshineui/images/crests/backgrounds/icon_shield_shape2v1.dds,,false,true,Any,,
243,7,false,@ui_crestbackground_2V2,,lyshineui/images/crests/backgrounds/icon_shield_shape2v2.dds,,false,true,Any,,
