Level,KillExperience,KillCurrency,KillAzoth,QuestExperience,QuestCurrency,QuestAzoth,DarknessMajor,Darkness Minor,WarExperience,WarCurrency,WarAzoth,WarFactionTokens,WarAzothSalt,WarPvpXp,WarFactionReputation,WarTerritoryStanding,KillProgressionCurrency,KillExperienceDungeonBoss,KillCurrencyDungeonBoss,KillExperienceDungeonMiniBoss,KillCurrencyDungeonMiniBoss,SeasonsXp
22,31,520,10,540,4440,10,,,880,5200,250,800,1,1,800,375,1,31,256,31,256,1
23,32,530,10,560,4673,10,,,920,5300,250,800,1,1,800,375,1,32,262,32,262,1
24,33,540,10,590,4918,10,,,960,5400,250,800,1,1,800,375,1,33,268,33,268,1
25,34,550,10,610,5176,10,50,25,1000,5500,250,800,1,1,800,375,1,34,274,34,274,1
26,35,560,10,640,5448,10,,,1040,5600,250,800,1,1,800,375,1,35,280,35,280,1
27,36,570,10,660,5734,10,,,1080,5700,250,800,1,1,800,375,1,36,298,36,298,1
28,37,580,10,690,6035,10,,,1120,5800,250,800,1,1,800,375,1,37,310,37,310,1
29,38,590,10,710,6352,10,,,1160,5900,250,800,1,1,800,375,1,38,322,38,322,1
30,39,600,10,730,6686,10,,,1200,6000,250,800,1,1,800,375,1,39,334,39,334,1
31,40,610,10,760,7037,10,,,1240,6100,250,800,1,1,800,375,1,40,346,40,346,1
32,41,620,10,780,7407,10,,,1280,6200,250,800,1,1,800,375,1,41,358,41,358,1
33,42,630,10,800,7796,10,,,1320,6300,250,800,1,1,800,375,1,42,370,42,370,1
34,43,640,10,820,8206,10,,,1360,6400,250,800,1,1,800,375,1,43,382,43,382,1
35,44,650,10,840,8637,10,150,50,1400,6500,250,800,1,1,800,375,1,44,394,44,394,1
36,45,660,10,870,9091,10,,,1440,6600,250,800,1,1,800,375,1,45,406,45,406,1
37,46,670,10,890,9569,10,,,1480,6700,250,800,1,1,800,375,1,46,428,46,428,1
38,47,680,10,910,10072,10,,,1520,6800,250,800,1,1,800,375,1,47,443,47,443,1
39,48,690,10,930,10602,10,,,1560,6900,250,800,1,1,800,375,1,48,458,48,458,1
40,49,700,10,950,11160,10,,,1600,7000,250,800,1,1,800,375,1,49,473,49,473,1
41,50,710,10,970,11747,10,,,1640,7100,250,800,1,1,800,375,1,50,488,50,488,1
42,51,720,10,1000,12365,10,,,1680,7200,250,800,1,1,800,375,1,51,503,51,503,1
43,52,730,10,1020,13015,10,,,1720,7300,250,800,1,1,800,375,1,52,518,52,518,1
44,53,740,10,1040,13699,10,,,1760,7400,250,800,1,1,800,375,1,53,533,53,533,1
45,54,750,10,1050,14420,10,200,75,1800,7500,250,800,1,1,800,375,1,54,548,54,548,1
46,55,760,10,1080,15178,10,,,1840,7600,250,800,1,1,800,375,1,55,563,55,563,1
47,56,770,10,1100,15976,10,,,1880,7700,250,800,1,1,800,375,1,56,602,56,602,1
48,57,780,10,1120,16816,10,,,1920,7800,250,800,1,1,800,375,1,57,633,57,633,1
49,58,790,10,1140,17701,10,,,1960,7900,250,800,1,1,800,375,1,58,664,58,664,1
50,59,800,10,1150,18632,10,,,2000,8000,250,800,1,1,800,375,1,59,695,59,695,1
51,60,810,10,1180,19612,10,,,2040,8100,250,800,1,1,800,375,1,60,726,60,726,1
52,61,820,10,1180,20644,10,,,2080,8200,250,800,1,1,800,375,1,61,757,61,757,1
53,62,830,10,1180,21730,10,,,2120,8300,250,800,1,1,800,375,1,62,788,62,788,1
54,63,840,10,1180,22873,10,,,2160,8400,250,800,1,1,800,375,1,63,819,63,819,1
55,64,850,15,1180,24076,15,250,100,2200,8500,250,800,1,1,800,375,1,64,850,64,850,1
56,65,860,15,1200,25343,15,,,2240,8600,250,800,1,1,800,375,1,65,860,65,860,1
57,66,870,15,1240,26676,15,,,2280,8700,250,800,1,1,800,375,1,66,870,66,870,1
58,67,880,15,1290,28080,15,,,2320,8800,250,800,1,1,800,375,1,67,880,67,880,1
59,68,890,15,1330,29557,15,,,2360,8900,250,800,1,1,800,375,1,68,890,68,890,1
60,69,900,15,1330,31112,15,300,125,2400,9000,250,800,1,1,800,375,1,69,900,69,900,1
61,70,910,15,1330,31500,15,,,2400,9000,250,800,1,1,800,375,1,70,910,70,910,1
62,71,920,15,1330,32000,15,,,2400,9000,250,800,1,1,800,375,1,71,920,71,920,1
63,72,930,15,1330,33000,15,,,2400,9000,250,800,1,1,800,375,1,72,930,72,930,1
64,73,940,15,1330,34000,15,,,2400,9000,250,800,1,1,800,375,1,73,940,73,940,1
65,74,950,15,1330,35000,15,350,150,2400,9000,250,800,1,1,800,375,1,74,950,74,950,1
66,75,960,15,1330,35000,15,350,150,2400,9000,250,800,1,1,800,375,1,75,960,75,960,1
67,76,970,15,1330,35000,15,350,150,2400,9000,250,800,1,1,800,375,1,76,970,76,970,1
68,77,980,15,1330,35000,15,350,150,2400,9000,250,800,1,1,800,375,1,77,980,77,980,1
69,78,990,15,1330,35000,15,350,150,2400,9000,250,800,1,1,800,375,1,78,990,78,990,1
70,79,1000,15,1330,35000,15,350,150,2400,9000,250,800,1,1,800,375,1,79,1000,79,1000,1
