Name,Default,Player,Flesh,FleshHead,Armor,ArmorHead,Damned,Dryad,Ghost,Turkey,Skeleton,AncientGuardian,GhostCharred,GhostFrozen,GhostShipwrecked,GhostHanged,GhostPlagued,BearElemental,Bear,Regurgitator,SprigganForest,CorruptedEntity,BlightFiend,FrostWolf,EarthWolf,Lost,Withered,Dynasty,DunePhantom,AnubianGuardianBrute,AnubianGuardianBruteShield,AENaga,AnubianLocustScarab,Sun,MageArcaneShield,RockNPC,EvilKnightFireChampion,AngryEarth,Upyr,Leviathan
Sword+Crit,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Dryad,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Skeleton,Play_Imp_SwordMetal_Skeleton,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_SwordMetal_Dryad,Play_Imp_EvilKnightFireChampion,Play_Imp_SwordMetal_Dryad,,Play_Imp_LeviathanBody
Club,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Armor,ClubArmorHead,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Dryad,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Skeleton,Play_Imp_ClubMetal_Skeleton,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_Warhammer_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_ClubMetal_Flesh,ClubSprigganForest,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_ClubMetal_Dryad,Play_Imp_SwordMetal_Anubian_Lotus_Scarab,Play_Imp_ClubMetal_Flesh,Play_Imp_Proj_HolyShield,ClubRockNPC,ClubRockNPC,Play_Imp_ClubMetal_Dryad,,ClubRockNPC
ClubWood,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Armor,ClubArmorHead,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Dryad,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Skeleton,Play_Imp_ClubMetal_Skeleton,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_Warhammer_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_ClubMetal_Flesh,ClubSprigganForest,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_ClubMetal_Dryad,Play_Imp_SwordMetal_Anubian_Lotus_Scarab,Play_Imp_ClubMetal_Flesh,Play_Imp_Proj_HolyShield,ClubRockNPC,ClubRockNPC,Play_Imp_ClubMetal_Dryad,,ClubRockNPC
ClubSpriggan+Resist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,Play_Imp_Proj_SandElementalShield,ClubResist,ClubResist,ClubResist,Play_Imp_Proj_HolyShield,ClubResist,ClubResist,ClubResist,,ClubResist
Club+Resist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,ClubResist,Play_Imp_Proj_SandElementalShield,ClubResist,ClubResist,ClubResist,Play_Imp_Proj_HolyShield,ClubResist,ClubResist,ClubResist,,ClubResist
Club+Crit,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Skeleton,Play_Imp_ClubMetal_Skeleton,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Ghost,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Flesh,Play_Imp_ClubMetal_Dryad,Play_Imp_ClubMetal_Dryad,Play_Imp_ClubMetal_Flesh,Play_Imp_Proj_HolyShield,ClubRockNPCCrit,ClubRockNPCCrit,Play_Imp_ClubMetal_Flesh,,ClubRockNPCCrit
Axe,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Armor,Play_Imp_Axe_Armor,Play_Imp_Axe_Flesh,Play_Imp_Axe_Dryad,Play_Imp_Axe_Ghost,Play_Imp_Axe_Flesh,Play_Imp_Axe_Skeleton,Play_Imp_Axe_Skeleton,Play_Imp_Axe_Ghost,Play_Imp_Axe_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_Axe_Ghost,Play_Imp_Axe_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_Axe_Dryad,Play_Imp_SwordMetal_Anubian_Lotus_Scarab,Play_Imp_Axe_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Dryad,Play_Imp_EvilKnightFireChampion,Play_Imp_Axe_Dryad,,Play_Imp_LeviathanBody
Axe_Throw,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Armor,Play_Imp_Axe_Armor,Play_Imp_Axe_Flesh,Play_Imp_Axe_Dryad,Play_Imp_Axe_Ghost,Play_Imp_Axe_Flesh,Play_Imp_Axe_Skeleton,Play_Imp_Axe_Skeleton,Play_Imp_Axe_Ghost,Play_Imp_Axe_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_Axe_Ghost,Play_Imp_Axe_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_Axe_Dryad,Play_Imp_Axe_Dryad,Play_Imp_Axe_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Dryad,Play_Imp_EvilKnightFireChampion,Play_Imp_Axe_Dryad,,Play_Imp_LeviathanBody
Axe+Resist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,Play_Imp_Proj_SandElementalShield,AxeResist,AxeResist,AxeResist,Play_Imp_Proj_HolyShield,AxeResist,AxeResist,AxeResist,,AxeResist
Axe+Crit,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Dryad,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Skeleton,Play_Imp_SwordMetal_Skeleton,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Axe_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_SwordMetal_Dryad,Play_Imp_EvilKnightFireChampion,Play_Imp_SwordMetal_Dryad,,Play_Imp_LeviathanBody
Axe_Throw+Resist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,AxeResist,Play_Imp_Proj_SandElementalShield,AxeResist,AxeResist,AxeResist,Play_Imp_Proj_HolyShield,AxeResist,AxeResist,AxeResist,,AxeResist
Axe_Throw+Crit,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Dryad,Play_Imp_Axe_Ghost,Play_Imp_Axe_Flesh,Play_Imp_Axe_Skeleton,Play_Imp_Axe_Skeleton,Play_Imp_Axe_Ghost,Play_Imp_Axe_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_Axe_Ghost,Play_Imp_Axe_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_Axe_Flesh,AxeForestSprigganThrowCrit,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Flesh,Play_Imp_Axe_Dryad,Play_Imp_Axe_Dryad,Play_Imp_Axe_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Dryad,Play_Imp_EvilKnightFireChampion,Play_Imp_Axe_Dryad,,Play_Imp_LeviathanBody
GreatAxe,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Armor,Play_Imp_GreatAxe_Armor,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Dryad,Play_Imp_GreatAxe_Ghost,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Skeleton,Play_Imp_GreatAxe_Skeleton,Play_Imp_GreatAxe_Ghost,Play_Imp_GreatAxe_Ghost,Play_Imp_SwordMetal_Ghost,Play_Imp_GreatAxe_Ghost,Play_Imp_GreatAxe_Ghost,Play_Imp_SwordMetal_Flesh,Play_Imp_SwordMetal_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_Flesh,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_SwordMetal_AnubianGuardian_Brute,Play_Imp_GreatAxe_Dryad,Play_Imp_SwordMetal_Anubian_Lotus_Scarab,Play_Imp_GreatAxe_Flesh,Play_Imp_Proj_HolyShield,Play_Imp_GreatAxe_Dryad,Play_Imp_EvilKnightFireChampion,Play_Imp_GreatAxe_Dryad,,Play_Imp_LeviathanBody
GreatAxe+Resist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,GreatAxeResist,Play_Imp_Proj_SandElementalShield,GreatAxeResist,GreatAxeResist,GreatAxeResist,Play_Imp_Proj_HolyShield,GreatAxeResist,GreatAxeResist,GreatAxeResist,,GreatAxeResist
