Name,mat_default,mat_bark,mat_dirt,mat_fabric,mat_glass,mat_grass,mat_metal,mat_mud,mat_rock,mat_rock_wet,mat_sand,mat_sand_wet,mat_thatch,mat_water,mat_water_deep,mat_water_shallow,mat_wood,mat_corruption_core,mat_corruption,mat_holy_shield,mat_flesh,mat_ice
Axe_Throw,Play_Imp_SpearMetal_Dirt,Play_2HAxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SwordWood_Cloth,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_SpearMetal_Dirt,Play_2HPickaxe_Gather,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_2HAxe_Gather,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Flesh,Play_Imp_Axe_IceWall
Axe_Throw+Crit,Play_Imp_SpearMetal_Dirt,Play_2HAxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SwordWood_Cloth,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_SpearMetal_Dirt,Play_2HPickaxe_Gather,Play_2HPickaxe_Gather,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_2HAxe_Gather,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Axe_Flesh,Play_Imp_Axe_IceWall
GreatAxe,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_IceWall
GreatAxe+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_GreatAxe_Flesh,Play_Imp_GreatAxe_IceWall
Unarmed,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Wood,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Grass,Play_Imp_PunchUnarmed_Stone,Play_Imp_PunchUnarmed_Grass,Play_Imp_PunchUnarmed_Metal,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Stone,Play_Imp_PunchUnarmed_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_PunchUnarmed_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_PunchUnarmed_Flesh,Play_Imp_PunchUnarmed_IceWall
Musket,Play_Imp_Bullet_Dirt,Play_Imp_Bullet_Wood,Play_Imp_Bullet_Dirt,Play_Imp_Bullet_Cloth,Play_Imp_Bullet_Stone,Play_Imp_Bullet_Grass,Play_Imp_Bullet_Metal,Play_Imp_Bullet_Dirt,Play_Imp_Bullet_Stone,Play_Imp_Bullet_Stone,Play_Imp_Bullet_Sand,Play_Imp_Bullet_Sand,Play_Imp_Bullet_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_Bullet_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Bullet_Flesh,Play_Imp_Bullet_IceWall
Musket_Heavy,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Bullet_Flesh,Play_Imp_Bullet_IceWall
StickyBomb,Play_Imp_PunchUnarmed_Dirt,Play_Imp_ClubMetal_Wood,Play_Imp_ClubMetal_Dirt,Play_Imp_PunchUnarmed_Grass,Play_Imp_ClubMetal_Stone,Play_Imp_ClubMetal_Grass,Play_Imp_ClubMetal_Metal,Play_Imp_ClubMetal_Dirt,Play_Imp_ClubMetal_Stone,Play_Imp_ClubMetal_Stone,Play_Imp_ClubMetal_Sand,Play_Imp_ClubMetal_Sand,Play_Imp_ClubMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_ClubMetal_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Ability_StickyBomb_Stuck,Play_Imp_Bullet_IceWall
Musket+Crit,Play_Imp_Bullet_Dirt,Play_Imp_Bullet_Wood,Play_Imp_Bullet_Dirt,Play_Imp_Bullet_Cloth,Play_Imp_Bullet_Stone,Play_Imp_Bullet_Grass,Play_Imp_Bullet_Metal,Play_Imp_Bullet_Dirt,Play_Imp_Bullet_Stone,Play_Imp_Bullet_Stone,Play_Imp_Bullet_Sand,Play_Imp_Bullet_Sand,Play_Imp_Bullet_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_Bullet_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Bullet_Flesh,Play_Imp_Bullet_IceWall
Bow,Play_Imp_Arrow_Dirt,Play_Imp_Arrow_Wood,Play_Imp_Arrow_Dirt,Play_Imp_Arrow_Cloth,Play_Imp_Arrow_Stone,Play_Imp_Arrow_Grass,Play_Imp_Arrow_Metal,Play_Imp_Arrow_Dirt,Play_Imp_Arrow_Stone,Play_Imp_Arrow_Stone,Play_Imp_Arrow_Sand,Play_Imp_Arrow_Sand,Play_Imp_Arrow_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_Arrow_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Arrow_Flesh,Play_Imp_Bullet_IceWall
Bow_Heavy,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Arrow_Flesh,Play_Imp_Bullet_IceWall
Bow+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_Arrow_Wood,Play_Imp_Arrow_Dirt,Play_Imp_Arrow_Cloth,Play_Imp_Arrow_Stone,Play_Imp_Arrow_Grass,Play_Imp_Arrow_Metal,Play_Imp_Arrow_Dirt,Play_Imp_Arrow_Stone,Play_Imp_Arrow_Stone,Play_Imp_Arrow_Sand,Play_Imp_Arrow_Sand,Play_Imp_Arrow_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_Arrow_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Arrow_Flesh,Play_Imp_Bullet_IceWall
Shield,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Wood,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Grass,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Grass,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_ShieldMetal_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_ShieldMetal_Flesh,
Shield+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_ShieldMetal_Wood,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Grass,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Grass,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Stone,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Dirt,Play_Imp_ShieldMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_ShieldMetal_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_ShieldMetal_Flesh,
DemoHammer,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Warhammer_Flesh,
Warhammer,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Warhammer_Flesh,Play_Imp_Warhammer_IceWall
Warhammer_Heavy,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Warhammer_Flesh,Play_Imp_Warhammer_IceWall
Warhammer+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Dirt,Play_Imp_GreatAxe_Metal,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Stone,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Wood,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Sand,Play_Imp_GreatAxe_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_Warhammer_Flesh,Play_Imp_Warhammer_IceWall
Spear,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Grass,Play_Imp_SpearMetal_Metal,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Sand,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SpearMetal_Flesh,Play_Imp_SpearMetal_IceWall
Spear_Throw,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Grass,Play_Imp_SpearMetal_Metal,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Sand,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SpearMetal_Flesh,Play_Imp_SpearMetal_IceWall
Spear_Kick,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Wood,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Grass,Play_Imp_PunchUnarmed_Stone,Play_Imp_PunchUnarmed_Grass,Play_Imp_PunchUnarmed_Metal,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Stone,Play_Imp_PunchUnarmed_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_PunchUnarmed_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SpearMetal_Flesh,Play_Imp_SpearMetal_IceWall
Spear+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Grass,Play_Imp_SpearMetal_Metal,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Sand,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SpearMetal_Flesh,Play_Imp_SpearMetal_IceWall
Spear_Throw+Crit,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Grass,Play_Imp_SpearMetal_Metal,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Sand,Play_Imp_SpearMetal_Dirt,Play_Imp_SpearMetal_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_Corruption_Core,Play_Imp_Corruption_Core,Play_Imp_Proj_HolyShield,Play_Imp_SpearMetal_Flesh,Play_Imp_SpearMetal_IceWall
GhostSpell_Ice,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SwordWood_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SwordMetal_Metal,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_Proj_HolyShield,Play_Imp_GreatAxe_Flesh,Play_Imp_Axe_IceWall
GhostSpell_Fire,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearWood_Wood,Play_Imp_SwordWood_Dirt,Play_Imp_SwordWood_Cloth,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SwordMetal_Metal,Play_Imp_PunchUnarmed_Dirt,Play_Imp_SpearMetal_Stone,Play_Imp_SpearMetal_Stone,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_GreatAxe_Water,Play_Imp_SpearWood_Wood,Play_Imp_PunchUnarmed_Dirt,Play_Imp_PunchUnarmed_Dirt,Play_Imp_Proj_HolyShield,Play_Imp_GreatAxe_Flesh,Play_Imp_Axe_IceWall
