ItemSkinID,IndexID,IsEntitlement,FromItemIDs,NeedsOneClasses,RequiredClasses,ExcludedClasses,ToItemID,Outfit,IsTemporarySkin
Skin_AnglesDemon_Spear,90,1,,EquippableTwoHand,Spear,,Skin_AnglesDemon_Spear,,false
Skin_GreatAxe_FenrirsFury,91,1,,EquippableTwoHand,2HAxe,,Skin_GreatAxe_FenrirsFury,,false
Skin_Bow_RobinHood,92,1,,EquippableTwoHand,Bow,,Skin_Bow_RobinHood,,false
Skin_Spear_Harpoon,93,1,,EquippableTwoHand,Spear,,Skin_Spear_Harpoon,,false
Skin_LightHead_Demon,94,1,,EquippableHead,,,Skin_LightHead_Demon,LightDemon,false
Skin_LightChest_Demon,95,1,,EquippableChest,,,Skin_LightChest_Demon,LightDemon,false
Skin_LightHands_Demon,96,1,,EquippableHands,,,Skin_LightHands_Demon,LightDemon,false
Skin_LightLegs_Demon,97,1,,EquippableLegs,,,Skin_LightLegs_Demon,LightDemon,false
Skin_LightFeet_Demon,98,1,,EquippableFeet,,,Skin_LightFeet_Demon,LightDemon,false
Skin_MediumHead_Angel,99,1,,EquippableHead,,,Skin_MediumHead_Angel,MediumAngel,false
Skin_MediumChest_Angel,100,1,,EquippableChest,,,Skin_MediumChest_Angel,MediumAngel,false
Skin_MediumHands_Angel,101,1,,EquippableHands,,,Skin_MediumHands_Angel,MediumAngel,false
Skin_MediumLegs_Angel,102,1,,EquippableLegs,,,Skin_MediumLegs_Angel,MediumAngel,false
Skin_MediumFeet_Angel,103,1,,EquippableFeet,,,Skin_MediumFeet_Angel,MediumAngel,false
Skin_HeavyHead_Angel,104,1,,EquippableHead,,,Skin_HeavyHead_Angel,HeavyAngel,false
Skin_HeavyChest_Angel,105,1,,EquippableChest,,,Skin_HeavyChest_Angel,HeavyAngel,false
Skin_HeavyHands_Angel,106,1,,EquippableHands,,,Skin_HeavyHands_Angel,HeavyAngel,false
Skin_HeavyLegs_Angel,107,1,,EquippableLegs,,,Skin_HeavyLegs_Angel,HeavyAngel,false
Skin_HeavyFeet_Angel,108,1,,EquippableFeet,,,Skin_HeavyFeet_Angel,HeavyAngel,false
Skin_Head_RobinHood,109,1,,EquippableHead,,,Skin_Head_RobinHood,PrimeRobinhood,false
Skin_Chest_RobinHood,110,1,,EquippableChest,,,Skin_Chest_RobinHood,PrimeRobinhood,false
Skin_Hands_RobinHood,111,1,,EquippableHands,,,Skin_Hands_RobinHood,PrimeRobinhood,false
Skin_Legs_RobinHood,112,1,,EquippableLegs,,,Skin_Legs_RobinHood,PrimeRobinhood,false
Skin_Feet_RobinHood,113,1,,EquippableFeet,,,Skin_Feet_RobinHood,PrimeRobinhood,false
Skin_Chest_ClothT5Var2,114,1,,EquippableChest,,,Skin_Chest_ClothT5Var2,ClothT5Var2,false
Skin_Feet_ClothT5Var2,115,1,,EquippableFeet,,,Skin_Feet_ClothT5Var2,ClothT5Var2,false
Skin_Hands_ClothT5Var2,116,1,,EquippableHands,,,Skin_Hands_ClothT5Var2,ClothT5Var2,false
Skin_Head_ClothT5Var2,117,1,,EquippableHead,,,Skin_Head_ClothT5Var2,ClothT5Var2,false
Skin_Legs_ClothT5Var2,118,1,,EquippableLegs,,,Skin_Legs_ClothT5Var2,ClothT5Var2,false
Skin_Chest_SorcererHunterVar2,119,1,,EquippableChest,,,Skin_Chest_SorcererHunterVar2,SorcererHunterVar2,false
Skin_Feet_SorcererHunterVar2,120,1,,EquippableFeet,,,Skin_Feet_SorcererHunterVar2,SorcererHunterVar2,false
Skin_Hands_SorcererHunterVar2,121,1,,EquippableHands,,,Skin_Hands_SorcererHunterVar2,SorcererHunterVar2,false
Skin_Head_SorcererHunterVar2,122,1,,EquippableHead,,,Skin_Head_SorcererHunterVar2,SorcererHunterVar2,false
Skin_Legs_SorcererHunterVar2,123,1,,EquippableLegs,,,Skin_Legs_SorcererHunterVar2,SorcererHunterVar2,false
Skin_Chest_TwitchFisherman,124,1,,EquippableChest,,,Skin_Chest_TwitchFisherman,TwitchFisherman,false
Skin_Feet_TwitchFisherman,125,1,,EquippableFeet,,,Skin_Feet_TwitchFisherman,TwitchFisherman,false
Skin_Hands_TwitchFisherman,126,1,,EquippableHands,,,Skin_Hands_TwitchFisherman,TwitchFisherman,false
Skin_Head_TwitchFisherman,127,1,,EquippableHead,,,Skin_Head_TwitchFisherman,TwitchFisherman,false
Skin_Legs_TwitchFisherman,128,1,,EquippableLegs,,,Skin_Legs_TwitchFisherman,TwitchFisherman,false
Skin_Chest_WoodsmanAlt2,129,1,,EquippableChest,,,Skin_Chest_WoodsmanAlt2,WoodsmanAlt2,false
Skin_Feet_WoodsmanAlt2,130,1,,EquippableFeet,,,Skin_Feet_WoodsmanAlt2,WoodsmanAlt2,false
Skin_Hands_WoodsmanAlt2,131,1,,EquippableHands,,,Skin_Hands_WoodsmanAlt2,WoodsmanAlt2,false
Skin_Head_WoodsmanAlt2,132,1,,EquippableHead,,,Skin_Head_WoodsmanAlt2,WoodsmanAlt2,false
Skin_Legs_WoodsmanAlt2,133,1,,EquippableLegs,,,Skin_Legs_WoodsmanAlt2,WoodsmanAlt2,false
Skin_Chest_SpecialCorruptedVar1,134,1,,EquippableChest,,,Skin_Chest_SpecialCorruptedVar1,SpecialCorruptedVar1,false
Skin_Feet_SpecialCorruptedVar1,135,1,,EquippableFeet,,,Skin_Feet_SpecialCorruptedVar1,SpecialCorruptedVar1,false
Skin_Hands_SpecialCorruptedVar1,136,1,,EquippableHands,,,Skin_Hands_SpecialCorruptedVar1,SpecialCorruptedVar1,false
Skin_Head_SpecialCorruptedVar1,137,1,,EquippableHead,,,Skin_Head_SpecialCorruptedVar1,SpecialCorruptedVar1,false
Skin_Legs_SpecialCorruptedVar1,138,1,,EquippableLegs,,,Skin_Legs_SpecialCorruptedVar1,SpecialCorruptedVar1,false
Skin_Head_HideHelmet,139,0,,EquippableHead,,,Skin_Head_HideHelmet,,false
Skin_Monster_VoidGauntlet,140,1,,EquippableMainHand,VoidGauntlet,,Skin_Monster_VoidGauntlet,,false
Skin_Monster_VampireChest,141,1,,EquippableChest,,,Skin_Monster_VampireChest,Vampire,false
Skin_Monster_VampireFeet,142,1,,EquippableFeet,,,Skin_Monster_VampireFeet,Vampire,false
Skin_Monster_VampireHands,143,1,,EquippableHands,,,Skin_Monster_VampireHands,Vampire,false
Skin_Monster_VampireHead,144,1,,EquippableHead,,,Skin_Monster_VampireHead,Vampire,false
Skin_Monster_VampireLegs,145,1,,EquippableLegs,,,Skin_Monster_VampireLegs,Vampire,false
Skin_Monster_MummyChest,146,1,,EquippableChest,,,Skin_Monster_MummyChest,Mummy,false
Skin_Monster_MummyFeet,147,1,,EquippableFeet,,,Skin_Monster_MummyFeet,Mummy,false
Skin_Monster_MummyHands,148,1,,EquippableHands,,,Skin_Monster_MummyHands,Mummy,false
Skin_Monster_MummyHead,149,1,,EquippableHead,,,Skin_Monster_MummyHead,Mummy,false
Skin_Monster_MummyLegs,150,1,,EquippableLegs,,,Skin_Monster_MummyLegs,Mummy,false
Skin_Monster_SkeletonChest,151,1,,EquippableChest,,,Skin_Monster_SkeletonChest,Skeleton,false
Skin_Monster_SkeletonFeet,152,1,,EquippableFeet,,,Skin_Monster_SkeletonFeet,Skeleton,false
Skin_Monster_SkeletonHands,153,1,,EquippableHands,,,Skin_Monster_SkeletonHands,Skeleton,false
Skin_Monster_SkeletonHead,154,1,,EquippableHead,,,Skin_Monster_SkeletonHead,Skeleton,false
Skin_Monster_SkeletonLegs,155,1,,EquippableLegs,,,Skin_Monster_SkeletonLegs,Skeleton,false
Skin_Mask_AngryEarth,156,1,,EquippableHead,,,Skin_Mask_AngryEarth,,false
Skin_Mask_Demon,157,1,,EquippableHead,,,Skin_Mask_Demon,,false
Skin_Mask_PlagueDoctor,158,1,,EquippableHead,,,Skin_Mask_PlagueDoctor,,false
Skin_Mask_HalfWooden,159,1,,EquippableHead,,,Skin_Mask_HalfWooden,,false
Skin_RoyalCourt_IceGauntlet,160,1,,EquippableMainHand,IceMagic,,Skin_RoyalCourt_IceGauntlet,,false
Skin_Monster_Rapier,161,1,,EquippableMainHand,Rapier,,Skin_Monster_Rapier,,false
Skin_Monster_SkinningKnife,162,1,,EquippableTool,SkinningKnife,,Skin_Monster_SkinningKnife,,false
Skin_Monster_Sickle,163,1,,EquippableTool,Sickle,,Skin_Monster_Sickle,,false
Skin_Monster_Pickaxe,164,1,,EquippableTool,Pickaxe,,Skin_Monster_Pickaxe,,false
Skin_Monster_LoggingAxe,165,1,,EquippableTool,LoggingAxe,,Skin_Monster_LoggingAxe,,false
Skin_Monster_FishingPole,166,1,,EquippableTool,FishingPole,,Skin_Monster_FishingPole,,false
Skin_Monster_AzothScepter,167,1,,EquippableTool,AzothStaff,,Skin_Monster_AzothScepter,,false
Skin_LegendaryStrength_SkinningKnife,168,1,,EquippableTool,SkinningKnife,,Skin_LegendaryStrength_SkinningKnife,,false
Skin_LegendaryStrength_Sickle,169,1,,EquippableTool,Sickle,,Skin_LegendaryStrength_Sickle,,false
Skin_LegendaryStrength_Pickaxe,170,1,,EquippableTool,Pickaxe,,Skin_LegendaryStrength_Pickaxe,,false
Skin_LegendaryStrength_LoggingAxe,171,1,,EquippableTool,LoggingAxe,,Skin_LegendaryStrength_LoggingAxe,,false
Skin_LegendaryStrength_FishingPole,172,1,,EquippableTool,FishingPole,,Skin_LegendaryStrength_FishingPole,,false
Skin_LegendaryStrength_AzothScepter,173,1,,EquippableTool,AzothStaff,,Skin_LegendaryStrength_AzothScepter,,false
Skin_LegendaryAzoth_SkinningKnife,174,1,,EquippableTool,SkinningKnife,,Skin_LegendaryAzoth_SkinningKnife,,false
Skin_LegendaryAzoth_Sickle,175,1,,EquippableTool,Sickle,,Skin_LegendaryAzoth_Sickle,,false
Skin_LegendaryAzoth_Pickaxe,176,1,,EquippableTool,Pickaxe,,Skin_LegendaryAzoth_Pickaxe,,false
Skin_LegendaryAzoth_LoggingAxe,177,1,,EquippableTool,LoggingAxe,,Skin_LegendaryAzoth_LoggingAxe,,false
Skin_LegendaryAzoth_FishingPole,178,1,,EquippableTool,FishingPole,,Skin_LegendaryAzoth_FishingPole,,false
Skin_LegendaryAzoth_AzothScepter,179,1,,EquippableTool,AzothStaff,,Skin_LegendaryAzoth_AzothScepter,,false
Skin_WinterConvergence_SkinningKnife,180,1,,EquippableTool,SkinningKnife,,Skin_WinterConvergence_SkinningKnife,,false
Skin_WinterConvergence_Sickle,181,1,,EquippableTool,Sickle,,Skin_WinterConvergence_Sickle,,false
Skin_WinterConvergence_Pickaxe,182,1,,EquippableTool,Pickaxe,,Skin_WinterConvergence_Pickaxe,,false
Skin_WinterConvergence_LoggingAxe,183,1,,EquippableTool,LoggingAxe,,Skin_WinterConvergence_LoggingAxe,,false
Skin_WinterConvergence_FishingPole,184,1,,EquippableTool,FishingPole,,Skin_WinterConvergence_FishingPole,,false
Skin_WinterConvergence_AzothScepter,185,1,,EquippableTool,AzothStaff,,Skin_WinterConvergence_AzothScepter,,false
Skin_Chest_WinterOutfit01,186,1,,EquippableChest,,,Skin_Chest_WinterOutfit01,WinterOutfit01,false
Skin_Head_WinterOutfit01,187,1,,EquippableHead,,,Skin_Head_WinterOutfit01,WinterOutfit01,false
Skin_Legs_WinterOutfit01,188,1,,EquippableLegs,,,Skin_Legs_WinterOutfit01,WinterOutfit01,false
Skin_Feet_WinterOutfit01,189,1,,EquippableFeet,,,Skin_Feet_WinterOutfit01,WinterOutfit01,false
Skin_Hands_WinterOutfit01,190,1,,EquippableHands,,,Skin_Hands_WinterOutfit01,WinterOutfit01,false
Skin_Chest_WarSpecial,191,1,,EquippableChest,,,Skin_Chest_WarSpecial,WarSpecial,false
Skin_Head_WarSpecial,192,1,,EquippableHead,,,Skin_Head_WarSpecial,WarSpecial,false
Skin_Legs_WarSpecial,193,1,,EquippableLegs,,,Skin_Legs_WarSpecial,WarSpecial,false
Skin_Feet_WarSpecial,194,1,,EquippableFeet,,,Skin_Feet_WarSpecial,WarSpecial,false
Skin_Hands_WarSpecial,195,1,,EquippableHands,,,Skin_Hands_WarSpecial,WarSpecial,false
Skin_Bow_RoyalCourt,196,1,,EquippableTwoHand,Bow,,Skin_Bow_RoyalCourt,,false
Skin_Chest_ClassicRPGWizard,197,1,,EquippableChest,,,Skin_Chest_ClassicRPGWizard,ClassicRPGWizard,false
Skin_Head_ClassicRPGWizard,198,1,,EquippableHead,,,Skin_Head_ClassicRPGWizard,ClassicRPGWizard,false
Skin_Legs_ClassicRPGWizard,199,1,,EquippableLegs,,,Skin_Legs_ClassicRPGWizard,ClassicRPGWizard,false
Skin_Feet_ClassicRPGWizard,200,1,,EquippableFeet,,,Skin_Feet_ClassicRPGWizard,ClassicRPGWizard,false
Skin_Hands_ClassicRPGWizard,201,1,,EquippableHands,,,Skin_Hands_ClassicRPGWizard,ClassicRPGWizard,false
Skin_RoyalCourt_AzothScepter,202,1,,EquippableTool,AzothStaff,,Skin_RoyalCourt_AzothScepter,,false
Skin_RoyalCourt_FishingPole,203,1,,EquippableTool,FishingPole,,Skin_RoyalCourt_FishingPole,,false
Skin_RoyalCourt_LoggingAxe,204,1,,EquippableTool,LoggingAxe,,Skin_RoyalCourt_LoggingAxe,,false
Skin_RoyalCourt_Pickaxe,205,1,,EquippableTool,Pickaxe,,Skin_RoyalCourt_Pickaxe,,false
Skin_RoyalCourt_Sickle,206,1,,EquippableTool,Sickle,,Skin_RoyalCourt_Sickle,,false
Skin_RoyalCourt_SkinningKnife,207,1,,EquippableTool,SkinningKnife,,Skin_RoyalCourt_SkinningKnife,,false
Skin_Chest_ClassicRPGBard,213,1,,EquippableChest,,,Skin_Chest_ClassicRPGBard,ClassicRPGBard,false
Skin_Head_ClassicRPGBard,214,1,,EquippableHead,,,Skin_Head_ClassicRPGBard,ClassicRPGBard,false
Skin_Legs_ClassicRPGBard,215,1,,EquippableLegs,,,Skin_Legs_ClassicRPGBard,ClassicRPGBard,false
Skin_Feet_ClassicRPGBard,216,1,,EquippableFeet,,,Skin_Feet_ClassicRPGBard,ClassicRPGBard,false
Skin_Hands_ClassicRPGBard,217,1,,EquippableHands,,,Skin_Hands_ClassicRPGBard,ClassicRPGBard,false
Skin_Chest_ClassicRPGRogue,218,1,,EquippableChest,,,Skin_Chest_ClassicRPGRogue,ClassicRPGRogue,false
Skin_Head_ClassicRPGRogue,219,1,,EquippableHead,,,Skin_Head_ClassicRPGRogue,ClassicRPGRogue,false
Skin_Legs_ClassicRPGRogue,220,1,,EquippableLegs,,,Skin_Legs_ClassicRPGRogue,ClassicRPGRogue,false
Skin_Feet_ClassicRPGRogue,221,1,,EquippableFeet,,,Skin_Feet_ClassicRPGRogue,ClassicRPGRogue,false
Skin_Hands_ClassicRPGRogue,222,1,,EquippableHands,,,Skin_Hands_ClassicRPGRogue,ClassicRPGRogue,false
Skin_RoyalCourt_Tiara,223,1,,EquippableHead,,,Skin_RoyalCourt_Tiara,,false
Skin_RoyalCourt_Crown,224,1,,EquippableHead,,,Skin_RoyalCourt_Crown,,false
Skin_Rapier_Holiday_Dec21,225,1,,EquippableMainHand,Rapier,,Skin_Rapier_Holiday_Dec21,,false
Skin_Spear_Holiday_Dec21,226,1,,EquippableTwoHand,Spear,,Skin_Spear_Holiday_Dec21,,false
Skin_Bow_Holiday_Dec21,227,1,,EquippableTwoHand,Bow,,Skin_Bow_Holiday_Dec21,,false
Skin_Hatchet_Holiday_Dec21,228,1,,EquippableMainHand,Hatchet,,Skin_Hatchet_Holiday_Dec21,,false
Skin_IceGaunt_Holiday_Dec21,229,1,,EquippableMainHand,IceMagic,,Skin_IceGaunt_Holiday_Dec21,,false
Skin_Lifestaff_Holiday_Dec21,230,1,,EquippableMainHand,LifeStaff,,Skin_Lifestaff_Holiday_Dec21,,false
Skin_Chest_WinterOutfit02,231,1,,EquippableChest,,,Skin_Chest_WinterOutfit02,WinterOutfit02,false
Skin_Head_WinterOutfit02,232,1,,EquippableHead,,,Skin_Head_WinterOutfit02,WinterOutfit02,false
Skin_Legs_WinterOutfit02,233,1,,EquippableLegs,,,Skin_Legs_WinterOutfit02,WinterOutfit02,false
Skin_Feet_WinterOutfit02,234,1,,EquippableFeet,,,Skin_Feet_WinterOutfit02,WinterOutfit02,false
Skin_Hands_WinterOutfit02,235,1,,EquippableHands,,,Skin_Hands_WinterOutfit02,WinterOutfit02,false
Skin_Chest_WinterOutfit03,236,1,,EquippableChest,,,Skin_Chest_WinterOutfit03,WinterOutfit03,false
Skin_Head_WinterOutfit03,237,1,,EquippableHead,,,Skin_Head_WinterOutfit03,WinterOutfit03,false
Skin_Legs_WinterOutfit03,238,1,,EquippableLegs,,,Skin_Legs_WinterOutfit03,WinterOutfit03,false
Skin_Feet_WinterOutfit03,239,1,,EquippableFeet,,,Skin_Feet_WinterOutfit03,WinterOutfit03,false
Skin_Hands_WinterOutfit03,240,1,,EquippableHands,,,Skin_Hands_WinterOutfit03,WinterOutfit03,false
Skin_LegendaryTech_SkinningKnife,241,1,,EquippableTool,SkinningKnife,,Skin_LegendaryTech_SkinningKnife,,false
Skin_LegendaryTech_Sickle,242,1,,EquippableTool,Sickle,,Skin_LegendaryTech_Sickle,,false
Skin_LegendaryTech_Pickaxe,243,1,,EquippableTool,Pickaxe,,Skin_LegendaryTech_Pickaxe,,false
Skin_LegendaryTech_LoggingAxe,244,1,,EquippableTool,LoggingAxe,,Skin_LegendaryTech_LoggingAxe,,false
Skin_LegendaryTech_FishingPole,245,1,,EquippableTool,FishingPole,,Skin_LegendaryTech_FishingPole,,false
Skin_LegendaryTech_AzothScepter,246,1,,EquippableTool,AzothStaff,,Skin_LegendaryTech_AzothScepter,,false
Skin_Chest_WC_Cloak,247,1,,EquippableChest,,,Skin_Chest_WC_Cloak,,false
Skin_Chest_AutumnKing,253,1,,EquippableChest,,,Skin_Chest_AutumnKing,AutumnKing,false
Skin_Head_AutumnKing,254,1,,EquippableHead,,,Skin_Head_AutumnKing,AutumnKing,false
Skin_Legs_AutumnKing,255,1,,EquippableLegs,,,Skin_Legs_AutumnKing,AutumnKing,false
Skin_Feet_AutumnKing,256,1,,EquippableFeet,,,Skin_Feet_AutumnKing,AutumnKing,false
Skin_Hands_AutumnKing,257,1,,EquippableHands,,,Skin_Hands_AutumnKing,AutumnKing,false
Skin_Chest_Vogue,258,1,,EquippableChest,,,Skin_Chest_Vogue,Vogue,false
Skin_Head_Vogue,259,1,,EquippableHead,,,Skin_Head_Vogue,Vogue,false
Skin_Legs_Vogue,260,1,,EquippableLegs,,,Skin_Legs_Vogue,Vogue,false
Skin_Feet_Vogue,261,1,,EquippableFeet,,,Skin_Feet_Vogue,Vogue,false
Skin_Hands_Vogue,262,1,,EquippableHands,,,Skin_Hands_Vogue,Vogue,false
Skin_Chest_Abyssal,263,1,,EquippableChest,,,Skin_Chest_Abyssal,Abyssal,false
Skin_Head_Abyssal,264,1,,EquippableHead,,,Skin_Head_Abyssal,Abyssal,false
Skin_Legs_Abyssal,265,1,,EquippableLegs,,,Skin_Legs_Abyssal,Abyssal,false
Skin_Feet_Abyssal,266,1,,EquippableFeet,,,Skin_Feet_Abyssal,Abyssal,false
Skin_Hands_Abyssal,267,1,,EquippableHands,,,Skin_Hands_Abyssal,Abyssal,false
Skin_Chest_WinterWanderer,268,1,,EquippableChest,,,Skin_Chest_WinterWanderer,WinterWanderer,false
Skin_Chest_Stormbound,269,1,,EquippableChest,,,Skin_Chest_Stormbound,Stormbound,false
Skin_Head_Stormbound,270,1,,EquippableHead,,,Skin_Head_Stormbound,Stormbound,false
Skin_Legs_Stormbound,271,1,,EquippableLegs,,,Skin_Legs_Stormbound,Stormbound,false
Skin_Feet_Stormbound,272,1,,EquippableFeet,,,Skin_Feet_Stormbound,Stormbound,false
Skin_Hands_Stormbound,273,1,,EquippableHands,,,Skin_Hands_Stormbound,Stormbound,false
Skin_Chest_Miner,274,1,,EquippableChest,,,Skin_Chest_Miner,Miner,false
Skin_Head_Miner,275,1,,EquippableHead,,,Skin_Head_Miner,Miner,false
Skin_Legs_Miner,276,1,,EquippableLegs,,,Skin_Legs_Miner,Miner,false
Skin_Feet_Miner,277,1,,EquippableFeet,,,Skin_Feet_Miner,Miner,false
