ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredFactionCooldown,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
9803_Morellus_2,Linear_Objective,false,@9803_Morellus_2,,,,,FactionIntro_Covenant_Vector_02,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_3,Linear_Objective,false,@9803_Morellus_3,,,,,,FactionIntro_Covenant_03,FactionIntro_Covenant_03_Task4,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_4,Linear_Objective,false,@9803_Morellus_4,,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_5,Linear_Objective,false,@9803_Morellus_5,Covenant,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_Maxed,Linear_Objective,false,@9803_Morellus_Maxed,Covenant,,,60,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9804_Feldan_Default,Linear_Objective,true,@9804_Feldan_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9804_Feldan_2,Linear_Objective,false,@9804_Feldan_2,,,,,,FactionIntro_Covenant_01,FactionIntro_Covenant_01_Container2,,,,,,,,,,,,,,,,,,,,,,,
9804_Feldan_3,Linear_Objective,false,@9804_Feldan_3,,,,,,FactionIntro_Covenant_01,FactionIntro_Covenant_01_Task5,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_00_Default,Linear_Objective,true,@9805_Tibbs_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_00_01,Linear_Objective,false,@9805_Tibbs_00_01,,,,17,,,,FactionIntro_Marauders_01,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_01_Default,Linear_Objective,true,@9805_Tibbs_01_TalkTo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_01_TalkTo,Linear_Objective,false,@9805_Tibbs_01_TalkTo,,,,,,FactionIntro_Marauders_01,FactionIntro_Marauders_01_TalkToTibbs,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_Default,Linear_Objective,true,@9805_Tibbs_02_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_01,Linear_Objective,false,@9805_Tibbs_02_01,,,,,FactionIntro_Marauders_01,,,FactionIntro_Marauders_02,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_VectorQuest,Linear_Objective,false,@9805_Tibbs_02_VectorQuest,,,,,FactionIntro_Marauders_02,,,FactionIntro_Marauders_Vector,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_Default2,Linear_Objective,false,@9805_Tibbs_02_Default,,,,,,FactionIntro_Marauders_Vector,FactionIntro_Marauders_Vector_Container,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_02,Linear_Objective,false,@9805_Tibbs_02_02,,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_03,Linear_Objective,false,@9805_Tibbs_02_03,Marauder,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_Maxed,Linear_Objective,false,@9805_Tibbs_Maxed,Marauder,,,60,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_Default,Linear_Objective,true,@9806_Stroudahia_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_TalkTo,Linear_Objective,false,@9806_Stroudahia_00_TalkTo,,,,,,FactionIntro_Marauders_01,FactionIntro_Marauders_01_TalkToStroudahia,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_01,Linear_Objective,false,@9806_Stroudahia_00_01,,,,,FactionIntro_Marauders_Vector,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_02,Linear_Objective,false,@9806_Stroudahia_00_02,,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_Recruitment,Linear_Objective,false,@9806_Stroudahia_00_Recruitment,,,,,FactionIntro_Marauders_03,,,FactionIntro_Marauders_Recruitment,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_03,Linear_Objective,false,@9806_Stroudahia_00_03,Marauder,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_Maxed,Linear_Objective,false,@9806_Stroudahia_Maxed,Marauder,,,60,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_01_Default,Linear_Objective,true,@9806_Stroudahia_01_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_00_Default,Linear_Objective,true,@9807_Aventus_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_00_01,Linear_Objective,false,@9807_Aventus_00_01,,,,17,,,,FactionIntro_Syndicate_01,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_TalkTo,Linear_Objective,true,@9807_Aventus_01_TalkTo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_01,Linear_Objective,false,@9807_Aventus_01_01,,,,,FactionIntro_Syndicate_01,,,FactionIntro_Syndicate_02,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_VectorQuest,Linear_Objective,false,@9807_Aventus_01_VectorQuest,,,,,FactionIntro_Syndicate_02,,,FactionIntro_Syndicate_Vector,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_02,Linear_Objective,false,@9807_Aventus_01_02,,,,,,FactionIntro_Syndicate_Vector,FactionIntro_Syndicate_02_Container,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_03,Linear_Objective,false,@9807_Aventus_01_03,,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_04,Linear_Objective,false,@9807_Aventus_01_04,Syndicate,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_Maxed,Linear_Objective,false,@9807_Aventus_Maxed,Syndicate,,,60,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_Default,Linear_Objective,true,@9808_Cleo_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_TalkTo,Linear_Objective,false,@9808_Cleo_00_TalkTo,,,,,,FactionIntro_Syndicate_01,FactionIntro_Syndicate_01_TalkToCleo,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_02,Linear_Objective,false,@9808_Cleo_00_02,,,,,FactionIntro_Syndicate_Vector,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_03,Linear_Objective,false,@9808_Cleo_00_03,,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_Recruitment,Linear_Objective,false,@9808_Cleo_00_Recruitment,,,,,FactionIntro_Syndicate_03,,,FactionIntro_Syndicate_Recruitment,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_04,Linear_Objective,false,@9808_Cleo_00_04,Syndicate,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_Maxed,Linear_Objective,false,@9808_Cleo_Maxed,Syndicate,,,60,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_01_Default,Linear_Objective,true,@9808_Cleo_01_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9809_CovenantGuard_Default,Linear_Objective,true,@9809_CovenantGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9810_Alejandro_Default,Linear_Objective,true,@9810_Alejandro_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9810_Alejandro_01,Linear_Objective,false,@9810_Alejandro_01,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811_Gregario_Default,Linear_Objective,true,@9811_Gregario_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811_Gregario_01,Linear_Objective,false,@9811_Gregario_01,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9812_Peta_Default,Linear_Objective,true,@9812_Peta_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9812_Peta_01,Linear_Objective,false,@9812_Peta_01,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813_Damiano_Default,Linear_Objective,true,@9813_Damiano_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813_Damiano_01,Linear_Objective,false,@9813_Damiano_01,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_Default,Linear_Objective,true,@9814_RepBeyza_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_CooldownMultiple,Linear_Objective,false,@9814_RepBeyza_CooldownMultiple,Any,InCooldownMultipleDays,,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_CooldownSingle,Linear_Objective,false,@9814_RepBeyza_CooldownSingle,Any,InCooldownSingleDay,,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_01,Linear_Objective,false,@9814_RepBeyza_01,Any,,,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,Faction_Selection,PvP_Guide,
9814_RepBeyza_02,Linear_Objective,false,@9814_RepBeyza_02,Covenant,,,,98_Covenant_IntroComplete,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
9814_RepBeyza_03,Linear_Objective,false,@9814_RepBeyza_03,Covenant,,,60,98_Covenant_IntroComplete,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
9815_MarauderGuard_Default,Linear_Objective,true,@9815_MarauderGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9816_Pavel_Default,Linear_Objective,true,@9816_Pavel_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9816_Pavel_01,Linear_Objective,false,@9816_Pavel_01,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9817_Mersha_Default,Linear_Objective,true,@9817_Mersha_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9817_Mersha_01,Linear_Objective,false,@9817_Mersha_01,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9818_Doc_Default,Linear_Objective,true,@9818_Doc_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9818_Doc_01,Linear_Objective,false,@9818_Doc_01,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819_Hedge_Default,Linear_Objective,true,@9819_Hedge_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819_Hedge_01,Linear_Objective,false,@9819_Hedge_01,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819_Hedge_02,Linear_Objective,false,@9819_Hedge_02,Marauder,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_Default,Linear_Objective,true,@9820_RepSmiggs_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_CooldownMultiple,Linear_Objective,false,@9820_RepSmiggs_CooldownMultiple,Any,InCooldownMultipleDays,,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_CooldownSingle,Linear_Objective,false,@9820_RepSmiggs_CooldownSingle,Any,InCooldownSingleDay,,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_01,Linear_Objective,false,@9820_RepSmiggs_01,Any,,,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,Faction_Selection,PvP_Guide,
9820_RepSmiggs_02,Linear_Objective,false,@9820_RepSmiggs_02,Marauder,,,,98_Marauders_IntroComplete,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
9820_RepSmiggs_03,Linear_Objective,false,@9820_RepSmiggs_03,Marauder,,,60,98_Marauders_IntroComplete,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
9821_SyndicateGuard_Default,Linear_Objective,true,@9821_SyndicateGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822_Abayomi_Default,Linear_Objective,true,@9822_Abayomi_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822_Abayomi_01,Linear_Objective,false,@9822_Abayomi_01,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823_Amelia_Default,Linear_Objective,true,@9823_Amelia_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823_Amelia_01,Linear_Objective,false,@9823_Amelia_01,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824_Kuro_Default,Linear_Objective,true,@9824_Kuro_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824_Kuro_01,Linear_Objective,false,@9824_Kuro_01,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825_Pop_Default,Linear_Objective,true,@9825_Pop_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825_Pop_01,Linear_Objective,false,@9825_Pop_01,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_Default,Linear_Objective,true,@9826_RepAstrid_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_CooldownMultiple,Linear_Objective,false,@9826_RepAstrid_CooldownMultiple,Any,InCooldownMultipleDays,,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_CooldownSingle,Linear_Objective,false,@9826_RepAstrid_CooldownSingle,Any,InCooldownSingleDay,,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_01,Linear_Objective,false,@9826_RepAstrid_01,Any,,,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_Recruitment_JoinFaction,,,,,,,,,,,,,,,,,,,,,Faction_Selection,PvP_Guide,
9826_RepAstrid_02,Linear_Objective,false,@9826_RepAstrid_02,Syndicate,,,,98_Syndicate_IntroComplete,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
9826_RepAstrid_03,Linear_Objective,false,@9826_RepAstrid_03,Syndicate,,,60,98_Syndicate_IntroComplete,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
