ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99G_Sun_07,Linear_Objective,false,@99G_Sun_Greet_PrepareWarfare_00,,,,,99G_MSQ_09,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_08,Linear_Objective,false,@99G_Sun_Greet_BidFarewell_00,,,,,99G_MSQ_11,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Sun_09,Linear_Objective,false,@99G_MSQ13_DesertVector_Sun_TalkTo_Start_Greet,,,,,99G_MSQ_12,99G_MSQ_SM_DesertVector,99G_MSQ_SM_DesertVector_TalkToSun,,,,,,,,,,,,99G_DesertVector_Sun_TalkTo_01,,,,,,,,,,,,
99G_Yash_00,Linear_Objective,true,@99G_MSQ01_FreePrisoner_Yash_Start_Greet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_01,Linear_Objective,false,@99G_MSQ01_FreePrisoner_Yash_Start_Greet,,,,,99F_MSQ_12,,,,99G_MSQ_SM_FreePrisoner,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_02,Linear_Objective,false,@99G_MSQ01_FreePrisoner_Yash_TalkTo_Start_Greet,,,,,99F_MSQ_12,99G_MSQ_SM_FreePrisoner,99G_MSQ_SM_FreePrisoner_TalkToYash,,,,,,,,,,,,99G_FreePrisoner_Yash_TalkTo_01,,,,,,,,,,,,
99G_Yash_03,Linear_Objective,false,@99G_Yash_Greet_AttackMentally_00,,,,,99G_MSQ_02,99G_MSQ_SM_AttackMentally,99G_MSQ_SM_AttackMentally_TalkToRusso1,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_04,Linear_Objective,false,@99G_MSQ04_HealAlly_Yash_Start_Greet,,,,,99G_MSQ_03,,,,99G_MSQ_SM_HealAlly,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_05,Linear_Objective,false,@99G_Yash_Greet_ReconnectHive_00,,,,,99G_MSQ_04,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_06,Linear_Objective,false,@99G_MSQ06_ActivateCrystals_Yash_TalkTo_Start_Greet,,,,,99G_MSQ_05,99G_MSQ_SM_ActivateCrystals,99G_MSQ_SM_ActivateCrystals_TalkToYash,,,,,,,,,,,,99G_ActivateCrystals_Yash_TalkTo_01,,,,,,,,,,,,
99G_Yash_07,Linear_Objective,false,@99G_Yash_Greet_ExcavateArtifacts_00,,,,,99G_MSQ_07,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_08,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Yash_TalkTo_Start_Greet,,,,,99G_MSQ_08 && !99_MSQ_56,99G_MSQ_SM_PrepareWarfare,99G_MSQ_SM_PrepareWarfare_TalkToYash,,,,,,,,,,,,99G_PrepareWarfare_Yash_TalkTo_01,,,,,,,,,,,,
99G_Yash_08_alt,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Yash_TalkTo_Start_Greet,,,,,99G_MSQ_08 && 99_MSQ_56,99G_MSQ_SM_PrepareWarfare_alt,99G_MSQ_SM_PrepareWarfare_TalkToYash,,,,,,,,,,,,99G_PrepareWarfare_Yash_TalkTo_01,,,,,,,,,,,,
99G_Yash_00a,Linear_Objective,true,@99G_Yash_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_09,Linear_Objective,false,@99G_Yash_Greet_PrepareWarfare_00,,,,,99G_MSQ_09,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_10,Linear_Objective,false,@99G_Yash_Greet_AssaultStronghold_00,,,,,99G_MSQ_09,99G_MSQ_SM_AssaultStronghold,99G_MSQ_SM_AssaultStronghold_Camp_container,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_11,Linear_Objective,false,@99G_Yash_Greet_BidFarewell_00,,,,,99G_MSQ_11,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Yash_12,Linear_Objective,false,@99G_MSQ13_DesertVector_Yash_Start_Greet,,,,,99G_MSQ_12,,,,99G_MSQ_SM_DesertVector,,,,,,,,,,,,,,,,,,,,,,
99G_Grace_00,Linear_Objective,true,@99G_Grace_Greet_AssaultStronghold_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Grace_01,Linear_Objective,false,@99G_MSQ10_AssaultStronghold_Grace_TalkTo_Start_Greet,,,,,99G_MSQ_09,99G_MSQ_SM_AssaultStronghold,99G_MSQ_SM_AssaultStronghold_TalkToGrace,,,,,,,,,,,,99G_AssaultStronghold_Grace_TalkTo_01,,,,,,,,,,,,
99G_Grace_02,Linear_Objective,false,@99G_Grace_Greet_AssaultStronghold_00,,,,,99G_MSQ_10,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Grace_03,Linear_Objective,false,@99G_Grace_Greet_DestroyEnemy_00,,,,,99G_MSQ_10,99G_MSQ_SM_DestroyEnemy,99G_MSQ_SM_DestroyEnemy_ReturnToGrace,,,,,,,,,,,,,,,,,,,,,,,,
99G_Grace_04,Linear_Objective,false,@99G_MSQ12_BidFarewell_Grace_Start_Greet,,,,,99G_MSQ_11,,,,99G_MSQ_SM_BidFarewell,99G_MSQ_SM_BidFarewell_destroyer,99G_MSQ_SM_BidFarewell_musketeer,99G_MSQ_SM_BidFarewell_mystic,99G_MSQ_SM_BidFarewell_occultist,99G_MSQ_SM_BidFarewell_ranger,99G_MSQ_SM_BidFarewell_soldier,99G_MSQ_SM_BidFarewell_swordsman,,,,,,,,,,,,,,,
99G_Grace_05,Linear_Objective,false,@99G_Grace_Greet_BidFarewell_00,,,,,99G_MSQ_11,"99G_MSQ_SM_BidFarewell,99G_MSQ_SM_BidFarewell_destroyer,99G_MSQ_SM_BidFarewell_musketeer,99G_MSQ_SM_BidFarewell_mystic,99G_MSQ_SM_BidFarewell_occultist,99G_MSQ_SM_BidFarewell_ranger,99G_MSQ_SM_BidFarewell_soldier,99G_MSQ_SM_BidFarewell_swordsman",99G_MSQ_SM_BidFarewell_Grace_P03On,,,,,,,,,,,,,,,,,,,,,,,,
99G_Grace_06,Linear_Objective,false,@99G_MSQ12_BidFarewell_Grace_TalkTo_Start_Greet,,,,,99G_MSQ_11,"99G_MSQ_SM_BidFarewell,99G_MSQ_SM_BidFarewell_destroyer,99G_MSQ_SM_BidFarewell_musketeer,99G_MSQ_SM_BidFarewell_mystic,99G_MSQ_SM_BidFarewell_occultist,99G_MSQ_SM_BidFarewell_ranger,99G_MSQ_SM_BidFarewell_soldier,99G_MSQ_SM_BidFarewell_swordsman",,,,,,,,,,,,,99G_BidFarewell_Grace_TalkTo_01,,,,,,,,,,,,
99G_Constance_00,Linear_Objective,true,@99G_Constance_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Eliza_00,Linear_Objective,true,@99G_Eliza_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Samir_00,Linear_Objective,true,@99G_Samir_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_00,Linear_Objective,true,@99G_Morgaine_Greet_HealAlly_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_00z,Linear_Objective,false,@99G_MSQ04_HealAlly_Morgaine_TalkTo00_Start_Greet,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_TalkToMorgainePre,,,,,,,,,,,,99G_HealAlly_Morgaine_TalkTo_00,,,,,,,,,,,,
99G_Morgaine_02,Linear_Objective,false,@99G_Morgaine_Greet_HealAlly_01,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_TalkToPhaeris4,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_00a,Linear_Objective,true,@99G_Morgaine_Greet_HealAlly_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_03,Linear_Objective,false,@99G_MSQ05_ReconnectHive_Morgaine_TalkTo_Start_Greet,,,,,99G_MSQ_04,99G_MSQ_SM_ReconnectHive,99G_MSQ_SM_ReconnectHive_TalkToMorgaine,,,,,,,,,,,,99G_ReconnectHive_Morgaine_TalkTo_01,,,,,,,,,,,,
99G_Morgaine_04,Linear_Objective,false,@99G_Morgaine_Greet_ReconnectHive_00,,,,,99G_MSQ_04,99G_MSQ_SM_ReconnectHive,99G_MSQ_SM_ReconnectHive_Collect_container,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_00b,Linear_Objective,true,@99G_MSQ05_ReconnectHive_MorgaineOldIncomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_05,Linear_Objective,false,@99G_MSQ06_ActivateCrystals_Morgaine_Start_Greet,,,,,99G_MSQ_05,,,,99G_MSQ_SM_ActivateCrystals,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_06,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Morgaine_TalkTo_Start_Greet,,,,,99G_MSQ_08 && !99_MSQ_56,99G_MSQ_SM_PrepareWarfare,99G_MSQ_SM_PrepareWarfare_TalkToMorgaine,,,,,,,,,,,,99G_PrepareWarfare_Morgaine_TalkTo_01,,,,,,,,,,,,
99G_Morgaine_06_alt,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Morgaine_TalkTo_Start_Greet,,,,,99G_MSQ_08 && 99_MSQ_56,99G_MSQ_SM_PrepareWarfare_alt,99G_MSQ_SM_PrepareWarfare_TalkToMorgaine,,,,,,,,,,,,99G_PrepareWarfare_Morgaine_TalkTo_01,,,,,,,,,,,,
99G_Morgaine_00c,Linear_Objective,true,@99G_Morgaine_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_07,Linear_Objective,false,@99G_Morgaine_Greet_PrepareWarfare_00,,,,,99G_MSQ_09,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_08,Linear_Objective,false,@99G_Morgaine_Greet_BidFarewell_00,,,,,99G_MSQ_11,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Morgaine_09,Linear_Objective,false,@99G_MSQ13_DesertVector_Morgaine_TalkTo_Start_Greet,,,,,99G_MSQ_12,99G_MSQ_SM_DesertVector,99G_MSQ_SM_DesertVector_TalkToMorgaine,,,,,,,,,,,,99G_DesertVector_Morgaine_TalkTo_01,,,,,,,,,,,,
99G_Russo_00,Linear_Objective,true,@99G_Russo_Greet_FreePrisoner_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_01,Linear_Objective,false,@99G_MSQ01_FreePrisoner_Russo_TalkToA_Start_Greet,,,,,99F_MSQ_12,99G_MSQ_SM_FreePrisoner,99G_MSQ_SM_FreePrisoner_TalkToRussoA,,,,,,,,,,,,99G_FreePrisoner_Russo_TalkTo_01,,,,,,,,,,,,
99G_Russo_02,Linear_Objective,false,@99G_Russo_Greet_FreePrisoner_00,,,,,99F_MSQ_12,99G_MSQ_SM_FreePrisoner,99G_MSQ_SM_FreePrisoner_Scene,,,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_03,Linear_Objective,false,@99G_MSQ01_FreePrisoner_Russo_TalkToB_Start_Greet,,,,,99F_MSQ_12,99G_MSQ_SM_FreePrisoner,99G_MSQ_SM_FreePrisoner_TalkToRussoB,,,,,,,,,,,,99G_FreePrisoner_Russo_TalkTo_02,,,,,,,,,,,,
99G_Russo_04,Linear_Objective,false,@99G_MSQ02_GatherRelics_Russo_Start_Greet,,,,,99G_MSQ_01,,,,99G_MSQ_SM_GatherRelics,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_05,Linear_Objective,false,@99G_MSQ03_AttackMentally_Russo_Start_Greet,,,,,99G_MSQ_02,,,,99G_MSQ_SM_AttackMentally,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_06,Linear_Objective,false,@99G_MSQ03_AttackMentally_Russo_TalkToA_Start_Greet,,,,,99G_MSQ_02,99G_MSQ_SM_AttackMentally,99G_MSQ_SM_AttackMentally_TalkToRusso,,,,,,,,,,,,99G_AttackMentally_Russo_TalkTo_01,,,,,,,,,,,,
99G_Russo_07,Linear_Objective,false,@99G_MSQ03_AttackMentally_Russo_TalkToB_Start_Greet,,,,,99G_MSQ_02,99G_MSQ_SM_AttackMentally,99G_MSQ_SM_AttackMentally_TalkToRusso1,,,,,,,,,,,,99G_AttackMentally_Russo_TalkTo_02,,,,,,,,,,,,
99G_Russo_00a,Linear_Objective,true,@99G_Russo_Greet_PlantBombs_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_08,Linear_Objective,false,@99G_Russo_Greet_PlantBombs_00,,,,,99G_MSQ_06,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_09,Linear_Objective,false,@99G_MSQ08_ExcavateArtifacts_Russo_Start_Greet,,,,,99G_MSQ_07,,,,99G_MSQ_SM_ExcavateArtifacts,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_10,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Russo_Start_Greet,,,,,99G_MSQ_08 && !99_MSQ_56,,,,99G_MSQ_SM_PrepareWarfare,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_10_alt,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Russo_Start_Greet,,,,,99G_MSQ_08 && 99_MSQ_56,,,,99G_MSQ_SM_PrepareWarfare_alt,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_11,Linear_Objective,false,@99G_MSQ10_AssaultStronghold_Russo_Start_Greet,,,,,99G_MSQ_09,,,,99G_MSQ_SM_AssaultStronghold,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_12,Linear_Objective,false,@99G_MSQ11_DestroyEnemy_Russo_Start_Greet,,,,,99G_MSQ_10,,,,99G_MSQ_SM_DestroyEnemy,,,,,,,,,,,,,,,,,,,,,,
99G_Russo_13,Linear_Objective,false,@99G_Russo_Greet_DestroyEnemy_00,,,,,99G_MSQ_10,99G_MSQ_SM_DestroyEnemy,99G_MSQ_SM_DestroyEnemy_EnterGameMode,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_00,Linear_Objective,true,@99G_Phaeris_Greet_HealAlly_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_01,Linear_Objective,false,@99G_MSQ04_HealAlly_Phaeris_TalkToA_Start_Greet,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_TalkToPhaeris1,,,,,,,,,,,,99G_HealAlly_Phaeris_TalkTo_01,,,,,,,,,,,,
99G_Phaeris_02,Linear_Objective,false,@99G_MSQ04_HealAlly_Phaeris_TalkToB_Start_Greet,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_TalkToPhaeris2,,,,,,,,,,,,99G_HealAlly_Phaeris_TalkTo_02,,,,,,,,,,,,
99G_Phaeris_03,Linear_Objective,false,@99G_MSQ04_HealAlly_Phaeris_TalkToC_Start_Greet,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_TalkToPhaeris3,,,,,,,,,,,,99G_HealAlly_Phaeris_TalkTo_03,,,,,,,,,,,,
99G_Phaeris_05,Linear_Objective,false,@99G_Phaeris_Greet_HealAlly_01,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_Plants_container,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_06,Linear_Objective,false,@99G_MSQ05_ReconnectHive_Phaeris_Start_Greet,,,,,99G_MSQ_04,,,,99G_MSQ_SM_ReconnectHive,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_07,Linear_Objective,false,@99G_MSQ05_ReconnectHive_Phaeris_TalkTo_Start_Greet,,,,,99G_MSQ_04,99G_MSQ_SM_ReconnectHive,99G_MSQ_SM_ReconnectHive_TalkToPhaeris,,,,,,,,,,,,99G_ReconnectHive_Phaeris_TalkTo_01,,,,,,,,,,,,
99G_Phaeris_00a,Linear_Objective,true,@99G_Phaeris_Greet_ReconnectHive_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_08,Linear_Objective,false,@99G_Phaeris_Greet_ReconnectHive_00,,,,,99G_MSQ_04,99G_MSQ_SM_ReconnectHive,99G_MSQ_SM_ReconnectHive_Fungus_container,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_08a,Linear_Objective,false,@99G_Phaeris_Greet_ReconnectHive_00,,,,,99G_MSQ_04,99G_MSQ_SM_ReconnectHive,99G_MSQ_SM_ReconnectHive_GoToOutpost,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_09,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Phaeris_TalkTo_Start_Greet,,,,,99G_MSQ_08 && !99_MSQ_56,99G_MSQ_SM_PrepareWarfare,99G_MSQ_SM_PrepareWarfare_TalkToPhaeris,,,,,,,,,,,,99G_PrepareWarfare_Phaeris_TalkTo_01,,,,,,,,,,,,
99G_Phaeris_09_alt,Linear_Objective,false,@99G_MSQ09_PrepareWarfare_Phaeris_TalkTo_Start_Greet,,,,,99G_MSQ_08 && 99_MSQ_56,99G_MSQ_SM_PrepareWarfare_alt,99G_MSQ_SM_PrepareWarfare_TalkToPhaeris,,,,,,,,,,,,99G_PrepareWarfare_Phaeris_TalkTo_01,,,,,,,,,,,,
99G_Phaeris_00b,Linear_Objective,true,@99G_Phaeris_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_10,Linear_Objective,false,@99G_Phaeris_Greet_PrepareWarfare_00,,,,,99G_MSQ_09,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Phaeris_11,Linear_Objective,false,@99G_Phaeris_Greet_BidFarewell_00,,,,,99G_MSQ_11,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Adiana_00,Linear_Objective,true,@99G_Adiana_Greet_HealAlly_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Adiana_01,Linear_Objective,false,@99G_MSQ04_HealAlly_Adiana_TalkTo_Start_Greet,,,,,99G_MSQ_03,99G_MSQ_SM_HealAlly,99G_MSQ_SM_HealAlly_TalkToAdiana,,,,,,,,,,,,99G_HealAlly_Adiana_TalkTo_01,,,,,,,,,,,,
99G_Adiana_02,Linear_Objective,false,@99G_Adiana_Greet_HealAlly_00,,,,,99G_MSQ_04,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Greenstalk_00,Linear_Objective,true,@99G_Greenstalk_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Blueshell_00,Linear_Objective,true,@99G_Blueshell_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Bonesplitter_00,Linear_Objective,true,@99G_Bonesplitter_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Faceless_00,Linear_Objective,true,@99G_Faceless_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Wu_00,Linear_Objective,true,@99G_Wu_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Mei_00,Linear_Objective,true,@99G_Mei_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Walker_00,Linear_Objective,true,@99G_Walker_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Wayne_00,Linear_Objective,true,@99G_Wayne_Greet_PrepareWarfare_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Tomash_00,Linear_Objective,true,@99G_Tomash_Greet_DesertVector_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Tomash_01,Linear_Objective,false,@99G_MSQ13_DesertVector_Tomash_TalkTo_Start_Greet,,,,,99G_MSQ_12,99G_MSQ_SM_DesertVector,99G_MSQ_SM_DesertVector_TalkToTomash,,,,,,,,,,,,99G_DesertVector_Tomash_TalkTo_01,,,,,,,,,,,,
99G_Buhawi_00,Linear_Objective,true,@99G_Buhawi_Greet_DesertVector_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Buhawi_01,Linear_Objective,false,@99G_MSQ13_DesertVector_Buhawi_TalkToA_Start_Greet,,,,,99G_MSQ_12,99G_MSQ_SM_DesertVector,99G_MSQ_SM_DesertVector_TalkToBuhawi,,,,,,,,,,,,99G_DesertVector_Buhawi_TalkTo_01,,,,,,,,,,,,
99G_Buhawi_02,Linear_Objective,true,@99G_Buhawi_Greet_DesertVector_01a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99G_Buhawi_03,Linear_Objective,false,@99G_MSQ13_DesertVector_Buhawi_TalkToB_Start_Greet,,,,,99G_MSQ_12,99G_MSQ_SM_DesertVector,99G_MSQ_SM_DesertVector_TalkToBuhawiCamp,,,,,,,,,,,,99G_DesertVector_Buhawi_TalkTo_02,,,,,,,,,,,,
