ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredFactionCooldown,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
9803_Morellus_5,Linear_Objective,false,@9803_Morellus_5_a,,Covenant,,,,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9803_Morellus_Maxed,Linear_Objective,false,@9803_Morellus_Maxed_a,,Covenant,,,60,FactionIntro_Covenant_03,,,,,,,,,,,,,,,,,,,,,,,,,
9804_Feldan_Default,Linear_Objective,true,@9804_Feldan_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9804_Feldan_1,Linear_Objective,false,@9804_Feldan_Default_a,,,,,,,FactionIntro_Covenant_01,FactionIntro_Covenant_01_Task1,,,,,,,,,,,FactionIntro_Covenant_01_Topic_Feldan,,,,,,,,,,,,
9804_Feldan_2,Linear_Objective,false,@9804_Feldan_2,,,,,,,FactionIntro_Covenant_01,FactionIntro_Covenant_01_Container2,,,,,,,,,,,,,,,,,,,,,,,
9804_Feldan_3,Linear_Objective,false,@9804_Feldan_3_a,,,,,,,FactionIntro_Covenant_01,FactionIntro_Covenant_01_Task5,,,,,,,,,,,FactionIntro_Covenant_01_Topic_Feldan3,,,,,,,,,,,,
9805_Tibbs_00_Default,Linear_Objective,true,@9805_Tibbs_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_00_01,Linear_Objective,false,@9805_Tibbs_00_01_a,,!Marauder,,,17,,,,FactionIntro_Marauders_01,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_01_Default,Linear_Objective,true,@9805_Tibbs_01_TalkTo_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_01_TalkTo,Linear_Objective,false,@9805_Tibbs_01_TalkTo_a,,,,,,,FactionIntro_Marauders_01,FactionIntro_Marauders_01_TalkToTibbs,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_Default,Linear_Objective,true,@9805_Tibbs_02_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_01,Linear_Objective,false,@9805_Tibbs_02_01_a,,,,,,FactionIntro_Marauders_01,,,FactionIntro_Marauders_02,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_VectorQuest,Linear_Objective,false,@9805_Tibbs_02_VectorQuest_a,,,,,,FactionIntro_Marauders_02,,,FactionIntro_Marauders_Vector,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_Default2,Linear_Objective,false,@9805_Tibbs_02_Default_a,,,,,,,FactionIntro_Marauders_Vector,FactionIntro_Marauders_Vector_Container,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_02,Linear_Objective,false,@9805_Tibbs_02_02_A,,,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_02_03,Linear_Objective,false,@9805_Tibbs_02_03,,Marauder,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9805_Tibbs_Maxed,Linear_Objective,false,@9805_Tibbs_Maxed_a,,Marauder,,,60,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_Default,Linear_Objective,true,@9806_Stroudahia_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_TalkTo,Linear_Objective,false,@9806_Stroudahia_00_TalkTo_a,,,,,,,FactionIntro_Marauders_01,FactionIntro_Marauders_01_TalkToStroudahia,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_01,Linear_Objective,false,@9806_Stroudahia_00_01_a,,,,,,FactionIntro_Marauders_Vector,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_02,Linear_Objective,false,@9806_Stroudahia_00_02_a,,,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_Recruitment,Linear_Objective,false,@9806_Stroudahia_00_Recruitment,,,,,,FactionIntro_Marauders_03,,,FactionIntro_Marauders_Recruitment,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_00_03,Linear_Objective,false,@9806_Stroudahia_00_03_a,,Marauder,,,,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_Maxed,Linear_Objective,false,@9806_Stroudahia_Maxed_a,,Marauder,,,60,FactionIntro_Marauders_03,,,,,,,,,,,,,,,,,,,,,,,,,
9806_Stroudahia_01_Default,Linear_Objective,true,@9806_Stroudahia_01_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_00_Default,Linear_Objective,true,@9807_Aventus_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_00_01,Linear_Objective,false,@9807_Aventus_00_01_a,,!Syndicate,,,17,,,,FactionIntro_Syndicate_01,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_TalkTo,Linear_Objective,true,@9807_Aventus_01_TalkTo_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_01,Linear_Objective,false,@9807_Aventus_01_01_a,,,,,,FactionIntro_Syndicate_01,,,FactionIntro_Syndicate_02,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_VectorQuest,Linear_Objective,false,@9807_Aventus_01_VectorQuest,,,,,,FactionIntro_Syndicate_02,,,FactionIntro_Syndicate_Vector,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_02,Linear_Objective,false,@9807_Aventus_01_02,,,,,,,FactionIntro_Syndicate_Vector,FactionIntro_Syndicate_02_Container,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_03,Linear_Objective,false,@9807_Aventus_01_03_a,,,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_01_04,Linear_Objective,false,@9807_Aventus_01_04,,Syndicate,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9807_Aventus_Maxed,Linear_Objective,false,@9807_Aventus_Maxed_a,,Syndicate,,,60,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_Default,Linear_Objective,true,@9808_Cleo_00_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_TalkTo,Linear_Objective,false,@9808_Cleo_00_TalkTo_a,,,,,,,FactionIntro_Syndicate_01,FactionIntro_Syndicate_01_TalkToCleo,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_02,Linear_Objective,false,@9808_Cleo_00_02_a,,,,,,FactionIntro_Syndicate_Vector,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_03,Linear_Objective,false,@9808_Cleo_00_03_a,,,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_Recruitment,Linear_Objective,false,@9808_Cleo_00_Recruitment_a,,,,,,FactionIntro_Syndicate_03,,,FactionIntro_Syndicate_Recruitment,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_04,Linear_Objective,false,@9808_Cleo_00_04_a,,Syndicate,,,,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_Maxed,Linear_Objective,false,@9808_Cleo_Maxed_a,,Syndicate,,,60,FactionIntro_Syndicate_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_01_Default,Linear_Objective,true,@9808_Cleo_01_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9809_CovenantGuard_Default,Linear_Objective,true,@9809_CovenantGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9810_Alejandro_Default,Linear_Objective,true,@9810_Alejandro_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9810_Alejandro_01,Linear_Objective,false,@9810_Alejandro_01,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811_Gregario_Default,Linear_Objective,true,@9811_Gregario_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811_Gregario_01,Linear_Objective,false,@9811_Gregario_01,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9812_Peta_Default,Linear_Objective,true,@9812_Peta_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9812_Peta_01,Linear_Objective,false,@9812_Peta_01,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813_Damiano_Default,Linear_Objective,true,@9813_Damiano_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9813_Damiano_01,Linear_Objective,false,@9813_Damiano_01,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_Default,Linear_Objective,true,@9814_RepBeyza_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_01,Linear_Objective,false,@9814_RepBeyza_01_a,,,,,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_Recruitment_JoinFaction,,,,,,,,,,,Covenant_DeclineRecruitment,,,,,,,,,,Faction_Selection,PvP_Guide,
9814_RepBeyza_CooldownMultiple,Linear_Objective,false,@9814_RepBeyza_CooldownMultiple,,,InCooldownMultipleDays,,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_Recruitment_JoinFaction,,,,,,,,,,,Covenant_DeclineRecruitment,,,,,,,,,,,,
9814_RepBeyza_CooldownSingle,Linear_Objective,false,@9814_RepBeyza_CooldownSingle,,,InCooldownSingleDay,,,,FactionIntro_Covenant_Recruitment,FactionIntro_Covenant_Recruitment_JoinFaction,,,,,,,,,,,Covenant_DeclineRecruitment,,,,,,,,,,,,
9814_RepBeyza_01_b,Linear_Objective,false,@9814_RepBeyza_01_a,,,,,,FactionIntro_Covenant_Recruitment,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,PvP_Guide,
9814_RepBeyza_CooldownMultiple_b,Linear_Objective,false,@9814_RepBeyza_CooldownMultiple,,,InCooldownMultipleDays,,,FactionIntro_Covenant_Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_CooldownSingle_b,Linear_Objective,false,@9814_RepBeyza_CooldownSingle,,,InCooldownSingleDay,,,FactionIntro_Covenant_Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
9814_RepBeyza_02,Linear_Objective,false,@9814_RepBeyza_02_a,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
9814_RepBeyza_03,Linear_Objective,false,@9814_RepBeyza_03,,Covenant,,,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
9815_MarauderGuard_Default,Linear_Objective,true,@9815_MarauderGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9816_Pavel_Default,Linear_Objective,true,@9816_Pavel_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9816_Pavel_01,Linear_Objective,false,@9816_Pavel_01,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9817_Mersha_Default,Linear_Objective,true,@9817_Mersha_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9817_Mersha_01,Linear_Objective,false,@9817_Mersha_01,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9818_Doc_Default,Linear_Objective,true,@9818_Doc_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9818_Doc_01,Linear_Objective,false,@9818_Doc_01_a,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819_Hedge_Default,Linear_Objective,true,@9819_Hedge_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819_Hedge_01,Linear_Objective,false,@9819_Hedge_01,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819_Hedge_02,Linear_Objective,false,@9819_Hedge_02,,Marauder,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_Default,Linear_Objective,true,@9820_RepSmiggs_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_01,Linear_Objective,false,@9820_RepSmiggs_01_a,,,,,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_Recruitment_JoinFaction,,,,,,,,,,,Marauders_DeclineRecruitment,,,,,,,,,,Faction_Selection,PvP_Guide,
9820_RepSmiggs_CooldownMultiple,Linear_Objective,false,@9820_RepSmiggs_CooldownMultiple,,,InCooldownMultipleDays,,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_Recruitment_JoinFaction,,,,,,,,,,,Marauders_DeclineRecruitment,,,,,,,,,,,,
9820_RepSmiggs_CooldownSingle,Linear_Objective,false,@9820_RepSmiggs_CooldownSingle,,,InCooldownSingleDay,,,,FactionIntro_Marauders_Recruitment,FactionIntro_Marauders_Recruitment_JoinFaction,,,,,,,,,,,Marauders_DeclineRecruitment,,,,,,,,,,,,
9820_RepSmiggs_01_b,Linear_Objective,false,@9820_RepSmiggs_01_a,,,,,,FactionIntro_Marauders_Recruitment,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,PvP_Guide,
9820_RepSmiggs_CooldownMultiple_b,Linear_Objective,false,@9820_RepSmiggs_CooldownMultiple,,,InCooldownMultipleDays,,,FactionIntro_Marauders_Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_CooldownSingle_b,Linear_Objective,false,@9820_RepSmiggs_CooldownSingle,,,InCooldownSingleDay,,,FactionIntro_Marauders_Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
9820_RepSmiggs_02,Linear_Objective,false,@9820_RepSmiggs_02_a,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
9820_RepSmiggs_03,Linear_Objective,false,@9820_RepSmiggs_03,,Marauder,,,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
9821_SyndicateGuard_Default,Linear_Objective,true,@9821_SyndicateGuard_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822_Abayomi_Default,Linear_Objective,true,@9822_Abayomi_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822_Abayomi_01,Linear_Objective,false,@9822_Abayomi_01,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823_Amelia_Default,Linear_Objective,true,@9823_Amelia_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823_Amelia_01,Linear_Objective,false,@9823_Amelia_01,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824_Kuro_Default,Linear_Objective,true,@9824_Kuro_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9824_Kuro_01,Linear_Objective,false,@9824_Kuro_01,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825_Pop_Default,Linear_Objective,true,@9825_Pop_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825_Pop_01,Linear_Objective,false,@9825_Pop_01,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_Default,Linear_Objective,true,@9826_RepAstrid_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_01,Linear_Objective,false,@9826_RepAstrid_01_a,,,,,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_Recruitment_JoinFaction,,,,,,,,,,,Syndicate_DeclineRecruitment,,,,,,,,,,Faction_Selection,PvP_Guide,
9826_RepAstrid_CooldownMultiple,Linear_Objective,false,@9826_RepAstrid_CooldownMultiple,,,InCooldownMultipleDays,,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_Recruitment_JoinFaction,,,,,,,,,,,Syndicate_DeclineRecruitment,,,,,,,,,,,,
9826_RepAstrid_CooldownSingle,Linear_Objective,false,@9826_RepAstrid_CooldownSingle,,,InCooldownSingleDay,,,,FactionIntro_Syndicate_Recruitment,FactionIntro_Syndicate_Recruitment_JoinFaction,,,,,,,,,,,Syndicate_DeclineRecruitment,,,,,,,,,,,,
9826_RepAstrid_01_b,Linear_Objective,false,@9826_RepAstrid_01_a,,,,,,FactionIntro_Syndicate_Recruitment,,,,,,,,,,,,,,,,,,,,,,,Faction_Selection,PvP_Guide,
9826_RepAstrid_CooldownMultiple_b,Linear_Objective,false,@9826_RepAstrid_CooldownMultiple,,,InCooldownMultipleDays,,,FactionIntro_Syndicate_Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_CooldownSingle_b,Linear_Objective,false,@9826_RepAstrid_CooldownSingle,,,InCooldownSingleDay,,,FactionIntro_Syndicate_Recruitment,,,,,,,,,,,,,,,,,,,,,,,,,
9826_RepAstrid_02,Linear_Objective,false,@9826_RepAstrid_02_a,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,,
9826_RepAstrid_03,Linear_Objective,false,@9826_RepAstrid_03,,Syndicate,,,60,,,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
0208_00_Alchemist,Linear_Objective,true,@0208_00_Alchemist_DefaultDialogue_V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_01pre_Alchemist,Linear_Objective,false,@0208_01pre_Alchemist_DefaultDialogue_V2,,Syndicate,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_01_Alchemist,Linear_Objective,false,@0208_01_Alchemist_DefaultDialogue_V2,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_02_Alchemist,Linear_Objective,false,@0208_02_Alchemist_DefaultDialogue_V2,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_03_Alchemist,Linear_Objective,false,@0208_03_Alchemist_DefaultDialogue_V2,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_04pre_Alchemist,Linear_Objective,false,@0208_04pre_Alchemist_DefaultDialogue_V2_a,,Syndicate,,Syndicate 0 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
0208_04_Alchemist,Linear_Objective,false,@0208_04_Alchemist_DefaultDialogue_V2_a,,Syndicate,,Syndicate 0 3000,19,,,,98_S_01_theexperiment,,,,,,,,,,,,,,,,,,,,,,
0208_05pre_Alchemist,Linear_Objective,false,@0208_05pre_Alchemist_DefaultDialogue_V2_a,,Syndicate,,,,syndicate_faction_quest_01,,,,,,,,,,,,,,,,,,,,,,,,,
0208_05_Alchemist,Linear_Objective,false,@0208_05_Alchemist_DefaultDialogue_V2,,Syndicate,,,24,syndicate_faction_quest_01,,,,,,,,,,,,,,,,,,,,,,,,,
0208_06pre_Alchemist,Linear_Objective,false,@0208_06pre_Alchemist_DefaultDialogue_V2_a,,Syndicate,,Syndicate 1 11000,,syndicate_faction_quest_01,,,98_S_01b_fenscholar,,,,,,,,,,,,,,,,,,,,,,
0208_06_Alchemist,Linear_Objective,false,@0208_06_Alchemist_DefaultDialogue_V2,,Syndicate,,Syndicate 1 11000,,syndicate_faction_quest_01,,,98_S_01b_fenscholar,,,,,,,,,,,,,,,,,,,,,,
0208_07pre_Alchemist,Linear_Objective,false,@0208_07pre_Alchemist_DefaultDialogue_V2_a,,Syndicate,,,,syndicate_faction_quest_01b,,,,,,,,,,,,,,,,,,,,,,,,,
0208_07_Alchemist,Linear_Objective,false,@0208_07_Alchemist_DefaultDialogue_V2,,Syndicate,,,,syndicate_faction_quest_01b,,,,,,,,,,,,,,,,,,,,,,,,,
0208_08pre_Alchemist,Linear_Objective,false,@0208_08pre_Alchemist_DefaultDialogue_V2_a,,Syndicate,,Syndicate 2 26000,,syndicate_faction_quest_01b,,,98_S_02_necromanticchemistry,,,,,,,,,,,,,,,,,,,,,,
0208_08_Alchemist,Linear_Objective,false,@0208_08_Alchemist_DefaultDialogue_V2,,Syndicate,,Syndicate 2 26000,43,syndicate_faction_quest_01b,,,98_S_02_necromanticchemistry,,,,,,,,,,,,,,,,,,,,,,
0208_09pre_Alchemist,Linear_Objective,false,@0208_09pre_Alchemist_DefaultDialogue_V2_a,,Syndicate,,,,syndicate_faction_quest_02,,,,,,,,,,,,,,,,,,,,,,,,,
0208_09_Alchemist,Linear_Objective,false,@0208_09_Alchemist_DefaultDialogue_V2,,Syndicate,,,43,syndicate_faction_quest_02,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_05pre_FactionQuest4,Linear_Objective,false,@9808_Cleo_00_05pre_FactionQuest4_a,,Syndicate,,Syndicate 3 49000,,syndicate_faction_quest_02,,,98_S_03_lostnotlost,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_05_FactionQuest4,Linear_Objective,false,@9808_Cleo_00_05_FactionQuest4_a,,Syndicate,,Syndicate 3 49000,56,syndicate_faction_quest_02,,,98_S_03_lostnotlost,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_06pre_FactionQuest4,Linear_Objective,false,@9808_Cleo_00_06pre_FactionQuest4_a,,Syndicate,,,,syndicate_faction_quest_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_06_FactionQuest4,Linear_Objective,false,@9808_Cleo_00_06_FactionQuest4_a,,Syndicate,,,56,syndicate_faction_quest_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_07pre_FactionQuest5,Linear_Objective,false,@9808_Cleo_00_07pre_FactionQuest5_a,,Syndicate,,Syndicate 4 83000,,syndicate_faction_quest_03,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_07_FactionQuest5,Linear_Objective,false,@9808_Cleo_00_07_FactionQuest5_a,,Syndicate,,Syndicate 4 83000,63,syndicate_faction_quest_03 && Expansion_2023_Unlock,,,98_S_04_ciphercryptic,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_08pre_FactionQuest5,Linear_Objective,false,@9808_Cleo_00_08pre_FactionQuest5_a,,Syndicate,,,,syndicate_faction_quest_04,,,,,,,,,,,,,,,,,,,,,,,,,
9808_Cleo_00_08_FactionQuest5,Linear_Objective,false,@9808_Cleo_00_08_FactionQuest5_a,,Syndicate,,,63,syndicate_faction_quest_04,,,,,,,,,,,,,,,,,,,,,,,,,
1007_00_Commander,Linear_Objective,true,@1007_00_Commander_DefaultDialogue_V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007_01pre_Commander,Linear_Objective,false,@1007_01pre_Commander_DefaultDialogue_V2,,Marauder,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
1007_01_Commander,Linear_Objective,false,@1007_01_Commander_DefaultDialogue_V2,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007_02_Commander,Linear_Objective,false,@1007_02_Commander_DefaultDialogue_V2,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007_03_Commander,Linear_Objective,false,@1007_03_Commander_DefaultDialogue_V2,,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007_04pre_Commander,Linear_Objective,false,@1007_04pre_Commander_DefaultDialogue_V3_a,,Marauder,,Marauder 0 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007_04_Commander,Linear_Objective,false,@1007_04_Commander_DefaultDialogue_V3_a,,Marauder,,Marauder 0 3000,19,,,,98_M_01_combatprowess,,,,,,,,,,,,,,,,,,,,,,
