ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99E_Sun_p10_00,Linear_Objective,true,@99E_Sun_p10_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p10_01,Linear_Objective,false,@99E_Sun_p10_01_a,,,,,99E_MSQ_03,,,Bestowal of EG MSQ04,99E_MSQ_04_MotherwellClues,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p11_00,Linear_Objective,true,@99E_Sun_p11_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p11_01,Linear_Objective,false,@99E_MSQ_04_MotherwellClues_sun_06_StartTalkTo_a,,,,,,99E_MSQ_04_MotherwellClues,99E_MSQ_04_d_01_02_04_TalkTo_Sun_06,,,,,,,,,,,,Topic_99E_Sun_p11_01,,,,,,,,,,,,
99E_Sun_p12_01,Linear_Objective,false,@99E_Sun_p12_01,,,,,99E_MSQ_03,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p13_01,Linear_Objective,false,@99E_Sun_p13_01,,,,,99E_MSQ_03,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p6v2_00,Linear_Objective,true,@99E_Sun_p6v2_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p6v2_01,Linear_Objective,false,@99E_MSQ_04_MotherwellClues_sun_07_StartTalkTo_a,,,,,,99E_MSQ_04_MotherwellClues,99E_MSQ_04_d_05_02_TalkTo_Sun_07,,,,,,,,,,,,Topic_99E_Sun_p6v2_01,,,,,,,,,,,,
99E_Sun_p6v2_02,Linear_Objective,false,@99E_Sun_p6v2_02_a,,,,,99E_MSQ_06,,,Bestowal of EG MSQ07,99E_MSQ_07_RetrieveHeadpiece,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p14_01,Linear_Objective,false,@99E_Sun_p14_01_a,,,,,99E_MSQ_07,,,Bestowal of EG MSQ08,99E_MSQ_08_AdianaPermission,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p15_00,Linear_Objective,true,@99E_Sun_p15_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p15_01,Linear_Objective,false,@99E_MSQ_08_AdianaPermission_sun_08_StartTalkTo_a,,,,,,99E_MSQ_08_AdianaPermission,99E_MSQ_08_d_03_04_TalkTo_Sun_08,,,,,,,,,,,,Topic_99E_Sun_p15_01,,,,,,,,,,,,
99E_Sun_p15_02,Linear_Objective,false,@99E_Sun_p15_02_a,,,,,99E_MSQ_08 && !99_MSQ_45,,,Bestowal of EG MSQ09,99E_MSQ_09_TheMotherwell,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p15_03,Linear_Objective,false,@99E_Sun_p15_02_a,,,,,99E_MSQ_08 && 99_MSQ_45,,,Bestowal of EG MSQ09 (ALT),99E_MSQ_09_TheMotherwell_alt,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p6v3_00,Linear_Objective,true,@99E_Sun_p6v3_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p16_01,Linear_Objective,false,@99E_Sun_p16_01,,,,,SwapActive_MSQ_Sun_EG_p16,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Sun_p17_01,Linear_Objective,false,@99E_Sun_p17_01,,,,,SwapActive_MSQ_Sun_EG_p17,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p1_00,Linear_Objective,true,@99E_Morgaine_p1_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p1_01,Linear_Objective,false,@99E_MSQ_01_EnterEdengrove_morgaine_01_StartTalkTo_a,,,,,,99E_MSQ_01_EnterEdengrove,99E_MSQ_01_d_02_02_TalkTo_Morgaine_01,,,,,,,,,,,,Topic_99E_Morgaine_p1_01,,,,,,,,,,,,
99E_Morgaine_p1_02,Linear_Objective,false,@99E_MSQ_01_EnterEdengrove_morgaine_02_StartTalkTo_a,,,,,,99E_MSQ_01_EnterEdengrove,99E_MSQ_01_d_03_01_01_TalkTo_Morgaine_02,,,,,,,,,,,,Topic_99E_Morgaine_p1_02,,,,,,,,,,,,
99E_Morgaine_p2v1_00,Linear_Objective,true,@99E_Morgaine_p2v1_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p2v1_01,Linear_Objective,false,@99E_Morgaine_p2v1_00,,,,,99E_MSQ_01,,,Bestowal of EG MSQ02,99E_MSQ_02_MyrddinClues,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p3_01,Linear_Objective,false,@99E_MSQ_02_MyrddinClues_morgaine_03_StartTalkTo_a,,,,,,99E_MSQ_02_MyrddinClues,99E_MSQ_02_d_01_04_02_TalkTo_Morgaine_03,,,,,,,,,,,,Topic_99E_Morgaine_p3_01,,,,,,,,,,,,
99E_Morgaine_p4_00,Linear_Objective,true,@99E_MSQ_02_MyrddinClues_morgaine_armillary_greet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p4_01,Linear_Objective,false,@99E_MSQ_02_MyrddinClues_morgaine_04_StartTalkTo_a,,,,,,99E_MSQ_02_MyrddinClues,99E_MSQ_02_d_03_03_01_TalkTo_Morgaine_04,,,,,,,,,,,,Topic_99E_Morgaine_p4_01,,,,,,,,,,,,
99E_Morgaine_p5_01,Linear_Objective,false,@99E_MSQ_02_MyrddinClues_morgaine_05_StartTalkTo_a,,,,,,99E_MSQ_02_MyrddinClues,99E_MSQ_02_d_03_04_03_TalkTo_Morgaine_05,,,,,,,,,,,,Topic_99E_Morgaine_p5_01,,,,,,,,,,,,
99E_Morgaine_p6_00,Linear_Objective,true,@99E_Morgaine_p6_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p6_01,Linear_Objective,false,@99E_Morgaine_p6_01_a,,,,,99E_MSQ_02,,,Bestowal of EG MSQ03,99E_MSQ_03_CollectSamples,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p7_00,Linear_Objective,true,@99E_Morgaine_p7_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p7_01,Linear_Objective,false,@99E_Morgaine_p7_01_a,,,,,99E_MSQ_04,,,Bestowal of EG MSQ05,99E_MSQ_05_UnlockPrison,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p8_00,Linear_Objective,true,@99E_Morgaine_p8_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p8_01,Linear_Objective,false,@99E_MSQ_05_UnlockPrison_morgaine_06_StartTalkTo_a,,,,,,99E_MSQ_05_UnlockPrison,99E_MSQ_05_d_01_05_01_TalkTo_Morgaine_06,,,,,,,,,,,,Topic_99E_Morgaine_p8_01,,,,,,,,,,,,
99E_Morgaine_p8_02,Linear_Objective,false,@99E_Morgaine_p8_02_a,,,,,,99E_MSQ_05_UnlockPrison,99E_MSQ_05_d_02_container_prisonB_start,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p9_01,Linear_Objective,false,@99E_Morgaine_p9_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p10_00,Linear_Objective,true,@99E_Morgaine_p10_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p10_01,Linear_Objective,false,@99E_MSQ_06_MyrddinsPrison_morgaine_07_StartTalkTo_a,,,,,,99E_MSQ_06_MyrddinsPrison,99E_MSQ_06_d_02_01_TalkTo_Morgaine_07,,,,,,,,,,,,Topic_99E_Morgaine_p10_01,,,,,,,,,,,,
99E_Morgaine_p10_02,Linear_Objective,false,@99E_MSQ_06_MyrddinsPrison_morgaine_08_StartTalkTo_a,,,,,,99E_MSQ_06_MyrddinsPrison,99E_MSQ_06_d_02_03_05_TalkTo_Morgaine_08,,,,,,,,,,,,Topic_99E_Morgaine_p10_02,,,,,,,,,,,,
99E_Morgaine_p10_03,Linear_Objective,false,@99E_Morgaine_p10_03,,,,,,99E_MSQ_06_MyrddinsPrison,99E_MSQ_06_d_02_04_container_prisonExit,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p2v2_00,Linear_Objective,true,@99E_Morgaine_p2v2_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p2v2_01,Linear_Objective,false,@99E_Morgaine_p2v2_01_a,,,,,99E_MSQ_09,,,Bestowal of EG MSQ10,99E_MSQ_10_ToCaerDun,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p11_01,Linear_Objective,false,@99E_Morgaine_p11_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Morgaine_p12_01,Linear_Objective,false,@99E_Morgaine_p12_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p1_00,Linear_Objective,true,@99E_Galahad_p1_00_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p1_01,Linear_Objective,false,@99E_MSQ_05_UnlockPrison_galahad_01_StartTalkTo_a,,,,,,99E_MSQ_05_UnlockPrison,99E_MSQ_05_d_01_01_TalkTo_Galahad_01,In Settlement,,,,,,,,,,,Topic_99E_Galahad_p1_01,,,,,,,,,,,,
99E_Galahad_p1_02,Linear_Objective,false,@99E_Galahad_p1_02_a,,,,,,99E_MSQ_05_UnlockPrison,99E_MSQ_05_d_01_02_GoToPOI_5a,"InSettlement,afterTalkTo",,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p2_00,Linear_Objective,true,@99E_Galahad_p2_00,,,,,,,,"InUmbrage,start",,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p2_01,Linear_Objective,false,@99E_Galahad_p2_01_a,,,,,,99E_MSQ_05_UnlockPrison,99E_MSQ_05_d_02_container_prisonB_start,"InUmbrage,afterIO",,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p3_01,Linear_Objective,false,@99E_MSQ_05_UnlockPrison_galahad_02_StartTalkTo_a,,,,,,99E_MSQ_05_UnlockPrison,99E_MSQ_05_d_02_04_01_TalkTo_Galahad_02,"InNettlevex,beforeshield",,,,,,,,,,,Topic_99E_Galahad_p3_01,,,,,,,,,,,,
99E_Galahad_p3_02,Linear_Objective,false,@99E_Galahad_p3_02_a,,,,,99E_MSQ_05,,,Bestowal of EG MSQ 06,99E_MSQ_06_MyrddinsPrison,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p4_00,Linear_Objective,true,@99E_Galahad_p4_00_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Galahad_p4a_01,Linear_Objective,false,@99E_MSQ_06_MyrddinsPrison_galahad_04a_StartTalkTo_a,,,,,,99E_MSQ_06_MyrddinsPrison,99E_MSQ_06_d_02_03_03_TalkTo_Galahad,"TalkTo,postPrisonIGC",,,,,,,,,,,Topic_99E_Galahad_p4a_01,,,,,,,,,,,,
99E_Myrddin_00,Linear_Objective,true,@99E_Myrddin_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Myrddin_01,Linear_Objective,false,@99E_MSQ_06_MyrddinsPrison_myrddin_01_StartTalkTo_a,,,,,,99E_MSQ_06_MyrddinsPrison,99E_MSQ_06_d_02_03_01_TalkTo_Myrddin_01,,,,,,,,,,,,Topic_99E_Myrddin_01,,,,,,,,,,,,
99E_Adiana_00,Linear_Objective,true,@99E_Adiana_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Adiana_01,Linear_Objective,false,@99E_MSQ_08_AdianaPermission_adiana_01_StartTalkTo_a,,,,,,99E_MSQ_08_AdianaPermission,99E_MSQ_08_d_04_01_TalkTo_Adiana_01,,,,,,,,,,,,Topic_99E_Adiana_01,,,,,,,,,,,,
99E_Yash_p1_00,Linear_Objective,true,@99E_Yash_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99E_Yash_p1_01,Linear_Objective,false,@99E_MSQ_10_ToCaerDun_yash_01_StartTalkTo_a,,,,,,99E_MSQ_10_ToCaerDun,99E_MSQ_10_d_02_04_TalkTo_Yash_01,,,,,,,,,,,,Topic_99E_Yash_p1_01,,,,,,,,,,,,
99E_Yash_p2_01,Linear_Objective,false,@99E_MSQ_10_ToCaerDun_yash_02_StartTalkTo,,,,,,99E_MSQ_10_ToCaerDun,99E_MSQ_10_d_03_05_TalkTo_Yash_02,,,,,,,,,,,,Topic_99E_Yash_p2_01,,,,,,,,,,,,
99E_Yash_p2_02,Linear_Objective,false,@99E_Yash_p2_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
