ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredLevel,RequiredProgression,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comments,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
1612_04_Clermont,Linear_Objective,false,@NPC_Default_Dialogue_1612_04_Clermont,,,,,16_Quest_04,,,,,,,,,,,,,,,,,,,,,,,,,,
1613_00_Alaina,Linear_Objective,true,@NPC_Default_Dialogue_1613_00_Alaina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613_01_Alaina,Linear_Objective,false,@NPC_Default_Dialogue_1613_01_Alaina,,,,,16_Quest_11,,,,1613_0101_assaultlegion,,,,,,,,,,,,,,,,,,,,,,
1613_02_Alaina,Linear_Objective,false,@NPC_Default_Dialogue_1613_02_Alaina,,,,,16_Quest_12,,,,1613_0201_hydrasbreath,,,,,,,,,,,,,,,,,,,,,,
1613_03_Alaina,Linear_Objective,false,@NPC_Default_Dialogue_1613_03_Alaina,,,,,16_Quest_13,,,,1613_0301_blazeofglory,,,,,,,,,,,,,,,,,,,,,,
1613_04_Alaina,Linear_Objective,false,@NPC_Default_Dialogue_1613_04_Alaina,,,,,16_Quest_14 && 16_Quest_10,,,,1613_0401_lastcenturion,,,,,,,,,,,,,,,,,,,,,,
1613_05_Alaina,Linear_Objective,false,@NPC_Default_Dialogue_1613_05_Alaina,,,,,16_Quest_16,,,,,,,,,,,,,,,,,,,,,,,,,,
1614_00_Guard,Linear_Objective,true,@NPC_Default_Dialogue_1614_00_Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615_00_Nicabar,Linear_Objective,true,@NPC_Default_Dialogue_1615_00_Nicabar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616_00_Niobe,Linear_Objective,true,@NPC_Default_Dialogue_1616_00_Speculatores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617_00_Publius,Linear_Objective,true,@NPC_Default_Dialogue_1617_00_Publius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618_00_Caeso,Linear_Objective,true,@NPC_Default_Dialogue_1618_00_Caeso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622_00_Innkeep,Linear_Objective,true,@NPC_Default_Dialogue_1622_00_Innkeep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
1622_01_Innkeep,Linear_Objective,false,@NPC_Default_Dialogue_1622_01_Innkeep,,,,,16_Side_29,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
1623_00_Fisher,Linear_Objective,false,@NPC_Default_Dialogue_1623_00_Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v1p1,Linear_Objective,true,@1625_0201_ablossomingthreat_TalkTo_Imhotep,,,,,,,,Default - Jupiter's Grove,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v1p1,Linear_Objective,false,@1625_0201_ablossomingthreat_TalkTo_Imhotep,,,,,,1625_0201_ablossomingthreat,1625_0201_d_02_TalkTo_1624_Imhotep_v1p1,TalkTo - In Cage,,,,,,,,,,,Topic_1625_0201_ImhotepTalkTo_A,,,,,,,,,,,,
1624_00_Imhotep_v1p2,Linear_Objective,true,@1625_0201_ablossomingthreat_TalkTo_Imhotep2,,,,,,,,Default - Jupiter's Grove 2,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v1p2,Linear_Objective,false,@1625_0201_ablossomingthreat_TalkTo_Imhotep2,,,,,,1625_0201_ablossomingthreat,1625_0201_d_04_03_TalkTo_1624_Imhotep_v1p2,TalkTo - On ground near cage,,,,,,,,,,,Topic_1625_0201_ImhotepTalkTo_B,,,,,,,,,,,,
1624_00_Imhotep_v1p3,Linear_Objective,true,@NPC_Default_Dialogue_1624_00_Imhotep_v1p3,,,,,,,,Default - New Corsica,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v1p3,Linear_Objective,false,@NPC_Default_Dialogue_1624_00_Imhotep_v1p3,,,,,16_BSMSQ_06,,,,1624_0301_wateringtheseed,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v1p4,Linear_Objective,true,@NPC_Default_Dialogue_1624_00_Imhotep_v1p4,,,,,,,,Default - Thoth,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v1p4,Linear_Objective,false,@NPC_Default_Dialogue_1624_00_Imhotep_v1p4,,,,,16_BSMSQ_07,,,,1624_0302_unravelingthemystery,,,,,,,,,,,,,,,,,,,,,,
1624_02_Imhotep_v1p4,Linear_Objective,false,@1624_0302_unravelingthemystery_TalkTo_Imhotep,,,,,,1624_0302_unravelingthemystery,1624_0302_d_02_TalkTo_1624_Imhotep_v1p4,"TalkTo-pre-ritual,UnravelingtheMystery",,,,,,,,,,,Topic_1624_0302_ImhotepTalkTo_A,,,,,,,,,,,,
1624_00_Imhotep_v2p1,Linear_Objective,true,@NPC_Default_Dialogue_1624_00_Imhotep_v2p1,,,,,,,,Default - Thoth (Pharaoh) - post-ritual,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v2p1,Linear_Objective,false,@NPC_Default_Dialogue_1624_00_Imhotep_v2p1,,,,,16_BSMSQ_08,,,,1624_0303_accursedalchemy,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v2p2,Linear_Objective,true,@NPC_Default_Dialogue_1624_00_Imhotep_v2p2,,,,,,,,Default - New Corsica 2,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v2p2,Linear_Objective,false,@NPC_Default_Dialogue_1624_00_Imhotep_v2p2,,,,,16_BSMSQ_09,,,,1624_0401_thedemonscauldron,,,,,,,,,,,,,,,,,,,,,,
1624_02_Imhotep_v2p2,Linear_Objective,false,@NPC_Default_Dialogue_1624_01_Imhotep_v2p2,,,,,16_BSMSQ_10,,,,1624_0501_powerofthegods,,,,,,,,,,,,,,,,,,,,,,
1624_03_Imhotep_v2p2,Linear_Objective,false,@NPC_Default_Dialogue_1624_02_Imhotep_v2p2,,,,,16_BSMSQ_11,,,"After'PoweroftheGods',beforetaking'Scourge'",,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v3p1,Linear_Objective,true,@1625_0502_scourgeaeonmadness_TalkTo_Imhotep,,,,,,,,Default - New Corsica 2 (Vizier),,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v3p1,Linear_Objective,false,@1625_0502_scourgeaeonmadness_TalkTo_Imhotep,,,,,,1625_0502_scourgeaeonmadness,1625_0502_d_00_container_scourgeaeonmadness,Conversation during 'Scourge of Aeon Madness',,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v4p1,Linear_Objective,true,@1625_0701_challengingpharaoh_TalkTo_Imhotep,,,,,,,,Default - Place of Pillars (Physician),,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v4p1,Linear_Objective,false,@1625_0701_challengingpharaoh_TalkTo_Imhotep,,,,,,1625_0701_challengingpharaoh,1625_0701_d_03_05_TalkTo_1624_Imhotep_v4p1,Conversation during 'Challenging the Pharaoh' (after fight),,,,,,,,,,,Topic_1625_0701_ImhotepTalkTo,,,,,,,,,,,,
1624_02_Imhotep_v4p1,Linear_Objective,false,@1624_0801_agodawakens_Incomplete,,,,,,1625_0701_challengingpharaoh,1625_0701_d_04_container_codepillar,Default after 'Talk to Imhotep',,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v4p2,Linear_Objective,true,@NPC_Default_Dialogue_1624_01_Imhotep_v4p1,,,,,,,,Default - Necropolis of Sutekh,,,,,,,,,,,,,,,,,,,,,,,
1624_00a_Imhotep_v4p2,Linear_Objective,false,@NPC_Default_Dialogue_1624_01_Imhotep_v4p1,,,,,16_BSMSQ_14,,,,1624_0801_agodawakens,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v4p2,Linear_Objective,false,@1624_0801_agodawakens_TalkTo_Imhotep,,,,,,1624_0801_agodawakens,1624_0801_d_03_01_TalkTo_1624_Imhotep_v4p2,Conversation during 'A God Awakens',,,,,,,,,,,Topic_1625_0801_ImhotepTalkTo,,,,,,,,,,,,
1624_00_Imhotep_v4p3,Linear_Objective,true,@NPC_Default_Dialogue_1624_00_Imhotep_v4p3,,,,,,,,Default - New Corsica,,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v4p3,Linear_Objective,false,@NPC_Default_Dialogue_1624_00_Imhotep_v4p5,,,,,16_BSMSQ_15,,,,1624_1001_thewildhuntress,,,,,,,,,,,,,,,,,,,,,,
1624_02_Imhotep_v4p3,Linear_Objective,false,@NPC_Default_Dialogue_1624_02_Imhotep_v4p5,,,,,,,,Post-Huntress,,,,,,,,,,,,,,,,,,,,,,,
1624_03_Imhotep_v4p3,Linear_Objective,false,@NPC_Default_Dialogue_1624_00_Imhotep_v4p3,,,,,16_BSMSQ_19 && 16_Quest_28 && 16_Quest_29 && 16_Quest_04,,,,1624_0901_secretindesert,,,,,,,,,,,,,,,,,,,,,,
1624_04_Imhotep_v4p3,Linear_Objective,false,@1624_0901_secretindesert_TalkTo_Imhotep,,,,,,1624_0901_secretindesert,1624_0901_d_03_TalkTo_1624_Imhotep_v4p3,Conversation during 'Secret in the Desert',,,,,,,,,,,Topic_1624_0901_ImhotepTalkTo,,,,,,,,,,,,
1624_05_Imhotep_v4p3,Linear_Objective,false,@NPC_Default_Dialogue_1624_01_Imhotep_v4p3,,,,,16_BSMSQ_16,,,,,,,,,,,,,,,,,,,,,,,,,,
1624_06_Imhotep_v4p3,Linear_Objective,false,@NPC_Default_Dialogue_1624_02_Imhotep_v4p3,,,,,16_ConvoUnlock_02_Imhotep_v4p3,,,,,,,,,,,,,,,,,,,,,,,,,,
1624_00_Imhotep_v4p4,Linear_Objective,true,@1625_0903_thecoronation_TalkTo_Imhotep,,,,,,,,Default - New Corsica (Coronation),,,,,,,,,,,,,,,,,,,,,,,
1624_01_Imhotep_v4p4,Linear_Objective,false,@1625_0903_thecoronation_TalkTo_Imhotep,,,,,,1625_0903_thecoronation,1625_0903_d_03_03_TalkTo_1624_Imhotep_v4p4,TalkTo - before investiture,,,,,,,,,,,,,,,,,,,,,,,
1624_02_Imhotep_v4p4,Linear_Objective,false,@1625_0903_thecoronation_EventBark_Imhotep,,,,,,1625_0903_thecoronation,1625_0903_d_05_01_01_TalkTo_1624_Imhotep_v4p4_2,TalkTo - after investiture,,,,,,,,,,,Topic_1624_Coro_ImhotepTalkTo,,,,,,,,,,,,
1624_00_Imhotep_v4p5,Linear_Objective,true,@NPC_Default_Dialogue_1624_00_Imhotep_v4p5,,,,,,,,Default - New Corsica (final),,,,,,,,,,,,,,,,,,,,,,,
1624_02_Imhotep_v4p5,Linear_Objective,false,@NPC_Default_Dialogue_1624_01_Imhotep_v4p5,,,,,16_BSMSQ_19,,,Gives sandworm quest,1624_1101_tremorsinthesand,,,,,,,,,,,,,,,,,,,,,,
1624_03_Imhotep_v4p5,Linear_Objective,false,@NPC_Default_Dialogue_1624_02_Imhotep_v4p5,,,,,16_Quest_31,,,Final Epilogue,,,,,,,,,,,,,,,,,,,,,,,
1625_00_Ghazi_p1,Linear_Objective,true,@NPC_Default_Dialogue_1625_00_Ghazi_p1,,,,,,,,Default w/ warning,,,,,,,,,,,,,,,,,,,,,,,
1625_00a_Ghazi_p1,Linear_Objective,false,@NPC_Default_Dialogue_1625_00a_Ghazi_p1,,,,,!(99_MSQ_54 || 99E_MSQ_10),,,Default - Crashed Caravan,,,,,,,,,,,,,,,,,,,,,,,
1625_01_Ghazi_p1,Linear_Objective,false,@NPC_Default_Dialogue_1625_01_Ghazi_p1,,,60,,99_MSQ_54 || 99E_MSQ_10,,,,1625_0100_brimstoneundersiege,,,,,,,,,,,,,,,,,,,,,,
1625_02_Ghazi_p1,Linear_Objective,false,@NPC_Default_Dialogue_1625_02_Ghazi_p1,,,,,16_BSMSQ_01,,,,1625_0101_thegreatarchitect,,,,,,,,,,,,,,,,,,,,,,
1625_03_Ghazi_p1,Linear_Objective,false,@NPC_Default_Dialogue_1625_03_Ghazi_p1,,,,,16_BSMSQ_02,,,,1625_0102_preemptivestrike,,,,,,,,,,,,,,,,,,,,,,
1625_00_Ghazi_p2,Linear_Objective,true,@NPC_Default_Dialogue_1625_00_Ghazi_p2,,,,,,,,Default - Nomad's Shrine,,,,,,,,,,,,,,,,,,,,,,,
1625_01_Ghazi_p2,Linear_Objective,false,@NPC_Default_Dialogue_1625_00_Ghazi_p2,,,,,16_BSMSQ_03,,,,1625_0103_stirringinthesands,,,,,,,,,,,,,,,,,,,,,,
1625_00_Ghazi_p3,Linear_Objective,true,@NPC_Default_Dialogue_1625_00_Ghazi_p3,,,,,,,,Default - Cavalier's Rest,,,,,,,,,,,,,,,,,,,,,,,
1625_01_Ghazi_p3,Linear_Objective,false,@NPC_Default_Dialogue_1625_00_Ghazi_p3,,,,,16_BSMSQ_04,,,,1625_0201_ablossomingthreat,,,,,,,,,,,,,,,,,,,,,,
1625_00_Ghazi_p4,Linear_Objective,true,@NPC_Default_Dialogue_1625_00_Ghazi_p4,,,,,,,,Default - New Corsica,,,,,,,,,,,,,,,,,,,,,,,
1625_01_Ghazi_p4,Linear_Objective,false,@NPC_Default_Dialogue_1625_00_Ghazi_p4,,,,,16_BSMSQ_05,,,,1625_0202_pastprologue,,,,,,,,,,,,,,,,,,,,,,
1625_02_Ghazi_p4,Linear_Objective,false,@NPC_Default_Dialogue_1625_01_Ghazi_p4,,,,,16_BSMSQ_06,,,,,,,,,,,,,,,,,,,,,,,,,,
1625_03_Ghazi_p4,Linear_Objective,false,@NPC_Default_Dialogue_1625_01_Ghazi_p4,,,,,16_BSMSQ_06,1624_0301_wateringtheseed,1624_0301_d_01_Goto,Conversation before/during 'Watering the Seed' in New Corsica,,,,,,,,,,,,,,,,,,,,,,,
1625_00_Ghazi_p5,Linear_Objective,true,@1624_0301_wateringtheseed_TalkTo_Ghazi,,,,,,,,Default - Thoth,,,,,,,,,,,,,,,,,,,,,,,
1625_01_Ghazi_p5,Linear_Objective,false,@1624_0301_wateringtheseed_TalkTo_Ghazi,,,,,,1624_0301_wateringtheseed,1624_0301_d_00_container_wateringtheseed,"TalkTo-'WateringtheSeed',concernedaboutImhotep",,,,,,,,,,,Topic_1624_0301_GhaziTalkTo,,,,,,,,,,,,
1625_02_Ghazi_p5,Linear_Objective,false,@NPC_Default_Dialogue_1625_02_Ghazi_p5,,,,,16_BSMSQ_07,1624_0302_unravelingthemystery,1624_0302_d_01_container_block1,Unraveling the Mystery - incomplete,,,,,,,,,,,,,,,,,,,,,,,
1625_03_Ghazi_p5,Linear_Objective,false,@1624_0302_unravelingthemystery_Topic_preRitualGhazi,,,,,,1624_0302_unravelingthemystery,1624_0302_d_04_container_block2,"UnravelingtheMystery',pre-ritual",,,,,,,,,,,Topic_1624_0302_GhaziPreRitual,,,,,,,,,,,,
