ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
1409_Adjudicator_01pre,Linear_Objective,false,@1409_01pre_DefaultDialogue,Covenant,,,,,,,,,,,,,,,,,,,,,,,,,,
1409_Adjudicator_01,Linear_Objective,false,@1409_01_DefaultDialogue,Covenant,,49,,,,,,,,,,,,,,,,,,,,,,Faction_Board,Join_Outpost_Rush,
1416_Warden_00,Linear_Objective,true,@1416_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416_Warden_01,Linear_Objective,false,@1416_02_DefaultDialogue,,,49,,1416_0201_sabotage,,,,,,,,,,,,,,,,,,,,,,
1416_Warden_02,Linear_Objective,false,@1416_03_DefaultDialogue,,,,14_Quest_03,1416_0202_foreman,,,,,,,,,,,,,,,,,,,,,,
1416_Warden_03,Linear_Objective,false,@1416_04_DefaultDialogue,,,,14_Quest_04,,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_00,Linear_Objective,true,@1418_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_01,Linear_Objective,false,@1418_02_DefaultDialogue,,,55,,1418_0201_lights,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_02,Linear_Objective,false,@1418_03_DefaultDialogue,,,,14_Quest_06,1418_0202_azuretears,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_03a,Linear_Objective,false,@1418_05_DefaultDialogue,,,,14_Quest_07,,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_03,Linear_Objective,false,@1418_04_DefaultDialogue,,,,14_Quest_09,1416_0301_northeast,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_04,Linear_Objective,false,@1418_05_DefaultDialogue,,,,14_Quest_05,,,,,,,,,,,,,,,,,,,,,,,
1418_Ranger_05,Linear_Objective,false,@1418_06_DefaultDialogue,,SwordAbilityTable 19 0,60,07_Quest_11,1418_0101_RD_00,,,,,,,,,,,,,,,,,,,,,,
1419_Ranger_00,Linear_Objective,true,@1419_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419_Ranger_01,Linear_Objective,false,@1419_02_DefaultDialogue,,GreatAxeAbilityTable 9 0,60,07_Quest_11,1419_0201_Reformation,,,,,,,,,,,,,,,,,,,,,,
1420_Ranger_00,Linear_Objective,true,@1420_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420_Ranger_01,Linear_Objective,false,@1420_02_DefaultDialogue,,MusketAbilityTable 19 0,60,07_Quest_11,1420_0501_ClamorousVox,,,,,,,,,,,,,,,,,,,,,,
1421_Ranger_00,Linear_Objective,true,@1421_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421_Ranger_01,Linear_Objective,false,@1421_02_DefaultDialogue,,BowAbilityTable 19 0,60,07_Quest_11,1421_0201_Torrent,,,,,,,,,,,,,,,,,,,,,,
1412_01_INIT,Linear_Objective,true,@1412_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413_Watcher_00,Linear_Objective,true,@1413_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413_Watcher_01,Linear_Objective,false,@1413_02_DefaultDialogue,,,60,14_Quest_10,1413_0201_spriggan,,,,,,,,,,,,,,,,,,,,,,
1413_Watcher_02,Linear_Objective,false,@1413_03_DefaultDialogue,,,,14_Quest_14,,,,,,,,,,,,,,,,,,,,,,,
1414_01_INIT,Linear_Objective,true,@1414_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414_02_INIT,Linear_Objective,false,@1414_02_DefaultDialogue,,,56,,1414_0101_ToReekwater,,,,,,,,,,,,,,,,,,,,,,
1415_01_INIT,Linear_Objective,true,@1415_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417_01_INIT,Linear_Objective,true,@1417_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422_00_Innkeep,Linear_Objective,true,@1422_00_Innkeep,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
1423_00_Innkeep,Linear_Objective,true,@1423_00_Innkeep,,,,,,,,,,,,,,,,,,,,,,,,,Inn,,
1424_01_INIT,Linear_Objective,true,@1424_01_DefaultDialogue,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424_02_INIT,Linear_Objective,false,@1424_02_DefaultDialogue,,,,FishingQuest_11,0324_0101_FQ12,,,,,,,,,,,,,,,,,,,,,,
1424_03_INIT,Linear_Objective,false,@1424_03_DefaultDialogue,,,,FishingQuest_12,,,,,,,,,,,,,,,,,,,,,,,
1425_00_Prospector,Linear_Objective,true,@1425_00_DefaultDialogue,,,,,,,,,,,,,,,1425_Prospector_talk,,,,,,,,,,Join_Outpost_Rush,,
