ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
09a_Trahern_SD_Dungeon_Entrance,Linear_Objective,true,@09a_Trahern_SD_Default_a,,,,,,,09A_S19_DestroyBadPlants_v2,,,,,,,,,,,,,,,,,,,,,,
09a_Trahern_SD_01,Linear_Objective,false,@09a_Trahern_SD_01,,,,09A_S19,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_BS_Default,Linear_Objective,true,@09a_Morgaine_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_BS_01,Linear_Objective,false,@09A_M1_Vector_Morgaine_Start_Greet,,,,16_BSMSQ_19,,,09A_M1_EnterZone_BS,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_BS_02,Linear_Objective,false,@09a_Morgaine_02_a,,,,16_BSMSQ_19,09A_M1_EnterZone_BS,09A_M1_BS_TalkTo_Morgaine,,,,,,,,,,,09A_M1_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_EG_Default,Linear_Objective,true,@09a_Morgaine_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_EG_01,Linear_Objective,false,@09a_Morgaine_01_a,,Syndicate,60,,,,09A_M1_EnterZone_EG,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_EG_02,Linear_Objective,false,@09a_Morgaine_02_a,,,,,09A_M1_EnterZone_EG,09A_M1_EG_TalkTo_Morgaine,,,,,,,,,,,09A_M1_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_SM_Default,Linear_Objective,true,@09a_Morgaine_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_SM_01,Linear_Objective,false,@09a_Morgaine_01_a,,Marauder,60,,,,09A_M1_EnterZone_SM,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_SM_02,Linear_Objective,false,@09a_Morgaine_02_a,,,,,09A_M1_EnterZone_SM,09A_M1_SM_TalkTo_Morgaine,,,,,,,,,,,09A_M1_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_RW_Default,Linear_Objective,true,@09a_Morgaine_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_RW_01,Linear_Objective,false,@09a_Morgaine_01_a,,,60,,,,09A_M1_EnterZone_RW,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_RW_Syn_Default,Linear_Objective,false,@09a_Morgaine_Default,,Syndicate,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_RW_Mar_Default,Linear_Objective,false,@09a_Morgaine_Default,,Marauder,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_RW_02,Linear_Objective,false,@09a_Morgaine_02_a,,,,,09A_M1_EnterZone_RW,09A_M1_RW_TalkTo_Morgaine,,,,,,,,,,,09A_M1_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_WC_Default,Linear_Objective,true,@09a_Morgaine_WC_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_WC_BS_01,Linear_Objective,false,@09a_Morgaine_WC_01_a,,,,,09A_M1_EnterZone_BS,09A_M1_BS_TalkTo_Morgaine2,,,,,,,,,,,09A_M1_Topic_Morgaine2,,,,,,,,,,,,
09a_Morgaine_WC_EG_01,Linear_Objective,false,@09a_Morgaine_WC_01_a,,,,,09A_M1_EnterZone_EG,09A_M1_EG_TalkTo_Morgaine2,,,,,,,,,,,09A_M1_Topic_Morgaine2,,,,,,,,,,,,
09a_Morgaine_WC_SM_01,Linear_Objective,false,@09a_Morgaine_WC_01_a,,,,,09A_M1_EnterZone_SM,09A_M1_SM_TalkTo_Morgaine2,,,,,,,,,,,09A_M1_Topic_Morgaine2,,,,,,,,,,,,
09a_Morgaine_WC_RW_01,Linear_Objective,false,@09a_Morgaine_WC_01_a,,,,,09A_M1_EnterZone_RW,09A_M1_RW_TalkTo_Morgaine2,,,,,,,,,,,09A_M1_Topic_Morgaine2,,,,,,,,,,,,
09a_Morgaine_WC_02,Linear_Objective,false,@09a_Morgaine_WC_02_a,,,,09A_M1,,,09A_M2_FindOakes,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_WC_M2_TalkTo,Linear_Objective,false,@09A_M2_Morgaine_Talkto_a,,,,,09A_M2_FindOakes,09A_M2_TalkTo_Morgaine,,,,,,,,,,,09A_M2_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_WC_03,Linear_Objective,false,@09a_Morgaine_WC_03_a,,,,09A_M2,,,09A_M3_EnterJungle,,,,,,,,,,,,,,,,,,,,,,
09A_Morgaine_WC_M12_Delivery,Linear_Objective,false,@09A_M12_Morgaine_CH_Delivery_a,,,,09A_M11,,,09A_M12_FightMedusa,,,,,,,,,,,,,,,,,,,,,,
09A_Morgaine_SE_TalkTo,Linear_Objective,false,@09A_Morgaine_SE_TalkTo_a,,,,,09A_M13_AttuneStaff,09A_M13_TalkToMorgaine,,,,,,,,,,,09A_M13_Topic_Morgaine,,,,,,,,,,,,
09A_Morgaine_SE_M14_Delivery,Linear_Objective,false,@09A_M14_Morgaine_SE_Delivery_a,,,,09A_M13,,,09A_M14_GetInfusedSeed,,,,,,,,,,,,,,,,,,,,,,
09A_Morgaine_LC_TalkTo,Linear_Objective,false,@09A_M14_Morgaine_LC_TalkTo_a,,,,,09A_M14_GetInfusedSeed,09A_M14_TalkToMorgaine,,,,,,,,,,,09A_M14_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_LC_Default,Linear_Objective,true,@09A_M14_Morgaine_LC_TalkTo_a,,,,,,,,,,,,,,,,,09A_M14_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_LC_01,Linear_Objective,false,@09A_M15_Morgaine_EP_Delivery_a,,,,09A_M14,,,09A_M15_FightArtemis,,,,,,,,,,,,,,,,,,,,,,
09a_Morgaine_EP_Default,Linear_Objective,true,@09A_M15_Morgaine_EP_TalkTo_a,,,,,,,,,,,,,,,,,09A_M15_Topic_Morgaine,,,,,,,,,,,,
09a_Morgaine_EP_01,Linear_Objective,false,@09A_M15_Morgaine_EP_TalkTo_2_a,,,,,09A_M15_FightArtemis,09A_M15_TalkTo_Morgaine2,,,,,,,,,,,09A_M15_Topic_Morgaine2,,,,,,,,,,,,
09a_Hargest_WC_Default,Linear_Objective,true,@09a_Hargest_WC_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_WC_02,Linear_Objective,false,@09a_Hargest_WC_02_a,,,,09A_M1,09A_M2_FindOakes,09A_M2_TalkTo_Hargest,,,,,,,,,,,09a_M2_Topic_Hargest,,,,,,,,,,,,
09a_Hargest_WC_02_InProgress,Linear_Objective,false,@09a_Hargest_WC_02_inprogress,,,,,09A_M2_FindOakes,09A_M2_TalkTo_Yoon,,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_WC_03,Linear_Objective,false,@09a_Hargest_WC_03_a,,,,,09A_M3_EnterJungle,09A_M3_TalkTo_Hargest,,,,,,,,,,,09a_M3_Topic_Hargest,,,,,,,,,,,,
09a_Hargest_NE_A_Default,Linear_Objective,true,@09a_Hargest_NE_A_Default_a,,,,,,,,,,,,,,,,,09a_M3_Topic_Hargest2,,,,,,,,,,,,
09a_Hargest_NE_C_Default,Linear_Objective,true,@09a_Hargest_NE_C_Default_a,,,,,,,09A_M4_ReachSettlement,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_NE_C_00,Linear_Objective,false,@09A_Hargest_WC_Default,,,,,09A_M3_EnterJungle,09A_M3_RichesNote_Read,,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_NE_C_01,Linear_Objective,false,@09a_Hargest_NE_C_01_a,,,,09A_M4,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_LC_Default,Linear_Objective,true,@09a_Hargest_LC_Default,,,,,,,09A_S17_EstablishDefenses,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_LC_01,Linear_Objective,false,@09a_Hargest_LC_01,,,,,09A_S17_EstablishDefenses,09A_S17_TalkTo_Hargest,,,,,,,,,,,09a_S17_Topic_Hargest,,,,,,,,,,,,
09a_Hargest_LC_02,Linear_Objective,false,@09a_Hargest_LC_02,,,,09A_S17,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_LC_Sendoff,Linear_Objective,false,@09a_M15_Hargest_LC_Sendoff,,,,,09A_M15_FightArtemis,09A_M15_Hargest_Sendoff,,,,,,,,,,,,,,,,,,,,,,,
09a_Hargest_End_Default,Linear_Objective,true,@09A_M15_Hargest_WC_End_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Yoon_A_Default,Linear_Objective,true,@09a_Yoon_A_Default_a,,,,,,,,,,,,,,,,,09a_M2_Topic_Yoon_A,,,,,,,,,,,,
09a_Yoon_A_01,Linear_Objective,false,@09A_Yoon_A_Default_inprogress,,,,09A_Yoon_A_Met,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Yoon_B_Default,Linear_Objective,true,@09a_Yoon_B_Default_a,,,,,,,,,,,,,,,,,09a_M2_Topic_Yoon_B,,,,,,,,,,,,
09a_Yoon_B_01,Linear_Objective,false,@09A_M2_Yoon_FOR_Default,,,,09A_Yoon_B_Met,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Yoon_WC_Default,Linear_Objective,true,@09a_Yoon_WC_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Oakes_FOR_Default,Linear_Objective,true,@09a_Oakes_FOR_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Oakes_FOR_01,Linear_Objective,false,@09a_Oakes_FOR_01_a,,,,,09A_M2_FindOakes,09A_M2_TalkTo_Oakes,,,,,,,,,,,09a_M2_Topic_Oakes,,,,,,,,,,,,
09a_Oakes_FOR_01_InProgress,Linear_Objective,false,@09A_Oakes_FOR_01_inprogress,,,,,09A_M2_FindOakes,09A_M2_Container_CollectMissingPages,,,,,,,,,,,,,,,,,,,,,,,
09a_Oakes_FOR_02,Linear_Objective,false,@09a_Oakes_FOR_02_a,,,,,09A_M2_FindOakes,09A_M2_TalkTo_Oakes2,,,,,,,,,,,09a_M2_Topic_Oakes2,,,,,,,,,,,,
09a_Oakes_FOR_03,Linear_Objective,false,@09A_M2_Topic_Oakes2_response_a,,,,,09A_M2_FindOakes,09A_M2_TalkTo_Yoon2,,,,,,,,,,,,,,,,,,,,,,,
09a_Oakes_WC_Default,Linear_Objective,true,@09a_Oakes_WC_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Treadwell_Default,Linear_Objective,true,@09a_Treadwell_Default,,,,,,,,,,,,,,,,,09a_S17_Topic_Treadwell,,,,,,,,,,,,
09a_Treadwell_01,Linear_Objective,false,@09a_Treadwell_01,,,,,09A_S17_EstablishDefenses,09A_S17_Container_DefendWagon,,,,,,,,,,,,,,,,,,,,,,,
09a_Treadwell_02,Linear_Objective,false,@09a_Treadwell_02,,,,,09A_S17_EstablishDefenses,09A_S17_TalkTo_Treadwell2,,,,,,,,,,,09a_S17_Topic_Treadwell2,,,,,,,,,,,,
09a_Treadwell_03,Linear_Objective,false,@09a_Treadwell_03,,,,SwapActive_09A_S17_RangerProtected,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Eldred_Default,Linear_Objective,true,@09a_Eldred_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Eldred_BS_01,Linear_Objective,false,@09A_M1_Eldred_TalkTo_a,,,,,09A_M1_EnterZone_BS,09A_M1_BS_TalkTo_Eldred,,,,,,,,,,,09a_M1_Topic_Eldred,,,,,,,,,,,,
09a_Eldred_EG_01,Linear_Objective,false,@09A_M1_Eldred_TalkTo_a,,,,,09A_M1_EnterZone_EG,09A_M1_EG_TalkTo_Eldred,,,,,,,,,,,09a_M1_Topic_Eldred,,,,,,,,,,,,
09a_Eldred_SM_01,Linear_Objective,false,@09A_M1_Eldred_TalkTo_a,,,,,09A_M1_EnterZone_SM,09A_M1_SM_TalkTo_Eldred,,,,,,,,,,,09a_M1_Topic_Eldred,,,,,,,,,,,,
09a_Eldred_RW_01,Linear_Objective,false,@09A_M1_Eldred_TalkTo_a,,,,,09A_M1_EnterZone_RW,09A_M1_RW_TalkTo_Eldred,,,,,,,,,,,09a_M1_Topic_Eldred,,,,,,,,,,,,
09a_Eldred_02,Linear_Objective,false,@09a_Eldred_02_a,,,,09A_M1,,,09A_S0_SecretoftheSpores,,,,,,,,,,,,,,,,,,,,,,
09a_Eldred_03,Linear_Objective,false,@09a_Eldred_03_a,,,,,09A_S0_SecretoftheSpores,09A_S0_TalkTo_Eldred,,,,,,,,,,,09a_S0_Topic_Eldred,,,,,,,,,,,,
09a_Eldred_04,Linear_Objective,false,@09a_Eldred_04_a,,,,09A_S0,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Artemis_EP_Default,Linear_Objective,true,@09A_M15_ArtemisDeath_IGC_Artemis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Artemis_EP_01,Linear_Objective,false,@09A_M15_Artemis_EP_TalkTo_a,,,,,09A_M15_FightArtemis,09A_M15_TalkTo_Artemis,,,,,,,,,,,09A_M15_Topic_Artemis,,,,,,,,,,,,
09a_Murrow_Default,Linear_Objective,true,@09a_Murrow_Default_a,,,,,,,09A_S1_SaveAnimals,,,,,,,,,,,,,,,,,,,,,,
09a_Murrow_01,Linear_Objective,false,@09a_Murrow_01,,,,09A_S1,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Vachon_Default,Linear_Objective,true,@09a_Vachon_Default_a,,,,,,,09A_S3_HuntHercyne,,,,,,,,,,,,,,,,,,,,,,
09a_Vachon_WC_Default,Linear_Objective,true,@09a_Vachon_WC_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Vachon_WC_01,Linear_Objective,false,@09a_Vachon_WC_01,,,,09A_S3,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Vachon_Rescue_01,Linear_Objective,false,@09a_Vachon_Rescue_01,,,,09A_M5,09A_M6_FindKim,09A_M6_Rescue_Vashon,,,,,,,,,,,09a_M6_Vachon_Rescue,,,,,,,,,,,,
09a_Gauss_Default,Linear_Objective,true,@09a_Gauss_Default_a,,,,,,,09A_S18_ScanElafryMagic,,,,,,,,,,,,,,,,,,,,,,
09a_Gauss_01,Linear_Objective,false,@09a_Gauss_01,,,,09A_S18,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Fionn_Default,Linear_Objective,true,@09a_Fionn_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Fionn_TalkTo,Linear_Objective,false,@09a_Fionn_TalkTo_a,,,,,09A_M6_FindKim,09A_M6_Task1,,,,,,,,,,,09a_M6_Topic_Fionn,,,,,,,,,,,,
09a_S6_Fionn_Delivery,Linear_Objective,false,@09a_S6_Fionn_Delivery_a,,,,09A_FionnMet && !09A_S6,,,09A_S6_TrackBeasts,,,,,,,,,,,,,,,,,,,,,,
09a_Fionn_02,Linear_Objective,true,@09a_Fionn_02_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Shirzad_Default,Linear_Objective,true,@09a_Shirzad_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Shirzad_TalkTo,Linear_Objective,false,@09a_Shirzad_TalkTo,,,,,09A_M9_MeetShirzad,09A_M9_TalkToShirzad,,,,,,,,,,,09a_M9_Topic_Shirzad,,,,,,,,,,,,
09a_Shirzad_01,Linear_Objective,false,@09a_Shirzad_01_a,,,,09A_M9,,,09A_M10_MeetKurok,,,,,,,,,,,,,,,,,,,,,,
09a_Shirzad_TalkTo_M11,Linear_Objective,false,@09a_M11_Shirzad_TalkTo_a,,,,,09A_M11_FightMahantaram,09A_M11_TalkToShirzad,,,,,,,,,,,09a_M11_Topic_Shirzad,,,,,,,,,,,,
09a_Shirzad_02,Linear_Objective,false,@09a_Shirzad_02_a,,,,09A_M15,,,09A_S12_TraverseLionCave,,,,,,,,,,,,,,,,,,,,,,
09a_Shirzad_03,Linear_Objective,false,@09a_Shirzad_03,,,,09A_S12,,,09A_S12_TraverseLionCave,,,,,,,,,,,,,,,,,,,,,,
09a_Kurok_Default,Linear_Objective,true,@09a_Kurok_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Kurok_TalkTo,Linear_Objective,false,@09a_Kurok_TalkTo_a,,,,,09A_M10_MeetKurok,09A_M10_TalkToKurok,,,,,,,,,,,09a_M10_Topic_Kurok,,,,,,,,,,,,
09a_Kurok_01,Linear_Objective,false,@09a_Kurok_01_a,,,,09A_M10,,,09A_M11_FightMahantaram,,,,,,,,,,,,,,,,,,,,,,
09a_Kurok_02,Linear_Objective,false,@09a_Kurok_02,,,,09A_M11,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Barug_Default,Linear_Objective,true,@09a_Barug_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Barug_01,Linear_Objective,false,@09a_Barug_01_a,,,,09A_M15,,,09A_S13_FightLizardAvatar,,,,,,,,,,,,,,,,,,,,,,
09a_Barug_02,Linear_Objective,false,@09a_Barug_02,,,,09A_S13,,,09A_S13_FightLizardAvatar,,,,,,,,,,,,,,,,,,,,,,
09a_Manmosu_Default,Linear_Objective,true,@09a_Manmosu_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Manmosu_01,Linear_Objective,false,@09a_Manmosu_01_a,,,,09A_M15,,,09A_S14_FightEliteBeasts,,,,,,,,,,,,,,,,,,,,,,
09a_Manmosu_SD_Default,Linear_Objective,false,@09a_Manmosu_SD_Default_a,,,,09A_S14,,,09A_S20_DefeatBeastLords,,,,,,,,,,,,,,,,,,,,,,
09a_Manmosu_SD_01,Linear_Objective,false,@09a_Manmosu_SD_01,,,,09A_S20,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Taurus_Default,Linear_Objective,true,@09a_Taurus_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_M8_Taurus_TalkTo,Linear_Objective,false,@09a_M8_Taurus_TalkTo_a,,,,,09A_M8_MeetTaurus,09A_M8_TalkToTaurus,,,,,,,,,,,09a_M8_Topic_Taurus,,,,,,,,,,,,
09a_Taurus_01,Linear_Objective,false,@09a_Taurus_01_a,,,,09A_M8,,,09A_M9_MeetShirzad,,,,,,,,,,,,,,,,,,,,,,
09a_Taurus_GP_Default,Linear_Objective,true,@09A_Taurus_GP_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Taurus_GP_TalkTo_M11,Linear_Objective,false,@09A_M11_Taurus_TalkTo_a,,,,,09A_M11_FightMahantaram,09A_M11_TalkToTaurus,,,,,,,,,,,09A_M11_Topic_Taurus,,,,,,,,,,,,
09a_Taurus_HG_Default,Linear_Objective,true,@09A_Taurus_HG_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Taurus_HG_TalkTo,Linear_Objective,false,@09A_Taurus_HG_TalkTo,,,,,09A_M12_FightMedusa,09A_M12_TalkToTaurus,,,,,,,,,,,09A_M12_Topic_Taurus,,,,,,,,,,,,
09a_Taurus_End_Default,Linear_Objective,true,@09A_M15_Taurus_WC_End_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_MysteriousAxe_Default,Linear_Objective,true,@09a_MysteriousAxe_Default,,,,,,,09A_S10_FindTaurusRelics,,,,,,,,,,,,,,,,,,,,,,
09a_Marwa_Default,Linear_Objective,true,@09a_Marwa_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Marwa_01,Linear_Objective,false,@09a_Marwa_01,,,,09A_S10,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Marwa_HHOP_Default_01,Linear_Objective,true,@09A_S11_Marwa_Delivery_01_a,,,,,,,09A_S11_BeatTimeTrial,,,,,,,,,,,,,,,,,,,,,,
09a_Marwa_HHOP_Default_02,Linear_Objective,false,@09A_S11_Marwa_Delivery_02,,,,09A_S11_InitialComplete,,,09A_S11_BeatTimeTrial,,,,,,,,,,,,,,,,,,,,,,
09a_Marwa_HHOP_01,Linear_Objective,false,@09A_S11_Cooldown,,,,09A_S11,,,,,,,,,,,,,,,,,,,,,,,,,
09a_James_Default,Linear_Objective,true,@09a_James_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_James_RR_Default,Linear_Objective,true,@09a_James_RR_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Kim_Default,Linear_Objective,true,@09a_Kim_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09A_Kim_01,Linear_Objective,false,@09a_Kim_01_a,,,,09A_M6,,,09A_M7_ExtractKim,,,,,,,,,,,,,,,,,,,,,,
09a_Kim_SC_Default,Linear_Objective,true,@09a_Kim_SC_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Kim_SC_01,Linear_Objective,false,@09a_Kim_SC_01_a,,,,09A_M7,,,09A_M8_MeetTaurus,,,,,,,,,,,,,,,,,,,,,,
09a_Kim_End_Default,Linear_Objective,true,@09A_M15_Kim_WC_End_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Riches_Default,Linear_Objective,true,@09a_Riches_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09A_M4_Riches_Waiting,Linear_Objective,false,@09A_Riches_Waiting,,,,,09A_M4_ReachSettlement,09A_M4_Cut_Wick,,,,,,,,,,,,,,,,,,,,,,,
09A_M4_TalkTo_Riches,Linear_Objective,false,@09A_M4_Riches_TalkTo_a,,,,,09A_M4_ReachSettlement,09A_M4_TalkTo_Riches,,,,,,,,,,,09a_M4_Topic_Riches,,,,,,,,,,,,
09a_Riches_M5_Default,Linear_Objective,true,@09a_Riches_Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Riches_M5_01,Linear_Objective,false,@09a_Riches_M5_01_a,,,,09A_M4,,,09A_M5_DefendSettlement,,,,,,,,,,,,,,,,,,,,,,
09a_Riches_M5_TalkTo,Linear_Objective,false,@09A_M5_Riches_TalkTo_a,,,,,09A_M5_DefendSettlement,09A_M5_TalkTo_Riches,,,,,,,,,,,09a_M5_Topic_Riches,,,,,,,,,,,,
09a_Riches_M5_02,Linear_Objective,false,@09a_Riches_M5_02_a,,,,09A_M5,,,09A_M6_FindKim,,,,,,,,,,,,,,,,,,,,,,
09a_Riches_End_Default,Linear_Objective,true,@09A_M15_Riches_WC_End_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Ramla_Default,Linear_Objective,true,@09a_Ramla_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Ramla_TalkTo,Linear_Objective,false,@09a_Ramla_TalkTo_a,,,,,09A_M6_FindKim,09A_M6_Task2,,,,,,,,,,,09a_M6_Topic_Ramla,,,,,,,,,,,,
09A_S7_Ramla_Delivery,Linear_Objective,false,@09A_S7_Ramla_Delivery_a,,,,09A_RamlaMet,,,09A_S7_StopPlague,,,,,,,,,,,,,,,,,,,,,,
09a_Ramla_01,Linear_Objective,false,@09a_Ramla_01_a,,,,09A_S7,,,,,,,,,,,,,,,,,,,,,,,,,
09a_Josephine_Default,Linear_Objective,true,@09a_Josephine_Default_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
