ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99F_Sun_10,Linear_Objective,false,@99F_MSQ08_FightLiang_Sun_Start_Greet,,,,,99F_MSQ_07,,,,99F_MSQ_ER_FightLiang,99F_MSQ_ER_FightLiang_destroyer,99F_MSQ_ER_FightLiang_musketeer,99F_MSQ_ER_FightLiang_mystic,99F_MSQ_ER_FightLiang_occultist,99F_MSQ_ER_FightLiang_ranger,99F_MSQ_ER_FightLiang_soldier,99F_MSQ_ER_FightLiang_swordsman,,,,,,,,,,,,,,,
99F_Sun_10aa,Linear_Objective,false,@99F_MSQ08_FightLiang_Sun_TalkToA_Start_Greet,,,,,,"99F_MSQ_ER_FightLiang,99F_MSQ_ER_FightLiang_destroyer,99F_MSQ_ER_FightLiang_musketeer,99F_MSQ_ER_FightLiang_mystic,99F_MSQ_ER_FightLiang_occultist,99F_MSQ_ER_FightLiang_ranger,99F_MSQ_ER_FightLiang_soldier,99F_MSQ_ER_FightLiang_swordsman",99F_MSQ_ER_FightLiang_TalkToSunA,,,,,,,,,,,,99F_FightLiang_Sun_TalkTo_00,,,,,,,,,,,,
99F_Sun_10a,Linear_Objective,true,@99F_Sun_Greet_FightLiang_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_11,Linear_Objective,false,@99F_MSQ08_FightLiang_Sun_TalkTo_Start_Greet,,,,,,"99F_MSQ_ER_FightLiang,99F_MSQ_ER_FightLiang_destroyer,99F_MSQ_ER_FightLiang_musketeer,99F_MSQ_ER_FightLiang_mystic,99F_MSQ_ER_FightLiang_occultist,99F_MSQ_ER_FightLiang_ranger,99F_MSQ_ER_FightLiang_soldier,99F_MSQ_ER_FightLiang_swordsman",99F_MSQ_ER_FightLiang_TalkToSun,,,,,,,,,,,,99F_FightLiang_Sun_TalkTo_01,,,,,,,,,,,,
99F_Sun_12,Linear_Objective,false,@99F_Sun_Greet_FightLiang_02,,,,,99F_MSQ_ER_FightLiang_SunAchievement,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_13,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Sun_TalkToA_Start_Greet,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToSun,,,,,,,,,,,,99F_ReuniteFamily_Sun_TalkTo_01,,,,,,,,,,,,
99F_Sun_14,Linear_Objective,true,@99F_Sun_Greet_ReuniteFamily_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_15,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Sun_TalkToB_Start_Greet,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToSun02,,,,,,,,,,,,99F_ReuniteFamily_Sun_TalkTo_02,,,,,,,,,,,,
99F_Sun_16,Linear_Objective,false,@99F_MSQ12_DeliverPoem_Sun_Start_Greet,,,,,99F_MSQ_11,,,,99F_MSQ_ER_DeliverPoem,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_17,Linear_Objective,true,@99F_Sun_Greet_DeliverPoem_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Sun_18,Linear_Objective,false,@99F_MSQ12_DeliverPoem_Sun_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_DeliverPoem,99F_MSQ_ER_DeliverPoem_TalkToSun,,,,,,,,,,,,99F_DeliverPoem_Sun_TalkTo_01,,,,,,,,,,,,
99F_Sun_19,Linear_Objective,false,@99F_Sun_Greet_DeliverPoem_01,,,,,99F_Sun_09_TalkTo_Achievement,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Yash_00,Linear_Objective,true,@99F_Yash_Greet_GatherAllies_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Yash_01,Linear_Objective,false,@99F_Yash_Greet_GatherAllies_01,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_GoToSun,,,,,,,,,,,,,,,,,,,,,,,,
99F_Yash_02,Linear_Objective,false,@99F_MSQ01_GatherAllies_Yash_Start_Greet,,,,,99E_MSQ_10 || 99_MSQ_56,,,,99F_MSQ_ER_GatherAllies,,,,,,,,,,,,,,,,,,,,,,
99F_Yash_03,Linear_Objective,false,@99F_MSQ03_CreateRefuge_Yash_TalkToA_Start_Greet,,,,,,99F_MSQ_ER_CreateRefuge,99F_MSQ_ER_CreateRefuge_TalkToYash,,,,,,,,,,,,99F_CreateRefuge_Yash_TalkTo_01,,,,,,,,,,,,
99F_Yash_04,Linear_Objective,true,@99F_Yash_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Yash_05,Linear_Objective,false,@99F_MSQ03_CreateRefuge_Yash_TalkToB_Start_Greet,,,,,,99F_MSQ_ER_CreateRefuge,99F_MSQ_ER_CreateRefuge_TalkToYash2,,,,,,,,,,,,99F_CreateRefuge_Yash_TalkTo_02,,,,,,,,,,,,
99F_Yash_06,Linear_Objective,false,@99F_Yash_Greet_CreateRefuge_01,,,,,99F_Yash_MSQ04_TalkToEndingState,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Yash_07,Linear_Objective,false,@99F_MSQ04_InspireAllies_Yash_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_InspireAllies,99F_MSQ_ER_InspireAllies_TalkToYash,,,,,,,,,,,,99F_InspireAllies_Yash_TalkTo_01,,,,,,,,,,,,
99F_Yash_08,Linear_Objective,true,@99F_Yash_Greet_DeliverPoem_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_00,Linear_Objective,true,@99F_Grace_Greet_GatherAllies_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_01,Linear_Objective,false,@99F_MSQ01_GatherAllies_Grace_TalkToB_Start_Greet,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_TalkToGrace,,,,,,,,,,,,99F_GatherAllies_Grace_TalkTo_01,,,,,,,,,,,,
99F_Grace_02,Linear_Objective,true,@99F_Grace_Greet_GatherAllies_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_03,Linear_Objective,false,@99F_MSQ01_GatherAllies_Grace_TalkToC_Start_Greet,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_TalkToGrace1,,,,,,,,,,,,99F_GatherAllies_Grace_TalkTo_02,,,,,,,,,,,,
99F_Grace_04,Linear_Objective,false,@99F_MSQ03_CreateRefuge_Grace_Start_Greet,,,,,99F_MSQ_02,,,,99F_MSQ_ER_CreateRefuge,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_04a,Linear_Objective,true,@99F_Grace_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_05,Linear_Objective,false,@99F_MSQ04_InspireAllies_Grace_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_InspireAllies,99F_MSQ_ER_InspireAllies_TalkToGrace,,,,,,,,,,,,99F_InspireAllies_Grace_TalkTo_01,,,,,,,,,,,,
99F_Grace_05a,Linear_Objective,true,@99F_Grace_Greet_InspireAllies_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_05b,Linear_Objective,true,@99F_Grace_Greet_ReuniteFamily_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_06,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Grace_TalkToA_Start_Greet,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToGracePoem,,,,,,,,,,,,99F_ReuniteFamily_Grace_TalkTo_01,,,,,,,,,,,,
99F_Grace_07,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Grace_TalkToB_Start_Greet,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToGrace,,,,,,,,,,,,99F_ReuniteFamily_Grace_TalkTo_02,,,,,,,,,,,,
99F_Grace_08,Linear_Objective,false,@99F_MSQ10_StealBoat_Grace_Start_Greet,,,,,99F_MSQ_09,,,,99F_MSQ_ER_StealBoat,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_08a,Linear_Objective,true,@99F_Grace_Greet_StealBoat_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Grace_09,Linear_Objective,false,@99F_MSQ11_FightEmpress_Grace_Start_Greet,,,,,99F_MSQ_10,,,,99F_MSQ_ER_FightEmpress,,,,,,,,,,,,,,,,,,,,,,
99F_Qi_00,Linear_Objective,true,@99F_Qi_Greet_MeetWiseman_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Qi_01,Linear_Objective,false,@99F_MSQ02_MeetWiseman_Qi_TalkToA_Start_Greet,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_TalkToShen,,,,,,,,,,,,99F_MeetWiseman_Qi_TalkTo_01,,,,,,,,,,,,
99F_Qi_01a,Linear_Objective,false,@99F_Qi_Greet_MeetWiseman_03,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_Meditate,,,,,,,,,,,,,,,,,,,,,,,,
99F_Qi_01b,Linear_Objective,false,@99F_MSQ02_MeetWiseman_Qi_TalkToC_Start_Greet,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_TalkToShen3,,,,,,,,,,,,99F_MeetWiseman_Qi_TalkTo_03,,,,,,,,,,,,
99F_Qi_02,Linear_Objective,false,@99F_Qi_Greet_MeetWiseman_01,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_Puzzle_container,,,,,,,,,,,,,,,,,,,,,,,,
99F_Qi_03,Linear_Objective,false,@99F_MSQ02_MeetWiseman_Qi_TalkToB_Start,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_TalkToShen2,,,,,,,,,,,,99F_MeetWiseman_Qi_TalkTo_02,,,,,,,,,,,,
99F_Qi_04,Linear_Objective,false,@99F_Qi_Greet_MeetWiseman_02,,,,,,99F_MSQ_ER_MeetWiseman,99F_MSQ_ER_MeetWiseman_GoToGrace,,,,,,,,,,,,,,,,,,,,,,,,
99F_Empress_00,Linear_Objective,true,@99F_Zhou_Greet_MeetEmpress_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Empress_01,Linear_Objective,false,@99F_MSQ06_AscendPeak_Zhou_Start_Greet,,,,,99F_MSQ_05,,,,99F_MSQ_ER_AscendPeak,,,,,,,,,,,,,,,,,,,,,,
99F_Empress_02,Linear_Objective,false,@99F_MSQ07_CreateIncense_Zhou_Start_Greet,,,,,99F_MSQ_06,,,,99F_MSQ_ER_CreateIncense,,,,,,,,,,,,,,,,,,,,,,
99F_Empress_02a,Linear_Objective,true,@99F_Zhou_Greet_CreateIncense_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Empress_03,Linear_Objective,false,@99F_MSQ07_CreateIncense_Zhou_TalkTo_Start,,,,,,99F_MSQ_ER_CreateIncense,99F_MSQ_ER_CreateIncense_TalkEmpress,,,,,,,,,,,,99F_CreateIncense_Zhou_TalkTo_01,,,,,,,,,,,,
99F_Empress_04,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Zhou_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToEmpressPoem,,,,,,,,,,,,99F_ReuniteFamily_Zhou_TalkTo_01,,,,,,,,,,,,
99F_Liang_00,Linear_Objective,true,@99F_Liang_Greet_ReuniteFamily_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_00a,Linear_Objective,false,@99F_Liang_Greet_ReuniteFamily_00a,,,,,,"99F_MSQ_ER_FightLiang,99F_MSQ_ER_FightLiang_destroyer,99F_MSQ_ER_FightLiang_musketeer,99F_MSQ_ER_FightLiang_mystic,99F_MSQ_ER_FightLiang_occultist,99F_MSQ_ER_FightLiang_ranger,99F_MSQ_ER_FightLiang_soldier,99F_MSQ_ER_FightLiang_swordsman",99F_MSQ_ER_FightLiang_TalkToSun,,,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_01,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Liang_Start_Greet,,,,,99F_MSQ_08,,,,99F_MSQ_ER_ReuniteFamily,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_01a,Linear_Objective,false,@99F_MSQ09_ReuniteFamily_Liang_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToLiang,,,,,,,,,,,,99F_ReuniteFamily_Liang_TalkTo_01,,,,,,,,,,,,
99F_Liang_02,Linear_Objective,false,@99F_Liang_Greet_ReuniteFamily_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_03,Linear_Objective,false,@99F_Liang_Greet_ReuniteFamily_01,,,,,,99F_MSQ_ER_ReuniteFamily,99F_MSQ_ER_ReuniteFamily_TalkToSun,,,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_04,Linear_Objective,true,@99F_Liang_Greet_ReuniteFamily_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_05,Linear_Objective,true,@99F_Liang_Greet_DeliverPoem_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Liang_06,Linear_Objective,false,@99F_MSQ12_DeliverPoem_Liang_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_DeliverPoem,99F_MSQ_ER_DeliverPoem_TalkToLiang,,,,,,,,,,,,99F_DeliverPoem_Liang_TalkTo_01,,,,,,,,,,,,
99F_Liang_07,Linear_Objective,true,@99F_Liang_Greet_DeliverPoem_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Walker_00,Linear_Objective,true,@99F_Walker_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Wayne_00,Linear_Objective,true,@99F_Wayne_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Wayne_00a,Linear_Objective,false,@99F_MSQ01_GatherAllies_Wayne_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_TalkToWayneSave,,,,,,,,,,,,99F_GatherAllies_Wayne_TalkTo_00,,,,,,,,,,,,
99F_Constance_00,Linear_Objective,true,@99F_Constance_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Eliza_00,Linear_Objective,true,@99F_Eliza_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Samir_00,Linear_Objective,true,@99F_Samir_Greet_CreateRefuge_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99F_Samir_00a,Linear_Objective,false,@99F_MSQ01_GatherAllies_Samir_TalkTo_Start_Greet,,,,,,99F_MSQ_ER_GatherAllies,99F_MSQ_ER_GatherAllies_TalkToSamirSave,,,,,,,,,,,,99F_GatherAllies_Samir_TalkTo_00,,,,,,,,,,,,
