ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,Comment,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
99B_Galahad_p1_02,Linear_Objective,false,@99B_Galahad_p1_02,,,,,99B_MSQ_02_meetgalahad,99B_MSQ_02_d_01_03_04_TalkTo_99B_Galahad_p1_02,"TalkTo, after cinematic - MSQ2",,,,,,,,,,,Topic_99B_Galahad_p1_02,,,,,,,,,,,,
99B_Galahad_p2_01,Linear_Objective,false,@99B_Galahad_p2_01,,,,99B_MSQ_02 && !10_Quest_15,,,,99B_MSQ_03_lostvillages,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p2_01a,Linear_Objective,false,@99B_Galahad_p2_01,,,,99B_MSQ_02 && 10_Quest_15,,,,99B_MSQ_03_lostvillages_alt,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p3_01,Linear_Objective,false,@99B_Galahad_p3_01,,,,,99B_MSQ_03_lostvillages,99B_MSQ_03_d_04_TalkTo_99B_Galahad_p3_01,"TalkTo, before complete - MSQ3",,,,,,,,,,,Topic_99B_Galahad_p3_01,,,,,,,,,,,,
99B_Galahad_p3_02,Linear_Objective,false,@99B_Galahad_p3_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p4_01,Linear_Objective,false,@99B_Galahad_p4_01,,,,99B_MSQ_04,,,,99B_MSQ_05_findingfort,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p4_02,Linear_Objective,false,@99B_Galahad_p4_02,,,,99B_MSQ_05,,,,99B_MSQ_06_lostcathedral,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p4_03,Linear_Objective,false,@99B_Galahad_p4_03,,,,99B_MSQ_06,,,,99B_MSQ_07_cursedcemetery,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p5_01,Linear_Objective,false,@99B_Galahad_p5_01,,,,,99B_MSQ_07_cursedcemetery,99B_MSQ_07_d_03_03_TalkTo_99B_Galahad_p5_01,"TalkTo, east shrine - MSQ7",,,,,,,,,,,Topic_99B_Galahad_p5_01,,,,,,,,,,,,
99B_Galahad_p5_02,Linear_Objective,false,@99B_Galahad_p5_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p6_01,Linear_Objective,false,@99B_Galahad_p6_01,,,,99B_MSQ_08,,,,99B_MSQ_09_killumberto,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p6_02,Linear_Objective,false,@99B_Galahad_p6_02,,,,99B_MSQ_09 && !99_MSQ_26,,,,99B_MSQ_10_cleansefort,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p6_02a,Linear_Objective,false,@99B_Galahad_p6_02,,,,99B_MSQ_09 && 99_MSQ_26,,,,99B_MSQ_10_cleansefort_alt,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p7_01,Linear_Objective,false,@99B_Galahad_p7_01,,,,,,,"default, Fort, after Undercroft",,,,,,,,,,,,,,,,,,,,,,,
99B_Galahad_p7_02,Linear_Objective,false,@99B_Galahad_p7_02,,,,,99B_MSQ_11_weaversvector,99B_MSQ_11_d_01_01_TalkTo_Galahad_p7_02,"TalkTo, Fort - MSQ11",,,,,,,,,,,Topic_99B_Galahad_p7_02,,,,,,,,,,,,
99B_Galahad_p8_01,Linear_Objective,false,@99B_Galahad_p8_01,,,,,,,"Lead-in for WF MSQ, BW FINAL",,,,,,,,,,,,,,,,,,,,,,,
99B_Pennyfather_00,Linear_Objective,true,@99B_Pennyfather_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Pennyfather_01,Linear_Objective,false,@99B_Pennyfather_01,,,,,99B_MSQ_06_lostcathedral,99B_MSQ_06_d_01_TalkTo_Pennyfather_01,"TalkTo, before Cathedral - MSQ6",,,,,,,,,,,Topic_99B_Pennyfather_01,,,,,,,,,,,,
99B_Pennyfather_02,Linear_Objective,false,@99B_Pennyfather_02,,,,99B_MSQ_06_PennyfatherTalkTo_1,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Pennyfather_03,Linear_Objective,false,@99B_Pennyfather_03,,,,,99B_MSQ_06_lostcathedral,99B_MSQ_06_d_04_02_TalkTo_Pennyfather_03,"TalkTo, after Cathedral - MSQ6",,,,,,,,,,,Topic_99B_Pennyfather_03,,,,,,,,,,,,
99B_Pennyfather_04,Linear_Objective,false,@99B_Pennyfather_04,,,,99B_MSQ_06_PennyfatherTalkTo_2,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Pennyfather_05,Linear_Objective,false,@99B_Pennyfather_05,,,,,99B_MSQ_11_weaversvector,99B_MSQ_11_d_02_02_TalkTo_Pennyfather_05,"TalkTo, before cinematic - MSQ11",,,,,,,,,,,Topic_99B_Pennyfather_05,,,,,,,,,,,,
99B_Pennyfather_05a,Linear_Objective,false,@99B_Pennyfather_05a,,,,99B_MSQ_11_PennyfatherTalkTo_3,,,"default, after TalkTo, before cinematic",,,,,,,,,,,,,,,,,,,,,,,
99B_Pennyfather_06,Linear_Objective,false,@99B_Pennyfather_06,,,,,99B_MSQ_11_weaversvector,99B_MSQ_11_d_03_03_TalkTo_Pennyfather_06,"TalkTo, after cinematic - MSQ11",,,,,,,,,,,Topic_99B_Pennyfather_06,,,,,,,,,,,,
99B_Pennyfather_07,Linear_Objective,false,@99B_Pennyfather_07,,,,99B_MSQ_11_PennyfatherTalkTo_4,,,"default, after TalkTo & cinematic - FINAL",,,,,,,,,,,,,,,,,,,,,,,
99B_Grace_00,Linear_Objective,true,@99B_Grace_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Grace_p1_01,Linear_Objective,false,@99B_Grace_p1_01,,,,,99B_MSQ_05_findingfort,99B_MSQ_05_d_03_03_TalkTo_99B_Grace_p1_01,"TalkTo, Fort, before Loot - MSQ5",,,,,,,,,,,Topic_99B_Grace_p1_01,,,,,,,,,,,,
99B_Grace_p1_02,Linear_Objective,false,@99B_Grace_p1_02,,,,,99B_MSQ_05_findingfort,99B_MSQ_05_d_03_04_02_TalkTo_99B_Grace_p1_02,"TalkTo, Fort, after loot - MSQ5",,,,,,,,,,,Topic_99B_Grace_p1_02,,,,,,,,,,,,
99B_Grace_p1_03,Linear_Objective,false,@99B_Grace_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Grace_p2_01,Linear_Objective,false,@99B_Grace_p2_01,,,,99B_MSQ_10,,,"default, after undercroft - FINAL",,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_00,Linear_Objective,true,@99B_Sun_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_p1_01,Linear_Objective,false,@99B_Sun_p1_01,,,,,99B_MSQ_07_cursedcemetery,99B_MSQ_07_d_01_02_TalkTo_99B_Sun_p1_01,"TalkTo, Calvary, before Cemetery - MSQ7",,,,,,,,,,,Topic_99B_Sun_p1_01,,,,,,,,,,,,
99B_Sun_p1_02,Linear_Objective,false,@99B_Sun_p1_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_p2_01,Linear_Objective,false,@99B_Sun_p2_01,,,,99B_MSQ_07,,,,99B_MSQ_08_azothtree,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_p2_02,Linear_Objective,false,@99B_Sun_p2_02,,,,,99B_MSQ_08_azothtree,99B_MSQ_08_d_03_01_TalkTo_99B_Sun_p2_02,"TalkTo, after AzothTree - MSQ8",,,,,,,,,,,Topic_99B_Sun_p2_02,,,,,,,,,,,,
99B_Sun_p2_03,Linear_Objective,false,@99B_Sun_p2_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_p3_01,Linear_Objective,false,@99B_Sun_p3_01,,,,,99B_MSQ_10_cleansefort,99B_MSQ_10_d_02_02_02_TalkTo_99B_Sun_p3_01,"TalkTo, before Undercroft - MSQ10",,,,,,,,,,,Topic_99B_Sun_p3_01,,,,,,,,,,,,
99B_Sun_p3_02,Linear_Objective,false,@99B_Sun_p3_02,,,,,,,"default, after TalkToA",,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_p4_01,Linear_Objective,false,@99B_Sun_p3_03,,,,,99B_MSQ_10_cleansefort,99B_MSQ_10_d_05_05_TalkTo_99B_Sun_p4_01,"TalkTo, after Undercroft - MSQ10",,,,,,,,,,,Topic_99B_Sun_p4_01,,,,,,,,,,,,
99B_Sun_p4_02,Linear_Objective,false,@99B_Sun_p3_04,,,,,,,"default, after TalkToB",,,,,,,,,,,,,,,,,,,,,,,
99B_Sun_p4_03,Linear_Objective,false,@99B_Sun_p3_05,,,,,,,TalkTo during/after vector - FINAL,,,,,,,,,,,,,,,,,,,,,,,
99B_MorgenGrave_A_00,Linear_Objective,true,@99B_MSQ_06_lostcathedral_gravestone_A_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_MorgenGrave_A_01,Linear_Objective,false,@99B_MSQ_06_lostcathedral_gravestone_A_NPC,,,,99B_MSQ_06_MorgenGraves_Toggle,,,"Beauty's Gravestone, Morgenstadt",,,,,,,,,,,Topic_99B_MorgenGrave_family_incorrect,Topic_99B_MorgenGrave_beauty_correct,Topic_99B_MorgenGrave_hunter_incorrect,,,,,,,,,,
99B_MorgenGrave_B_00,Linear_Objective,true,@99B_MSQ_06_lostcathedral_gravestone_B_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_MorgenGrave_B_01,Linear_Objective,false,@99B_MSQ_06_lostcathedral_gravestone_B_NPC,,,,99B_MSQ_06_MorgenGraves_Toggle,,,"Family Man's Gravestone, Morgenstadt",,,,,,,,,,,Topic_99B_MorgenGrave_family_correct,Topic_99B_MorgenGrave_beauty_incorrect,Topic_99B_MorgenGrave_hunter_incorrect,,,,,,,,,,
99B_MorgenGrave_C_00,Linear_Objective,true,@99B_MSQ_06_lostcathedral_gravestone_C_NPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99B_MorgenGrave_C_01,Linear_Objective,false,@99B_MSQ_06_lostcathedral_gravestone_C_NPC,,,,99B_MSQ_06_MorgenGraves_Toggle,,,"Hunter's Gravestone, Morgenstadt",,,,,,,,,,,Topic_99B_MorgenGrave_family_incorrect,Topic_99B_MorgenGrave_beauty_incorrect,Topic_99B_MorgenGrave_hunter_correct,,,,,,,,,,
