ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3,Comment
99D_Yonas_13,Linear_Objective,false,@99D_Yonas_13,,,,,99D_MSQ_08,99D_MSQ_09_Outpost,99D_MSQ_09_Outpost_TalktoYash,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yonas_14,Linear_Objective,false,@99D_Yonas_14,,,,,99D_MSQ_09,99D_MSQ_10_CaerDun,99D_MSQ_10_CaerDun_TalktoYonas,,,,,,,,,,,99D_MSQ_10_Yonas_CaerDun,,,,,,,,,,,,,
99D_Yonas_15,Linear_Objective,false,@99D_Yonas_15,,,,,99D_MSQ_10,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_00,Linear_Objective,true,@99D_Galahad_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_01,Linear_Objective,false,@99D_Galahad_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),,,99D_MSQ_01_RescueWarden,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_02,Linear_Objective,false,@99D_Galahad_02,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),99D_MSQ_01_RescueWarden,99D_MSQ_01_RescueWarden_talkToGalahad,,,,,,,,,,,99D_MSQ_01_Galahad_Resupply,,,,,,,,,,,,,
99D_Galahad_03,Linear_Objective,false,@99D_Galahad_03,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),99D_MSQ_01_RescueWarden,99D_MSQ_01_RescueWarden_Location2_container,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_04,Linear_Objective,false,@99D_Galahad_04,,,,,99D_MSQ_01,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_05,Linear_Objective,false,@99D_Galahad_05,,,,,99D_MSQ_02,,,99D_MSQ_03_ThorpeBackstory,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_06,Linear_Objective,false,@99D_Galahad_06,,,,,99D_MSQ_02,99D_MSQ_03_ThorpeBackstory,99D_MSQ_03_ThorpeBackstory_talkToYonas,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_07,Linear_Objective,false,@99D_Galahad_07,,,,,99D_MSQ_03,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_08,Linear_Objective,false,@99D_Galahad_08,,,,,99D_MSQ_04,99D_MSQ_05_CrossBridge,99D_MSQ_05_CrossBridge_talkToGalahad,,,,,,,,,,,99D_MSQ_05_Galahad_westoutpost,,,,,,,,,,,,,
99D_Galahad_09,Linear_Objective,false,@99D_Galahad_09,,,,,99D_MSQ_04 && SwapActive_MSQ_Galahad_GC_E,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_10,Linear_Objective,false,@99D_Galahad_10,,,,,99D_MSQ_04 && SwapActive_MSQ_Galahad_GC_E && Lore_unlock_03_GreatCleave_Title_11_06,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_11,Linear_Objective,false,@99D_Galahad_11,,,,,99D_MSQ_05,,,99D_MSQ_06_DestroyPortals,,,,,,,,,,,,,,,,,,,,,,,
99D_Galahad_12,Linear_Objective,false,@99D_Galahad_12,,,,,99D_MSQ_09,99D_MSQ_10_CaerDun,99D_MSQ_10_CaerDun_TalktoGalahad,,,,,,,,,,,99D_MSQ_10_Galahad_DefendCaerDun,,,,,,,,,,,,,
99D_Galahad_13,Linear_Objective,false,@99D_Galahad_13,,,,,99D_MSQ_09,99D_MSQ_10_CaerDun,99D_MSQ_10_CaerDun_ChopForPlanks1,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_00,Linear_Objective,true,@99D_Yash_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_01,Linear_Objective,false,@99D_Yash_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),99D_MSQ_01_RescueWarden,99D_MSQ_01_RescueWarden_talkToYash,,,,,,,,,,,99D_MSQ_01_Yash_RescueWarden,,,,,,,,,,,,,
99D_Yash_02,Linear_Objective,false,@99D_Yash_06,,,,,(99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56)) && SwapActive_MSQ_Yash_GC_B,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_03,Linear_Objective,false,@99D_Yash_03,,,,,99D_MSQ_04,99D_MSQ_05_CrossBridge,99D_MSQ_05_CrossBridge_talkToYash,,,,,,,,,,,99D_MSQ_05_Yash_ExchangeInfo,,,,,,,,,,,,,
99D_Yash_04,Linear_Objective,false,@99D_Yash_04,,,,,99D_MSQ_04,99D_MSQ_05_CrossBridge,99D_MSQ_05_CrossBridge_GoToPOI2,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_05,Linear_Objective,false,@99D_Yash_05,,,,,99D_MSQ_06,99D_MSQ_07_PortalFight,99D_MSQ_07_PortalFight_talkToYashPortal,,,,,,,,,,,99D_MSQ_07_Yash_Portal,,,,,,,,,,,,,
99D_Yash_06,Linear_Objective,false,@99D_Yash_06,,,,,99D_MSQ_06 && 99D_Unlock_CorruptedPortal,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_07,Linear_Objective,false,@99D_Yash_07,,,,,99D_MSQ_06 && 99D_Unlock_CorruptedShrine,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_08,Linear_Objective,false,@99D_Yash_08,,,,,99D_MSQ_07,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_09,Linear_Objective,false,@99D_Yash_09,,,,,99D_MSQ_07 && SwapActive_MSQ_Yash_GC_G,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_10,Linear_Objective,false,@99D_Yash_10,,,,,99D_MSQ_08,,,99D_MSQ_09_Outpost,,,,,,,,,,,,,,,,,,,,,,,
99D_Yash_11,Linear_Objective,false,@99D_Yash_11,,,,,99D_MSQ_08,99D_MSQ_09_Outpost,99D_MSQ_09_Outpost_TalktoYash,,,,,,,,,,,99D_MSQ_09_Yash_Medicine,,,,,,,,,,,,,
99D_Yash_12,Linear_Objective,false,@99D_Yash_12,,,,,99D_MSQ_09,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Grace_00,Linear_Objective,true,@99D_Grace_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_Grace_01,Linear_Objective,false,@99D_Grace_01,,,,,99D_MSQ_08,99D_MSQ_09_Outpost,99D_MSQ_09_Outpost_TalktoGrace,,,,,,,,,,,99D_MSQ_09_Grace_Supplies,,,,,,,,,,,,,
99D_Grace_02,Linear_Objective,false,@99D_Grace_02,,,,,99D_MSQ_08,99D_MSQ_09_Outpost,99D_MSQ_09_Outpost_SearchMedicine,,,,,,,,,,,,,,,,,,,,,,,,
99D_Grace_03,Linear_Objective,false,@99D_Grace_03,,,,,99D_MSQ_09,,,99D_MSQ_10_CaerDun,,,,,,,,,,,,,,,,,,,,,,,
99D_JuditheOwens_00,Linear_Objective,true,@99D_JuditheOwens_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JuditheOwens_01,Linear_Objective,false,@99D_JuditheOwens_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),99D_MSQ_01_RescueWarden,99D_MSQ_01_RescueWarden_talkToWardenA,,,,,,,,,,,99D_MSQ_01_Judithe_RescueWarden,,,,,,,,,,,,,
99D_JuditheOwens_02,Linear_Objective,false,@99D_JuditheOwens_02,,,,,(99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56)) && SwapActive_MSQ_SoulWardenA_B,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JuditheOwens_03,Linear_Objective,false,@99D_JuditheOwens_03,,,,,99D_MSQ_05,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JuditheOwens_04,Linear_Objective,false,@99D_JuditheOwens_04,,,,,99D_MSQ_07,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_PedroCarrillo_00,Linear_Objective,true,@99D_PedroCarrillo_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_PedroCarrillo_01,Linear_Objective,false,@99D_PedroCarrillo_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),99D_MSQ_01_RescueWarden,99D_MSQ_01_RescueWarden_talkToWardenB,,,,,,,,,,,99D_MSQ_01_Pedro_RescueWarden,,,,,,,,,,,,,
99D_PedroCarrillo_02,Linear_Objective,false,@99D_PedroCarrillo_02,,,,,(99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56)) && SwapActive_MSQ_SoulWardenB_B,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_PedroCarrillo_03,Linear_Objective,false,@99D_PedroCarrillo_03,,,,,99D_MSQ_05,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_PedroCarrillo_04,Linear_Objective,false,@99D_PedroCarrillo_04,,,,,99D_MSQ_08,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_PedroCarrillo_05,Linear_Objective,false,@99D_PedroCarrillo_00,,,,,(99D_MSQ_08 || 99_MSQ_35) && 03_Quest_30,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_OfusaMatsui_00,Linear_Objective,true,@99D_OfusaMatsui_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_OfusaMatsui_01,Linear_Objective,false,@99D_OfusaMatsui_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),,,,,,,,,,,,,,,,,,,,,,,,,,
99D_OfusaMatsui_02,Linear_Objective,false,@99D_OfusaMatsui_02,,,,,99D_MSQ_06,99D_MSQ_07_PortalFight,99D_MSQ_07_PortalFight_talkToWardenC,,,,,,,,,,,99D_MSQ_07_Ofusa_RescuePortal,,,,,,,,,,,,,
99D_OfusaMatsui_03,Linear_Objective,false,@99D_OfusaMatsui_03,,,,,99D_MSQ_06 && SwapActive_MSQ_SoulWardenC_C,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_OfusaMatsui_04,Linear_Objective,false,@99D_OfusaMatsui_04,,,,,99D_MSQ_07,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_OfusaMatsui_05,Linear_Objective,false,@99D_OfusaMatsui_05,,,,,99D_MSQ_08,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JacquetDavy_00,Linear_Objective,true,@99D_JacquetDavy_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JacquetDavy_01,Linear_Objective,false,@99D_JacquetDavy_01,,,,,99C_MSQ_12||(99_MSQ_35&&!99_MSQ_56),,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JacquetDavy_02,Linear_Objective,false,@99D_JacquetDavy_02,,,,,99D_MSQ_06,99D_MSQ_07_PortalFight,99D_MSQ_07_PortalFight_talkToWardenD,,,,,,,,,,,99D_MSQ_07_Jacquet_RescuePortal,,,,,,,,,,,,,
99D_JacquetDavy_03,Linear_Objective,false,@99D_JacquetDavy_03,,,,,99D_MSQ_06 && SwapActive_MSQ_SoulWardenD_A,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JacquetDavy_04,Linear_Objective,false,@99D_JacquetDavy_04,,,,,99D_MSQ_08,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_PhanDacKien_00,Linear_Objective,true,@99D_PhanDacKien_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99D_JamesSexton_00,Linear_Objective,true,@99D_JamesSexton_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
