ConversationStateId,ConversationType,IsInitialState,DefaultDialogue,ForceConversationOpen,RequiredFaction,RequiredProgression,RequiredLevel,RequiredAchievement,RequiredActiveObjectiveId,RequiredActiveTaskId,LinearObjectiveId1,LinearObjectiveId2,LinearObjectiveId3,LinearObjectiveId4,LinearObjectiveId5,LinearObjectiveId6,LinearObjectiveId7,LinearObjectiveId8,LinearObjectiveId9,LinearObjectiveId10,TopicId1,TopicId2,TopicId3,TopicId4,TopicId5,TopicId6,TopicId7,TopicId8,TopicId9,TopicId10,ConversationService1,ConversationService2,ConversationService3
9401_01_EF_Rally_2,Linear_Objective,false,@9401_Rally_2_proposal,,,,,9401_TutorialComplete,,,EF_Rally_2,,,,,,,,,,,,,,,,,,,,,,
9402_00_WF_Tour_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402_01_WF_Tour_1,Linear_Objective,false,@9402_Tour_1_proposal,,,,,9401_VectorWF_Complete,9402_Races,9402_Races_Container1,WF_Tour_1,,,,,,,,,,,,,,,,,,,,,,
9402_00_WF_Tour_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402_01_WF_Tour_2,Linear_Objective,false,@9402_Tour_2_proposal,,,,,9401_VectorWF_Complete,9402_Races,9402_Races_Container1,WF_Tour_2,,,,,,,,,,,,,,,,,,,,,,
9402_00_WF_Tour_3,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402_01_WF_Tour_3,Linear_Objective,false,@9402_Tour_3_proposal,,,,,9401_VectorWF_Complete,9402_Races,9402_Races_Container1,WF_Tour_3,,,,,,,,,,,,,,,,,,,,,,
9402_00_WF_Rally_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402_01_WF_Rally_1,Linear_Objective,false,@9402_Rally_1_proposal,,,,,9401_VectorWF_Complete,9402_Races,9402_Races_Container1,WF_Rally_1,,,,,,,,,,,,,,,,,,,,,,
9402_00_WF_Rally_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9402_01_WF_Rally_2,Linear_Objective,false,@9402_Rally_2_proposal,,,,,9401_VectorWF_Complete,9402_Races,9402_Races_Container1,WF_Rally_2,,,,,,,,,,,,,,,,,,,,,,
9403_00_GC_Tour_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403_01_GC_Tour_1,Linear_Objective,false,@9403_Tour_1_proposal,,,,,9403_FreeWolves_complete,9403_Races,9403_Races_Container1,GC_Tour_1,,,,,,,,,,,,,,,,,,,,,,
9403_00_GC_Tour_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403_01_GC_Tour_2,Linear_Objective,false,@9403_Tour_2_proposal,,,,,9403_FreeWolves_complete,9403_Races,9403_Races_Container1,GC_Tour_2,,,,,,,,,,,,,,,,,,,,,,
9403_00_GC_Tour_3,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403_01_GC_Tour_3,Linear_Objective,false,@9403_Tour_3_proposal,,,,,9403_FreeWolves_complete,9403_Races,9403_Races_Container1,GC_Tour_3,,,,,,,,,,,,,,,,,,,,,,
9403_00_GC_Rally_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403_01_GC_Rally_1,Linear_Objective,false,@9403_Rally_1_proposal,,,,,9403_FreeWolves_complete,9403_Races,9403_Races_Container1,GC_Rally_1,,,,,,,,,,,,,,,,,,,,,,
9403_00_GC_Rally_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9403_01_GC_Rally_2,Linear_Objective,false,@9403_Rally_2_proposal,,,,,9403_FreeWolves_complete,9403_Races,9403_Races_Container1,GC_Rally_2,,,,,,,,,,,,,,,,,,,,,,
9404_00_BS_Tour_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404_01_BS_Tour_1,Linear_Objective,false,@9404_Tour_1_proposal,,,,,9403_VectorBS_Complete,9404_Races,9404_Races_Container1,BS_Tour_1,,,,,,,,,,,,,,,,,,,,,,
9404_00_BS_Tour_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404_01_BS_Tour_2,Linear_Objective,false,@9404_Tour_2_proposal,,,,,9403_VectorBS_Complete,9404_Races,9404_Races_Container1,BS_Tour_2,,,,,,,,,,,,,,,,,,,,,,
9404_00_BS_Tour_3,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404_01_BS_Tour_3,Linear_Objective,false,@9404_Tour_3_proposal,,,,,9403_VectorBS_Complete,9404_Races,9404_Races_Container1,BS_Tour_3,,,,,,,,,,,,,,,,,,,,,,
9404_00_BS_Rally_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404_01_BS_Rally_1,Linear_Objective,false,@9404_Rally_1_proposal,,,,,9403_VectorBS_Complete,9404_Races,9404_Races_Container1,BS_Rally_1,,,,,,,,,,,,,,,,,,,,,,
9404_00_BS_Rally_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9404_01_BS_Rally_2,Linear_Objective,false,@9404_Rally_2_proposal,,,,,9403_VectorBS_Complete,9404_Races,9404_Races_Container1,BS_Rally_2,,,,,,,,,,,,,,,,,,,,,,
9405_00_EW_Tour_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_EW_Tour_1,Linear_Objective,false,@9405_Tour_1_proposal,,,,,9405_RescueLion_complete,9405_Races,9405_Races_Container1,EW_Tour_1,,,,,,,,,,,,,,,,,,,,,,
9405_00_EW_Tour_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_EW_Tour_2,Linear_Objective,false,@9405_Tour_2_proposal,,,,,9405_RescueLion_complete,9405_Races,9405_Races_Container1,EW_Tour_2,,,,,,,,,,,,,,,,,,,,,,
9405_00_EW_Tour_3,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_EW_Tour_3,Linear_Objective,false,@9405_Tour_3_proposal,,,,,9405_RescueLion_complete,9405_Races,9405_Races_Container1,EW_Tour_3,,,,,,,,,,,,,,,,,,,,,,
9405_00_EW_Rally_1,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_EW_Rally_1,Linear_Objective,false,@9405_Rally_1_proposal,,,,,9405_RescueLion_complete,9405_Races,9405_Races_Container1,EW_Rally_1,,,,,,,,,,,,,,,,,,,,,,
9405_00_EW_Rally_2,Linear_Objective,true,@9401_Tour_blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9405_01_EW_Rally_2,Linear_Objective,false,@9405_Rally_2_proposal,,,,,9405_RescueLion_complete,9405_Races,9405_Races_Container1,EW_Rally_2,,,,,,,,,,,,,,,,,,,,,,
94_VectorNote,Linear_Objective,true,@9401_JochiNote_Default_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94_VectorNote_01,Linear_Objective,false,@9401_JochiNote_Start_Default,,,,25,Expansion_2023_Unlock && !9401_Befriend_Started,,,9401_MountVector,,,,,,,,,,,,,,,,,,,,,,
94_VectorNote_02,Linear_Objective,false,@9401_JochiNote_Default_01,,,,,!Expansion_2023_Unlock,,,,,,,,,,,,,,,,,,,,,,,,,
