ContentId,SubtitleText,BodyText,KeyboardButtonDisplayOverride,ImagePath,IconPath
WeaponVoidGauntlet2Dialogue_01,@tutorial_voidgauntlet2_01_subtitle,@tutorial_voidgauntlet2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponVoidGauntlet3Prompt_01,@tutorial_tutorial_available,@tutorial_voidgauntlet3_01_prompt_body,,,
WeaponVoidGauntlet3Dialogue_01,@tutorial_voidgauntlet3_01_subtitle,@tutorial_voidgauntlet3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponSwordShield1Prompt_01,@tutorial_tutorial_available,@tutorial_swordshield1_01_prompt_body,,,
WeaponSwordShield1Dialogue_01,@tutorial_swordshield1_01_subtitle,@tutorial_swordshield1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponSwordShield2Prompt_01,@tutorial_tutorial_available,@tutorial_swordshield2_01_prompt_body,,,
WeaponSwordShield2Dialogue_01,@tutorial_swordshield2_01_subtitle,@tutorial_swordshield2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponSwordShield3Prompt_01,@tutorial_tutorial_available,@tutorial_swordshield3_01_prompt_body,,,
WeaponSwordShield3Dialogue_01,@tutorial_swordshield3_01_subtitle,@tutorial_swordshield3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponRapier1Prompt_01,@tutorial_tutorial_available,@tutorial_rapier1_01_prompt_body,,,
WeaponRapier1Dialogue_01,@tutorial_rapier1_01_subtitle,@tutorial_rapier1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponRapier2Prompt_01,@tutorial_tutorial_available,@tutorial_rapier2_01_prompt_body,,,
WeaponRapier2Dialogue_01,@tutorial_rapier2_01_subtitle,@tutorial_rapier2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponRapier3Prompt_01,@tutorial_tutorial_available,@tutorial_rapier3_01_prompt_body,,,
WeaponRapier3Dialogue_01,@tutorial_rapier3_01_subtitle,@tutorial_rapier3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponHatchet1Prompt_01,@tutorial_tutorial_available,@tutorial_hatchet1_01_prompt_body,,,
WeaponHatchet1Dialogue_01,@tutorial_hatchet1_01_subtitle,@tutorial_hatchet1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponHatchet2Prompt_01,@tutorial_tutorial_available,@tutorial_hatchet2_01_prompt_body,,,
WeaponHatchet2Dialogue_01,@tutorial_hatchet2_01_subtitle,@tutorial_hatchet2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponHatchet3Prompt_01,@tutorial_tutorial_available,@tutorial_hatchet3_01_prompt_body,,,
WeaponHatchet3Dialogue_01,@tutorial_hatchet3_01_subtitle,@tutorial_hatchet3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponFlail1Prompt_01,@tutorial_tutorial_available,@tutorial_flail1_01_prompt_body,,,
WeaponFlail1Dialogue_01,@tutorial_flail1_01_subtitle,@tutorial_flail1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponFlail2Prompt_01,@tutorial_tutorial_available,@tutorial_flail2_01_prompt_body,,,
WeaponFlail2Dialogue_01,@tutorial_flail2_01_subtitle,@tutorial_flail2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponFlail3Prompt_01,@tutorial_tutorial_available,@tutorial_flail3_01_prompt_body,,,
WeaponFlail3Dialogue_01,@tutorial_flail3_01_subtitle,@tutorial_flail3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponSpear1Prompt_01,@tutorial_tutorial_available,@tutorial_spear1_01_prompt_body,,,
WeaponSpear1Dialogue_01,@tutorial_spear1_01_subtitle,@tutorial_spear1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponSpear2Prompt_01,@tutorial_tutorial_available,@tutorial_spear2_01_prompt_body,,,
WeaponSpear2Dialogue_01,@tutorial_spear2_01_subtitle,@tutorial_spear2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponSpear3Prompt_01,@tutorial_tutorial_available,@tutorial_spear3_01_prompt_body,,,
WeaponSpear3Dialogue_01,@tutorial_spear3_01_subtitle,@tutorial_spear3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponGreatAxe1Prompt_01,@tutorial_tutorial_available,@tutorial_greataxe1_01_prompt_body,,,
WeaponGreatAxe1Dialogue_01,@tutorial_greataxe1_01_subtitle,@tutorial_greataxe1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponGreatAxe2Prompt_01,@tutorial_tutorial_available,@tutorial_greataxe2_01_prompt_body,,,
WeaponGreatAxe2Dialogue_01,@tutorial_greataxe2_01_subtitle,@tutorial_greataxe2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponGreatAxe3Prompt_01,@tutorial_tutorial_available,@tutorial_greataxe3_01_prompt_body,,,
WeaponGreatAxe3Dialogue_01,@tutorial_greataxe3_01_subtitle,@tutorial_greataxe3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponWarHammer1Prompt_01,@tutorial_tutorial_available,@tutorial_warhammer1_01_prompt_body,,,
WeaponWarHammer1Dialogue_01,@tutorial_warhammer1_01_subtitle,@tutorial_warhammer1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponWarHammer2Prompt_01,@tutorial_tutorial_available,@tutorial_warhammer2_01_prompt_body,,,
WeaponWarHammer2Dialogue_01,@tutorial_warhammer2_01_subtitle,@tutorial_warhammer2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponWarHammer3Prompt_01,@tutorial_tutorial_available,@tutorial_warhammer3_01_prompt_body,,,
WeaponWarHammer3Dialogue_01,@tutorial_warhammer3_01_subtitle,@tutorial_warhammer3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponGreatsword1Prompt_01,@tutorial_tutorial_available,@tutorial_greatsword1_01_prompt_body,,,
WeaponGreatsword1Dialogue_01,@tutorial_greatsword1_01_subtitle,@tutorial_greatsword1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponGreatsword2Prompt_01,@tutorial_tutorial_available,@tutorial_greatsword2_01_prompt_body,,,
WeaponGreatsword2Dialogue_01,@tutorial_greatsword2_01_subtitle,@tutorial_greatsword2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponGreatsword3Prompt_01,@tutorial_tutorial_available,@tutorial_greatsword3_01_prompt_body,,,
WeaponGreatsword3Dialogue_01,@tutorial_greatsword3_01_subtitle,@tutorial_greatsword3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponBow1Prompt_01,@tutorial_tutorial_available,@tutorial_bow1_01_prompt_body,,,
WeaponBow1Dialogue_01,@tutorial_bow1_01_subtitle,@tutorial_bow1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponBow2Prompt_01,@tutorial_tutorial_available,@tutorial_bow2_01_prompt_body,,,
WeaponBow2Dialogue_01,@tutorial_bow2_01_subtitle,@tutorial_bow2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponBow3Prompt_01,@tutorial_tutorial_available,@tutorial_bow3_01_prompt_body,,,
WeaponBow3Dialogue_01,@tutorial_bow3_01_subtitle,@tutorial_bow3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponMusket1Prompt_01,@tutorial_tutorial_available,@tutorial_musket1_01_prompt_body,,,
WeaponMusket1Dialogue_01,@tutorial_musket1_01_subtitle,@tutorial_musket1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponMusket2Prompt_01,@tutorial_tutorial_available,@tutorial_musket2_01_prompt_body,,,
WeaponMusket2Dialogue_01,@tutorial_musket2_01_subtitle,@tutorial_musket2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponMusket3Prompt_01,@tutorial_tutorial_available,@tutorial_musket3_01_prompt_body,,,
WeaponMusket3Dialogue_01,@tutorial_musket3_01_subtitle,@tutorial_musket3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponBlunderbuss1Prompt_01,@tutorial_tutorial_available,@tutorial_blunderbuss1_01_prompt_body,,,
WeaponBlunderbuss1Dialogue_01,@tutorial_blunderbuss1_01_subtitle,@tutorial_blunderbuss1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponBlunderbuss2Prompt_01,@tutorial_tutorial_available,@tutorial_blunderbuss2_01_prompt_body,,,
WeaponBlunderbuss2Dialogue_01,@tutorial_blunderbuss2_01_subtitle,@tutorial_blunderbuss2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
WeaponBlunderbuss3Prompt_01,@tutorial_tutorial_available,@tutorial_blunderbuss3_01_prompt_body,,,
WeaponBlunderbuss3Dialogue_01,@tutorial_blunderbuss3_01_subtitle,@tutorial_blunderbuss3_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
HealthPotion1Prompt_01,@tutorial_healthpotion_01_subtitle,@tutorial_healthpotion_01_prompt_body,@tutorial_healthpotion_01_prompt_body_KBAM,,
HealthPotion1Dialogue_01,@tutorial_healthpotion_01_subtitle,@tutorial_healthpotion_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/HealthPotion.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
SwapWeaponsPrompt_01,@tutorial_swapweapons_01_subtitle,@tutorial_swapweapons_01_prompt_body,@tutorial_swapweapons_01_prompt_body_KBAM,,
AimingPrompt_01,@tutorial_aiming_01_subtitle,@tutorial_aiming_01_prompt_body,,,
CampCreatePrompt_01,@tutorial_camp_create_01_subtitle,@tutorial_camp_create_01_prompt_body,,,
CampUsePrompt_01,@tutorial_tutorial_available,@tutorial_camp_use_01_prompt_body,,,
CampUseDialogue_01,@tutorial_camp_use_01_subtitle,@tutorial_camp_use_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/ArcaneCampCrafting.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_exploration.png
EquipLoadPrompt_01,@tutorial_tutorial_available,@tutorial_equipload_01_prompt_body,,,
EquipLoadDialogue_01,@tutorial_equipload_01_subtitle,@tutorial_equipload_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/EquipLoad.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
SocialMenuPrompt_01,@tutorial_socialmenu_01_subtitle,@tutorial_socialmenu_01_prompt_body,,,
GroupFinderPrompt_01,@tutorial_groupfinder_01_subtitle,@tutorial_groupfinder_01_prompt_body,,,
GroupFinderDialogue_01,@tutorial_groupfinder_01_subtitle,@tutorial_groupfinder_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
CompassPrompt_01,@tutorial_compass_01_subtitle,@tutorial_compass_01_prompt_body,,,
CompassDialogue_01,@tutorial_compass_01_subtitle,@tutorial_compass_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_exploration.png
SkinsPrompt_01,@tutorial_skins_01_subtitle,@tutorial_skins_01_prompt_body,,,
SkinsDialogue_01,@tutorial_skins_01_subtitle,@tutorial_skins_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
Housing1Prompt_01,@tutorial_tutorial_available,@tutorial_housing1_01_prompt_body,,,
Housing1Dialogue_01,@tutorial_housing1_01_subtitle,@tutorial_housing1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
GearUpgradePrompt_01,@tutorial_gearupgrade_01_subtitle,@tutorial_gearupgrade_01_prompt_body,@tutorial_gearupgrade_01_prompt_body_kbam,,
EncumbrancePrompt_01,@tutorial_encumbrance_01_subtitle,@tutorial_encumbrance_01_prompt_body,,,
BagPrompt_01,@tutorial_tutorial_available,@tutorial_bags_01_prompt_body,,,
BagDialogue_01,@tutorial_bags_01_subtitle,@tutorial_bags_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
SalvagingPrompt_01,@tutorial_salvaging_01_subtitle,@tutorial_salvaging_01_prompt_body,,,
SalvagingDialogue_01,@tutorial_salvaging_01_subtitle,@tutorial_salvaging_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
ArtifactsPrompt_01,@tutorial_tutorial_available,@tutorial_artifacts_01_prompt_body,,,
ArtifactsDialogue_01,@tutorial_artifacts_01_subtitle,@tutorial_artifacts_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
EmotesPrompt_01,@tutorial_emotes_01_subtitle,@tutorial_emotes_01_prompt_body,@tutorial_emotes_01_prompt_body_KBAM,,
EmotesDialogue_01,@tutorial_emotes_01_subtitle,@tutorial_emotes_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
GypsumAndKilnPrompt_01,@tutorial_tutorial_available,@tutorial_gypsum_and_kiln_01_prompt_body,,,
GypsumAndKilnDialogue_01,@tutorial_gypsum_and_kiln_01_subtitle,@tutorial_gypsum_and_kiln_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/GypsumKiln.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
CompaniesPrompt_01,@tutorial_tutorial_available,@tutorial_companies_01_prompt_body,,,
CompaniesDialogue_01,@tutorial_companies_01_subtitle,@tutorial_companies_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
PvPFlaggingPrompt_01,@tutorial_pvp_flagging_01_subtitle,@tutorial_pvp_flagging_01_prompt_body,@tutorial_pvp_flagging_01_prompt_body_KBAM,,
PvPFlaggingDialogue_01,@tutorial_pvp_flagging_01_subtitle,@tutorial_pvp_flagging_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
TemporaryPrompt,@temporary_text_delete_me_subtitle,@temporary_text_delete_me_prompt,,,
TemporaryDialogue,@temporary_text_delete_me_subtitle,@temporary_text_delete_me_dialogue,,,
FTUELoot_01,@tutorial_ftue_loot_01_prompt_subtitle,@tutorial_ftue_loot_01_prompt_body,,,
FTUESwim_01,@tutorial_ftue_swim_01_prompt_subtitle,@tutorial_ftue_swim_01_prompt_body,,,
ExpeditionsPrompt_01,@tutorial_expeditions_01_subtitle,@tutorial_expeditions_01_prompt_body,,,
ExpeditionsDialogue_01,@tutorial_expeditions_01_subtitle,@tutorial_expeditions_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/Expeditions.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_exploration.png
ExpeditionsRolesPrompt_01,@tutorial_tutorial_available,@tutorial_expeditions_roles_01_prompt_body,,,
ExpeditionsRolesDialogue_01,@tutorial_expeditions_roles_01_subtitle,@tutorial_expeditions_roles_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/GroupFinderRoles.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_exploration.png
ExpeditionsMutatorsPrompt_01,@tutorial_tutorial_available,@tutorial_expeditions_mutators_01_prompt_body,,,
ExpeditionsMutatorsDialogue_01,@tutorial_expeditions_mutators_01_subtitle,@tutorial_expeditions_mutators_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/ExpeditionsMutated.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_exploration.png
TargetLock1Prompt_01,@tutorial_target_lock_01_subtitle,@tutorial_target_lock_01_prompt_body,,,
TargetLock1Dialogue_01,@tutorial_target_lock_01_subtitle,@tutorial_target_lock_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
FortBonuses1Prompt_01,@tutorial_tutorial_available,@tutorial_fort_bonuses_01_prompt_body,,,
FortBonuses1Dialogue_01,@tutorial_fort_bonuses_01_subtitle,@tutorial_fort_bonuses_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
RaidGroups1Prompt_01,@tutorial_raid_groups_01_subtitle,@tutorial_raid_groups_01_prompt_body,,,
RaidGroups1Dialogue_01,@tutorial_raid_groups_01_subtitle,@tutorial_raid_groups_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
Groups1Prompt_01,@tutorial_groups_01_subtitle,@tutorial_groups_01_prompt_body,,,
Groups1Dialogue_01,@tutorial_groups_01_subtitle,@tutorial_groups_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
Pinging1Prompt_01,@tutorial_pinging_01_subtitle,@tutorial_pinging_01_prompt_body,,,
Pinging1Dialogue_01,@tutorial_pinging_01_subtitle,@tutorial_pinging_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
ManageRaids1Prompt_01,@tutorial_manage_raids_01_subtitle,@tutorial_manage_raids_01_prompt_body,,,
ManageRaids1Dialogue_01,@tutorial_manage_raids_01_subtitle,@tutorial_manage_raids_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
MountDashButton1Prompt_01,@tutorial_mount_dash_button_01_subtitle,@tutorial_mount_dash_button_01_prompt_body,,,
MountDashButton1Dialogue_01,@tutorial_mount_dash_button_01_subtitle,@tutorial_mount_dash_button_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
MountCustomization1Prompt_01,@tutorial_tutorial_available,@tutorial_mount_customization_01_prompt_body,,,
MountCustomization1Dialogue_01,@tutorial_mount_customization_01_subtitle,@tutorial_mount_customization_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
Dueling1Prompt_01,@tutorial_dueling1_01_subtitle,@tutorial_dueling1_01_prompt_body,,,
Dueling1Dialogue_01,@tutorial_dueling1_01_subtitle,@tutorial_dueling1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
TerritoryOwnership1Prompt_01,@tutorial_tutorial_available,@tutorial_territory_ownership1_01_prompt_body,,,
TerritoryOwnership1Dialogue_01,@tutorial_territory_ownership1_01_subtitle,@tutorial_territory_ownership1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
WarsAndInvasions1Prompt_01,@tutorial_tutorial_available,@tutorial_wars_and_invasions1_01_prompt_body,,,
WarsAndInvasions1Dialogue_01,@tutorial_wars_and_invasions1_01_subtitle,@tutorial_wars_and_invasions1_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/WarBoard.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
PvPRewardsTrack1Prompt_01,@tutorial_tutorial_available,@tutorial_pvp_rewards_track1_01_prompt_body,,,
PvPRewardsTrack1Dialogue_01,@tutorial_pvp_rewards_track1_01_subtitle,@tutorial_pvp_rewards_track1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
ItemPerks1Prompt_01,@tutorial_tutorial_available,@tutorial_itemperks1_01_prompt_body,,,
ItemPerks1Dialogue_01,@tutorial_itemperks1_01_subtitle,@tutorial_itemperks1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
ItemPerks1Dialogue_02,@tutorial_itemperks1_02_subtitle,@tutorial_itemperks1_02_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
GemPerks1Prompt_01,@tutorial_tutorial_available,@tutorial_gemperks1_01_prompt_body,,,
GemPerks1Dialogue_01,@tutorial_gemperks1_01_subtitle,@tutorial_gemperks1_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/GemSlot.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
GemPerks1Dialogue_02,@tutorial_gemperks1_02_subtitle,@tutorial_gemperks1_02_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
GemPerks2Prompt_01,@tutorial_tutorial_available,@tutorial_gemperks2_01_prompt_body,,,
GemPerks2Dialogue_01,@tutorial_gemperks2_01_subtitle,@tutorial_gemperks2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
StatusEffects1Prompt_01,@tutorial_tutorial_available,@tutorial_statuseffects1_01_prompt_body,,,
StatusEffects1Dialogue_01,@tutorial_statuseffects1_01_subtitle,@tutorial_statuseffects1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
StatusEffects1Dialogue_02,@tutorial_statuseffects1_02_subtitle,@tutorial_statuseffects1_02_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
StatusEffects1Dialogue_03,@tutorial_statuseffects1_03_subtitle,@tutorial_statuseffects1_03_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
StatusEffects1Dialogue_04,@tutorial_statuseffects1_04_subtitle,@tutorial_statuseffects1_04_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
GRIT1Prompt_01,@tutorial_grit1_01_subtitle,@tutorial_grit1_01_prompt_body,,LyShineUI/Images/PlayerTutorials/Grit.png,
GRIT1Dialogue_01,@tutorial_grit1_01_subtitle,@tutorial_grit1_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/Grit.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
GearScore1Prompt_01,@tutorial_tutorial_available,@tutorial_gear_score1_01_prompt_body,,,
GearScore1Dialogue_01,@tutorial_gear_score1_01_subtitle,@tutorial_gear_score1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
Crafting1Prompt_01,@tutorial_tutorial_available,@tutorial_crafting1_01_prompt_body,,,
Crafting1Dialogue_01,@tutorial_crafting1_01_subtitle,@tutorial_crafting1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tradeskill.png
Crafting2Prompt_01,@tutorial_tutorial_available,@tutorial_crafting2_01_prompt_body,,,
Crafting2Dialogue_01,@tutorial_crafting2_01_subtitle,@tutorial_crafting2_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tradeskill.png
Crafting_EndGame1Prompt_01,@tutorial_tutorial_available,@tutorial_crafting_end_game1_01_prompt_body,,,
Crafting_EndGame1Dialogue_01,@tutorial_crafting_end_game1_01_subtitle,@tutorial_crafting_end_game1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tradeskill.png
TownBoards1Prompt_01,@tutorial_tutorial_available,@tutorial_town_boards1_01_prompt_body,,,
TownBoards1Dialogue_01,@tutorial_town_boards1_01_subtitle,@tutorial_town_boards1_01_dialogue_body,,LyShineUI/Images/PlayerTutorials/TownBoard.png,LyShineUI/Images/Icons/PlayerTutorials/icon_title_tip.png
GearSets_Storage1Prompt_01,@tutorial_tutorial_available,@tutorial_gear_sets_storage1_01_prompt_body,,,
GearSets_Storage1Dialogue_01,@tutorial_gear_sets_storage1_01_subtitle,@tutorial_gear_sets_storage1_01_dialogue_body,,,LyShineUI/Images/Icons/PlayerTutorials/icon_title_combat.png
GearSets_Using1Prompt_01,@tutorial_gear_sets_using1_01_subtitle,@tutorial_gear_sets_using1_01_prompt_body,@tutorial_gear_sets_using1_01_prompt_body_KBAM,,
