Rank,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,AvailableProgressionPoint1,AvailableProgressionPoint2,AvailableProgressionPoint3,AvailableProgressionPoint4
253,,0,1,1,0,true,,,,,
254,,0,1,1,0,true,,,,,
255,,0,1,1,0,true,,,,,
256,,0,1,1,0,true,,,,,
257,,0,1,1,0,true,,,,,
258,,0,1,1,0,true,,,,,
259,,0,1,1,0,true,,,,,
260,,0,1,1,0,true,,,,,
261,,0,1,1,0,true,,,,,
262,,0,1,1,0,true,,,,,
263,,0,1,1,0,true,,,,,
264,,0,1,1,0,true,,,,,
265,,0,1,1,0,true,,,,,
266,,0,1,1,0,true,,,,,
267,,0,1,1,0,true,,,,,
268,,0,1,1,0,true,,,,,
269,,0,1,1,0,true,,,,,
270,,0,1,1,0,true,,,,,
271,,0,1,1,0,true,,,,,
272,,0,1,1,0,true,,,,,
273,,0,1,1,0,true,,,,,
274,,0,1,1,0,true,,,,,
275,,0,1,1,0,true,,,,,
276,,0,1,1,0,true,,,,,
277,,0,1,1,0,true,,,,,
278,,0,1,1,0,true,,,,,
279,,0,1,1,0,true,,,,,
280,,0,1,1,0,true,,,,,
281,,0,1,1,0,true,,,,,
282,,0,1,1,0,true,,,,,
283,,0,1,1,0,true,,,,,
284,,0,1,1,0,true,,,,,
285,,0,1,1,0,true,,,,,
286,,0,1,1,0,true,,,,,
287,,0,1,1,0,true,,,,,
288,,0,1,1,0,true,,,,,
289,,0,1,1,0,true,,,,,
290,,0,1,1,0,true,,,,,
291,,0,1,1,0,true,,,,,
292,,0,1,1,0,true,,,,,
293,,0,1,1,0,true,,,,,
294,,0,1,1,0,true,,,,,
295,,0,1,1,0,true,,,,,
296,,0,1,1,0,true,,,,,
297,,0,1,1,0,true,,,,,
298,,0,1,1,0,true,,,,,
299,,0,1,1,0,true,,,,,
300,,0,1,1,0,true,,,,,
