Rank,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,AvailableProgressionPoint1,AvailableProgressionPoint2,AvailableProgressionPoint3,AvailableProgressionPoint4,XpReward
94,,0,21300,21075,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
95,,0,21525,21300,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
96,,0,21750,21525,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
97,,0,21975,21750,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
98,,0,22200,21975,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
99,,0,22425,22200,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
100,@territory_standing_title_15,0,22500,22425,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
101,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
102,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
103,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
104,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
105,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
106,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
107,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
108,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
109,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
110,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
111,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
112,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
113,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
114,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
115,@territory_standing_title_16,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
116,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
117,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
118,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
119,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
120,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
121,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
122,,0,22500,22500,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
123,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
124,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
125,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
126,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
127,,0,22500,22500,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
128,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
129,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
130,@territory_standing_title_17,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
131,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
132,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
133,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
134,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
135,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
136,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
137,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
138,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
139,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
140,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
141,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
142,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
143,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
144,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
145,@territory_standing_title_18,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
146,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
147,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
148,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
149,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
150,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
151,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
152,,0,22500,22500,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
153,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
154,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
155,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
156,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
157,,0,22500,22500,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
158,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
159,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
160,@territory_standing_title_19,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
161,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
162,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
163,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
164,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
165,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
166,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
167,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
168,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
169,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
170,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
171,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
172,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
173,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
174,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
175,@territory_standing_title_20,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
176,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
177,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
178,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
179,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
180,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
181,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
182,,0,22500,22500,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
183,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
184,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
185,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
186,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
187,,0,22500,22500,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
188,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
189,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
190,@territory_standing_title_21,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
191,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
192,,0,22500,22500,0,true,,TB_GainStorage,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
193,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
194,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
195,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
196,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
197,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainStorage,TB_PurchaseHouse,3000
198,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
199,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
200,,0,22500,22500,0,true,,TB_TaxStations,TB_GainHousePoints,TB_TaxProperty,TB_PurchaseHouse,3000
201,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
202,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_GainStorage,TB_PurchaseHouse,3000
203,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
204,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
205,@territory_standing_title_22,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
206,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
207,,0,22500,22500,0,true,,TB_GainStanding,TB_GainStorage,TB_GainGatherRate,TB_PurchaseHouse,3000
208,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
209,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
210,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
211,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
212,,0,22500,22500,0,true,,TB_TaxStations,TB_GainStorage,TB_TaxProperty,TB_PurchaseHouse,3000
213,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
214,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
215,,0,22500,22500,0,true,,TB_GainStanding,TB_GainHousePoints,TB_GainGatherRate,TB_PurchaseHouse,3000
216,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
217,,0,22500,22500,0,true,,TB_GainStorage,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
218,,0,22500,22500,0,true,,TB_TaxStations,TB_TaxTradingPost,TB_TaxProperty,TB_PurchaseHouse,3000
219,,0,22500,22500,0,true,,TB_GainStanding,TB_GainFactionRep,TB_GainGatherRate,TB_PurchaseHouse,3000
