Effect Name,Group,Priority Within Group,Max Number,Priority,Constants
wFX_FireStaff_FlameSummoner.Siege_AOE_impact_lg,PlayerWeapon_AOE,5,10,105,
wFX_FireStaff_FlameSummoner.Ultimate_AOE,PlayerWeapon_AOE,3,3,103,
wFX_GreatAxe_Reaper.Maelstrom_Reach,PlayerWeapon_AOE,2,5,102,
wFX_GreatAxe_Reaper.GravWell_Vortex,PlayerWeapon_AOE,6,10,106,
wFX_GreatAxe_Reaper.JudgeReach_Pull_5m,PlayerWeapon_AOE,2,5,102,
wFX_GreatAxe_Reaper.JudgeReach_Pull_8m,PlayerWeapon_AOE,2,5,102,
wFX_Hatchet_Throwing.Infected_AOE,PlayerWeapon_AOE,5,5,105,
wFX_IceGaunt_Builder.IceShower_AOE,PlayerWeapon_AOE,5,5,105,
wFX_IceGaunt_Builder.IceShower_AOE_Footer,PlayerWeapon_AOE,6,5,106,
wFX_IceGaunt_Tempest.Blizzard_AOE,PlayerWeapon_AOE,7,10,107,
wFX_IceGaunt_Tempest.WindChill_1,PlayerWeapon_AOE,5,5,105,
wFX_LifeStaff_Protector.Beacon_AOE_Base,PlayerWeapon_AOE,6,10,106,
wFX_LifeStaff_Protector.LightsEmbrace_targeted,PlayerWeapon_AOE,2,5,102,
wFX_LifeStaff_Protector.Protection_Impact_AOE,PlayerWeapon_AOE,3,6,103,
wFX_LifeStaff_Healer.HealWave_Hld,PlayerWeapon_AOE,5,10,105,
wFX_LifeStaff_Healer.Divine_Hld,PlayerWeapon_AOE,2,5,102,
wFX_Musket_Trapper.Trap_Armed,PlayerWeapon_AOE,4,10,104,
wFX_Blunderbuss_Chaos.Vortex_AOE,PlayerWeapon_AOE,7,10,107,
wFX_Blunderbuss_Chaos.Vortex_AOE_srt,PlayerWeapon_AOE,7,10,107,
wFX_Blunderbuss_Chaos.Mortar_Expl,PlayerWeapon_AOE,7,10,107,
wFX_Rapier_Bleed.Appel_Swipe_Range,PlayerWeapon_AOE,4,5,104,
wFX_Rapier_Bleed.Flourish_Swipe,PlayerWeapon_AOE,3,5,103,
wFX_Spear_Zoner.Cyclone_Twist,PlayerWeapon_AOE,4,5,104,
wFX_StraightSword_Shield.DefensiveForm_AOE,PlayerWeapon_AOE,1,5,101,
wFX_Warhammer_Juggernaut.Wreckingball_impact_AOE,PlayerWeapon_AOE,2,5,102,
wFX_Warhammer_CrowdCrusher.POD_impact_Align,PlayerWeapon_AOE,4,10,104,
wFX_Warhammer_CrowdCrusher.Shockwave_Impact_1,PlayerWeapon_AOE,5,5,105,
wFX_FireStaff_Pyromaniac.Speed_Burst_Hld,PlayerWeapon_AOE,3,5,103,
wFX_IceGaunt_Tempest.IceSpike_Sm,PlayerWeapon_AOE,2,20,102,
wFX_IceGaunt_Tempest.IceSpike_Lg,PlayerWeapon_AOE,2,6,102,
wFX_VoidGaunt_Annihilation.Punish_AOE,PlayerWeapon_AOE,7,10,107,
wFX_VoidGaunt_Annihilation.Scream_SoundWave,PlayerWeapon_AOE,6,5,106,
wFX_VoidGaunt_Annihilation.VoidAura_AOE,PlayerWeapon_AOE,6,10,106,
wFX_VoidGaunt_Decay.DecayOrb_Dmg_Expl,PlayerWeapon_AOE,7,10,107,
wFX_VoidGaunt_Decay.DecayOrb_Heal_Expl,PlayerWeapon_AOE,5,5,105,
wFX_VoidGaunt_Decay.Rupture_Target_AOE,PlayerWeapon_AOE,5,5,105,
wFX_FireStaff_Pyromaniac.FlameThrow_Proj_Hld1,PlayerWeapon_AOE,6,5,106,
wFX_FireStaff_Pyromaniac.FlameThrow_Proj_Hld2,PlayerWeapon_AOE,6,5,106,
wfx_GreatSword.Onslaught.Combo.Default.Impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Fire.Combo.Impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Ice.Combo.impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Lightning.Combo.Impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Magic.Combo.Impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Nature.Combo.Impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Void.Combo.Impact,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Onslaught.DefenseBreak.Default.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Onslaught.DefenseBreak.Default.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Fire.DefenseBreak.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Fire.DefenseBreak.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Ice.DefenseBreak.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Ice.DefenseBreak.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Lightning.DefenseBreak.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Lightning.DefenseBreak.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Magic.DefenseBreak.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Magic.DefenseBreak.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Nature.DefenseBreak.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Nature.DefenseBreak.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Void.DefenseBreak.Impact_Align,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Gems.Void.DefenseBreak.Impact_Align_upgrade,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Defiance.Burst.Default.Neutral,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Defiance.Burst.Upgrades.Pull,PlayerWeapon_AOE,3,5,103,
wfx_GreatSword.Defiance.Burst.Upgrades.Push,PlayerWeapon_AOE,3,5,103,
wfx_rune_ability_vines.vines,PlayerWeapon_AOE,3,5,103,
wfx_rune_ability_heretic.hit,PlayerWeapon_AOE,3,5,103,
wfx_rune_ability_detonate.denotation_warning,PlayerWeapon_AOE,3,5,103,
wfx_rune_ability_detonate.denotation_end,PlayerWeapon_AOE,5,5,105,
wfx_rune_ability_stone_skin.stoneskin_dominator,PlayerWeapon_AOE,3,5,103,
wFX_rune_ability_cannon_blast.DominatorExplosion,PlayerWeapon_AOE,3,5,103,
wFX_VoidGaunt_Annihilation.Blade_Idle,PlayerWeapon_Abilities,6,5,46,
wFX_VoidGaunt_Annihilation.Blade_Swipe,PlayerWeapon_Abilities,3,5,43,
wFX_VoidGaunt_Base.Harvest_Mana_Loop,PlayerWeapon_Abilities,3,3,43,
wFX_Bow_Bowman.RainOfArrows_Ctr,PlayerWeapon_Abilities,2,5,42,
wFX_Bow_Huntsman.Evasive_Jump,PlayerWeapon_Abilities,1,5,41,
wFX_FireStaff_Pyromaniac.Speed_Staff_Hld,PlayerWeapon_Abilities,3,5,43,
wFX_FireStaff_Pyromaniac.Incinerate_Loop,PlayerWeapon_Abilities,5,5,45,
wFX_FireStaff_FlameSummoner.PillarFlame_AOE_impact,PlayerWeapon_Abilities,5,10,45,
wFX_FireStaff_FlameSummoner.Storm_AOE_Fill,PlayerWeapon_Abilities,4,5,44,
wFX_GreatAxe_Marauder.Whirlwind_Swipe,PlayerWeapon_Abilities,3,5,43,
wFX_GreatAxe_Marauder.Engage_Swipe_Base,PlayerWeapon_Abilities,3,5,43,
wFX_GreatAxe_Marauder.Engage_Swipe_Edge,PlayerWeapon_Abilities,3,5,43,
wFX_GreatAxe_Marauder.Executioner_Swipe,PlayerWeapon_Abilities,3,5,43,
wFX_GreatAxe_Reaper.Maelstrom_Dmg,PlayerWeapon_Abilities,5,5,45,
wFX_GreatAxe_Reaper.GravWell_AOE_Upgrade,PlayerWeapon_Abilities,6,5,46,
wFX_GreatAxe_Reaper.GravWell_Expl,PlayerWeapon_Abilities,7,5,47,
wFX_GreatAxe_Reaper.JudgeReach_Swipe,PlayerWeapon_Abilities,4,5,44,
wFX_Hatchet_Berserk.Berserk,PlayerWeapon_Abilities,3,5,43,
wFX_Hatchet_Berserk.Berserk_Loop_2,PlayerWeapon_Abilities,5,5,45,
wFX_Hatchet_Berserk.Purge,PlayerWeapon_Abilities,3,5,43,
wFX_Hatchet_Berserk.Feral_Swipe_1,PlayerWeapon_Abilities,4,5,44,
wFX_Hatchet_Berserk.Feral_Swipe_2,PlayerWeapon_Abilities,4,5,44,
wFX_Hatchet_Berserk.DefyDeath_Main,PlayerWeapon_Abilities,8,5,48,
wFX_Hatchet_Berserk.Ragging_Swipe_1,PlayerWeapon_Abilities,4,5,44,
wFX_Hatchet_Berserk.Ragging_Swipe_2,PlayerWeapon_Abilities,4,5,44,
wFX_IceGaunt_Base.Block,PlayerWeapon_Abilities,3,5,43,
wFX_IceGaunt_Builder.Entombed_Hld,PlayerWeapon_Abilities,7,5,47,
wFX_IceGaunt_Builder.Entombed_Breakout,PlayerWeapon_Abilities,6,5,46,
wFX_IceGaunt_Builder.Entombed_Stop,PlayerWeapon_Abilities,5,5,45,
wFX_IceGaunt_Tempest.WindChill_2,PlayerWeapon_Abilities,3,5,43,
wFX_LifeStaff_Protector.Beacon_AOE_Haste,PlayerWeapon_Abilities,6,5,46,
wFX_LifeStaff_Healer.SoL_Staff_Cast,PlayerWeapon_Abilities,5,5,45,
wFX_Musket_Trapper.Stickybomb_Idle,PlayerWeapon_Abilities,5,5,45,
wFX_Musket_Trapper.Stickybomb_explosion01,PlayerWeapon_Abilities,7,5,47,
wFX_Musket_Trapper.Trap_Activation01,PlayerWeapon_Abilities,7,5,47,
wFX_Rapier_Evasion.Riposte_Tell,PlayerWeapon_Abilities,7,5,47,
wFX_Rapier_Evasion.Riposte_Block,PlayerWeapon_Abilities,6,5,46,
wFX_Rapier_Evasion.Riposte_Swipe,PlayerWeapon_Abilities,3,5,43,
wFX_Rapier_Evasion.Evade_Blur,PlayerWeapon_Abilities,3,20,43,
wFX_Rapier_Evasion.AirLunge_Swirl,PlayerWeapon_Abilities,6,5,46,
wFX_Rapier_Evasion.AirLunge_Stab,PlayerWeapon_Abilities,4,5,44,
wFX_Rapier_Bleed.Appel_Swipe_Close,PlayerWeapon_Abilities,3,5,43,
wFX_Rapier_Bleed.Flurry_Stab1,PlayerWeapon_Abilities,6,10,46,
wFX_Rapier_Bleed.Flurry_Stab3,PlayerWeapon_Abilities,6,10,46,
wFX_Rapier_Bleed.Flurry_Stab5,PlayerWeapon_Abilities,7,10,47,
wFX_Rapier_Bleed.Flourish_Stab,PlayerWeapon_Abilities,6,5,46,
wFX_Spear_Zoner.Perforate_Stab,PlayerWeapon_Abilities,7,5,47,
wFX_Spear_Impaler.Sweep_Swipe,PlayerWeapon_Abilities,6,5,46,
wFX_Spear_Impaler.Sweep_Stab,PlayerWeapon_Abilities,5,5,45,
wFX_Spear_Impaler.Skewer_Stab,PlayerWeapon_Abilities,6,5,46,
wFX_Spear_Impaler.VaultKick_Leg,PlayerWeapon_Abilities,5,5,45,
wFX_StraightSword_Shield.LastStand_02,PlayerWeapon_Abilities,4,5,44,
wFX_StraightSword_Shield.LastStand_03,PlayerWeapon_Abilities,4,5,44,
wFX_StraightSword_Shield.Bash_Swipe_mesh,PlayerWeapon_Abilities,6,5,46,
wFX_StraightSword_Shield.Shield.Rush_Streak,PlayerWeapon_Abilities,4,5,44,
wFX_StraightSword_Shield.Shield.Rush_Charge,PlayerWeapon_Abilities,5,5,45,
wFX_StraightSword_Sword.LeapStrike_01,PlayerWeapon_Abilities,4,5,44,
wFX_StraightSword_Sword.Whirl_01,PlayerWeapon_Abilities,7,5,47,
wFX_StraightSword_Sword.Reverse_Stab,PlayerWeapon_Abilities,6,5,46,
wFX_StraightSword_Sword.Reverse_Swipe,PlayerWeapon_Abilities,4,5,44,
wFX_Warhammer_Juggernaut.Blockbreaker_Swoosh_1,PlayerWeapon_Abilities,4,5,44,
wFX_Warhammer_Juggernaut.Mightygavel_impact,PlayerWeapon_Abilities,5,5,45,
wFX_Warhammer_Juggernaut.Wreckingball_Swipe1,PlayerWeapon_Abilities,4,5,44,
wFX_Warhammer_Juggernaut.Wreckingball_impact,PlayerWeapon_Abilities,3,5,43,
wFX_Warhammer_CrowdCrusher.POD_impact_01,PlayerWeapon_Abilities,4,10,44,
wFX_Warhammer_CrowdCrusher.Clearout_Swipe,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Defiance.Counter.Default.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Defiance.Counter.Default.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Fire.Counter.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Fire.Counter.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Ice.Counter.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Ice.Counter.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Lightning.Counter.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Lightning.Counter.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Magic.Counter.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Magic.Counter.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Nature.Counter.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Nature.Counter.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Void.Counter.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Void.Counter.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Defiance.DrainAttack.Default.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Defiance.DrainAttack.Default.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Fire.DrainAttack.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Fire.DrainAttack.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Ice.DrainAttack.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Ice.DrainAttack.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Lightning.DrainAttack.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Lightning.DrainAttack.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Magic.DrainAttack.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Magic.DrainAttack.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Nature.DrainAttack.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Nature.DrainAttack.End,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Void.DrainAttack.Tell,PlayerWeapon_Abilities,5,5,45,
wfx_GreatSword.Gems.Void.DrainAttack.End,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_stone_skin.stoneaura,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_stone_skin.stoneskin_01,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_stone_skin.stoneskin_02,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_stone_skin.stoneskin_03,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_stone_skin.stoneskin_end,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_heretic.leap_ground_cloud,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_heretic.wing,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_heretic.leap_trail_wing,PlayerWeapon_Abilities,5,5,45,
wfx_rune_ability_heretic.dive,PlayerWeapon_Abilities,5,5,45,
wFX_rune_ability_cannon_blast.muzzle_flash,PlayerWeapon_Abilities,5,5,45,
wFX_VoidGaunt_Decay.Drain_Tell,PlayerWeapon_Tells,2,5,22,
wFX_VoidGaunt_Decay.Rupture_Tell,PlayerWeapon_Tells,2,5,22,
wFX_VoidGaunt_Annihilation.Punish_tell,PlayerWeapon_Tells,1,3,21,
wFX_VoidGaunt_Annihilation.Scream_Ring,PlayerWeapon_Tells,2,3,22,
wFX_VoidGaunt_Base.Heavy_Charging,PlayerWeapon_Tells,3,3,23,
wFX_Bow_Bowman.RainOfArrows_Muzzle,PlayerWeapon_Tells,6,5,26,
wFX_Bow_Bowman.SpreadShot_Muzzle,PlayerWeapon_Tells,1,3,21,
wFX_Bow_Bowman.Poison_Tip,PlayerWeapon_Tells,2,2,22,
wFX_Bow_Huntsman.Penetrate_Muzzle,PlayerWeapon_Tells,2,5,22,
wFX_FireStaff_Base.Primary_Muzzle,PlayerWeapon_Tells,1,3,21,
wFX_FireStaff_Base.Charged_Muzzle,PlayerWeapon_Tells,1,3,21,
wFX_FireStaff_Pyromaniac.Incinerate_Charge,PlayerWeapon_Tells,2,5,22,
wFX_FireStaff_FlameSummoner.PillarFlame_AOE_tell,PlayerWeapon_Tells,7,10,27,
wFX_FireStaff_FlameSummoner.Siege_Staff_Charge,PlayerWeapon_Tells,3,5,23,
wFX_FireStaff_FlameSummoner.Siege_Muzzle,PlayerWeapon_Tells,1,3,21,
wFX_GreatAxe_Marauder.Whirlwind_Tell,PlayerWeapon_Tells,1,5,21,
wFX_GreatAxe_Marauder.Engage_Charge,PlayerWeapon_Tells,3,5,23,
wFX_GreatAxe_Marauder.Executioner_Tell,PlayerWeapon_Tells,3,5,23,
wFX_GreatAxe_Reaper.GravWell_Weapon,PlayerWeapon_Tells,2,5,22,
wFX_GreatAxe_Reaper.JudgeReach_Hook,PlayerWeapon_Tells,4,5,24,
wFX_Hatchet_Berserk.Feral_Tell,PlayerWeapon_Tells,2,5,22,
wFX_Hatchet_Berserk.Ragging_Glow,PlayerWeapon_Tells,2,5,22,
wFX_Hatchet_Throwing.QuickSpin_Glow,PlayerWeapon_Tells,2,5,22,
wFX_Hatchet_Throwing.Infected_Charge,PlayerWeapon_Tells,3,5,23,
wFX_Hatchet_Throwing.Distance_Charge,PlayerWeapon_Tells,2,5,22,
wFX_IceGaunt_Base.Primary_Ready,PlayerWeapon_Tells,2,5,22,
wFX_IceGaunt_Base.Heavy_Charging,PlayerWeapon_Tells,2,5,22,
wFX_IceGaunt_Base.Heavy_Charged,PlayerWeapon_Tells,3,5,23,
wFX_IceGaunt_Builder.IceShower_Casting,PlayerWeapon_Tells,2,5,22,
wFX_IceGaunt_Builder.IcePylon_Hands,PlayerWeapon_Tells,4,5,24,
wFX_IceGaunt_Builder.IcePylon_ChargeSrt,PlayerWeapon_Tells,2,5,22,
wFX_IceGaunt_Builder.IcePylon_ChargeIdle,PlayerWeapon_Tells,4,5,24,
wFX_IceGaunt_Builder.Entombed_Srt,PlayerWeapon_Tells,3,5,23,
