RewardId,RewardIndex,RewardType,ItemId,EntitlementId,EntitlementQuantity,DisplayItemId,SeasonsXp,LimitingEntitlementId,IsHighValue
S2_BattlePass_Free_60,60,BattlePass_Free,,Marks of Fortune,500,EntDisplay_MarksOfFortune_500,,Entitlement_Season2_UnclaimedFreePass60,
S2_BattlePass_Free_61,61,BattlePass_Free,Weapon_Box_S2,,,,,,
S2_BattlePass_Free_62,62,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_63,63,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S2_BattlePass_Free_64,64,BattlePass_Free,Bundle_AncientCoating_3,,,,,,
S2_BattlePass_Free_65,65,BattlePass_Free,Expedition_Box_Forge,,,,,,
S2_BattlePass_Free_66,66,BattlePass_Free,Furniture14_Box_S2,,,,,,
S2_BattlePass_Free_67,67,BattlePass_Free,Bundle_AncientWard_3,,,,,,
S2_BattlePass_Free_68,68,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_69,69,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_70,70,BattlePass_Free,,EntitlementSkin_Chest_DesertProwler,1,EntDisplay_Skin_Chest_DesertProwler,,,
S2_BattlePass_Free_71,71,BattlePass_Free,Jewelry_Box_S2,,,,,,
S2_BattlePass_Free_72,72,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_73,73,BattlePass_Free,Bundle_UmbralShard_500,,,,,,
S2_BattlePass_Free_74,74,BattlePass_Free,Bundle_AngryEarthCoating_3,,,,,,
S2_BattlePass_Free_75,75,BattlePass_Free,Weapon_Box_S2,,,,,,
S2_BattlePass_Free_76,76,BattlePass_Free,Food_Box_S2,,,,,,
S2_BattlePass_Free_77,77,BattlePass_Free,Bundle_AngryEarthWard_3,,,,,,
S2_BattlePass_Free_78,78,BattlePass_Free,Coin_Stack_500,,,,,,
S2_BattlePass_Free_79,79,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_80,80,BattlePass_Free,,Marks of Fortune,500,EntDisplay_MarksOfFortune_500,,Entitlement_Season2_UnclaimedFreePass80,
S2_BattlePass_Free_81,81,BattlePass_Free,Armor_Box_S2,,,,,,
S2_BattlePass_Free_82,82,BattlePass_Free,MutatedExpedition_Box_S1_Starstone,,,,,,
S2_BattlePass_Free_83,83,BattlePass_Free,Jewelry_Box_S2,,,,,,
S2_BattlePass_Free_84,84,BattlePass_Free,MutatedExpedition_Box_S1_Depths,,,,,,
S2_BattlePass_Free_85,85,BattlePass_Free,Salvage_Box_S2,,,,,,
S2_BattlePass_Free_86,86,BattlePass_Free,Furniture15_Box_S2,,,,,,
S2_BattlePass_Free_87,87,BattlePass_Free,MutatedExpedition_Box_S1_Lazarus,,,,,,
S2_BattlePass_Free_88,88,BattlePass_Free,Bundle_GypsumOrb_2,,,,,,
S2_BattlePass_Free_89,89,BattlePass_Free,MutatedExpedition_Box_S1_Genesis,,,,,,
S2_BattlePass_Free_90,90,BattlePass_Free,,EntitlementSkin_ShieldK_FrontierWastelander,1,EntDisplay_Skin_ShieldK_FrontierWastelander,,,
S2_BattlePass_Free_91,91,BattlePass_Free,Bundle_UmbralShard_1000,,,,,,
S2_BattlePass_Free_92,92,BattlePass_Free,MutatedExpedition_Box_S1_Dynasty,,,,,,
S2_BattlePass_Free_93,93,BattlePass_Free,Elemental_Box_S2,,,,,,
S2_BattlePass_Free_94,94,BattlePass_Free,MutatedExpedition_Box_S1_Tempest,,,,,,
S2_BattlePass_Free_95,95,BattlePass_Free,,EntitlementSkin_Head_DesertProwler,1,EntDisplay_Skin_Head_DesertProwler,,,
S2_BattlePass_Free_96,96,BattlePass_Free,MutatedExpedition_Box_S1_Barnacles,,,,,,
S2_BattlePass_Free_97,97,BattlePass_Free,MutatedExpedition_Box_Ennead,,,,,,
S2_BattlePass_Free_98,98,BattlePass_Free,Combatants_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Free_99,99,BattlePass_Free,MutatedExpedition_Box_Forge,,,,,,
S2_BattlePass_Free_100,100,BattlePass_Free,Champions_Box_S2,Transmog_Token,1,EntDisplay_BoxEntitlements_Champions_Box_S2,,Entitlement_Season2_UnclaimedFreePass100,
S2_BattlePass_Premium_01,101,BattlePass_Premium,Welcome_Box_S2_Sandstorm,Entitlements_Welcome_Box_S2_Sandstorm,1,EntDisplay_BoxEntitlements_Welcome_Box_S2_Sandstorm,,,
S2_BattlePass_Premium_02,102,BattlePass_Premium,,EntitlementSkin_ShieldR_FrontierWastelander,1,EntDisplay_Skin_ShieldR_FrontierWastelander,,,
S2_BattlePass_Premium_03,103,BattlePass_Premium,,Ent_Emote_WormDance,1,EntDisplay_Emote_WormDance,,,
S2_BattlePass_Premium_04,104,BattlePass_Premium,Dyes_Box_S2,,,,,,
S2_BattlePass_Premium_05,105,BattlePass_Premium,,Marks of Fortune,1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season2_UnclaimedPremiumPass05,
S2_BattlePass_Premium_06,106,BattlePass_Premium,Furniture1_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_07,107,BattlePass_Premium,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedPremiumPass07,
S2_BattlePass_Premium_08,108,BattlePass_Premium,,EntitlementSkin_Pickaxe_DesertProwler,1,EntDisplay_Skin_DesertProwler_Pickaxe,,,
S2_BattlePass_Premium_09,109,BattlePass_Premium,,EntitlementSkin_Longsword_FrontierWastelander,1,EntDisplay_Skin_Longsword_FrontierWastelander,,,
S2_BattlePass_Premium_10,110,BattlePass_Premium,,EntitlementCampSkin_BloodSand01_A,1,EntDisplay_CampSkin_BloodSand01_A,,,
S2_BattlePass_Premium_11,111,BattlePass_Premium,Weapon_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_12,112,BattlePass_Premium,Bundle_UmbralShard_1500,,,,,,
S2_BattlePass_Premium_13,113,BattlePass_Premium,Jewelry_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_14,114,BattlePass_Premium,Chitin_Box_Sandstorm,,,,,,
S2_BattlePass_Premium_15,115,BattlePass_Premium,,EntitlementSkin_GreatAxe_FrontierWastelander,1,EntDisplay_Skin_GreatAxe_FrontierWastelander,,,
S2_BattlePass_Premium_16,116,BattlePass_Premium,Crafting_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_17,117,BattlePass_Premium,Coin_Stack_3000,,,,,,
S2_BattlePass_Premium_18,118,BattlePass_Premium,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedPremiumPass18,
S2_BattlePass_Premium_19,119,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_20,120,BattlePass_Premium,,Marks of Fortune,1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season2_UnclaimedPremiumPass20,
S2_BattlePass_Premium_21,121,BattlePass_Premium,Armor_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_22,122,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,2,EntDisplay_StatusEffect_Token_Territory_2,,Entitlement_Season2_UnclaimedPremiumPass22,
S2_BattlePass_Premium_23,123,BattlePass_Premium,Elemental_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_24,124,BattlePass_Premium,Bundle_AzothVial_20,,,,,,
S2_BattlePass_Premium_25,125,BattlePass_Premium,,EntitlementSkin_AzothScepter_DesertProwler,1,EntDisplay_Skin_DesertProwler_AzothScepter,,,
S2_BattlePass_Premium_26,126,BattlePass_Premium,Furniture2_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_27,127,BattlePass_Premium,Coin_Stack_3000,,,,,,
S2_BattlePass_Premium_28,128,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_29,129,BattlePass_Premium,Food_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_30,130,BattlePass_Premium,,EntitlementSkin_Musket_FrontierWastelander,1,EntDisplay_Skin_Musket_FrontierWastelander,,,
S2_BattlePass_Premium_31,131,BattlePass_Premium,Weapon_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_32,132,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1,2,EntDisplay_StatusEffect_Token_Season_2,,Entitlement_Season2_UnclaimedPremiumPass32,
S2_BattlePass_Premium_33,133,BattlePass_Premium,Bundle_UmbralShard_1500,,,,,,
S2_BattlePass_Premium_34,134,BattlePass_Premium,Dyes_Box_S2,,,,,,
S2_BattlePass_Premium_35,135,BattlePass_Premium,,Marks of Fortune,1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season2_UnclaimedPremiumPass35,
S2_BattlePass_Premium_36,136,BattlePass_Premium,Gem_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_37,137,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1,2,EntDisplay_StatusEffect_Token_Weapon_2,,Entitlement_Season2_UnclaimedPremiumPass37,
S2_BattlePass_Premium_38,138,BattlePass_Premium,Coin_Stack_3000,,,,,,
S2_BattlePass_Premium_39,139,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_40,140,BattlePass_Premium,,EntitlementSkin_Sickle_DesertProwler,1,EntDisplay_Skin_DesertProwler_Sickle,,,
S2_BattlePass_Premium_41,141,BattlePass_Premium,Armor_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_42,142,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season2_UnclaimedPremiumPass42,
S2_BattlePass_Premium_43,143,BattlePass_Premium,Combatants_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_44,144,BattlePass_Premium,Chitin_Box_Sandstorm,,,,,,
S2_BattlePass_Premium_45,145,BattlePass_Premium,,EntitlementSkin_SkinningKnife_DesertProwler,1,EntDisplay_Skin_DesertProwler_SkinningKnife,,,
S2_BattlePass_Premium_46,146,BattlePass_Premium,Furniture3_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_47,147,BattlePass_Premium,,Ent_StatusEffect_Token_Gather_1,2,EntDisplay_StatusEffect_Token_Gather_2,,Entitlement_Season2_UnclaimedPremiumPass47,
S2_BattlePass_Premium_48,148,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_49,149,BattlePass_Premium,,Ent_StatusEffect_Token_Proficiency_1,2,EntDisplay_StatusEffect_Token_Proficiency_2,,Entitlement_Season2_UnclaimedPremiumPass49,
S2_BattlePass_Premium_50,150,BattlePass_Premium,,EntitlementSkin_Rapier_FrontierWastelander,1,EntDisplay_Skin_Rapier_FrontierWastelander,,,
S2_BattlePass_Premium_51,151,BattlePass_Premium,Elemental_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_52,152,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1,1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season2_UnclaimedPremiumPass52,
S2_BattlePass_Premium_53,153,BattlePass_Premium,Bundle_UmbralShard_1500,,,,,,
S2_BattlePass_Premium_54,154,BattlePass_Premium,Dyes_Box_S2,,,,,,
S2_BattlePass_Premium_55,155,BattlePass_Premium,,EntitlementSkin_FishingPole_DesertProwler,1,EntDisplay_Skin_DesertProwler_FishingPole,,,
S2_BattlePass_Premium_56,156,BattlePass_Premium,Food_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_57,157,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1,1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season2_UnclaimedPremiumPass57,
S2_BattlePass_Premium_58,158,BattlePass_Premium,Coin_Stack_3000,,,,,,
S2_BattlePass_Premium_59,159,BattlePass_Premium,,Marks of Fortune,1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season2_UnclaimedPremiumPass59,
S2_BattlePass_Premium_60,160,BattlePass_Premium,,EntitlementSkin_Spear_FrontierWastelander,1,EntDisplay_Skin_Spear_FrontierWastelander,,,
S2_BattlePass_Premium_61,161,BattlePass_Premium,Weapon_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_62,162,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season2_UnclaimedPremiumPass62,
S2_BattlePass_Premium_63,163,BattlePass_Premium,Combatants_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_64,164,BattlePass_Premium,Salvage_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_65,165,BattlePass_Premium,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedPremiumPass65,
S2_BattlePass_Premium_66,166,BattlePass_Premium,Furniture4_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_67,167,BattlePass_Premium,,Ent_StatusEffect_Token_Proficiency_1,1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season2_UnclaimedPremiumPass67,
S2_BattlePass_Premium_68,168,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_69,169,BattlePass_Premium,,Ent_StatusEffect_Token_Gather_1,1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season2_UnclaimedPremiumPass69,
S2_BattlePass_Premium_70,170,BattlePass_Premium,,EntitlementSkin_Hatchet_FrontierWastelander,1,EntDisplay_Skin_Hatchet_FrontierWastelander,,,
S2_BattlePass_Premium_71,171,BattlePass_Premium,Jewelry_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_72,172,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1,1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season2_UnclaimedPremiumPass72,
S2_BattlePass_Premium_73,173,BattlePass_Premium,Bundle_UmbralShard_1500,,,,,,
S2_BattlePass_Premium_74,174,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_75,175,BattlePass_Premium,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedPremiumPass75,
S2_BattlePass_Premium_76,176,BattlePass_Premium,Food_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_77,177,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1,1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season2_UnclaimedPremiumPass77,
S2_BattlePass_Premium_78,178,BattlePass_Premium,Coin_Stack_3000,,,,,,
S2_BattlePass_Premium_79,179,BattlePass_Premium,Dyes_Box_S2,,,,,,
S2_BattlePass_Premium_80,180,BattlePass_Premium,,Marks of Fortune,1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season2_UnclaimedPremiumPass80,
S2_BattlePass_Premium_81,181,BattlePass_Premium,Armor_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_82,182,BattlePass_Premium,,Ent_StatusEffect_Token_Gather_1,1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season2_UnclaimedPremiumPass82,
S2_BattlePass_Premium_83,183,BattlePass_Premium,Jewelry_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_84,184,BattlePass_Premium,,EntitlementSkin_Firestaff_FrontierWastelander,1,EntDisplay_Skin_Firestaff_FrontierWastelander,,,
S2_BattlePass_Premium_85,185,BattlePass_Premium,,Transmog_Token,1,EntDisplay_Transmog_Token,,Entitlement_Season2_UnclaimedPremiumPass85,
S2_BattlePass_Premium_86,186,BattlePass_Premium,Furniture5_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_87,187,BattlePass_Premium,,Ent_StatusEffect_Token_Proficiency_1,1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season2_UnclaimedPremiumPass87,
S2_BattlePass_Premium_88,188,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S2_BattlePass_Premium_89,189,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season2_UnclaimedPremiumPass89,
S2_BattlePass_Premium_90,190,BattlePass_Premium,,Ent_Emote_PocketSand,1,EntDisplay_Emote_PocketSand,,,
S2_BattlePass_Premium_91,191,BattlePass_Premium,UpgradeMaterials_Box_S2,,,,,,
S2_BattlePass_Premium_92,192,BattlePass_Premium,,EntitlementSkin_Feet_Sandborn,1,EntDisplay_Skin_Feet_Sandborn,,,
S2_BattlePass_Premium_93,193,BattlePass_Premium,MultiUtilityChest_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_94,194,BattlePass_Premium,,EntitlementSkin_Hands_Sandborn,1,EntDisplay_Skin_Hands_Sandborn,,,
S2_BattlePass_Premium_95,195,BattlePass_Premium,MultiGearChest_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_96,196,BattlePass_Premium,,EntitlementSkin_Legs_Sandborn,1,EntDisplay_Skin_Legs_Sandborn,,,
S2_BattlePass_Premium_97,197,BattlePass_Premium,MultiItemChest_Box_S2_Sandstorm,,,,,,
S2_BattlePass_Premium_98,198,BattlePass_Premium,,EntitlementSkin_Chest_Sandborn,1,EntDisplay_Skin_Chest_Sandborn,,,
S2_BattlePass_Premium_99,199,BattlePass_Premium,Dyes_Box_S2,Entitlements_Cosmetic_Box_S2_Sandstorm,1,Cosmetic_Box_S2_Sandstorm,,,
S2_BattlePass_Premium_100,200,BattlePass_Premium,Champions_Box_S2_Sandstorm,Entitlements_Champions_Box_S2_Sandstorm,1,EntDisplay_Champions_Box_S2_Sandstorm,,,
S2_Journey_Ch01_T01,201,Journey,,,,,850,,
S2_Journey_Ch01_T02,202,Journey,,,,,1750,,
S2_Journey_Ch01_T03,203,Journey,,,,,1750,,
S2_Journey_Ch01_T04,204,Journey,,,,,1750,,
S2_Journey_Ch01_T05,205,Journey,,,,,1750,,
S2_Journey_Ch01_T06,206,Journey,,,,,850,,
S2_Journey_Ch01_T07,207,Journey,,,,,1750,,
S2_Journey_Ch01_T08,208,Journey,,,,,3000,,
S2_Journey_Ch01_T09,209,Journey,,,,,850,,
S2_Journey_Ch01_T10,210,Journey,,,,,850,,
S2_Journey_Ch01_T11,211,Journey,,,,,1,,
S2_Journey_Ch01_T12,212,Journey,,,,,1,,
S2_Journey_Ch01_T13,213,Journey,,,,,1,,
S2_Journey_Ch01_T14,214,Journey,,,,,1,,
S2_Journey_Ch01_T15,215,Journey,,,,,1,,
S2_Journey_Ch01_Complete,216,Chapter,Bundle_AcidTincture_8,,,,4500,,
S2_Journey_Ch02_T01,217,Journey,,,,,1750,,
S2_Journey_Ch02_T02,218,Journey,,,,,3000,,
S2_Journey_Ch02_T03,219,Journey,,,,,1750,,
S2_Journey_Ch02_T04,220,Journey,,,,,1750,,
S2_Journey_Ch02_T05,221,Journey,,,,,1750,,
S2_Journey_Ch02_T06,222,Journey,,,,,1750,,
S2_Journey_Ch02_T07,223,Journey,,,,,1750,,
S2_Journey_Ch02_T08,224,Journey,,,,,1750,,
S2_Journey_Ch02_T09,225,Journey,,,,,850,,
S2_Journey_Ch02_T10,226,Journey,,,,,1750,,
S2_Journey_Ch02_T11,227,Journey,,,,,850,,
S2_Journey_Ch02_T12,228,Journey,,,,,1,,
S2_Journey_Ch02_T13,229,Journey,,,,,1,,
S2_Journey_Ch02_T14,230,Journey,,,,,1,,
S2_Journey_Ch02_T15,231,Journey,,,,,1,,
S2_Journey_Ch02_Complete,232,Chapter,Bundle_BrimstoneAttributeFood,,,,4500,,
S2_Journey_Ch03_T01,233,Journey,,,,,1750,,
S2_Journey_Ch03_T02,234,Journey,,,,,3000,,
S2_Journey_Ch03_T03,235,Journey,,,,,1750,,
S2_Journey_Ch03_T04,236,Journey,,,,,3000,,
S2_Journey_Ch03_T05,237,Journey,,,,,3000,,
S2_Journey_Ch03_T06,238,Journey,,,,,3000,,
S2_Journey_Ch03_T07,239,Journey,,,,,3000,,
S2_Journey_Ch03_T08,240,Journey,,,,,1750,,
S2_Journey_Ch03_T09,241,Journey,,,,,1750,,
S2_Journey_Ch03_T10,242,Journey,,,,,3000,,
S2_Journey_Ch03_T11,243,Journey,,,,,1,,
S2_Journey_Ch03_T12,244,Journey,,,,,1,,
S2_Journey_Ch03_T13,245,Journey,,,,,1,,
S2_Journey_Ch03_T14,246,Journey,,,,,1,,
S2_Journey_Ch03_T15,247,Journey,,,,,1,,
S2_Journey_Ch03_Complete,248,Chapter,House_HousingItem_Season2_SandwormEgg_Variant1,,,,4500,,
S2_Journey_Ch04_T01,249,Journey,,,,,1750,,
S2_Journey_Ch04_T02,250,Journey,,,,,1750,,
S2_Journey_Ch04_T03,251,Journey,,,,,1750,,
S2_Journey_Ch04_T04,252,Journey,,,,,3000,,
S2_Journey_Ch04_T05,253,Journey,,,,,1750,,
S2_Journey_Ch04_T06,254,Journey,,,,,3000,,
S2_Journey_Ch04_T07,255,Journey,,,,,3000,,
S2_Journey_Ch04_T08,256,Journey,,,,,3000,,
S2_Journey_Ch04_T09,257,Journey,,,,,850,,
S2_Journey_Ch04_T10,258,Journey,,,,,1750,,
S2_Journey_Ch04_T11,259,Journey,,,,,1750,,
S2_Journey_Ch04_T12,260,Journey,,,,,1750,,
S2_Journey_Ch04_T13,261,Journey,,,,,1,,
S2_Journey_Ch04_T14,262,Journey,,,,,1,,
S2_Journey_Ch04_T15,263,Journey,,,,,1,,
