RewardId,RewardIndex,RewardType,ItemId,EntitlementIds,DisplayItemId,SeasonsXp,LimitingEntitlementId,IsHighValue,RequiresPremium
S7_BattlePass_Free_34,34,BattlePass_Free,CraftingResources_Box_S5,,,,,,
S7_BattlePass_Free_35,35,BattlePass_Free,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedFreePass35,,
S7_BattlePass_Free_36,36,BattlePass_Free,AzothSaltVialT1,,,,,,
S7_BattlePass_Free_37,37,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season7_UnclaimedFreePass37,,
S7_BattlePass_Free_38,38,BattlePass_Free,Refining_Box_S7,,,,,,
S7_BattlePass_Free_39,39,BattlePass_Free,Expedition_Box_S5,,,,,,
S7_BattlePass_Free_40,40,BattlePass_Free,,EntitlementSkin_1hSkinningKnife_Season7Pass,EntDisplay_Skin_1hSkinningKnife_Season7Pass,,,,
S7_BattlePass_Free_41,41,BattlePass_Free,Combat_Box_S7,,,,,,
S7_BattlePass_Free_42,42,BattlePass_Free,Coin_Stack_500,,,,,,
S7_BattlePass_Free_43,43,BattlePass_Free,Refining_Box_S7,,,,,,
S7_BattlePass_Free_44,44,BattlePass_Free,Salvage_Box_S7,,,,,,
S7_BattlePass_Free_45,45,BattlePass_Free,,PremiumEmote_Firework3:2,EntDisplay_Fireworks3,,Entitlement_Season7_UnclaimedFreePass45,,
S7_BattlePass_Free_46,46,BattlePass_Free,,Ent_StatusEffect_Token_Territory_1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season7_UnclaimedFreePass46,,
S7_BattlePass_Free_47,47,BattlePass_Free,Dyes3_Box_S7,,,,,,
S7_BattlePass_Free_48,48,BattlePass_Free,Combat_Box_S7,,,,,,
S7_BattlePass_Free_49,49,BattlePass_Free,Expedition_Box2_S6,,,,,,
S7_BattlePass_Free_50,50,BattlePass_Free,,EntitlementSkin_Season7PassMask_Head,EntDisplay_Skin_Season7PassMask_Head,,,,
S7_BattlePass_Free_51,51,BattlePass_Free,FactionTokenSmall_Box_S5,,,,,,
S7_BattlePass_Free_52,52,BattlePass_Free,DarkMatterSmall_Basic_Box_S7,,,,,,
S7_BattlePass_Free_53,53,BattlePass_Free,Salvage_Box_S7,,,,,,
S7_BattlePass_Free_54,54,BattlePass_Free,Elemental_Box_S7,,,,,,
S7_BattlePass_Free_55,55,BattlePass_Free,,PremiumEmote_Firework4:2,EntDisplay_Fireworks4,,Entitlement_Season7_UnclaimedFreePass55,,
S7_BattlePass_Free_56,56,BattlePass_Free,AzothSaltVialT1,,,,,,
S7_BattlePass_Free_57,57,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season7_UnclaimedFreePass57,,
S7_BattlePass_Free_58,58,BattlePass_Free,Combat_Box_S7,,,,,,
S7_BattlePass_Free_59,59,BattlePass_Free,Expedition_Box2_S6,,,,,,
S7_BattlePass_Free_60,60,BattlePass_Free,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedFreePass60,,
S7_BattlePass_Free_61,61,BattlePass_Free,Ward_Box_S5,,,,,,
S7_BattlePass_Free_62,62,BattlePass_Free,Coin_Stack_500,,,,,,
S7_BattlePass_Free_63,63,BattlePass_Free,Combat_Elite_Box_S7,,,,,,
S7_BattlePass_Free_64,64,BattlePass_Free,,Ent_StatusEffect_Token_Weapon_1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season7_UnclaimedFreePass64,,
S7_BattlePass_Free_65,65,BattlePass_Free,,EntitlementSkin_2hAzothScepter_Season7Pass,EntDisplay_Skin_2hAzothScepter_Season7Pass,,,,
S7_BattlePass_Free_66,66,BattlePass_Free,CraftingResources_Box_S5,,,,,,
S7_BattlePass_Free_67,67,BattlePass_Free,Dyes4_Box_S7,,,,,,
S7_BattlePass_Free_68,68,BattlePass_Free,Combat_Elite_Box_S7,,,,,,
S7_BattlePass_Free_69,69,BattlePass_Free,Food_Box_S5,,,,,,
S7_BattlePass_Free_70,70,BattlePass_Free,,EntitlementSkin_Season7PassMaskDeluxe_Head,EntDisplay_Skin_Season7PassMaskDeluxe_Head,,,,
S7_BattlePass_Free_71,71,BattlePass_Free,CraftingResources_Box_S5,,,,,,
S7_BattlePass_Free_72,72,BattlePass_Free,DarkMatterMedium_Basic_Box_S7,,,,,,
S7_BattlePass_Free_73,73,BattlePass_Free,52_Box_S5_Premium,,,,,,
S7_BattlePass_Free_74,74,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S7_BattlePass_Free_75,75,BattlePass_Free,,PremiumEmote_Firework5:2,EntDisplay_Fireworks5,,Entitlement_Season7_UnclaimedFreePass75,,
S7_BattlePass_Free_76,76,BattlePass_Free,Gem_Box_S5,,,,,,
S7_BattlePass_Free_77,77,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season7_UnclaimedFreePass77,,
S7_BattlePass_Free_78,78,BattlePass_Free,Combat_Elite_Box_S7,,,,,,
S7_BattlePass_Free_79,79,BattlePass_Free,Mutation_Box_S5,,,,,,
S7_BattlePass_Free_80,80,BattlePass_Free,Artifact_Set2_2hStaffLife,,,,,,
S7_BattlePass_Free_81,81,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S7_BattlePass_Free_82,82,BattlePass_Free,Coin_Stack_500,,,,,,
S7_BattlePass_Free_83,83,BattlePass_Free,Combat_Elite_Box_S7,,,,,,
S7_BattlePass_Free_84,84,BattlePass_Free,,Ent_StatusEffect_Token_Gather_1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season7_UnclaimedFreePass84,,
S7_BattlePass_Free_85,85,BattlePass_Free,,EntitlementSkin_2hLoggingAxe_Season7Pass,EntDisplay_Skin_2hLoggingAxe_Season7Pass,,,,
S7_BattlePass_Free_86,86,BattlePass_Free,Elemental_Box_S7,,,,,,
S7_BattlePass_Free_87,87,BattlePass_Free,Dyes5_Box_S7,,,,,,
S7_BattlePass_Free_88,88,BattlePass_Free,Bundle_AzothVial_10,,,,,,
S7_BattlePass_Free_89,89,BattlePass_Free,Mutation_Box_S5,,,,,,
S7_BattlePass_Free_90,90,BattlePass_Free,,EntitlementTitle_Season7_BattlePass,EntDisplay_Title_Season7_BattlePass,,,,
S7_BattlePass_Free_91,91,BattlePass_Free,,Ent_StatusEffect_Token_Proficiency_1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season7_UnclaimedFreePass91,,
S7_BattlePass_Free_92,92,BattlePass_Free,DarkMatterLarge_Basic_Box_S7,,,,,,
S7_BattlePass_Free_93,93,BattlePass_Free,Combat_Elite_Box_S7,,,,,,
S7_BattlePass_Free_94,94,BattlePass_Free,AzothSaltVialT1,,,,,,
S7_BattlePass_Free_95,95,BattlePass_Free,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedFreePass95,,
S7_BattlePass_Free_96,96,BattlePass_Free,52_Box_S5_Premium,,,,,,
S7_BattlePass_Free_97,97,BattlePass_Free,,Marks of Fortune:500,EntDisplay_MarksOfFortune_500,,Entitlement_Season7_UnclaimedFreePass97,,
S7_BattlePass_Free_98,98,BattlePass_Free,ChromaticSeal,,,,,,
S7_BattlePass_Free_99,99,BattlePass_Free,Matrix_Armor,,,,,,
S7_BattlePass_Free_100,100,BattlePass_Free,,Entitlement_CampSkin_Season7_A,EntDisplay_CampSkin_Season7_A,,,,
S7_BattlePass_Premium_01,101,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season7_UnclaimedPremiumPass01,,
S7_BattlePass_Premium_02,102,BattlePass_Premium,Coin_Stack_3000,,,,,,
S7_BattlePass_Premium_03,103,BattlePass_Premium,Bundle_AzothVial_20,,,,,,
S7_BattlePass_Premium_04,104,BattlePass_Premium,Food_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_05,105,BattlePass_Premium,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedPremiumPass05,,
S7_BattlePass_Premium_06,106,BattlePass_Premium,Elemental_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_07,107,BattlePass_Premium,,burntsienna_dye:5,EntDisplay_Dye_BurntSienna,,Entitlement_Season7_UnclaimedPremiumPass07,,
S7_BattlePass_Premium_08,108,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season7_UnclaimedPremiumPass08,,
S7_BattlePass_Premium_09,109,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S7_BattlePass_Premium_10,110,BattlePass_Premium,,EntitlementSkin_2hVoidGauntlet_Season7Pass,EntDisplay_Skin_2hVoidGauntlet_Season7Pass,,,,
S7_BattlePass_Premium_11,111,BattlePass_Premium,FactionTokenLarge_Box_S5,,,,,,
S7_BattlePass_Premium_12,112,BattlePass_Premium,Salvage_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_13,113,BattlePass_Premium,,Ent_StatusEffect_Token_Gather_1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season7_UnclaimedPremiumPass13,,
S7_BattlePass_Premium_14,114,BattlePass_Premium,Gem_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_15,115,BattlePass_Premium,,EntitlementSkin_ShieldT_Season7Pass,EntDisplay_Skin_ShieldT_Season7Pass,,,,
S7_BattlePass_Premium_16,116,BattlePass_Premium,Food_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_17,117,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season7_UnclaimedPremiumPass17,,
S7_BattlePass_Premium_18,118,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season7_UnclaimedPremiumPass18,,
S7_BattlePass_Premium_19,119,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S7_BattlePass_Premium_20,120,BattlePass_Premium,,EntitlementSkin_Hatchet_Season7Pass,EntDisplay_Skin_Hatchet_Season7Pass,,,,
S7_BattlePass_Premium_21,121,BattlePass_Premium,Crafting_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_22,122,BattlePass_Premium,Coin_Stack_3000,,,,,,
S7_BattlePass_Premium_23,123,BattlePass_Premium,,Ent_MountAttachmentItem_Skin_AlchemySign,MountAttachmentItem_Skin_AlchemySign,,,,
S7_BattlePass_Premium_24,124,BattlePass_Premium,Food_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_25,125,BattlePass_Premium,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedPremiumPass25,,
S7_BattlePass_Premium_26,126,BattlePass_Premium,Gem_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_27,127,BattlePass_Premium,,keylime_dye:5,EntDisplay_Dye_KeyLime,,Entitlement_Season7_UnclaimedPremiumPass27,,
S7_BattlePass_Premium_28,128,BattlePass_Premium,,Ent_StatusEffect_Token_Proficiency_1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season7_UnclaimedPremiumPass28,,
S7_BattlePass_Premium_29,129,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S7_BattlePass_Premium_30,130,BattlePass_Premium,,EntitlementSkin_GreatAxe_Season7Pass,EntDisplay_Skin_GreatAxe_Season7Pass,,,,
S7_BattlePass_Premium_31,131,BattlePass_Premium,FactionTokenLarge_Box_S5,,,,,,
S7_BattlePass_Premium_32,132,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season7_UnclaimedPremiumPass32,,
S7_BattlePass_Premium_33,133,BattlePass_Premium,Elemental_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_34,134,BattlePass_Premium,Crafting_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_35,135,BattlePass_Premium,,Ent_Emote_NailFile,EntDisplay_Emote_NailFile,,,,
S7_BattlePass_Premium_36,136,BattlePass_Premium,AzothSaltVialT1_3,,,,,,
S7_BattlePass_Premium_37,137,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season7_UnclaimedPremiumPass37,,
S7_BattlePass_Premium_38,138,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season7_UnclaimedPremiumPass38,,
S7_BattlePass_Premium_39,139,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S7_BattlePass_Premium_40,140,BattlePass_Premium,,EntitlementSkin_2hLifeStaff_Season7Pass,EntDisplay_Skin_2hLifeStaff_Season7Pass,,,,
S7_BattlePass_Premium_41,141,BattlePass_Premium,Food_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_42,142,BattlePass_Premium,Coin_Stack_3000,,,,,,
S7_BattlePass_Premium_43,143,BattlePass_Premium,,Ent_StatusEffect_Token_Gather_1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season7_UnclaimedPremiumPass43,,
S7_BattlePass_Premium_44,144,BattlePass_Premium,Salvage_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_45,145,BattlePass_Premium,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedPremiumPass45,,
S7_BattlePass_Premium_46,146,BattlePass_Premium,Crafting_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_47,147,BattlePass_Premium,,tranquilblossom_dye:5,EntDisplay_Dye_TranquilBlossom,,Entitlement_Season7_UnclaimedPremiumPass47,,
S7_BattlePass_Premium_48,148,BattlePass_Premium,ChromaticSeal,,,,,,
S7_BattlePass_Premium_49,149,BattlePass_Premium,Bundle_GypsumOrb_5,,,,,,
S7_BattlePass_Premium_50,150,BattlePass_Premium,,EntitlementSkin_Musket_Season7Pass,EntDisplay_Skin_Musket_Season7Pass,,,,
S7_BattlePass_Premium_51,151,BattlePass_Premium,FactionTokenLarge_Box_S5,,,,,,
S7_BattlePass_Premium_52,152,BattlePass_Premium,DarkMatterSmall_Premium_Box_S7,,,,,,
S7_BattlePass_Premium_53,153,BattlePass_Premium,Salvage_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_54,154,BattlePass_Premium,Elemental_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_55,155,BattlePass_Premium,,EntitlementSkin_IceGauntlet_Season7Pass,EntDisplay_Skin_IceGauntlet_Season7Pass,,,,
S7_BattlePass_Premium_56,156,BattlePass_Premium,AzothSaltVialT1_3,,,,,,
S7_BattlePass_Premium_57,157,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season7_UnclaimedPremiumPass57,,
S7_BattlePass_Premium_58,158,BattlePass_Premium,,Ent_StatusEffect_Token_Proficiency_1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season7_UnclaimedPremiumPass58,,
S7_BattlePass_Premium_59,159,BattlePass_Premium,53_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_60,160,BattlePass_Premium,,EntitlementSkin_Season7PassApparel_Gloves,EntDisplay_Skin_Season7PassApparel_Gloves,,,,
S7_BattlePass_Premium_61,161,BattlePass_Premium,Salvage_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_62,162,BattlePass_Premium,Coin_Stack_3000,,,,,,
S7_BattlePass_Premium_63,163,BattlePass_Premium,,Ent_MountAttachmentItem_Skin_ExplosiveBarrel,MountAttachmentItem_Skin_ExplosiveBarrel,,,,
S7_BattlePass_Premium_64,164,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season7_UnclaimedPremiumPass64,,
S7_BattlePass_Premium_65,165,BattlePass_Premium,,Ent_Emote_LizardRun,EntDisplay_Emote_LizardRun,,,,
S7_BattlePass_Premium_66,166,BattlePass_Premium,Crafting_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_67,167,BattlePass_Premium,,fiercecobalt_dye:5,EntDisplay_Dye_FierceCobalt,,Entitlement_Season7_UnclaimedPremiumPass67,,
S7_BattlePass_Premium_68,168,BattlePass_Premium,,Ent_StatusEffect_Token_Season_1,EntDisplay_StatusEffect_Token_Season_1,,Entitlement_Season7_UnclaimedPremiumPass68,,
S7_BattlePass_Premium_69,169,BattlePass_Premium,Food_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_70,170,BattlePass_Premium,,EntitlementSkin_Season7PassApparel_Feet,EntDisplay_Skin_Season7PassApparel_Feet,,,,
S7_BattlePass_Premium_71,171,BattlePass_Premium,Crafting_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_72,172,BattlePass_Premium,DarkMatterMedium_Premium_Box_S7,,,,,,
S7_BattlePass_Premium_73,173,BattlePass_Premium,,Ent_StatusEffect_Token_Weapon_1,EntDisplay_StatusEffect_Token_Weapon_1,,Entitlement_Season7_UnclaimedPremiumPass73,,
S7_BattlePass_Premium_74,174,BattlePass_Premium,Bundle_AzothVial_20,,,,,,
S7_BattlePass_Premium_75,175,BattlePass_Premium,,EntitlementSkin_2hBow_Season7Pass,EntDisplay_Skin_2hBow_Season7Pass,,,,
S7_BattlePass_Premium_76,176,BattlePass_Premium,Gem_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_77,177,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,Entitlement_Season7_UnclaimedPremiumPass77,,
S7_BattlePass_Premium_78,178,BattlePass_Premium,Matrix_Trinket,,,,,,
S7_BattlePass_Premium_79,179,BattlePass_Premium,53_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_80,180,BattlePass_Premium,,EntitlementSkin_Season7PassApparel_Legs,EntDisplay_Skin_Season7PassApparel_Legs,,,,
S7_BattlePass_Premium_81,181,BattlePass_Premium,Bundle_AzothVial_20,,,,,,
S7_BattlePass_Premium_82,182,BattlePass_Premium,Coin_Stack_3000,,,,,,
S7_BattlePass_Premium_83,183,BattlePass_Premium,,Ent_StatusEffect_Token_Gather_1,EntDisplay_StatusEffect_Token_Gather_1,,Entitlement_Season7_UnclaimedPremiumPass83,,
S7_BattlePass_Premium_84,184,BattlePass_Premium,Gem_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_85,185,BattlePass_Premium,,Transmog_Token,EntDisplay_Transmog_Token,,Entitlement_Season7_UnclaimedPremiumPass85,,
S7_BattlePass_Premium_86,186,BattlePass_Premium,Elemental_Box_S7_Premium,,,,,,
S7_BattlePass_Premium_87,187,BattlePass_Premium,,sandalwood_dye:5,EntDisplay_Dye_Sandalwood,,Entitlement_Season7_UnclaimedPremiumPass87,,
S7_BattlePass_Premium_88,188,BattlePass_Premium,,Ent_StatusEffect_Token_Territory_1,EntDisplay_StatusEffect_Token_Territory_1,,Entitlement_Season7_UnclaimedPremiumPass88,,
S7_BattlePass_Premium_89,189,BattlePass_Premium,53_Box_S5_Premium,,,,,,
S7_BattlePass_Premium_90,190,BattlePass_Premium,,EntitlementSkin_Season7PassApparel_Chest,EntDisplay_Skin_Season7PassApparel_Chest,,,,
S7_BattlePass_Premium_91,191,BattlePass_Premium,ChromaticSeal,,,,,,
S7_BattlePass_Premium_92,192,BattlePass_Premium,DarkMatterLarge_Premium_Box_S7,,,,,,
S7_BattlePass_Premium_93,193,BattlePass_Premium,,Ent_StatusEffect_Token_Proficiency_1,EntDisplay_StatusEffect_Token_Proficiency_1,,Entitlement_Season7_UnclaimedPremiumPass93,,
S7_BattlePass_Premium_94,194,BattlePass_Premium,AzothSaltVialT1_3,,,,,,
S7_BattlePass_Premium_95,195,BattlePass_Premium,,EntitlementSkin_Season7PassApparel_Head,EntDisplay_Skin_Season7PassApparel_Head,,,,
S7_BattlePass_Premium_96,196,BattlePass_Premium,,Ent_MountAttachmentItem_Skin_ScrollContainer,MountAttachmentItem_Skin_ScrollContainer,,,,
S7_BattlePass_Premium_97,197,BattlePass_Premium,,Marks of Fortune:1000,EntDisplay_MarksOfFortune_1000,,,,
S7_BattlePass_Premium_98,198,BattlePass_Premium,AzothInductor,,,,,,
S7_BattlePass_Premium_99,199,BattlePass_Premium,Matrix_Weapon,,,,,,
S7_BattlePass_Premium_100,200,BattlePass_Premium,,EntitlementSkin_2hSpear_Season7Pass,EntDisplay_Skin_2hSpear_Season7Pass,,,,
S7_Journey_Ch01_T01,201,Journey,,,,2000,,,
S7_Journey_Ch01_T02,202,Journey,,,,1550,,,
S7_Journey_Ch01_T03,203,Journey,,,,1550,,,
S7_Journey_Ch01_T04,204,Journey,,,,1550,,,
S7_Journey_Ch01_T05,205,Journey,,,,1550,,,
S7_Journey_Ch01_T06,206,Journey,,,,1000,,,
S7_Journey_Ch01_T07,207,Journey,,,,1000,,,
S7_Journey_Ch01_T08,208,Journey,,,,1000,,,
S7_Journey_Ch01_T09,209,Journey,,,,1000,,,
S7_Journey_Ch01_T10,210,Journey,,,,1000,,,
S7_Journey_Ch01_T11,211,Journey,,,,1,,,
S7_Journey_Ch01_T12,212,Journey,,,,1,,,
S7_Journey_Ch01_T13,213,Journey,,,,1,,,
S7_Journey_Ch01_T14,214,Journey,,,,1,,,
S7_Journey_Ch01_T15,215,Journey,,,,1,,,
S7_Journey_Ch01_Complete,216,Chapter,FactionTokenLarge_Box_S4,,,4500,,,
S7_Journey_Ch02_T01,217,Journey,,,,2000,,,
S7_Journey_Ch02_T02,218,Journey,,,,2000,,,
S7_Journey_Ch02_T03,219,Journey,,,,1550,,,
S7_Journey_Ch02_T04,220,Journey,,,,1550,,,
S7_Journey_Ch02_T05,221,Journey,,,,1550,,,
S7_Journey_Ch02_T06,222,Journey,,,,1550,,,
S7_Journey_Ch02_T07,223,Journey,,,,1550,,,
S7_Journey_Ch02_T08,224,Journey,,,,1000,,,
S7_Journey_Ch02_T09,225,Journey,,,,1000,,,
S7_Journey_Ch02_T10,226,Journey,,,,1000,,,
S7_Journey_Ch02_T11,227,Journey,,,,1000,,,
S7_Journey_Ch02_T12,228,Journey,,,,1,,,
S7_Journey_Ch02_T13,229,Journey,,,,1,,,
S7_Journey_Ch02_T14,230,Journey,,,,1,,,
S7_Journey_Ch02_T15,231,Journey,,,,1,,,
S7_Journey_Ch02_Complete,232,Chapter,Bundle_HealthPotions,,,4500,,,
S7_Journey_Ch03_T01,233,Journey,,,,2000,,,
S7_Journey_Ch03_T02,234,Journey,,,,2000,,,
S7_Journey_Ch03_T03,235,Journey,,,,2000,,,
S7_Journey_Ch03_T04,236,Journey,,,,1550,,,
S7_Journey_Ch03_T05,237,Journey,,,,1550,,,
S7_Journey_Ch03_T06,238,Journey,,,,1550,,,
S7_Journey_Ch03_T07,239,Journey,,,,1550,,,
S7_Journey_Ch03_T08,240,Journey,,,,1550,,,
S7_Journey_Ch03_T09,241,Journey,,,,1550,,,
S7_Journey_Ch03_T10,242,Journey,,,,1000,,,
S7_Journey_Ch03_T11,243,Journey,,,,1000,,,
S7_Journey_Ch03_T12,244,Journey,,,,1000,,,
S7_Journey_Ch03_T13,245,Journey,,,,1,,,
S7_Journey_Ch03_T14,246,Journey,,,,1,,,
S7_Journey_Ch03_T15,247,Journey,,,,1,,,
S7_Journey_Ch03_Complete,248,Chapter,Bundle_DarkMatter,,,4500,,,
S7_Journey_Ch04_T01,249,Journey,,,,2000,,,
S7_Journey_Ch04_T02,250,Journey,,,,2000,,,
S7_Journey_Ch04_T03,251,Journey,,,,2000,,,
S7_Journey_Ch04_T04,252,Journey,,,,2000,,,
S7_Journey_Ch04_T05,253,Journey,,,,1550,,,
S7_Journey_Ch04_T06,254,Journey,,,,1550,,,
S7_Journey_Ch04_T07,255,Journey,,,,1550,,,
S7_Journey_Ch04_T08,256,Journey,,,,1550,,,
S7_Journey_Ch04_T09,257,Journey,,,,1550,,,
S7_Journey_Ch04_T10,258,Journey,,,,1550,,,
S7_Journey_Ch04_T11,259,Journey,,,,1550,,,
S7_Journey_Ch04_T12,260,Journey,,,,1000,,,
S7_Journey_Ch04_T13,261,Journey,,,,1000,,,
S7_Journey_Ch04_T14,262,Journey,,,,1,,,
S7_Journey_Ch04_T15,263,Journey,,,,1,,,
