WeaponAppearanceID,Name,Description,ItemClass,Art ID Names,Weapon Material name Info,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,MaskRColor,MaskROverride,MaskR,MaskGColor,MaskGOverride,MaskG,MaskBColor,MaskBOverride,MaskB,MaskASpecColor,MaskASpec,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,SoundTableID,IconCaptureGroup,IconPath,HiResIconPath
MandolinAncientT2,,,,MandolinT2,Ancient,Objects/Instruments/Mandolins/MandolinT2/musi_mand_mandolinT2.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinAncientT3,,,,MandolinT3,Ancient,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinAncientT4,,,,MandolinT4,Ancient,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinAncientT5,,,,MandolinT5,Ancient,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinFaeT3,,,,MandolinT3,Fae,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,MXMI_Mandolin,Mandolin,,
MandolinFaeT4,,,,MandolinT4,Fae,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,MXMI_Mandolin,Mandolin,,
MandolinFaeT5,,,,MandolinT5,Fae,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,MXMI_Mandolin,Mandolin,,
MandolinGlassT3,,,,MandolinT3,Glass,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,,
MandolinGlassT4,,,,MandolinT4,Glass,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,,
MandolinGlassT5,,,,MandolinT5,Glass,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,,
MandolinElegantT3,,,,MandolinT3,Elegant,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#996C29,0.7,0.3,#00ACDB,0.1,1,#4893BA,0.5,1,#6C5A2F,0.35,0.8,0.7,#9E8818,5,MXMI_Mandolin,Mandolin,,
MandolinElegantT4,,,,MandolinT4,Elegant,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#996C29,0.7,0.3,#00ACDB,0.1,1,#4893BA,0.5,1,#6C5A2F,0.35,0.8,0.7,#9E8818,5,MXMI_Mandolin,Mandolin,,
MandolinElegantT5,,,,MandolinT5,Elegant,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#996C29,0.7,0.3,#00ACDB,0.1,1,#4893BA,0.5,1,#6C5A2F,0.35,0.8,0.7,#9E8818,5,MXMI_Mandolin,Mandolin,,
MandolinViciousT3,,,,MandolinT3,Vicious,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#860000,0.7,0.3,#AE0000,0.3,1,#9D0000,0.5,1,#000000,0.35,0.8,0.7,,,MXMI_Mandolin,Mandolin,,
MandolinViciousT4,,,,MandolinT4,Vicious,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#860000,0.7,0.3,#AE0000,0.3,1,#9D0000,0.5,1,#000000,0.35,0.8,0.7,,,MXMI_Mandolin,Mandolin,,
MandolinViciousT5,,,,MandolinT5,Vicious,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#860000,0.7,0.3,#AE0000,0.3,1,#9D0000,0.5,1,#000000,0.35,0.8,0.7,,,MXMI_Mandolin,Mandolin,,
MandolinVinespunT3,,,,MandolinT3,Vinespun,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#26ACCA,0.3,1,#C327CE,0.3,1,#0AEDDA,0.1,1,#A4669A,0.35,0.8,0.7,#00A095,5,MXMI_Mandolin,Mandolin,,
MandolinVinespunT4,,,,MandolinT4,Vinespun,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#26ACCA,0.3,1,#C327CE,0.3,1,#0AEDDA,0.1,1,#A4669A,0.35,0.8,0.7,#00A095,5,MXMI_Mandolin,Mandolin,,
MandolinVinespunT5,,,,MandolinT5,Vinespun,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#26ACCA,0.3,1,#C327CE,0.3,1,#0AEDDA,0.1,1,#A4669A,0.35,0.8,0.7,#00A095,5,MXMI_Mandolin,Mandolin,,
MandolinVoidbentT3,,,,MandolinT3,Voidbent,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#1278A3,0.4,1,#9377B9,0.5,1,#D4D4EE,1,0.3,#666677,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinVoidbentT4,,,,MandolinT4,Voidbent,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#1278A3,0.4,1,#9377B9,0.5,1,#D4D4EE,1,0.3,#666677,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinVoidbentT5,,,,MandolinT5,Voidbent,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#1278A3,0.4,1,#9377B9,0.5,1,#D4D4EE,1,0.3,#666677,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinWaveborneT3,,,,MandolinT3,Waveborne,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,MXMI_Mandolin,Mandolin,,
MandolinWaveborneT4,,,,MandolinT4,Waveborne,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,MXMI_Mandolin,Mandolin,,
MandolinWaveborneT5,,,,MandolinT5,Waveborne,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,MXMI_Mandolin,Mandolin,,
MandolinImmolatedT3,,,,MandolinT3,Immolated,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,MXMI_Mandolin,Mandolin,,
MandolinImmolatedT4,,,,MandolinT4,Immolated,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,MXMI_Mandolin,Mandolin,,
MandolinImmolatedT5,,,,MandolinT5,Immolated,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,MXMI_Mandolin,Mandolin,,
MandolinEtherealT3,,,,MandolinT3,Ethereal,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#A38C76,0.7,0.5,#2FCCE4,0.1,1,#CC815B,0.1,1,#58566C,0.35,0.5,0.5,#80D3FF,3,MXMI_Mandolin,Mandolin,,
MandolinEtherealT4,,,,MandolinT4,Ethereal,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#A38C76,0.7,0.5,#2FCCE4,0.1,1,#CC815B,0.1,1,#58566C,0.35,0.5,0.5,#80D3FF,3,MXMI_Mandolin,Mandolin,,
MandolinEtherealT5,,,,MandolinT5,Ethereal,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#A38C76,0.7,0.5,#2FCCE4,0.1,1,#CC815B,0.1,1,#58566C,0.35,0.5,0.5,#80D3FF,3,MXMI_Mandolin,Mandolin,,
MandolinAbyssalT3,,,,MandolinT3,Abyssal,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,MXMI_Mandolin,Mandolin,,
MandolinAbyssalT4,,,,MandolinT4,Abyssal,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,MXMI_Mandolin,Mandolin,,
MandolinAbyssalT5,,,,MandolinT5,Abyssal,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,MXMI_Mandolin,Mandolin,,
MandolinMarauderT3,,,,MandolinT3,Marauder,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#00710D,0.01,1,#B0924C,0.1,1,#656565,0.1,1,#6D5C31,0.35,0.8,0.7,#007D00,5,MXMI_Mandolin,Mandolin,,
MandolinMarauderT4,,,,MandolinT4,Marauder,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#00710D,0.01,1,#B0924C,0.1,1,#656565,0.1,1,#6D5C31,0.35,0.8,0.7,#007D00,5,MXMI_Mandolin,Mandolin,,
MandolinMarauderT5,,,,MandolinT4,Marauder,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#00710D,0.01,1,#B0924C,0.1,1,#656565,0.1,1,#6D5C31,0.35,0.8,0.7,#007D00,5,MXMI_Mandolin,Mandolin,,
MandolinSyndicateT3,,,,MandolinT3,Syndicate,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#77568E,0.1,1,#688BAC,0.1,1,#D3BFDA,0.2,1,#5C4A65,0.35,0.6,1,#7AA8FD,5,MXMI_Mandolin,Mandolin,,
MandolinSyndicateT4,,,,MandolinT4,Syndicate,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#77568E,0.1,1,#688BAC,0.1,1,#D3BFDA,0.2,1,#5C4A65,0.35,0.6,1,#7AA8FD,5,MXMI_Mandolin,Mandolin,,
MandolinSyndicateT5,,,,MandolinT5,Syndicate,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#77568E,0.1,1,#688BAC,0.1,1,#D3BFDA,0.2,1,#5C4A65,0.35,0.6,1,#7AA8FD,5,MXMI_Mandolin,Mandolin,,
MandolinCovenantT3,,,,MandolinT3,Covenant,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#CA5A19,0.01,1,#FFCE3B,0.01,1,#AEAEAE,0.2,1,#683F27,0.6,0.8,0.7,#BC0C0E,5,MXMI_Mandolin,Mandolin,,
MandolinCovenantT4,,,,MandolinT4,Covenant,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#CA5A19,0.01,1,#FFCE3B,0.01,1,#AEAEAE,0.2,1,#683F27,0.6,0.8,0.7,#BC0C0E,5,MXMI_Mandolin,Mandolin,,
MandolinCovenantT5,,,,MandolinT5,Covenant,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#CA5A19,0.01,1,#FFCE3B,0.01,1,#AEAEAE,0.2,1,#683F27,0.6,0.8,0.7,#BC0C0E,5,MXMI_Mandolin,Mandolin,,
GuitarT1,,,,GuitarT1,Stone / Wood,Objects/Instruments/Guitars/guitarT1/musi_guit_guitarT1.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Guitar,Guitar,,
GuitarT2,@GuitarT2_TransmogName,,EquippableTool+InstrumentGuitar,GuitarT2,Iron,Objects/Instruments/Guitars/guitarT2/musi_guit_guitarT2.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Guitar,Guitar,lyshineui/images/icons/items/MusicalActions/GuitarT2.png,lyshineui/images/icons/items_hires/GuitarT2.png
GuitarT3,@GuitarT3_TransmogName,,EquippableTool+InstrumentGuitar,GuitarT3,Steel,Objects/Instruments/Guitars/guitarT3/musi_guit_guitarT3.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Guitar,Guitar,lyshineui/images/icons/items/MusicalActions/GuitarT3.png,lyshineui/images/icons/items_hires/GuitarT3.png
GuitarT4,@GuitarT4_TransmogName,,EquippableTool+InstrumentGuitar,GuitarT4,Starmetal,Objects/Instruments/Guitars/guitarT4/musi_guit_guitarT4.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Guitar,Guitar,lyshineui/images/icons/items/MusicalActions/GuitarT4.png,lyshineui/images/icons/items_hires/GuitarT4.png
GuitarT5,@GuitarT5_TransmogName,,EquippableTool+InstrumentGuitar,GuitarT5,Orichalcum,Objects/Instruments/Guitars/guitarT5/musi_guit_guitarT5.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Guitar,Guitar,lyshineui/images/icons/items/MusicalActions/GuitarT5.png,lyshineui/images/icons/items_hires/GuitarT5.png
GuitarAngryEarthT1,,,,GuitarT1,AngryEarth,Objects/Instruments/Guitars/guitarT1/musi_guit_guitarT1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Guitar,Guitar,,
GuitarAngryEarthT2,,,,GuitarT2,AngryEarth,Objects/Instruments/Guitars/guitarT2/musi_guit_guitarT2.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Guitar,Guitar,,
GuitarAngryEarthT3,,,,GuitarT3,AngryEarth,Objects/Instruments/Guitars/guitarT3/musi_guit_guitarT3.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Guitar,Guitar,,
GuitarAngryEarthT4,,,,GuitarT4,AngryEarth,Objects/Instruments/Guitars/guitarT4/musi_guit_guitarT4.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Guitar,Guitar,,
GuitarAngryEarthT5,,,,GuitarT5,AngryEarth,Objects/Instruments/Guitars/guitarT5/musi_guit_guitarT5.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Guitar,Guitar,,
GuitarCorruptedT1,,,,GuitarT1,Corrupted,Objects/Instruments/Guitars/guitarT1/musi_guit_guitarT1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Guitar,Guitar,,
GuitarCorruptedT2,,,,GuitarT2,Corrupted,Objects/Instruments/Guitars/guitarT2/musi_guit_guitarT2.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Guitar,Guitar,,
GuitarCorruptedT3,,,,GuitarT3,Corrupted,Objects/Instruments/Guitars/guitarT3/musi_guit_guitarT3.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Guitar,Guitar,,
GuitarCorruptedT4,,,,GuitarT4,Corrupted,Objects/Instruments/Guitars/guitarT4/musi_guit_guitarT4.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Guitar,Guitar,,
GuitarCorruptedT5,,,,GuitarT5,Corrupted,Objects/Instruments/Guitars/guitarT5/musi_guit_guitarT5.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Guitar,Guitar,,
GuitarLostT1,,,,GuitarT1,Lost,Objects/Instruments/Guitars/guitarT1/musi_guit_guitarT1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Guitar,Guitar,,
GuitarLostT2,,,,GuitarT2,Lost,Objects/Instruments/Guitars/guitarT2/musi_guit_guitarT2.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Guitar,Guitar,,
GuitarLostT3,,,,GuitarT3,Lost,Objects/Instruments/Guitars/guitarT3/musi_guit_guitarT3.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Guitar,Guitar,,
GuitarLostT4,,,,GuitarT4,Lost,Objects/Instruments/Guitars/guitarT4/musi_guit_guitarT4.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Guitar,Guitar,,
GuitarLostT5,,,,GuitarT5,Lost,Objects/Instruments/Guitars/guitarT5/musi_guit_guitarT5.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Guitar,Guitar,,
GuitarAncientT1,,,,GuitarT1,Ancient,Objects/Instruments/Guitars/guitarT1/musi_guit_guitarT1.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,MXMI_Guitar,Guitar,,
