WeaponAppearanceID,Name,Description,ItemClass,Art ID Names,Weapon Material name Info,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,MaskRColor,MaskROverride,MaskR,MaskGColor,MaskGOverride,MaskG,MaskBColor,MaskBOverride,MaskB,MaskASpecColor,MaskASpec,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,Appearance,FemaleAppearance,MountAttachmentAppearanceId,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,IconPath,HiResIconPath,IconCaptureGroup
1hRoundShieldAngryEarthT5,@1hRoundShieldAngryEarthT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT5,AngryEarth,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_MV1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,,,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAngryEarthT5.png,lyshineui/images/icons/items_hires/1hRoundShieldAngryEarthT5.png,RoundShield
1hRoundShieldCorruptedT2,@1hRoundShieldCorruptedT2_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT2,Corrupted,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,,,,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldCorruptedT2.png,lyshineui/images/icons/items_hires/1hRoundShieldCorruptedT2.png,RoundShield
1hRoundShieldCorruptedT3,@1hRoundShieldCorruptedT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT3,Corrupted,objects/weapons/shields/shieldroundt3/wep_shld_shieldRoundT3_lookBase_MV1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldCorruptedT3.png,lyshineui/images/icons/items_hires/1hRoundShieldCorruptedT3.png,RoundShield
1hRoundShieldCorruptedT4,@1hRoundShieldCorruptedT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT4,Corrupted,objects/weapons/shields/shieldroundt4/wep_shld_shieldRoundT4_lookBase_MV1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldCorruptedT4.png,lyshineui/images/icons/items_hires/1hRoundShieldCorruptedT4.png,RoundShield
1hRoundShieldCorruptedT5,@1hRoundShieldCorruptedT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT5,Corrupted,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_MV1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldCorruptedT5.png,lyshineui/images/icons/items_hires/1hRoundShieldCorruptedT5.png,RoundShield
1hRoundShieldLostT2,@1hRoundShieldLostT2_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT2,Lost,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,,,,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldLostT2.png,lyshineui/images/icons/items_hires/1hRoundShieldLostT2.png,RoundShield
1hRoundShieldLostT3,@1hRoundShieldLostT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT3,Lost,objects/weapons/shields/shieldroundt3/wep_shld_shieldRoundT3_lookBase_MV1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldLostT3.png,lyshineui/images/icons/items_hires/1hRoundShieldLostT3.png,RoundShield
1hRoundShieldLostT4,@1hRoundShieldLostT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT4,Lost,objects/weapons/shields/shieldroundt4/wep_shld_shieldRoundT4_lookBase_MV1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldLostT4.png,lyshineui/images/icons/items_hires/1hRoundShieldLostT4.png,RoundShield
1hRoundShieldLostT5,@1hRoundShieldLostT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT5,Lost,objects/weapons/Shields/shieldRoundVariant1/wep_shld_shieldroundvariant1_lookBase_MV1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,,,,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldLostT5.png,lyshineui/images/icons/items_hires/1hRoundShieldLostT5.png,RoundShield
1hRoundShieldAncientT2,@1hRoundShieldAncientT2_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT2,Ancient,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,,,,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAncientT2.png,lyshineui/images/icons/items_hires/1hRoundShieldAncientT2.png,RoundShield
1hRoundShieldAncientT3,@1hRoundShieldAncientT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT3,Ancient,objects/weapons/shields/shieldroundt3/wep_shld_shieldRoundT3_lookBase_MV1.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAncientT3.png,lyshineui/images/icons/items_hires/1hRoundShieldAncientT3.png,RoundShield
1hRoundShieldAncientT4,@1hRoundShieldAncientT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT4,Ancient,objects/weapons/shields/shieldroundt4/wep_shld_shieldRoundT4_lookBase_MV1.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAncientT4.png,lyshineui/images/icons/items_hires/1hRoundShieldAncientT4.png,RoundShield
1hRoundShieldAncientT5,@1hRoundShieldAncientT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT5,Ancient,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_MV1.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAncientT5.png,lyshineui/images/icons/items_hires/1hRoundShieldAncientT5.png,RoundShield
1hRoundShieldFaeT3,,,,ShieldRound3,Fae,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,,,,0,1,1,0,,,RoundShield
1hRoundShieldFaeT4,@1hRoundShieldFaeT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound4,Fae,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldFaeT4.png,lyshineui/images/icons/items_hires/1hRoundShieldFaeT4.png,RoundShield
1hRoundShieldFaeT5,@1hRoundShieldFaeT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Fae,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#007400,0.5,1,#AFB645,0.5,1,#B67F58,0.5,1,#3D3D3D,0.6,0.8,0.7,#2C9D41,3,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldFaeT5.png,lyshineui/images/icons/items_hires/1hRoundShieldFaeT5.png,RoundShield
1hRoundShieldGlassT3,,,,ShieldRound3,Glass,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookglass.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,,,,,,,,,,RoundShield
1hRoundShieldGlassT4,,,,ShieldRound4,Glass,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookglass.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,,,,,,,,,,RoundShield
1hRoundShieldGlassT5,@1hRoundShieldGlassT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,ShieldRound5,Glass,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookglass.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,,,,,,,,lyshineui/images/icons/items/weapon/1hRoundShieldGlassT5.png,lyshineui/images/icons/items_hires/1hRoundShieldGlassT5.png,RoundShield
1hRoundShieldElegantT3,@1hRoundShieldElegantT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound3,Elegant,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#996C29,0.7,0.3,#00ACDB,0.1,1,#4893BA,0.5,1,#6C5A2F,0.35,0.8,0.7,#9E8818,5,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldElegantT3.png,lyshineui/images/icons/items_hires/1hRoundShieldElegantT3.png,RoundShield
1hRoundShieldElegantT4,@1hRoundShieldElegantT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound4,Elegant,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#996C29,0.7,0.3,#00ACDB,0.1,1,#4893BA,0.5,1,#6C5A2F,0.35,0.8,0.7,#9E8818,5,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldElegantT4.png,lyshineui/images/icons/items_hires/1hRoundShieldElegantT4.png,RoundShield
1hRoundShieldElegantT5,@1hRoundShieldElegantT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Elegant,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#996C29,0.7,0.3,#00ACDB,0.1,1,#4893BA,0.5,1,#6C5A2F,0.35,0.8,0.7,#9E8818,5,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldElegantT5.png,lyshineui/images/icons/items_hires/1hRoundShieldElegantT5.png,RoundShield
1hRoundShieldViciousT3,,,,ShieldRound3,Vicious,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#860000,0.7,0.3,#AE0000,0.3,1,#9D0000,0.5,1,#000000,0.35,0.8,0.7,,,,,,0,1,1,0,,,RoundShield
1hRoundShieldViciousT4,@1hRoundShieldViciousT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound4,Vicious,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#860000,0.7,0.3,#AE0000,0.3,1,#9D0000,0.5,1,#000000,0.35,0.8,0.7,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldViciousT4.png,lyshineui/images/icons/items_hires/1hRoundShieldViciousT4.png,RoundShield
1hRoundShieldViciousT5,@1hRoundShieldViciousT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Vicious,objects/weapons/Shields/shieldRoundVariant2/wep_shld_shieldroundvariant2_lookBase.cdf,,,,,,,,,#860000,0.7,0.3,#AE0000,0.3,1,#9D0000,0.5,1,#000000,0.35,0.8,0.7,,,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldViciousT5.png,lyshineui/images/icons/items_hires/1hRoundShieldViciousT5.png,RoundShield
1hRoundShieldVinespunT3,@1hRoundShieldVinespunT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound3,Vinespun,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#26ACCA,0.3,1,#C327CE,0.3,1,#0AEDDA,0.1,1,#A4669A,0.35,0.8,0.7,#00A095,5,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldVinespunT3.png,lyshineui/images/icons/items_hires/1hRoundShieldVinespunT3.png,RoundShield
1hRoundShieldVinespunT4,,,,ShieldRound4,Vinespun,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#26ACCA,0.3,1,#C327CE,0.3,1,#0AEDDA,0.1,1,#A4669A,0.35,0.8,0.7,#00A095,5,,,,0,1,1,0,,,RoundShield
1hRoundShieldVinespunT5,@1hRoundShieldVinespunT5_TransmogName,@Skin_ShieldR_Vinespun_Description,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Vinespun,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#26ACCA,0.3,1,#C327CE,0.3,1,#0AEDDA,0.1,1,#A4669A,0.35,0.8,0.7,#00A095,5,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldVinespunT5.png,lyshineui/images/icons/items_hires/1hRoundShieldVinespunT5.png,RoundShield
1hRoundShieldVoidbentT3,@1hRoundShieldVoidbentT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound3,Voidbent,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#1278A3,0.4,1,#9377B9,0.5,1,#D4D4EE,1,0.3,#666677,0.1,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldVoidbentT3.png,lyshineui/images/icons/items_hires/1hRoundShieldVoidbentT3.png,RoundShield
1hRoundShieldVoidbentT4,@1hRoundShieldVoidbentT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound4,Voidbent,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#1278A3,0.4,1,#9377B9,0.5,1,#D4D4EE,1,0.3,#666677,0.1,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldVoidbentT4.png,lyshineui/images/icons/items_hires/1hRoundShieldVoidbentT4.png,RoundShield
1hRoundShieldVoidbentT5,@1hRoundShieldVoidbentT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,ShieldRound5,Voidbent,objects/weapons/Melee/Shields/1h/roundshieldHeroic/wep_mel_shld_1h_roundshieldHeroic.cdf,,,,,,,,,#1278A3,0.4,1,#9377B9,0.5,1,#D4D4EE,1,0.3,#666677,0.1,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/weapon/1hRoundShieldVoidbentT5.png,lyshineui/images/icons/items_hires/1hRoundShieldVoidbentT5.png,RoundShield
1hRoundShieldWaveborneT3,@1hRoundShieldWaveborneT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,ShieldRound3,Waveborne,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldWaveborneT3.png,lyshineui/images/icons/items_hires/1hRoundShieldWaveborneT3.png,RoundShield
1hRoundShieldWaveborneT4,@1hRoundShieldWaveborneT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,ShieldRound4,Waveborne,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldWaveborneT4.png,lyshineui/images/icons/items_hires/1hRoundShieldWaveborneT4.png,RoundShield
1hRoundShieldWaveborneT5,@1hRoundShieldWaveborneT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,ShieldRound5,Waveborne,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#1BC7C2,0.3,1,#80EEB7,0.05,1,#54FFFF,0.1,1,#856C39,0.5,0.8,0.7,,,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldWaveborneT5.png,lyshineui/images/icons/items_hires/1hRoundShieldWaveborneT5.png,RoundShield
1hRoundShieldImmolatedT3,,,,ShieldRound3,Immolated,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,,,,0,1,1,0,,,RoundShield
1hRoundShieldImmolatedT4,,,,ShieldRound4,Immolated,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,,,,0,1,1,0,,,RoundShield
1hRoundShieldImmolatedT5,@1hRoundShieldImmolatedT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Immolated,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#540000,0.7,1,#A35E00,0.5,1,#B3B3B3,0.1,1,#790002,0.35,0.8,0.7,#FF7200,2,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hRoundShieldImmolatedT5.png,lyshineui/images/icons/items_hires/1hRoundShieldImmolatedT5.png,RoundShield
1hRoundShieldEtherealT3,,,,ShieldRound3,Ethereal,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#A38C76,0.7,0.5,#2FCCE4,0.1,1,#CC815B,0.1,1,#58566C,0.35,0.5,0.5,#80D3FF,3,,,,0,1,1,0,,,RoundShield
1hRoundShieldEtherealT4,,,,ShieldRound4,Ethereal,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#A38C76,0.7,0.5,#2FCCE4,0.1,1,#CC815B,0.1,1,#58566C,0.35,0.5,0.5,#80D3FF,3,,,,0,1,1,0,,,RoundShield
1hRoundShieldEtherealT5,@1hRoundShieldEtherealT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Ethereal,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#A38C76,0.7,0.5,#2FCCE4,0.1,1,#CC815B,0.1,1,#58566C,0.35,0.5,0.5,#80D3FF,3,,,,0,0,0,0,lyshineui/images/icons/items/weapon/1hRoundShieldEtherealT5.png,lyshineui/images/icons/items_hires/1hRoundShieldEtherealT5.png,RoundShield
1hRoundShieldAbyssalT3,@1hRoundShieldAbyssalT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound3,Abyssal,objects/weapons/shields/shieldroundt3/wep_shld_shieldroundt3_lookbase_mv1.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAbyssalT3.png,lyshineui/images/icons/items_hires/1hRoundShieldAbyssalT3.png,RoundShield
1hRoundShieldAbyssalT4,@1hRoundShieldAbyssalT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound4,Abyssal,objects/weapons/shields/shieldroundt4/wep_shld_shieldroundt4_lookbase_mv1.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAbyssalT4.png,lyshineui/images/icons/items_hires/1hRoundShieldAbyssalT4.png,RoundShield
1hRoundShieldAbyssalT5,@1hRoundShieldAbyssalT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,ShieldRound5,Abyssal,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_mv1.cdf,,,,,,,,,#26037F,0.7,0.3,#8982A0,0.3,1,#432C99,0.1,1,#37044C,0.35,0.8,0.7,#A465CE,5,,,,0,0,0,0,lyshineui/images/icons/items/weapon/1hRoundShieldAbyssalT5.png,lyshineui/images/icons/items_hires/1hRoundShieldAbyssalT5.png,RoundShield
