Rank,ExceedMin0,ExceedMax0,FloorDistance,ChanceToExceed0,ChanceBump,ModifierAffectsBump,RollupChance,RollRangeMaxBonus,UmbralIncrementsLevel,CanUseUmbral,CanUseUmbralOnMinGS,CraftingAwardsUmbral,CraftingGSForRewards,ExceedMin1,ExceedMax1,ChanceToExceed1
551,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
552,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
553,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
554,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
555,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
556,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
557,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
558,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
559,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
560,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
561,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
562,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
563,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
564,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
565,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
566,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
567,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
568,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
569,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
570,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
571,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
572,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
573,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
574,2,3,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,3,0.01
575,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
576,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
577,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
578,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
579,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
580,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
581,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
582,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
583,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
584,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
585,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
586,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
587,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
588,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
589,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,2,2,0.01
590,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
591,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
592,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
593,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
594,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
595,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
596,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
597,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
598,2,2,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
599,1,1,10,0.01,0.001,false,0.01,0,false,false,600,false,600,1,1,0.01
600,-9,0,10,0.001,0.001,false,0.001,-1,true,true,600,true,600,-9,0,0.001
601,-10,-1,11,0.001,0.001,false,0.001,-2,true,true,600,true,600,-10,-1,0.001
602,-11,-2,12,0.001,0.001,false,0.001,-3,true,true,600,true,600,-11,-2,0.001
603,-12,-3,13,0.001,0.001,false,0.001,-4,true,true,600,true,600,-12,-3,0.001
604,-13,-4,14,0.001,0.001,false,0.001,-5,true,true,600,true,600,-13,-4,0.001
605,-14,-5,15,0.001,0.001,false,0.001,-6,true,true,600,true,600,-14,-5,0.001
606,-15,-6,16,0.001,0.001,false,0.001,-7,true,true,600,true,600,-15,-6,0.001
607,-16,-7,17,0.001,0.001,false,0.001,-8,true,true,600,true,600,-16,-7,0.001
608,-17,-8,18,0.001,0.001,false,0.001,-9,true,true,600,true,600,-17,-8,0.001
609,-18,-9,19,0.001,0.001,false,0.001,-10,true,true,600,true,600,-18,-9,0.001
610,-19,-10,20,0.001,0.001,false,0.001,-11,true,true,600,true,600,-19,-10,0.001
611,-20,-11,21,0.001,0.001,false,0.001,-12,true,true,600,true,600,-20,-11,0.001
612,-21,-12,22,0.001,0.001,false,0.001,-13,true,true,600,true,600,-21,-12,0.001
613,-22,-13,23,0.001,0.001,false,0.001,-14,true,true,600,true,600,-22,-13,0.001
614,-23,-14,24,0.001,0.001,false,0.001,-15,true,true,600,true,600,-23,-14,0.001
615,-24,-15,25,0.001,0.001,false,0.001,-16,true,true,600,true,600,-24,-15,0.001
616,-25,-16,26,0.001,0.001,false,0.001,-17,true,true,600,true,600,-25,-16,0.001
617,-26,-17,27,0.001,0.001,false,0.001,-18,true,true,600,true,600,-26,-17,0.001
618,-27,-18,28,0.001,0.001,false,0.001,-19,true,true,600,true,600,-27,-18,0.001
619,-28,-19,29,0.001,0.001,false,0.001,-20,true,true,600,true,600,-28,-19,0.001
620,-29,-20,30,0.001,0.001,false,0.001,-21,true,true,600,true,600,-29,-20,0.001
621,-30,-21,31,0.001,0.001,false,0.001,-22,true,true,600,true,600,-30,-21,0.001
622,-31,-22,32,0.001,0.001,false,0.001,-23,true,true,600,true,600,-31,-22,0.001
623,-32,-23,33,0.001,0.001,false,0.001,-24,true,true,600,true,600,-32,-23,0.001
624,-33,-24,34,0.001,0.001,false,0.001,-25,true,true,600,true,600,-33,-24,0.001
625,-34,-25,35,0.001,0.001,false,0.001,-26,true,true,600,true,600,-34,-25,0.001
