ConditionId,Operation,PlayerLevel,CategoricalProgression,GameEvent,Achievement,Entitlement,Item,UIEvent,Notes
TerritoryStanding08Equals1Condition,Equals,,8:01,,,,,,Queensport
TerritoryStanding10Equals1Condition,Equals,,10:01,,,,,,Cutlass Keys
TerritoryStanding11Equals1Condition,Equals,,11:01,,,,,,Mourningdale
TerritoryStanding12Equals1Condition,Equals,,12:01,,,,,,Monarchs Bluffs
TerritoryStanding13Equals1Condition,Equals,,13:01,,,,,,Weaver's Fen
TerritoryStanding14Equals1Condition,Equals,,14:01,,,,,,Edengrove
TerritoryStanding15Equals1Condition,Equals,,15:01,,,,,,Restless Shore
TerritoryStanding16Equals1Condition,Equals,,16:01,,,,,,Brimstone Sands
MutatedLevel1Unlocked_DungeonBrimstoneSands00,Equals,,DungeonBrimstoneSands00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonCutlass00,Equals,,DungeonCutlass00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonEbonscale00,Equals,,DungeonEbonscale00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonEdengrove00,Equals,,DungeonEdengrove00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonEverfall00,Equals,,DungeonEverfall00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonFirstLight01,Equals,,DungeonFirstLight01DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonGreatCleave00,Equals,,DungeonGreatCleave00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonGreatCleave01,Equals,,DungeonGreatCleave01DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonReekwater00,Equals,,DungeonReekwater00DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonRestlessShores01,Equals,,DungeonRestlessShores01DifficultyExp23:1,,,,,,
MutatedLevel1Unlocked_DungeonShatterMtn00,Equals,,DungeonShatterMtn00DifficultyExp23:1,,,,,,
TradeskillArcana1Condition,GreaterThan,,Arcana:1,,,,,,
TradeskillArcana24+Condition,GreaterThan,,Arcana:24,,,,,,
TradeskillArcana250Condition,Equals,,Arcana:250,,,,,,
TradeskillArmoring1Condition,GreaterThan,,Armoring:1,,,,,,
TradeskillArmoring24+Condition,GreaterThan,,Armoring:24,,,,,,
TradeskillArmoring250Condition,Equals,,Armoring:250,,,,,,
TradeskillCooking1Condition,GreaterThan,,Cooking:1,,,,,,
TradeskillEngineering1Condition,GreaterThan,,Engineering:1,,,,,,
TradeskillEngineering24+Condition,GreaterThan,,Engineering:24,,,,,,
TradeskillEngineering250Condition,Equals,,Engineering:250,,,,,,
TradeskillFurnishing1Condition,GreaterThan,,Furnishing:1,,,,,,
TradeskillHarvesting1Condition,GreaterThan,,Harvesting:1,,,,,,
TradeskillJewelcrafting1Condition,GreaterThan,,Jewelcrafting:1,,,,,,
TradeskillJewelcrafting24+Condition,GreaterThan,,Jewelcrafting:24,,,,,,
TradeskillJewelcrafting250Condition,Equals,,Jewelcrafting:250,,,,,,
TradeskillLeatherworking1Condition,GreaterThan,,Leatherworking:1,,,,,,
TradeskillLogging1Condition,GreaterThan,,Logging:1,,,,,,
TradeskillMining1Condition,GreaterThan,,Mining:1,,,,,,
TradeskillSkinning1Condition,GreaterThan,,Skinning:1,,,,,,
TradeskillSmelting1Condition,GreaterThan,,Smelting:1,,,,,,
TradeskillStonecutting1Condition,GreaterThan,,Stonecutting:1,,,,,,
TradeskillWeaponsmithing1Condition,GreaterThan,,Weaponsmithing:1,,,,,,
TradeskillWeaponsmithing24+Condition,GreaterThan,,Weaponsmithing:24,,,,,,
TradeskillWeaponsmithing250Condition,Equals,,Weaponsmithing:250,,,,,,
TradeskillWeaving1Condition,GreaterThan,,Weaving:1,,,,,,
TradeskillWoodworking1Condition,GreaterThan,,Woodworking:1,,,,,,
WeaponBlunderbuss1Condition,Equals,,BlunderbussAbilityTable:1,,,,,,
WeaponBlunderbuss2Condition,Equals,,BlunderbussAbilityTable:5,,,,,,
WeaponBlunderbuss3Condition,Equals,,BlunderbussAbilityTable:13,,,,,,
WeaponBow1Condition,Equals,,BowAbilityTable:1,,,,,,
WeaponBow2Condition,Equals,,BowAbilityTable:5,,,,,,
WeaponBow3Condition,Equals,,BowAbilityTable:13,,,,,,
WeaponFireStaff1Condition,Equals,,FireMagicAbilityTable:1,,,,,,
WeaponFireStaff2Condition,Equals,,FireMagicAbilityTable:5,,,,,,
WeaponFireStaff3Condition,Equals,,FireMagicAbilityTable:13,,,,,,
WeaponFlail1Condition,Equals,,FlailAbilityTable:1,,,,,,
WeaponFlail2Condition,Equals,,FlailAbilityTable:5,,,,,,
WeaponFlail3Condition,Equals,,FlailAbilityTable:13,,,,,,
WeaponGreatAxe1Condition,Equals,,GreatAxeAbilityTable:1,,,,,,
WeaponGreatAxe2Condition,Equals,,GreatAxeAbilityTable:5,,,,,,
WeaponGreatAxe3Condition,Equals,,GreatAxeAbilityTable:13,,,,,,
WeaponGreatSword1Condition,Equals,,GreatSwordAbilityTable:2,,,,,,
WeaponGreatSword2Condition,Equals,,GreatSwordAbilityTable:5,,,,,,
WeaponGreatSword3Condition,Equals,,GreatSwordAbilityTable:13,,,,,,
WeaponHatchet1Condition,Equals,,HatchetAbilityTable:1,,,,,,
WeaponHatchet2Condition,Equals,,HatchetAbilityTable:5,,,,,,
WeaponHatchet3Condition,Equals,,HatchetAbilityTable:13,,,,,,
WeaponIceGauntlet1Condition,Equals,,IceMagicAbilityTable:1,,,,,,
WeaponIceGauntlet2Condition,Equals,,IceMagicAbilityTable:5,,,,,,
WeaponIceGauntlet3Condition,Equals,,IceMagicAbilityTable:13,,,,,,
WeaponLifeStaff1Condition,Equals,,LifeMagicAbilityTable:1,,,,,,
WeaponLifeStaff2Condition,Equals,,LifeMagicAbilityTable:5,,,,,,
WeaponLifeStaff3Condition,Equals,,LifeMagicAbilityTable:8,,,,,,
WeaponLifeStaff4Condition,Equals,,LifeMagicAbilityTable:13,,,,,,
WeaponMusket1Condition,Equals,,MusketAbilityTable:1,,,,,,
WeaponMusket2Condition,Equals,,MusketAbilityTable:5,,,,,,
WeaponMusket3Condition,Equals,,MusketAbilityTable:13,,,,,,
WeaponRapier1Condition,Equals,,RapierAbilityTable:1,,,,,,
WeaponRapier2Condition,Equals,,RapierAbilityTable:5,,,,,,
WeaponRapier3Condition,Equals,,RapierAbilityTable:13,,,,,,
WeaponSpear1Condition,Equals,,SpearAbilityTable:1,,,,,,
WeaponSpear2Condition,Equals,,SpearAbilityTable:5,,,,,,
WeaponSpear3Condition,Equals,,SpearAbilityTable:13,,,,,,
WeaponSword1Condition,Equals,,SwordAbilityTable:1,,,,,,
WeaponSword2Condition,Equals,,SwordAbilityTable:5,,,,,,
WeaponSword3Condition,Equals,,SwordAbilityTable:13,,,,,,
WeaponVoidGauntlet1Condition,Equals,,VoidGauntletAbilityTable:1,,,,,,
WeaponVoidGauntlet2Condition,Equals,,VoidGauntletAbilityTable:5,,,,,,
WeaponVoidGauntlet3Condition,Equals,,VoidGauntletAbilityTable:13,,,,,,
WeaponWarHammer1Condition,Equals,,WarHammerAbilityTable:1,,,,,,
WeaponWarHammer2Condition,Equals,,WarHammerAbilityTable:5,,,,,,
WeaponWarHammer3Condition,Equals,,WarHammerAbilityTable:13,,,,,,
AncientGlyphEventCondition,,,,Read_LoreItem_AncientGlyph,,,,,
BeastGlyphEventCondition,,,,Read_LoreItem_BeastGlyph,,,,,
EliteChestEventCondition,,,,Gather_LootContainer_EliteChest,,,,,
FortCaptureCondition,,,,PvP_FortTakeover,,,,,
KillEventCondition,,,,KillEvent,,,,,
MountAchievementCondition,HasUnlocked,,,,AwardAchievement_Mount_Horse_1,,,,
PlayerKillEventCondition,,,,PlayerKill,,,,,
AmbitionMBAchievementCondition,HasUnlocked,,,,drowned_shipwreck_2_30125_charted,,,,
AmbitionWWAchievementCondition,HasUnlocked,,,,drowned_shipwreck_2_40142_charted,,,,
AmrineDungeonChartedCondition,HasUnlocked,,,,amrine_dungeon_40167_charted,,,,
BagsAchievementCondition,HasUnlocked,,,,Tutorial_Bags,,,,
CampsCreateAchievementCondition,HasUnlocked,,,,Tutorial_Camps_Create,,,,
CampsUsingAchievementCondition,HasUnlocked,,,,Tutorial_Camps_Using,,,,
ChartedShatteredOb40116POIAchievementCondition,HasUnlocked,,,,shattered_obelisk_40116_charted,,,,
CompassAchievementCondition,HasUnlocked,,,,Tutorial_UX_Compass,,,,
CONDITIONNEEDED,HasUnlocked,,,,Tutorial_Salvage1_Test,,,,
EnemyBlockPOIAchievementCondition1,HasUnlocked,,,,drowned_shipwreck_3_40140_charted,,,,Windsward
EnemyBlockPOIAchievementCondition2,HasUnlocked,,,,drowned_shipwreck_3_30129_charted,,,,Monarchs Bluffs
EnemyQuestMarkerAchievementCondition,HasUnlocked,,,,Tutorial_EnemyQuestmarker,,,,
FactionIntroCovenantRecruitmentAchievementCondition,HasUnlocked,,,,FactionIntro_Covenant_Recruitment,,,,
FactionIntroMaraudersRecruitmentAchievementCondition,HasUnlocked,,,,FactionIntro_Marauders_Recruitment,,,,
FactionIntroSyndicateRecruitmentAchievementCondition,HasUnlocked,,,,FactionIntro_Syndicate_Recruitment,,,,
FactionQuestFactionChoiceAchievementCondition,HasUnlocked,,,,S_factionhandoff,,,,
FactionQuestStartAchievementCondition,HasUnlocked,,,,Faction_Push,,,,
FactionsAchievementCondition,HasUnlocked,,,,Tutorial_Factions,,,,
FastTravelMSQ_Shrine30151_AchievementCondition,HasUnlocked,,,,spiritshrine_02_30151_charted,,,,
FastTravelMSQ_Shrine40170_AchievementCondition,HasUnlocked,,,,spiritshrine_01_40170_charted,,,,
FreeForAllAchievementCondition,HasUnlocked,,,,CK_FFA_AREA_ENTERED,,,,
FTUE_S1_Cinematic_WatchedAchievementCondition,HasUnlocked,,,,FTUE_S1_Cinematic_Watched,,,,
FTUEApplyAttributesAchievementCondition,HasUnlocked,,,,MSQ_Tutorial_ApplyAttributes,,,,
FTUEAutorun,HasUnlocked,,,,MSQ_Tutorial_Autorun,,,,
FTUEBasicMovement,HasUnlocked,,,,MSQ_Tutorial_BasicMovement,,,,
FTUEClimb,HasUnlocked,,,,MSQ_Tutorial_Climb,,,,
FTUECombatMoves,HasUnlocked,,,,MSQ_Tutorial_CombatMoves,,,,
FTUEInventory,HasUnlocked,,,,MSQ_Tutorial_Inventory,,,,
FTUEJump,HasUnlocked,,,,MSQ_Tutorial_Jump,,,,
FTUELoot,HasUnlocked,,,,MSQ_Tutorial_Loot,,,,
FTUESwimDash,HasUnlocked,,,,MSQ_Tutorial_SwimDash,,,,
FTUESwimming,HasUnlocked,,,,MSQ_Tutorial_Swimming,,,,
GatheringFlintBushCondition,HasUnlocked,,,,Tutorial_Gathering_BushFlint,,,,
Grit1Condition,HasUnlocked,,,,armory_40290_charted,,,,
GypsumKilnAchievementCondition,HasUnlocked,,,,Tutorial_GypsumAndKiln,,,,
InnAchievementCondition,HasUnlocked,,,,Tutorial_Inn,,,,
MedeaSoulTrialPoiChartedAchievementCondition,HasUnlocked,,,,infested_village_40160_charted,,,,
ProneAchievementCondition,HasUnlocked,,,,Tutorial_Prone,,,,
SkinningBasicAchievementCondition,HasUnlocked,,,,Tutorial_Skinning_Basic,,,,
StarstoneDungeonChartedCondition,HasUnlocked,,,,shattered_dungeon_40168_charted,,,,
StarterBeachPOIAchievementCondition1,HasUnlocked,,,,starterbeach_9009_charted,,,,
StarterBeachPOIAchievementCondition2,HasUnlocked,,,,starterbeach_9011_charted,,,,
StatusEffects1Condition,HasUnlocked,,,,armory_40290_discovered,,,,
TargetLock1AchievementCondition,HasUnlocked,,,,Tutorial_TargetLock1,,,,
TargetLock2AchievementCondition,HasUnlocked,,,,Tutorial_TargetLock2,,,,
TargetLockSwitchAchievementCondition,HasUnlocked,,,,Tutorial_TargetLockSwitch1,,,,
TheDepthsDungeonChartedCondition,HasUnlocked,,,,DungeonEntrance_60238_charted,,,,
ZoomAchievementCondition,HasUnlocked,,,,Tutorial_Zoom,,,,
FTUENotSeenAchievementCondition,HasNotUnlocked,,,,SoleSurvivor02_Check,,,,
06A_TS_01AchievementCondition,HasUnlocked,,,,06A_TS_01,,,,
12A_Side_15AchievementCondition,HasUnlocked,,,,12A_Side_15,,,,
06A_TS_02AchievementCondition,HasUnlocked,,,,06A_TS_02,,,,
12A_Side_16AchievementCondition,HasUnlocked,,,,12A_Side_16,,,,
FTUE_AncientRuins_DoorAchievementCondition,HasUnlocked,,,,FTUE_AncientRuins_Door,,,,
FTUESeenAchievementCondition,HasUnlocked,,,,SoleSurvivor02_Check,,,,
SoulTrialAchievementCondition,HasUnlocked,,,,Tutorial_SoulTrials,,,,
TokenFirework1EntitlementCondition,HasUnlocked,,,,,PremiumEmote_Firework1,,,
TokenFirework2EntitlementCondition,HasUnlocked,,,,,PremiumEmote_Firework2,,,
TokenFirework3EntitlementCondition,HasUnlocked,,,,,PremiumEmote_Firework3,,,
TokenFirework4EntitlementCondition,HasUnlocked,,,,,PremiumEmote_Firework4,,,
TokenFirework5EntitlementCondition,HasUnlocked,,,,,PremiumEmote_Firework5,,,
TokenGatherEntitlementCondition,HasUnlocked,,,,,Ent_StatusEffect_Token_Gather_1,,,
TokenProficiencyEntitlementCondition,HasUnlocked,,,,,Ent_StatusEffect_Token_Proficiency_1,,,
TokenSeasonEntitlementCondition,HasUnlocked,,,,,Ent_StatusEffect_Token_Season_1,,,
TokenTerritoryEntitlementCondition,HasUnlocked,,,,,Ent_StatusEffect_Token_Territory_1,,,
TokenWeaponEntitlementCondition,HasUnlocked,,,,,Ent_StatusEffect_Token_Weapon_1,,,
TokenWitchBroomEntitlementCondition,HasUnlocked,,,,,Ent_PremiumEmote_WitchBroom,,,
TransmogEntitlementCondition,HasUnlocked,,,,,Transmog_Token,,,
EquipItemClassAnyArmorCondition,EquipItemClassAny,,,,,,Armor,,
EquipItemClassAnyWeaponCondition,EquipItemClassAny,,,,,,Weapon,,
EquipItemClass2HAxeCondition,EquipItemClassAny,,,,,,2HAxe,,
EquipItemClass2HHammerCondition,EquipItemClassAny,,,,,,2HHammer,,
EquipItemClassBlunderbussCondition,EquipItemClassAny,,,,,,Blunderbuss,,
EquipItemClassBowCondition,EquipItemClassAny,,,,,,Bow,,
EquipItemClassFlailCondition,EquipItemClassAny,,,,,,Flail,,
EquipItemClassFireStaffCondition,EquipItemClassAny,,,,,,FireStaff,,
EquipItemClassGreatSwordCondition,EquipItemClassAny,,,,,,GreatSword,,
EquipItemClassHatchetCondition,EquipItemClassAny,,,,,,Hatchet,,
EquipItemClassIceMagicCondition,EquipItemClassAny,,,,,,IceMagic,,
EquipItemClassLifeStaffCondition,EquipItemClassAny,,,,,,LifeStaff,,
EquipItemClassMusketCondition,EquipItemClassAny,,,,,,Musket,,
EquipItemClassRapierCondition,EquipItemClassAny,,,,,,Rapier,,
EquipItemClassSpearCondition,EquipItemClassAny,,,,,,Spear,,
EquipItemClassSwordCondition,EquipItemClassAny,,,,,,Sword,,
EquipItemClassVoidGauntletCondition,EquipItemClassAny,,,,,,VoidGauntlet,,
EquipItemClassRangedCondition,EquipItemClassAny,,,,,,Ranged,,
EquipItemClassFoodCondition,EquipItemClassAny,,,,,,Food,,
FishingPoleEquippedCondition,EquipItemClassAny,,,,,,FishingPole,,
MHWeapEquippedCondition,EquipItemInAnySlot,,,,,,main-hand-option-1,,
OHWeapEquippedCondition,EquipItemInAnySlot,,,,,,main-hand-option-2,,
ItemClassAnyArmorCondition,ReceiveItemClassAny,,,,,,Armor,,
ItemClassAnyArtifactCondition,ReceiveItemClassAny,,,,,,Artifact,,
ItemClassAnyBagCondition,ReceiveItemClassAny,,,,,,Bag,,
ItemClassAnyChestCondition,ReceiveItemClassAny,,,,,,EquippableChest,,
ItemClassAnyFishingPoleCondition,ReceiveItemClassAny,,,,,,FishingPole,,
ItemClassAnyGemCondition,ReceiveItemClassAny,,,,,,Gem,,
ItemClassAnyGemUncut,ReceiveItemClassAny,,,,,,GemCut,,
ItemClassAnyLootContainerCondition,ReceiveItemClassAny,,,,,,LootContainer,,
ItemClassAnyMountItemCondition,ReceiveItemClassAny,,,,,,EquippableMount,,
ItemClassAnyWeaponArmorCondition,ReceiveItemClassAny,,,,,,Weapon+Armor,,
ItemClassHeartGemCondition,ReceiveItemClassAny,,,,,,HeartGem,,
ItemClassRangedCondition,ReceiveItemClassAny,,,,,,Ranged,,
ReceiveItemClassAnyFoodCondition,ReceiveItemClassAny,,,,,,Food,,
ReceiveItemClassAnyPerkModCondition,ReceiveItemClassAny,,,,,,PerkResource,,
ReceiveItemClassAnyResourceCondition,ReceiveItemClassAny,,,,,,Resource,,
ItemIDAnyGypsumOrbsCondition,ReceiveItemAnyId,,,,,,GypsumOrb,,
ReceivedT1toT5HealthPotionsCondition,ReceiveItemAnyId,,,,,,PotionHealthT1+PotionHealthT2+PotionHealthT3+PotionHealthT4+PotionHealthT5,,
ReceiveItemIdGypsumBlackCondition,ReceiveItemAnyId,,,,,,GypsumBlack,,
ReceiveItemIdGypsumBlueCondition,ReceiveItemAnyId,,,,,,GypsumBlue,,
ReceiveItemIdGypsumGarnetCondition,ReceiveItemAnyId,,,,,,GypsumGarnet,,
ReceiveItemIdGypsumGreenCondition,ReceiveItemAnyId,,,,,,GypsumGreen,,
ReceiveItemIdGypsumOrangeCondition,ReceiveItemAnyId,,,,,,GypsumOrange,,
ReceiveItemIdGypsumOrbCondition,ReceiveItemAnyId,,,,,,GypsumOrb,,
ReceiveItemIdGypsumPurpleCondition,ReceiveItemAnyId,,,,,,GypsumPurple,,
ReceiveItemIdGypsumRedCondition,ReceiveItemAnyId,,,,,,GypsumRed,,
ReceiveItemIdGypsumWhiteCondition,ReceiveItemAnyId,,,,,,GypsumWhite,,
ReceiveItemIdGypsumYellowCondition,ReceiveItemAnyId,,,,,,GypsumYellow,,
ReceiveItemIdInfusedOrbCondition,ReceiveItemAnyId,,,,,,InfusedOrb,,
ReceiveItemIdOverchargedOrbCondition,ReceiveItemAnyId,,,,,,OverchargedOrb,,
ReceiveItemIdsRuneglassArcaneCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Arcane,,
ReceiveItemIdsRuneglassFireCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Fire,,
ReceiveItemIdsRuneglassHealCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Heal,,
ReceiveItemIdsRuneglassIceCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Ice,,
ReceiveItemIdsRuneglassLightningCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Lightning,,
ReceiveItemIdsRuneglassManaCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Mana,,
ReceiveItemIdsRuneglassMeleeCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Melee,,
ReceiveItemIdsRuneglassNatureCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Nature,,
ReceiveItemIdsRuneglassRangedCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Ranged,,
ReceiveItemIdsRuneglassStaminaCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Stamina,,
ReceiveItemIdsRuneglassVoidCondition,ReceiveItemAnyId,,,,,,Runeglass_Case_Empty_Void,,
GearSetUiScreenCondition,,,,,,,,GearSetStorageClose,
GroupUiLoadedWhileInGroupUIScreenCondition,,,,,,,,ViewGroupMenuWhileInGroup,
ManageRaidsUIViewedUIScreenCondition,,,,,,,,ManageRaidsUIViewed,
OpenedActivitiesMenuUIScreenCondition,,,,,,,,OpenedActivitiesMenu,
OverburdenedUiScreenCondition,,,,,,,,EquipLoadOverburdened,
SettlementEnterUiScreenCondition,,,,,,,,SettlementEntered,
ShowHMenuOptionOnHoverUIScreenCondition,,,,,,,,ShowHMenuOptionOnHover,
ShowPingTutorialUIScreenCondition,,,,,,,,ShowPingTutorial,
SkinItemLootedUIScreenCondition,,,,,,,,SkinItemLooted,
TownBoardLoadedUIScreenCondition,,,,,,,,TownBoardOpened,
TradingPostBuyUIOpenCondition,,,,,,,,TradingPostBuy,
TradingPostMyOrdersUIOpenCondition,,,,,,,,TradingPostMyOrders,
TradingPostSellUIOpenCondition,,,,,,,,TradingPostSell,
UIInventoryOpenCondition,,,,,,,,Inventory,
UIStorageShedOpenCondition,,,,,,,,StorageShed,
WarBoardOpenedUIScreenCondition,,,,,,,,WarBoardOpened,
GenericMasteryUIOpenCondition,,,,,,,,MasteryTreeOpenedEvent,
WeaponMasteryTreeBlunderbussUIOpenCondition,,,,,,,,BlunderbussMasteryTreesEvent,
WeaponMasteryTreeBowUIOpenCondition,,,,,,,,BowMasteryTreesEvent,
WeaponMasteryTreeFireMagicUIOpenCondition,,,,,,,,FireMagicMasteryTreesEvent,
WeaponMasteryTreeFlailUIOpenCondition,,,,,,,,FlailMasteryTreesEvent,
WeaponMasteryTreeGreatAxeUIOpenCondition,,,,,,,,GreatAxeMasteryTreesEvent,
WeaponMasteryTreeGreatSwordUIOpenCondition,,,,,,,,GreatSwordMasteryTreesEvent,
WeaponMasteryTreeHatchetUIOpenCondition,,,,,,,,HatchetMasteryTreesEvent,
WeaponMasteryTreeIceMagicUIOpenCondition,,,,,,,,IceMagicMasteryTreesEvent,
WeaponMasteryTreeLifeMagicUIOpenCondition,,,,,,,,LifeMagicMasteryTreesEvent,
WeaponMasteryTreeMusketUIOpenCondition,,,,,,,,MusketMasteryTreesEvent,
WeaponMasteryTreeRapierUIOpenCondition,,,,,,,,RapierMasteryTreesEvent,
WeaponMasteryTreeSpearUIOpenCondition,,,,,,,,SpearMasteryTreesEvent,
WeaponMasteryTreeSwordUIOpenCondition,,,,,,,,SwordAndShieldMasteryTreesEvent,
WeaponMasteryTreeVoidGauntletUIOpenCondition,,,,,,,,VoidGauntletMasteryTreesEvent,
WeaponMasteryTreeWarHammerUIOpenCondition,,,,,,,,WarHammerMasteryTreesEvent,
ReceiveItemClassSeasonalEthereal,ReceiveItemClassAny,,,,,,SeasonalEthereal,,
ReceiveItemClassSeasonalConquerors,ReceiveItemClassAny,,,,,,SeasonalConqueror,,
SeasonalServerS7AchievementCondition,HasUnlocked,,,,SeasonalServerS7,,,,
