TrackedStatID,StatType,TargetID,VitalsCategories,Level,RequireGroup,WeaponMasteryIds,OpenWorldOnly,POITags,GameMode,LootTags,IsKillingBlow,RequiredWorldTag
KillPlayerFirstLight,Kill,,Player,,,,,"firstlight1,firstlight2,firstlight3,firstlight4,firstlight5,firstlight6,firstlight7,firstlight8,firstlight9,firstlight10,firstlight11,firstlight12",,,,
KillFlail,Kill,,,65,,FlailAbilityTable,,,,,,
KillPlayerFlail,Kill,,Player,,,FlailAbilityTable,,,,,,
KillHercyne,Kill,,Hercyne,,,,,,,,,
KillMegaFlora,Kill,,,,,,,,,MegaFlora,,
KillFlailNamed,Kill,,,65,,FlailAbilityTable,,,,Named,,
KillZurvanNamedElite,Kill,,,65,,,,elite_island_40065,,"Named,Elite",,
KillGreatCleave,Kill,,,,,,,"greatcleave1,greatcleave2,greatcleave3,greatcleave4,greatcleave5,greatcleave6,greatcleave7,greatcleave8,greatcleave9,greatcleave10,greatcleave11",,,,
KillIceVarangian,Kill,,,,,,,,,"Varangian,IceVariant",,
Kill65,Kill,,,65,,,,,,,,
KillNamed60,Kill,,,60,,,,,,Named,,
KillFrostAncient,Kill,,,,,,,,,"Ancient,IceVariant",,
KillNamed65,Kill,,,65,,,,,,Named,,
KillNamedElite65,Kill,,,65,,,,,,"Named,Elite",,
KillGreatCleaveNamed,Kill,,,,,,,"greatcleave1,greatcleave2,greatcleave3,greatcleave4,greatcleave5,greatcleave6,greatcleave7,greatcleave8,greatcleave9,greatcleave10,greatcleave11",,Named,,
KillElite60,Kill,,,60,,,,,,Elite,,
KillVoidGauntlet,Kill,,,,,VoidGauntletAbilityTable,,,,,,
KillShatteredMountainElite,Kill,,,,,,,"shatteredmountain1,shatteredmountain2,shatteredmountain3,shatteredmountain4,shatteredmountain5,shatteredmountain6,shatteredmountain7,shatteredmountain8,shatteredmountain9",,Elite,,
KillFlamekeeperIceGauntlet,Kill,Evil_Knight_Flamekeeper_Boss,,,,IceMagicAbilityTable,,,,,,
KillRuneforgeBossGreatAxe,Kill,Naga_AncientGuardian_IceGuardian,,,,GreatAxeAbilityTable,,,,,,
KillSandwormMagicWeapon,Kill,Sandworm,,,,"FireMagicAbilityTable,LifeMagicAbilityTable,IceMagicAbilityTable,VoidGauntletAbilityTable",,,,,,
KillTrialBoss,Kill,"Evil_Knight_Flamekeeper_Boss,Naga_AncientGuardian_IceGuardian,Sandworm,Spriggan_Forest,Undead_Siren,Swamp_Dryad_Beast_Named_ELITE_05WC10,FL_AI_Adiana_Bow,Sand_Elemental_QuestBoss,Brother_Umberto,Dynasty_Empress_Solo,Lost_Monarch,AncientGuardian_Mage_MSQ_Named_02_Encounter_Boss,Isabella_MSQ2,Abominable_Liang_MSQ,Mammoth_Boss_MSQ_FirstLight,Medea_Caster,FL_Medusa,Elk_Motherwell_Stag,Corrupted_Leviathan,Yonas_MSQ2,Season_02_Flamekeeper_Boss_Q12,Season_02_Malek,Season_04_Daichi,Season_04_Mordred_AI",,,,,,,,,,
KillHatcheryBoss,Kill,Evil_Knight_Flamekeeper_Boss,,,,,,,,,,
KillRuneforgeBoss,Kill,Naga_AncientGuardian_IceGuardian,,,,,,,,,,
KillEliteBrimstone,Kill,,,,,,,"brimstonesands1,brimstonesands2,brimstonesands3,brimstonesands4,brimstonesands5,brimstonesands6,brimstonesands7,brimstonesands8,brimstonesands9,brimstonesands10,brimstonesands11,brimstonesands12",,Elite,,
KillPlayerMelee,Kill,,Player,,,"HatchetAbilityTable,SwordAbilityTable,RapierAbilityTable,FlailAbilityTable,WarHammerAbilityTable,GreatAxeAbilityTable,SpearAbilityTable,GreatSwordAbilityTable",,,,,,
KillNamedExpedition,Kill,,Named_Expedition_AI,,,,,,,,,
KillElite65,Kill,,,65,,,,,,Elite,,
KillPlayerRanged,Kill,,Player,,,"BowAbilityTable,MusketAbilityTable,BlunderbussAbilityTable",,,,,,
KillNamedCutlassKeys,Kill,,,,,,,"windswardshores1,windswardshores2,windswardshores3,windswardshores4,windswardshores5,windswardshores6,windswardshores7,windswardshores8,windswardshores9,windswardshores7FFA,windswardshores9FFA,windswardshores2_v2,windswardshores6_v2,windswardshores8_v2",,Named,,
KillPlayerCutlassKeys,Kill,,Player,,,,,"windswardshores7FFA,windswardshores9FFA",,,,
KillBroodmotherBow,Kill,Hercyne_Broodmother,,,,BowAbilityTable,,,,,,
KillBroodmother,Kill,Hercyne_Broodmother,,,,,,,,,,
KillSoloTrialBoss,Kill,"FL_AI_Adiana_Bow,Sand_Elemental_QuestBoss,Brother_Umberto,Dynasty_Empress_Solo,Lost_Monarch,AncientGuardian_Mage_MSQ_Named_02_Encounter_Boss,Isabella_MSQ2,Abominable_Liang_MSQ,Mammoth_Boss_MSQ_FirstLight,Medea_Caster,FL_Medusa,Elk_Motherwell_Stag,Corrupted_Leviathan,Yonas_MSQ2,Season_02_Flamekeeper_Boss_Q12,Season_02_Malek,Season_04_Daichi,Season_04_Mordred_AI",,,,,,,,,,
KillEliteFirstLight,Kill,,,,,,,"firstlight1,firstlight2,firstlight3,firstlight4,firstlight5,firstlight6,firstlight7,firstlight8,firstlight9,firstlight10,firstlight11,firstlight12,abandoned_village_40001,abandoned_village_40002,shipwreck_40003,shipwreck_40004,shipwreck_40005,shipwreck_40006,shipwreck_40007,ancient_lighthouse_40008,ancient_lookout_40009,wolf_den_40010,wolf_den_40011,haunted_village_40012,corrupted_camp_40013,corrupted_mine_40014,abandoned_village_40015,pirate_town_40016,pirate_fort_40017,shipwreck_40018,ancient_bridge_40019,ancient_ruins_40020,drowned_cave_40021,drowned_cave_40022,wolf_den_40023,abandoned_fishing_village_40024,abandoned_village_40025,boar_infestation_1,factionarea_40034,factionarea_40035,factionarea_40036,spiritshrine_01_40037,spiritshrine_02_40038,camp_40040,yeti_40041,camp_40042,abandoned_village_40043,abandoned_village_40044,shipwreck_40045,ancient_lighthouse_40046,haunted_village_40047,corrupted_camp_40048,corrupted_mine_40049,abandoned_village_40050,pirate_town_40051,pirate_fort_40052,ancient_bridge_40053,ancient_ruins_40054,drowned_cave_40055,wolf_den_40056,abandoned_fishing_village_40057,abandoned_village_40058,boar_infestation_1_40059,abandoned_village_40060,abandoned_village_40061,abandoned_village_40062,camp_40063,beastlands_40064,elite_island_40065,outpost_40_1_40066,spiritshrine_03_40067,spiritshrine_04_40068,mammothtrial_40069,mammothtrial_40069,medusatrial_40070,medusatrial_40070,crystleclaw_caverns_40071,spiritshrine_05_40072,fire_plant_40073,ice_plant_40074,spiritshrine_01_40075,spiritshrine_01_40076,adianatrial_40078",,Elite,,
KillEliteSeasonalBoss,Kill,"Evil_Knight_Flamekeeper_Boss,Naga_AncientGuardian_IceGuardian,Sandworm",,,,,,,,,,
KillRaidBoss,Kill,"Hercyne_Broodmother,Hercyne_Typhon,Hercyne_Echidna",,,,,,,,,,
KillPlayerInOpenWorldSS,Kill,,Player,,,,true,,,,,SeasonalServer
KillStubblesMeleeSS,Kill,Goat_Mountain_Named_00,,,,"HatchetAbilityTable,SwordAbilityTable,RapierAbilityTable,FlailAbilityTable,WarHammerAbilityTable,GreatAxeAbilityTable,SpearAbilityTable,GreatSwordAbilityTable",,,,,,SeasonalServer
KillGoatSS,Kill,,Goat,,,,,,,,,SeasonalServer
KillNamedBeastSpearSS,Kill,,Beast,,,SpearAbilityTable,,,,Named,,SeasonalServer
