ItemID,Loc Note,DerivedFromText,DerivedFromIcon,RefinedAtText,RefinedAtLabelText,RefinedAtIcon,CanBeCraftedTextsSmall,CanBeCraftedIconsSmall,SpecialInstructions,UsedAtTexts,UsedAtIcons,CommonUsesLabelText,CommonUsesTextsLarge,CommonUsesIconsLarge,CommonUsesItemsLarge,CommonUsesTextsSmall,CommonUsesIconsSmall,CommonUsesItemsSmall,CanBeCraftedTextsLarge,CanBeCraftedIconsLarge,ResourcesLabelText,ResourcesTexts,ResourcesIcons,ResourcesAmounts,RefineryInputText,RefineryInputIcon,RefineryInputAmount,RefineryOutputText,RefineryOutputIcon,RefineryOutputAmount,MainHeaderIcon,ResourcesHeaderIcon
SandT4,,@SandT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FaeIronT1,"IronVeins,Rare",@FaeIronT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoidsteelT1,"IronVeins,Rare",@VoidsteelT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlessedCrucibleT1,"StarmetalVeins,Rare",@BlessedCrucibleT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzuriteChunkT1,"StarmetalVeins,Rare",@AzuriteChunkT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CinnabarT1,"OrichalcumVeins,MythrilVeins,Rare",@CinnabarT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TolviumT1,"OrichalcumVeins,MythrilVeins,Rare",@TolviumT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PetrifiedWoodT1,"YoungandMatureTrees,Rare",@PetrifiedWoodT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhisperwoodT1,"YoungTrees,MatureTrees,WyrdwoodTrees,Rare",@WhisperwoodT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuillbarkT1,"WyrdwoodTrees,Rare",@QuillbarkT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EbonwoodT1,"WyrdwoodTrees,Rare",@EbonwoodT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WildwoodT1,"IronwoodTrees,RunewoodTrees,Rare",@WildwoodT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarbvineT1,"IronwoodTrees,RunewoodTrees,Rare",@BarbvineT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RagehideT1,"SkinnableCreatures,Rare",@RagehideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShadowfurT1,"SkinnableCreatures,Rare",@ShadowfurT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrightscaleHideT1,"SkinnableCreatures,Rare",@BrightscaleHideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShifthideT1,"SkinnableCreatures,Rare",@ShifthideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmolderhideT1,"SkinnableCreatures,Rare",@SmolderhideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScarhideT1,"SkinnableCreatures,Rare",@ScarhideT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShadeclothT1,Hemp Plants,@ShadeclothT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhasefiberT1,Hemp Plants,@PhasefiberT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlintwoolT1,Silkweed Plants,@GlintwoolT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScalecordT1,Silkweed Plants,@ScalecordT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlisterweaveT1,"WirefiberPlants,SpinfiberPlants",@BlisterweaveT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScaleclothT1,"WirefiberPlants,SpinfiberPlants",@ScaleclothT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_ShatterslashT4,,@Schematic_ShatterslashT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_ContingencyPlanT4,,@Schematic_ContingencyPlanT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_SerendipityT4,,@Schematic_SerendipityT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_HeadsmanT4,,@Schematic_HeadsmanT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_TacticiansRapierT4,,@Schematic_TacticiansRapierT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_MalefactionT4,,@Schematic_MalefactionT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_ViolentDissentT4,,@Schematic_ViolentDissentT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_WatchfulEyeT4,,@Schematic_WatchfulEyeT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_GraspingLightT4,,@Schematic_GraspingLightT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_EruptionT4,,@Schematic_EruptionT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_VoidforgedHarbingerT5,,@Schematic_VoidforgedHarbingerT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_MakersMarkT5,,@Schematic_MakersMarkT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_StonerendT5,,@Schematic_StonerendT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_EternalDuskT5,,@Schematic_EternalDuskT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_NeedlerT5,,@Schematic_NeedlerT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_InquisitionT5,,@Schematic_InquisitionT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_HiddenTruths,,@Schematic_HiddenTruths_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_VeilpiercerT5,,@Schematic_VeilpiercerT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_WindsingerT5,,@Schematic_WindsingerT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic_WaningCrescentT5,,@Schematic_WaningCrescentT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShatteredSwordT1,,@ShatteredSwordT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScalingPowderT1,,@ScalingPowderT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AncientBearingT1,,@AncientBearingT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrokenHatchetT1,,@BrokenHatchetT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WitheredBoughT1,,@WitheredBoughT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SerpentineHandguardT1,,@SerpentineHandguardT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FragmentedMusketT1,,@FragmentedMusketT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SplinteredBowT1,,@SplinteredBowT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PetrifiedFireT1,,@PetrifiedFireT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlessedScepterT1,,@BlessedScepterT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AncientArmorPlatesT1,,@AncientArmorPlatesT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColdForgedBucklesT1,,@ColdForgedBucklesT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AncientMetallicThreadT1,,@AncientMetallicThreadT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasoningSweet,,@SeasoningSweet_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasoningSalty,,@SeasoningSalty_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasoningSpicy,,@SeasoningSpicy_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasoningSavory,,@SeasoningSavory_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlassVialT2,,@GlassVialT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlassVialT3,,@GlassVialT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlassVialT4,,@GlassVialT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlassVialT5,,@GlassVialT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzureT1,,@AzureT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzureVialT1,,@AzureVialT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OilT1,Seeping Stones,@OilT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeswaxT1,Bees Nests,@BeeswaxT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnimalVisceraT1,"Boars,Elk",@AnimalVisceraT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnimalEyeT1,Cats,@AnimalEyeT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HornT5,Elk Bull,@HornT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaltpeterT1,Caves,@SaltpeterT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharcoalT1,Smelter,,,@CharcoalT1_RefinedAt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FeatherT1,Turkeys,@FeatherT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GunpowderT2,Workshop Tier 2,,,,,,@GunpowderT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT1,,@BountyT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT2,,@BountyT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT3,,@BountyT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT4,,@BountyT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT5,,@BountyT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT6,,@BountyT6_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT7,,@BountyT7_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT8,,@BountyT8_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT9,,@BountyT9_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyT10,,@BountyT10_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT1,,@BountyMagicT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT2,,@BountyMagicT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT3,,@BountyMagicT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT4,,@BountyMagicT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT5,,@BountyMagicT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT6,,@BountyMagicT6_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT7,,@BountyMagicT7_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT8,,@BountyMagicT8_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT9,,@BountyMagicT9_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BountyMagicT10,,@BountyMagicT10_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InfusedResinT5,,@InfusedResinT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlimmeringTwineT5,"WirefiberPlants,Rare",@GlimmeringTwineT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlowingTallowT5,"PowerfulSkinnableCreatures,Rare",@GlowingTallowT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SparklingDustT5,"OrichalcumVeins,Rare",@SparklingDustT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EtchedHandguardT5,"HumanoidCreatures,Rare",@EtchedHandguardT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmbossedWrappingT5,"HumanoidCreatures,Rare",@EmbossedWrappingT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmpoweredCounterbalanceT5,"HumanoidCreatures,Rare",@EmpoweredCounterbalanceT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InscribedBossT5,"HumanoidCreatures,Rare",@InscribedBossT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnchantedBowStringT5,"HumanoidCreatures,Rare",@EnchantedBowStringT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntricateLockT5,"HumanoidCreatures,Rare",@IntricateLockT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunicThreadT5,"HumanoidCreatures,Rare",@RunicThreadT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmbroideredPaddingT5,"HumanoidCreatures,Rare",@EmbroideredPaddingT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrystallineRivetsT5,"HumanoidCreatures,Rare",@CrystallineRivetsT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreCrystalLifeT5,"HumanoidCreatures,Rare",@CoreCrystalLifeT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreCrystalFireT5,"HumanoidCreatures,Rare",@CoreCrystalFireT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreCrystalIceT5,"HumanoidCreatures,Rare",@CoreCrystalIceT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoreCrystalVoidT5,"HumanoidCreatures,Rare",@CoreCrystalVoidT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FluxT3,Supply Containers,@FluxT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FluxT4,Supply Containers,@FluxT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FluxT5,Supply Containers,@FluxT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LockT3,,@LockT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LockT4,,@LockT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LockT5,,@LockT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FangT4,Predators,@FangT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClawT5,Predators,@ClawT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandpaperT3,Supply Containers,@SandpaperT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandpaperT4,Supply Containers,@SandpaperT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SandpaperT5,Supply Containers,@SandpaperT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TanninT3,Supply Containers,@TanninT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TanninT4,Supply Containers,@TanninT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TanninT5,Supply Containers,@TanninT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolventT3,Supply Containers,@SolventT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolventT4,Supply Containers,@SolventT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolventT5,Supply Containers,@SolventT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothWeaveT3,Supply Containers,@ClothWeaveT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothWeaveT4,Supply Containers,@ClothWeaveT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClothWeaveT5,Supply Containers,@ClothWeaveT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoodStainT2,Workshop Tier 2,,,,,,@WoodStainT2_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
WoodStainT3,Workshop Tier 3,,,,,,@WoodStainT3_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
WoodStainT4,Workshop Tier 4,,,,,,@WoodStainT4_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
WoodStainT5,Workshop Tier 5,,,,,,@WoodStainT5_CraftedAt,,,,,,,,,,,,,,,,,,,,,,,,,
GemSocketPinsT1,,@GemSocketPinsT1_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoldingRuneT2,Faction Shop,@HoldingRuneT2_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoldingRuneT3,Faction Shop,@HoldingRuneT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoldingRuneT4,Faction Shop,@HoldingRuneT4_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HoldingRuneT5,Faction Shop,@HoldingRuneT5_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransmutationCatalystT3,Faction Shop,@TransmutationCatalystT3_DerivedFrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
