Id,Type,CastDistanceRange,CastDistanceMultiplier,FishRarityRollModifier,FishSizeRollModifier,SummerFishRarityRollModifier,RequiredWaterTags,ActiveAtDawn,ActiveAtDaytime,ActiveAtDusk,ActiveAtNight,LootTableId,LootTag,RequiredLevel,FishSize,FishWeightRange,FishLengthRange,FishingXp,TimeToNibbleSecondsRange,TimeToNibbleSecondsMultiplier,TimeToBiteSecondsRange,FishReelTimeSeconds,FishDistanceSwamAwayPerSecond,LineTensionGainPerSecond,LineTensionGainPerSecondMultiplier,LineTensionRecoverPerSecond,FishBehaviors,FishBehaviorPattern,FishBehaviorLocalizationKey,ZoomCameraOnSuccess,FishCharacterDefinitionPath,FishScale,RewardGameEventId
Hotspot_Rare_41,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,78,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_42,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,83,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_43,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,83,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_44,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,88,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_45,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,95,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_46,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,95,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_47,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,99,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_48,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,103,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_49,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,110,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_50,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,114,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_51,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,117,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Rare_52,Hotspot,,,15.99,0,0,,,,,,FishingHotspotLoot,Rare,141,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_53,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,12,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_54,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,27,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_55,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,62,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_56,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,70,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_57,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,88,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_58,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,99,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_59,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,110,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_60,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,117,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_61,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,117,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_62,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,128,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_63,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,134,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_64,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,141,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_65,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,148,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_66,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,153,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_67,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,158,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_68,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,158,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_69,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,165,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_70,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,172,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_71,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,179,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_72,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,185,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_73,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,185,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_74,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,190,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_75,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,193,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_76,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,193,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_77,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,197,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_78,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,200,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_79,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,200,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_Secret_80,Hotspot,,,24.33,0,0,,,,,,FishingHotspotLoot,Secret,200,,,,,3-6,,1-1.5,,,,,,,,,,,,
Hotspot_SummerMedley_1,Hotspot,,,0,0,0,,,,,,FishingSummerMedleyHotspot,Broad,0,,,,,3-6,,1-1.5,,,,,,,,,,,,
2hFishingPoleT1,FishingPole,5-12,,0,0,0,,,,,,,,,,,,,,,,8,,12.5,,27.5,,,,,,,
2hFishingPoleT2,FishingPole,5-14,,0.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,30,,,,,,,
2hFishingPoleT3,FishingPole,5-16,,0.75,0,0,,,,,,,,,,,,,,,,8,,12.5,,32.5,,,,,,,
2hFishingPoleT4,FishingPole,5-18,,1,0,0,,,,,,,,,,,,,,,,8,,12.5,,35,,,,,,,
2hFishingPoleT5,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_Ancient,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_AngryEarth,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_Corrupted,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_Lost,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_LegendaryAzoth,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_LegendaryStrength,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hFishingPole_LegendaryTech,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
Omega_FishingPole_T5,FishingPole,5-20,,1.25,0,0,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
2hSummerFishingPoleT2,FishingPole,5-14,,0.25,0,0.2,,,,,,,,,,,,,,,,8,,12.5,,30,,,,,,,
2hSummerFishingPoleT3,FishingPole,5-16,,0.75,0,0.5,,,,,,,,,,,,,,,,8,,12.5,,32.5,,,,,,,
2hSummerFishingPoleT4,FishingPole,5-18,,1,0,0.75,,,,,,,,,,,,,,,,8,,12.5,,35,,,,,,,
2hSummerCommemorativeFishingPoleT5,FishingPole,5-20,,1.25,0,1,,,,,,,,,,,,,,,,8,,12.5,,37.5,,,,,,,
BaitFreshMeatT1,Bait,,,0,1.5,0,Fresh,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitFreshBreadT1,Bait,,,0.47,0,0,Fresh,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitSaltFishT1,Bait,,,0,1.5,0,Salt,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitSaltCheeseT1,Bait,,,0.47,0,0,Salt,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitFreshClamT2,Bait,,,0,3,0,Fresh,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitFreshWoodliceT2,Bait,,,0.7,0,0,Fresh,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitSaltSnailT2,Bait,,,0,3,0,Salt,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitSaltNightcrawlerT2,Bait,,,0.7,0,0,Salt,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitFreshOysterT3,Bait,,,0,5,0,Fresh,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitFreshFireflyT3,Bait,,,0.85,0,0,Fresh,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitSaltElectricEelT3,Bait,,,0,5,0,Salt,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitSaltGlowwormT3,Bait,,,0.85,0,0,Salt,true,true,true,true,,,,,,,,,0.5,,,,,,,,,,,,,
BaitMaudlinbugT1,Bait,,,0,0,2,"Fresh,Salt",true,true,true,true,FishingSummerMedley,,,,,,,,0.5,,,,,,,,,,,,,
FishingBassSmallT1,Catchables,,,,,,,,,,,,,,Small,0-1,5-8,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Bass.cdf,0.5,
FishingBassMediumT1,Catchables,,,,,,,,,,,,,,Medium,1-5,9-15,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Bass.cdf,0.7,
FishingBassLargeT1,Catchables,,,,,,,,,,,,,,Large,5-10,16-28,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_B_Bass.cdf,1,
FishingPerchSmallT1,Catchables,,,,,,,,,,,,,,Small,0-1,7-9,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_YellowPerch.cdf,0.3,
FishingPerchMediumT1,Catchables,,,,,,,,,,,,,,Medium,1-2,10-13,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_YellowPerch.cdf,0.5,
FishingPerchLargeT1,Catchables,,,,,,,,,,,,,,Large,2-3,14-19,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_A_YellowPerch.cdf,0.7,
FishingPikeSmallT1,Catchables,,,,,,,,,,,,,,Small,1-5,15-21,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_Pike.cdf,0.6,
FishingPikeMediumT1,Catchables,,,,,,,,,,,,,,Medium,5-19,22-34,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_Pike.cdf,0.75,
FishingPikeLargeT1,Catchables,,,,,,,,,,,,,,Large,19-32,35-56,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_A_Pike.cdf,1.1,
FishingTroutSmallT1,Catchables,,,,,,,,,,,,,,Small,0-7,9-16,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_RainbowTrout.cdf,0.5,
FishingTroutMediumT1,Catchables,,,,,,,,,,,,,,Medium,7-17,17-28,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_RainbowTrout.cdf,0.7,
FishingTroutLargeT1,Catchables,,,,,,,,,,,,,,Large,17-28,29-42,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_A_RainbowTrout.cdf,1,
FishingSunfishSmallT1,Catchables,,,,,,,,,,,,,,Small,0-1,4-6,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Sunfish.cdf,0.35,
FishingSunfishMediumT1,Catchables,,,,,,,,,,,,,,Medium,1-2,7-10,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Sunfish.cdf,0.55,
FishingSunfishLargeT1,Catchables,,,,,,,,,,,,,,Large,2-3,11-15,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_B_Sunfish.cdf,0.75,
FishingSalmonSmallT1,Catchables,,,,,,,,,,,,,,Small,2-9,15-19,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,0.6,
FishingSalmonMediumT1,Catchables,,,,,,,,,,,,,,Medium,9-25,20-29,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,0.75,
FishingSalmonLargeT1,Catchables,,,,,,,,,,,,,,Large,25-36,30-45,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_A_SockeyeSalmon.cdf,1.1,
FishingMackerelSmallT1,Catchables,,,,,,,,,,,,,,Small,0-1,2-7,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_AtlanticMackerel.cdf,0.5,
FishingMackerelMediumT1,Catchables,,,,,,,,,,,,,,Medium,1-4,8-16,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_AtlanticMackerel.cdf,0.7,
FishingMackerelLargeT1,Catchables,,,,,,,,,,,,,,Large,4-6,16-20,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_A_AtlanticMackerel.cdf,1,
FishingSnapperSmallT1,Catchables,,,,,,,,,,,,,,Small,1-10,10-16,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_Snapper.cdf,0.4,
FishingSnapperMediumT1,Catchables,,,,,,,,,,,,,,Medium,10-19,17-29,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_A_Snapper.cdf,0.6,
FishingSnapperLargeT1,Catchables,,,,,,,,,,,,,,Large,19-35,30-50,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_A_Snapper.cdf,0.75,
FishingFlounderSmallT1,Catchables,,,,,,,,,,,,,,Small,0-12,10-20,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Flounder.cdf,0.4,
FishingFlounderMediumT1,Catchables,,,,,,,,,,,,,,Medium,12-22,21-31,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Flounder.cdf,0.6,
FishingFlounderLargeT1,Catchables,,,,,,,,,,,,,,Large,22-30,32-46,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_B_Flounder.cdf,0.75,
FishingBluefishSmallT1,Catchables,,,,,,,,,,,,,,Small,0-5,4-14,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Bluefish.cdf,0.5,
FishingBluefishMediumT1,Catchables,,,,,,,,,,,,,,Medium,5-18,15-34,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Characters\npc\natural\fish\Fish_B_Bluefish.cdf,0.7,
FishingBluefishLargeT1,Catchables,,,,,,,,,,,,,,Large,18-35,35-48,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Characters\npc\natural\fish\Fish_B_Bluefish.cdf,1,
FishingHakeSmallT1,Catchables,,,,,,,,,,,,,,Small,0-12,10-18,100,,,,,0.2,,0.8,,"Lazy,Sporadic,SporadicEasy",,,false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Hake.cdf,0.5,
FishingHakeMediumT1,Catchables,,,,,,,,,,,,,,Medium,12-18,19-32,110,,,,,0.15,,1.2,,"Lazy,LateAggressive,Sporadic,SporadicEasy",,,false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Hake.cdf,0.7,
FishingHakeLargeT1,Catchables,,,,,,,,,,,,,,Large,18-37,33-44,120,,,,,0.1,,1.4,,"Lazy,EarlyAggressive,LateAggressive,Sporadic",,,false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Hake.cdf,1,
FishingSturgeonSmallT2,Catchables,,,,,,,,,,,,,,Small,1-12,20-29,150,,,,,0.2,,0.8,,"EarlyAggressive,LateAggressive,Sporadic",,,true,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Sturgeon.cdf,0.7,
FishingSturgeonMediumT2,Catchables,,,,,,,,,,,,,,Medium,12-40,29-39,156,,,,,0.15,,1.2,,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",,,true,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Sturgeon.cdf,1,
FishingSturgeonLargeT2,Catchables,,,,,,,,,,,,,,Large,40-77,40-67,163,,,,,0.1,,1.4,,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",,,true,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Sturgeon.cdf,1.2,
FishingCatfishSmallT2,Catchables,,,,,,,,,,,,,,Small,4-12,15-19,150,,,,,0.2,,0.8,,"EarlyAggressive,LateAggressive,Sporadic",,,true,Objects\Characters\npc\natural\fish\Fish_B_Catfish.cdf,0.6,
